,open,high,low,close,volume
2000-12-21,40.20313,41.15625,40.20313,40.9375,1186400
2000-12-22,41.42188,41.625,40.3125,41.48438,718400
2000-12-26,41.85938,42.65625,41.3125,42.375,998400
2000-12-27,42.40625,44.0,42.125,44.0,2126000
2000-12-28,43.75,45.75,43.75,45.0,1250800
2000-12-29,45.25,45.25,42.375,44.0,1165600
2001-01-02,43.73438,43.75,37.0,37.0,2699200
2001-01-03,35.875,39.375,35.875,37.9375,3658400
2001-01-04,37.75,37.8125,32.375,34.625,3702800
2001-01-05,34.75,34.875,31.25,33.0,3762800
2001-01-08,33.0,34.875,33.0,34.0625,1639200
2001-01-09,34.0,36.46875,33.625,35.6875,1533600
2001-01-10,35.5,37.21875,35.5,36.75,1446800
2001-01-11,36.5,37.65625,36.5,36.90625,1580800
2001-01-12,36.9375,36.9375,32.0,33.73438,2382400
2001-01-16,33.625,34.98438,33.375,33.5625,1916000
2001-01-17,33.75,35.1875,31.875,32.48438,2807200
2001-01-18,32.53125,32.53125,29.90625,31.625,4117600
2001-01-19,31.9375,32.0625,29.875,30.29688,2761200
2001-01-22,30.65625,31.75,30.625,31.0,1904400
2001-01-23,31.125,33.39063,30.45313,32.875,2132400
2001-01-24,33.0,35.875,33.0,34.75,2795200
2001-01-25,34.5,34.9375,33.78125,34.25,1384400
2001-01-26,34.5,36.01563,34.40625,35.59375,766400
2001-01-29,35.875,36.5625,35.025,35.075,1032400
2001-01-30,34.825,36.175,34.75,35.425,1460800
2001-01-31,35.675,35.9375,34.0,34.055,1245600
2001-02-01,34.625,34.7475,33.625,33.915,1201600
2001-02-02,33.915,34.35,32.825,33.0625,1520800
2001-02-05,32.875,33.3125,32.7275,33.2875,998400
2001-02-06,33.25,34.875,33.25,33.675,1100800
2001-02-07,33.5,35.125,33.475,34.1275,1102400
2001-02-08,34.25,34.3125,33.2125,33.325,692000
2001-02-09,33.125,33.875,32.8,33.625,1108800
2001-02-12,33.625,35.22,33.25,34.8,1100400
2001-02-13,34.925,35.1125,34.5,34.9875,786000
2001-02-14,35.175,35.75,34.2625,35.69,1214000
2001-02-15,36.5,37.485,35.055,35.225,2072800
2001-02-16,35.5,36.495,35.1875,36.3125,1094000
2001-02-20,36.4375,36.875,36.25,36.6225,1826800
2001-02-21,36.625,37.3,36.5625,36.875,1500000
2001-02-22,36.7875,36.9825,36.45,36.8125,1290800
2001-02-23,36.6875,37.1225,35.5,36.75,1276800
2001-02-26,36.75,39.625,36.625,38.6625,2412400
2001-02-27,39.0,40.5,38.875,39.925,2556000
2001-02-28,39.9875,40.185,38.9775,40.125,1586000
2001-03-01,40.0,40.4375,37.8625,38.4875,1682400
