,open,high,low,close,volume
2000-12-21,31.95,32.4,31.81,32.1,1048900
2000-12-22,32.6,33.1,32.0,32.5,1067800
2000-12-26,32.15,32.95,32.15,32.92,419700
2000-12-27,31.75,33.4,31.75,33.26,1302500
2000-12-28,33.0,34.4,33.0,34.25,1258300
2000-12-29,34.4,35.2,33.86,33.95,1787700
2001-01-02,33.95,34.75,33.71,34.1,1625000
2001-01-03,33.5,34.5,33.15,33.65,2071200
2001-01-04,33.4,33.8,32.5,33.4,2207400
2001-01-05,33.0,33.12,32.4,32.85,669000
2001-01-08,32.6,33.65,32.4,32.91,729700
2001-01-09,32.25,34.5,32.25,34.24,1046700
2001-01-10,33.6,34.19,33.0,33.77,1042000
2001-01-11,33.25,34.25,33.0,33.59,1361500
2001-01-12,33.84,34.0,32.51,33.55,1153200
2001-01-16,33.55,33.9,32.52,33.4,858300
2001-01-17,32.9,34.0,32.0,32.02,909200
2001-01-18,32.5,32.8,31.62,31.95,1684200
2001-01-19,31.0,31.95,31.0,31.73,1513900
2001-01-22,31.6,33.35,31.1,33.26,1009600
2001-01-23,32.75,33.37,32.7,33.0,764700
2001-01-24,32.75,33.0,31.2,32.0,1392000
2001-01-25,33.5,35.0,33.05,34.51,4272100
2001-01-26,34.95,35.25,34.1,34.88,4126500
2001-01-29,34.6,35.13,34.25,35.05,1589700
2001-01-30,34.85,34.95,34.3,34.74,1254900
2001-01-31,34.95,34.95,34.55,34.68,1515500
2001-02-01,34.68,36.5,34.59,36.21,2446500
2001-02-02,36.25,37.5,36.0,36.4,2566800
2001-02-05,35.65,36.9,35.4,36.3,2046900
2001-02-06,36.31,36.44,35.9,35.94,1055600
2001-02-07,36.15,36.55,35.11,36.13,1871500
2001-02-08,35.8,36.84,35.78,36.63,1301100
2001-02-09,36.95,37.09,35.75,36.13,948300
2001-02-12,36.3,36.55,34.74,34.9,2067000
2001-02-13,34.9,37.0,34.5,36.91,1776600
2001-02-14,36.85,37.65,35.5,35.82,2160100
2001-02-15,35.39,36.59,35.1,35.69,1795300
2001-02-16,35.69,37.2,35.11,36.25,4712800
2001-02-20,36.94,37.85,36.2,37.48,1796600
2001-02-21,37.65,38.25,36.65,36.85,1928000
2001-02-22,37.1,38.2,37.1,37.75,2036600
2001-02-23,37.0,37.56,36.3,36.95,1547800
2001-02-26,36.9,38.01,36.6,37.98,1776400
2001-02-27,37.65,38.0,37.42,38.0,2501900
2001-02-28,37.95,38.15,36.9,37.46,1790100
