,open,high,low,close,volume
2000-12-21,46.1875,47.1875,46.0,46.25,757200
2000-12-22,46.4375,47.5625,46.4375,47.1875,404600
2000-12-26,47.1875,47.8125,47.1875,47.4375,511400
2000-12-27,47.5625,48.0625,47.125,48.0,473000
2000-12-28,48.4375,48.4375,47.25,47.75,583300
2000-12-29,47.6875,49.25,47.3125,47.3125,696700
2001-01-02,47.3125,47.3125,45.0,45.4375,632800
2001-01-03,45.0,47.0625,45.0,46.5625,676300
2001-01-04,45.75,46.125,42.625,42.9375,1109100
2001-01-05,43.75,44.125,41.0625,42.1875,1309800
2001-01-08,42.25,42.25,41.4375,41.6875,934100
2001-01-09,41.9375,43.6875,41.9375,42.9375,730200
2001-01-10,41.375,43.625,41.375,42.6875,637000
2001-01-11,42.9375,43.3125,41.625,41.625,399600
2001-01-12,42.1875,42.1875,39.8125,40.4375,1223700
2001-01-16,40.0625,43.0,40.0625,42.5,1285200
2001-01-17,43.25,43.75,42.25,42.4375,919500
2001-01-18,42.5,42.75,41.5,41.75,815200
2001-01-19,41.8125,41.8125,40.0,41.0625,750400
2001-01-22,41.3125,44.125,41.3125,43.0625,953000
2001-01-23,43.3125,43.9375,42.3125,43.625,634700
2001-01-24,43.875,45.4375,43.625,44.75,806300
2001-01-25,43.75,45.0625,43.75,44.25,643900
2001-01-26,44.625,45.0625,44.0,44.6875,597000
2001-01-29,44.7,45.9,44.7,44.88,538800
2001-01-30,44.95,45.02,44.0,45.02,750300
2001-01-31,45.0,45.09,43.96,44.85,634400
2001-02-01,44.8,45.29,44.7,45.29,503400
2001-02-02,45.27,45.87,45.09,45.45,679800
2001-02-05,45.2,46.75,45.1,46.69,559800
2001-02-06,48.25,48.25,45.76,46.25,958000
2001-02-07,46.0,47.1,45.89,46.03,931000
2001-02-08,46.3,46.7,44.25,45.6,1311200
2001-02-09,45.75,45.89,45.0,45.76,565000
2001-02-12,45.5,47.45,45.12,47.34,686900
2001-02-13,47.34,47.35,45.3,45.8,669000
2001-02-14,45.6,45.92,45.05,45.39,567500
2001-02-15,45.4,45.65,44.38,45.53,698900
2001-02-16,45.85,46.89,45.85,46.5,541600
2001-02-20,46.1,46.1,43.58,43.75,1288800
2001-02-21,43.2,43.6,42.62,42.65,1079000
2001-02-22,43.25,43.25,42.1,43.0,825200
2001-02-23,42.75,43.35,42.0,42.75,807200
2001-02-26,43.0,44.45,43.0,44.33,774100
2001-02-27,44.33,45.78,43.8,45.34,609000
2001-02-28,45.35,45.35,43.6,43.87,608300
2001-03-01,42.65,44.23,42.65,43.68,1046700
2001-03-02,43.6,44.05,42.8,43.8,1163900
2001-03-05,43.9,44.1,43.15,43.48,711300
2001-03-06,43.5,43.97,43.2,43.3,440000
2001-03-07,42.7,44.25,42.7,44.13,693800
2001-03-08,44.38,45.01,44.15,44.54,826300
2001-03-09,44.3,44.49,43.65,43.98,512300
2001-03-12,46.0,46.4,44.66,45.01,2393100
2001-03-13,46.0,47.71,45.17,46.95,2020800
2001-03-14,45.5,45.95,44.15,44.5,1597800
2001-03-15,45.25,45.3,44.62,44.8,1132200
2001-03-16,43.75,45.0,43.75,44.18,1414800
