,open,high,low,close,volume
2000-12-22,13.75,15.3125,13.75,15.25,3414100
2000-12-26,15.375,15.5625,14.0625,14.5,2354300
2000-12-27,14.5,15.25,14.125,14.5,4740200
2000-12-28,14.53125,15.5,14.5,15.1875,3122700
2000-12-29,14.875,15.5,14.4375,14.5,2638700
2001-01-02,14.9375,15.3125,14.1875,14.375,2760700
2001-01-03,14.3125,17.25,14.3125,17.25,7598900
2001-01-04,17.0,19.3125,16.875,18.1875,8626300
2001-01-05,18.25,19.375,17.875,18.3125,9208100
2001-01-08,18.25,19.375,17.6875,19.26563,4904000
2001-01-09,19.53125,19.625,18.375,18.9375,4889100
2001-01-10,17.75,20.375,17.75,19.9375,6163800
2001-01-11,19.65625,22.625,19.5625,21.9375,8337400
2001-01-12,21.9375,22.6875,20.625,20.6875,6640100
2001-01-16,20.625,21.125,19.625,20.1875,3916100
2001-01-17,22.5625,24.0,22.3125,22.5625,13128100
2001-01-18,22.6875,23.8125,21.75,23.0625,5365900
2001-01-19,23.625,23.875,22.25,22.75,4425100
2001-01-22,22.375,22.5625,21.5,21.75,2338400
2001-01-23,21.3125,22.25,20.875,22.125,4449800
2001-01-24,23.875,24.875,23.6875,24.8125,12397100
2001-01-25,24.5625,25.25,23.1875,23.6875,6759600
2001-01-26,22.6875,24.0625,22.625,23.25,4487200
2001-01-29,23.125,24.6875,22.75,24.625,2571900
2001-01-30,24.3125,26.375,24.3125,25.5625,4230100
2001-01-31,25.5,27.0,25.3125,26.4375,5640400
2001-02-01,26.0625,26.9375,25.5,26.5625,3350200
2001-02-02,26.5,26.875,24.75,24.875,2969700
2001-02-05,24.125,24.25,22.875,23.3125,2952600
2001-02-06,23.3125,24.5,22.75,23.0625,3689000
2001-02-07,22.75,23.0,21.3125,22.3125,3449800
2001-02-08,22.375,23.125,21.875,22.1875,2951100
2001-02-09,22.0,22.8125,21.6875,21.9375,2442800
2001-02-12,22.125,23.1875,21.875,22.75,2540400
2001-02-13,22.875,23.1875,21.625,21.75,2218300
2001-02-14,21.9375,25.1875,21.875,24.375,6900600
2001-02-15,25.0625,26.75,24.9375,26.125,4869800
2001-02-16,24.8125,25.5625,23.875,25.3125,4172500
2001-02-20,25.3125,25.9375,23.9375,24.3125,3630900
2001-02-21,23.3125,25.46875,22.875,23.625,4917000
2001-02-22,23.5625,25.25,22.8125,24.5,4992400
2001-02-23,24.375,24.6875,22.25,24.625,3810100
2001-02-26,24.6875,24.6875,23.5,24.0,3145700
2001-02-27,23.4375,24.25,22.75,23.0,3403600
2001-02-28,23.0,23.125,20.875,21.5,5639500
2001-03-01,19.8125,22.625,19.1875,22.5,7366100
2001-03-02,21.625,24.125,21.375,22.75,5160900
2001-03-05,23.125,24.75,23.0,24.6875,4993100
2001-03-06,25.0,27.5,25.0,26.5,7932000
2001-03-07,26.5,26.92188,25.3125,26.8125,5331800
2001-03-08,26.75,27.3125,25.8125,26.9375,4135900
2001-03-09,25.9375,26.125,24.625,24.6875,3416800
2001-03-12,23.75,25.5,23.625,24.25,4370200
2001-03-13,24.4375,26.0,24.3125,25.60938,6247300
2001-03-14,24.75,27.125,24.5,25.8125,4695300
2001-03-15,26.89063,27.125,24.125,24.4375,3046400
2001-03-16,23.875,24.25,22.5,22.9375,4289400
2001-03-19,23.0,24.3125,22.125,24.25,3026900
2001-03-20,24.125,25.375,23.75,23.75,4512400
2001-03-21,23.8125,26.125,23.8125,24.5,6384800
2001-03-22,25.3125,28.0,25.25,27.92188,8060600
2001-03-23,29.5625,30.125,28.125,29.4375,11628000
2001-03-26,29.5,30.0,27.625,27.9375,5284300
2001-03-27,27.375,29.625,27.3125,28.125,4524000
2001-03-28,27.625,28.8125,26.375,26.625,4658600
2001-03-29,26.3125,27.70313,25.125,25.75,5008700
2001-03-30,25.25,25.25,22.875,23.75,9221900
2001-04-02,23.375,24.4375,21.3125,21.6875,5019200
2001-04-03,21.5,22.1875,20.5,21.125,6672100
2001-04-04,21.125,21.4375,19.375,19.625,5415400
2001-04-05,20.875,23.625,20.75,23.375,5808000
2001-04-06,22.75,23.125,21.5,22.0625,4539100
2001-04-09,22.1,22.4,20.13,21.06,4542600
2001-04-10,21.21,23.33,20.63,23.0,4885900
2001-04-11,25.8,27.0,24.4,24.57,14821700
