,open,high,low,close,volume
2000-12-21,13.5736,15.20909,13.29233,13.58401,3297285
2000-12-22,13.79236,14.75074,13.79236,14.70907,1915704
2000-12-26,14.70907,15.00075,13.62568,14.0007,1528124
2000-12-27,14.0007,15.12576,13.79236,14.87574,1585121
2000-12-28,14.83407,15.87579,14.37572,15.79246,3397930
2000-12-29,15.77162,15.87579,14.58406,14.62573,3650517
2001-01-02,14.62573,15.41744,14.0007,14.54239,2047548
2001-01-03,14.41739,18.33425,14.41739,18.0009,5222889
2001-01-04,17.70922,19.12596,17.50088,17.95923,3062397
2001-01-05,18.0009,18.33425,16.08414,16.45916,2740963
2001-01-08,16.41749,16.45916,15.70912,16.20914,3174141
2001-01-09,16.50083,16.75084,15.75079,15.83412,4099145
2001-01-10,15.87579,16.54249,15.50078,16.33415,2219439
2001-01-11,16.33415,18.04257,16.29248,17.95923,3307035
2001-01-12,18.10507,18.16758,16.95918,17.50088,1482976
2001-01-16,17.37587,17.66755,16.50083,17.00085,3546573
2001-01-17,17.54254,19.16763,17.50088,18.58426,4350832
2001-01-18,18.91761,19.95933,18.04257,19.95933,4113994
2001-01-19,20.08434,20.12601,17.91756,18.41759,3892155
2001-01-22,18.0009,18.20924,17.25086,17.75089,3790010
2001-01-23,17.95923,17.95923,17.04252,17.37587,4137393
2001-01-24,17.37587,17.75089,16.91751,17.75089,4150592
2001-01-25,17.62588,17.75089,17.16752,17.54254,2482826
2001-01-26,17.45921,19.04262,17.37587,18.50093,5925604
2001-01-29,18.75094,19.50097,18.29258,19.45931,3264587
2001-01-30,19.54264,19.91766,19.08429,19.54264,1521524
2001-01-31,19.62598,21.41774,19.54264,20.04267,4633418
2001-02-01,20.25101,20.79271,19.20929,20.37602,1887356
2001-02-02,20.29268,20.6677,18.87594,18.91761,1457627
2001-02-05,18.58426,18.62593,17.37587,17.75089,3208790
2001-02-06,17.83422,18.62593,17.79256,18.08424,2046948
2001-02-07,17.87589,18.16758,17.45921,17.83422,2689666
2001-02-08,18.04257,19.08429,18.0009,18.33425,1801260
2001-02-09,18.41759,18.50093,17.50088,17.87589,1368082
2001-02-12,18.0009,19.12596,18.0009,18.33425,1216589
2001-02-13,18.95928,19.3343,17.66755,17.70922,1178341
2001-02-14,17.68839,19.62598,17.66755,19.25096,2178941
2001-02-15,19.41764,21.16772,19.3343,20.70937,2844758
2001-02-16,19.25096,19.50097,18.70927,19.18846,3170241
2001-02-20,19.45931,19.50097,18.0009,18.6676,2239988
2001-02-21,18.33425,18.83427,17.91756,18.08424,1629219
2001-02-22,18.04257,18.91761,16.91751,18.29258,2713664
2001-02-23,18.16758,18.54259,17.41754,18.41759,2736763
2001-02-26,18.54259,18.87594,17.62588,17.91756,3492275
2001-02-27,17.79256,17.83422,16.16747,16.54249,3129894
2001-02-28,16.08414,16.16747,14.70907,15.91746,6795260
2001-03-01,15.41744,15.54244,14.41739,15.45911,3438428
2001-03-02,15.12576,17.50088,15.12576,16.0008,4632818
2001-03-05,15.66745,17.54254,15.58411,17.45921,2508475
2001-03-06,17.70922,18.77177,17.70922,18.0009,2193790
2001-03-07,18.29258,18.58426,17.16752,18.41759,1792560
2001-03-08,18.29258,18.33425,17.58421,18.04257,1742313
2001-03-09,17.64672,17.66755,17.00085,17.37587,2277036
2001-03-12,16.95918,17.3342,16.41749,16.54249,2232788
2001-03-13,16.79251,17.16752,16.25081,16.70917,2746663
2001-03-14,16.20914,17.37587,16.12581,16.87584,1463177
2001-03-15,17.37587,17.58421,16.6675,16.79251,2160642
2001-03-16,16.08414,17.25086,16.0008,16.6675,3032548
2001-03-19,16.87584,17.75089,16.50083,17.45921,2055797
2001-03-20,17.79256,18.87594,16.50083,16.75084,5354582
2001-03-21,16.79251,18.41759,16.41749,17.37587,2399130
2001-03-22,17.62588,19.66765,17.58421,19.58431,3355032
2001-03-23,20.16768,20.33435,18.54259,19.16763,2888706
2001-03-26,19.50097,19.58431,18.41759,18.83427,1495425
2001-03-27,18.6051,19.58431,18.41759,18.70927,2494225
2001-03-28,18.33425,19.25096,17.41754,17.58421,2618869
2001-03-29,17.41754,18.62593,17.00085,17.37587,1877756
2001-03-30,17.29253,17.41754,16.29248,16.87584,3849108
2001-04-02,16.54249,17.04252,15.58411,15.91746,2908505
2001-04-03,15.58411,16.25081,15.12576,15.29243,2799160
2001-04-04,15.29243,15.70912,14.6674,14.95908,2607320
2001-04-05,15.58411,16.83418,15.50078,16.54249,3314234
2001-04-06,16.29248,16.33415,15.50078,15.83412,1649618
2001-04-09,16.13414,16.16747,14.74074,15.2541,1512524
2001-04-10,15.86079,17.60088,15.46077,17.03419,2958902
2001-04-11,18.16091,19.2543,18.03424,18.28091,2726564
2001-04-12,17.83422,19.16096,17.40087,18.91428,1560072
2001-04-16,18.61426,18.71427,17.87423,18.32092,1599820
2001-04-17,17.83422,18.77427,17.60755,17.9209,1256337
2001-04-18,18.84761,21.4144,18.84761,20.001,5376181
2001-04-19,19.93433,20.6677,19.50097,20.43435,3682166
2001-04-20,20.12767,20.7277,19.3343,20.061,3786111
2001-04-23,19.79432,19.99433,18.6676,19.63432,2662967
2001-04-24,18.72094,19.93433,18.12091,18.30091,3685916
2001-04-25,18.23425,19.06095,17.76756,18.70094,2196490
2001-04-26,18.73427,18.93428,17.85423,18.07424,2265637
2001-04-27,18.10757,18.68093,17.81422,18.42092,2558572
2001-04-30,18.78761,19.42764,18.60093,19.28763,1607170
2001-05-01,19.26763,19.46764,18.42092,19.43431,1096895
2001-05-02,19.50097,19.92766,19.00762,19.42097,1660717
2001-05-03,19.16763,19.32763,18.06757,18.39425,1704065
2001-05-04,18.20758,18.26758,17.60088,18.18758,1661017
2001-05-07,18.12091,18.42759,17.86756,18.02757,1525124
2001-05-08,18.22758,18.48759,17.78756,18.03424,1798260
