,open,high,low,close,volume
2000-12-21,54.25,55.875,54.15625,55.03125,2011400
2000-12-22,55.375,56.84375,55.375,56.84375,1766800
2000-12-26,56.96875,59.0,56.84375,58.96875,1133400
2000-12-27,59.0,59.5625,58.40625,58.90625,2235200
2000-12-28,59.21875,59.21875,57.4375,58.65625,1050800
2000-12-29,58.5,59.21875,58.04688,58.5,1054400
2001-01-02,58.375,58.40625,54.875,56.71875,2598800
2001-01-03,55.75,59.0,55.03125,58.5625,4299400
2001-01-04,58.625,59.03125,56.0625,56.125,2952600
2001-01-05,56.0625,56.46875,53.03125,53.5,2908600
2001-01-08,53.5,54.0,52.53125,53.28125,2030000
2001-01-09,52.75,53.5,51.53125,52.84375,2130800
2001-01-10,52.0,53.375,51.96875,52.25,2205800
2001-01-11,52.46875,53.25,50.09375,51.28125,2789600
2001-01-12,50.5625,51.8125,49.84375,50.125,4835000
2001-01-16,50.125,52.6875,50.125,51.28125,4028400
2001-01-17,51.5,51.875,50.78125,50.96875,3874200
2001-01-18,51.0,51.15625,50.3125,50.375,3074600
2001-01-19,50.75,50.8125,48.5,49.65625,4152400
2001-01-22,49.71875,50.375,49.4375,50.0,2952000
2001-01-23,50.0,52.40625,49.5,52.0625,4565600
2001-01-24,52.1875,54.46875,51.59375,54.0,4088600
2001-01-25,54.0625,54.375,53.3125,54.09375,2844800
2001-01-26,54.0,54.0,52.8125,53.125,1863800
2001-01-29,53.13,53.62,53.05,53.225,2046200
2001-01-30,53.225,54.495,52.675,54.455,2513600
2001-01-31,54.225,54.65,53.75,54.075,2315400
2001-02-01,53.95,54.995,53.805,54.975,1440800
2001-02-02,55.375,55.825,54.66,54.935,1246600
2001-02-05,55.05,56.005,54.99,55.83,1634200
2001-02-06,55.83,56.175,55.26,55.515,1426400
2001-02-07,55.52,57.15,55.52,56.175,2100600
2001-02-08,56.45,56.45,55.38,56.275,1539200
2001-02-09,56.275,58.8,56.0,57.565,3143600
2001-02-12,57.975,58.4,57.09,57.5,1521800
2001-02-13,57.5,57.55,56.75,57.04,1124800
2001-02-14,57.04,57.1,55.875,55.97,1258800
2001-02-15,55.97,56.1,55.075,55.665,1968400
2001-02-16,55.665,56.65,55.375,56.0,1904800
2001-02-20,56.125,56.15,54.4,54.46,1684800
2001-02-21,54.46,54.75,54.11,54.25,2828200
2001-02-22,54.15,54.3,52.0,53.05,2776000
2001-02-23,53.0,53.05,51.3,52.67,2536800
2001-02-26,53.2,53.22,52.21,53.05,1857600
2001-02-27,53.025,55.15,53.025,54.45,2943400
2001-02-28,54.15,54.6,53.45,53.5,2161600
2001-03-01,53.625,53.65,51.675,52.72,2809000
2001-03-02,52.5,52.7,51.655,52.13,2586600
2001-03-05,51.5,52.0,49.84,50.775,2766600
2001-03-06,50.35,51.15,49.905,50.47,3207400
2001-03-07,50.475,51.5,50.475,51.07,1963800
2001-03-08,51.5,51.575,50.4,50.83,1926800
2001-03-09,50.95,50.995,49.925,49.925,1935600
2001-03-12,49.95,49.95,47.13,47.13,2199200
2001-03-13,47.35,47.7,46.25,47.63,3050200
2001-03-14,46.55,46.8,45.4,45.95,2867000
2001-03-15,46.75,48.215,46.65,48.0,2802600
2001-03-16,47.75,48.15,47.515,47.675,3399800
2001-03-19,47.075,48.175,46.05,47.75,2573400
2001-03-20,47.75,48.325,46.14,46.24,2400400
2001-03-21,46.245,46.245,44.575,44.7,3301200
2001-03-22,44.4,44.45,42.63,44.05,3518400
2001-03-23,44.05,45.725,44.025,45.09,2612600
2001-03-26,45.85,46.475,45.255,45.715,1741800
2001-03-27,45.9,46.8,45.325,46.455,2633000
2001-03-28,46.25,46.255,45.4,45.725,2122200
2001-03-29,45.9,46.995,45.3,46.6,2373200
2001-03-30,46.625,47.8,46.625,47.515,1917400
2001-04-02,47.515,48.775,47.05,47.5,2391400
2001-04-03,47.0,47.0,45.02,45.49,3126800
2001-04-04,45.3,45.825,44.7,44.945,3041400
2001-04-05,45.45,46.65,45.3,46.2,2242200
2001-04-06,44.0,44.75,42.61,42.95,5825600
2001-04-09,42.75,42.875,40.15,41.0,6990800
2001-04-10,41.75,44.5,41.575,44.225,8542600
2001-04-11,45.5,45.795,44.77,45.415,4243400
