,open,high,low,close,volume
2001-02-22,56.175,56.25,54.315,55.125,4349600
2001-02-23,55.475,55.7,54.935,55.2,5620400
2001-02-26,55.5,55.95,55.035,55.675,3368000
2001-02-27,56.15,56.74,55.35,56.5,3815800
2001-02-28,56.505,57.035,56.015,56.375,4183200
2001-03-01,56.375,56.47,54.65,54.8,5021800
2001-03-02,54.775,56.49,54.26,55.665,5335400
2001-03-05,56.1,56.55,55.725,56.1,2659000
2001-03-06,56.75,56.75,55.94,56.125,3172200
2001-03-07,56.15,56.615,56.08,56.465,2920800
2001-03-08,56.95,58.75,56.63,58.595,4856800
2001-03-09,58.45,59.875,57.525,58.205,6008200
2001-03-12,58.0,58.4,55.5,55.9,5499600
2001-03-13,56.45,56.45,53.25,53.85,9926000
2001-03-14,52.5,55.0,52.255,53.755,11314000
2001-03-15,54.7,54.96,54.0,54.62,4221600
2001-03-16,55.15,55.15,52.75,53.005,6756800
2001-03-19,53.005,54.325,52.615,53.99,4714400
2001-03-20,53.99,54.75,52.615,52.62,5505000
2001-03-21,52.615,52.9,51.01,51.815,8985600
2001-03-22,50.5,51.75,49.25,50.905,13475400
2001-03-23,51.125,51.725,49.75,50.875,7820400
2001-03-26,50.75,53.25,50.75,52.015,5447400
2001-03-27,52.0,53.15,51.38,52.705,6526400
2001-03-28,51.825,52.475,51.23,52.415,4470600
2001-03-29,52.01,52.01,50.275,51.4,4987000
2001-03-30,51.525,52.625,51.025,51.95,3696200
2001-04-02,51.8,53.05,50.75,51.025,4640600
2001-04-03,50.675,51.0,49.255,49.955,6518000
2001-04-04,49.95,51.0,48.58,49.31,8049800
2001-04-05,50.5,51.925,50.49,51.615,5920400
2001-04-06,51.175,51.45,50.385,51.0,3722600
2001-04-09,51.9,52.6,51.53,52.29,3954400
2001-04-10,52.75,55.9,52.625,54.285,7774400
2001-04-11,55.5,55.6,53.125,53.405,4574400
2001-04-12,53.0,54.12,52.7,53.865,3257600
2001-04-16,53.86,55.355,53.86,55.24,4091600
2001-04-17,54.74,55.325,54.1,54.45,3664400
2001-04-18,55.3,58.625,54.45,58.0,6839600
2001-04-19,57.875,58.25,57.015,58.25,3849400
2001-04-20,57.26,57.55,56.075,56.25,4346000
2001-04-23,56.3,58.345,55.51,58.15,5980200
2001-04-24,58.1,59.84,57.76,58.055,6300200
2001-04-25,58.055,58.7,57.28,58.515,3360200
2001-04-26,58.67,59.34,57.75,58.915,2607000
2001-04-27,58.75,59.825,58.65,59.49,3171000
2001-04-30,59.485,60.96,59.175,59.505,5043400
2001-05-01,59.505,59.505,58.19,58.755,3515800
2001-05-02,59.25,59.25,57.84,58.275,4315800
2001-05-03,58.375,59.4,57.675,58.875,4016800
2001-05-04,58.375,60.0,58.05,59.995,4185400
2001-05-07,59.625,60.35,58.775,58.95,2934200
2001-05-08,58.94,59.325,57.885,58.18,3610000
2001-05-09,58.18,59.05,58.15,58.465,2607800
2001-05-10,58.675,59.48,58.65,59.02,2344000
2001-05-11,59.02,59.375,58.225,58.69,2259800
2001-05-14,58.69,59.2,58.625,59.15,1640800
2001-05-15,59.15,59.875,58.905,59.075,2843200
2001-05-16,59.05,62.775,58.775,62.75,7170600
2001-05-17,62.505,63.5,61.35,61.855,8058800
2001-05-18,61.915,62.2,61.0,61.525,3933200
2001-05-21,61.55,61.925,61.13,61.545,2800000
2001-05-22,61.65,61.705,60.26,60.5,4311600
2001-05-23,60.3,60.545,60.055,60.32,2805600
2001-05-24,60.44,60.745,59.005,59.49,5119800
2001-05-25,59.625,60.05,59.385,59.385,2095000
2001-05-29,59.5,60.365,59.0,59.875,3110800
2001-05-30,59.375,59.75,58.355,58.675,3375000
2001-05-31,58.68,59.7,58.68,59.29,3122800
2001-06-01,59.025,59.9,57.92,59.705,4273800
2001-06-04,59.525,60.525,59.265,60.0,2398000
2001-06-05,60.1,60.94,59.54,60.75,3104800
2001-06-06,60.975,61.0,60.43,60.795,3007600
2001-06-07,60.725,61.545,60.45,60.9,2293800
2001-06-08,60.75,60.75,59.925,60.055,1930800
2001-06-11,60.075,60.435,59.525,60.17,1700200
2001-06-12,60.17,61.215,59.95,61.04,4083600
2001-06-13,61.2,62.0,60.855,60.975,2817000
2001-06-14,60.97,61.2,60.065,60.38,2752800
2001-06-15,60.475,61.375,59.875,60.44,5069200
2001-06-18,60.5,61.815,60.5,61.115,3260600
2001-06-19,61.115,61.5,60.125,60.18,3400400
2001-06-20,60.18,60.18,58.505,59.3,6549400
2001-06-21,58.85,59.295,57.75,58.17,7828600
2001-06-22,58.425,58.99,58.25,58.39,2918400
2001-06-25,58.5,59.34,57.845,57.845,3780800
2001-06-26,57.5,58.33,57.325,57.5,4600200
2001-06-27,57.95,58.45,57.0,57.15,3741000
2001-06-28,57.925,58.975,57.775,57.93,2937800
2001-06-29,57.93,58.8,57.05,57.05,4077400
2001-07-02,54.625,58.7,54.625,58.63,11605600
2001-07-03,58.01,58.75,57.755,58.415,2464200
2001-07-05,58.075,58.615,57.675,58.22,2476000
2001-07-06,57.95,58.095,56.85,57.3,3345600
2001-07-09,57.0,57.495,56.375,57.425,3938200
2001-07-10,57.3,57.7,55.75,55.825,3834200
2001-07-11,55.55,56.24,55.0,55.87,3926200
2001-07-12,56.0,57.0,55.825,56.765,3116000
2001-07-13,56.5,56.75,55.7,56.115,2790400
2001-07-16,55.675,56.24,55.025,55.025,3138800
2001-07-17,55.025,56.995,55.025,56.43,4070400
2001-07-18,56.43,56.875,56.0,56.875,3767200
2001-07-19,57.37,58.0,56.565,57.325,4547400
2001-07-20,57.325,57.325,56.105,56.5,3592600
2001-07-23,57.125,57.3,55.5,55.66,2763200
2001-07-24,55.75,55.75,53.39,53.53,5238200
2001-07-25,53.655,55.25,53.645,55.18,3752200
2001-07-26,55.2,55.95,54.34,55.73,3007400
2001-07-27,55.73,56.095,55.375,55.74,2186200
2001-07-30,55.745,56.0,54.5,54.625,2091400
2001-07-31,55.075,56.34,54.92,55.94,3270200
2001-08-01,55.75,56.25,55.255,55.5,3209200
2001-08-02,55.825,56.25,55.575,55.645,2204000
2001-08-03,55.77,56.0,54.995,55.865,2241200
2001-08-06,55.55,55.775,54.6,54.685,1872200
2001-08-07,54.9,55.44,54.76,55.425,2257000
2001-08-08,55.425,55.635,53.8,54.095,2580200
2001-08-09,53.835,54.2,53.3,53.76,3115400
2001-08-10,53.875,54.99,53.66,54.925,3292200
2001-08-13,54.625,55.31,54.46,55.25,2225800
2001-08-14,55.13,55.475,54.34,54.55,2318600
2001-08-15,54.675,55.75,54.375,54.825,2851600
2001-08-16,55.0,55.0,53.75,54.51,3492400
2001-08-17,55.45,55.45,54.235,54.34,4144400
2001-08-20,54.34,54.74,53.865,54.3,2216400
2001-08-21,54.62,55.75,53.775,53.875,3683600
2001-08-22,54.25,55.175,53.525,54.905,4081000
2001-08-23,54.91,54.91,54.0,54.175,2964800
2001-08-24,54.225,55.91,53.755,55.305,2782400
2001-08-27,55.74,55.76,55.2,55.275,1800600
2001-08-28,55.025,55.1,54.2,54.65,2438800
2001-08-29,54.7,55.0,53.105,53.375,3602200
2001-08-30,53.04,53.825,51.55,52.1,3987600
2001-08-31,52.225,52.875,51.8,52.05,2352200
2001-09-04,52.05,53.795,52.025,52.275,4309400
2001-09-05,52.52,53.15,51.73,52.5,4040600
2001-09-06,52.5,52.585,51.5,51.95,3272000
2001-09-07,51.405,51.65,50.385,50.39,4707600
2001-09-10,50.39,51.95,50.205,51.1,5046200
2001-09-17,50.785,50.79,47.21,47.725,7105000
2001-09-18,47.75,48.6,46.675,47.07,6034800
2001-09-19,47.25,47.65,44.25,46.225,6716200
2001-09-20,46.225,46.4,44.75,45.16,6416200
2001-09-21,45.165,46.0,42.93,43.49,12220600
2001-09-24,43.49,46.24,43.49,45.835,6966000
2001-09-25,45.5,47.0,45.255,46.565,5168800
2001-09-26,46.75,46.97,46.33,46.69,4282800
2001-09-27,46.69,48.25,45.85,48.155,4472800
2001-09-28,49.0,49.385,48.4,49.2,4894000
2001-10-01,49.0,49.065,47.6,48.43,5230600
2001-10-02,48.43,48.85,48.15,48.605,4148000
2001-10-03,48.45,49.9,48.05,49.795,4597800
2001-10-04,49.795,50.25,49.4,49.82,4342600
2001-10-05,49.7,50.0,48.82,49.87,3257200
2001-10-08,49.7,49.875,48.85,49.225,3651000
2001-10-09,49.23,49.9,48.725,49.22,2936400
2001-10-10,49.29,51.45,49.0,50.92,4500200
2001-10-11,51.7,53.5,51.645,53.07,6248400
2001-10-12,52.725,53.25,51.92,52.245,4195200
