,open,high,low,close,volume
2000-12-22,8.406562,8.544375,8.3475,8.524688,4690476
2000-12-26,8.58375,8.800313,8.564063,8.800313,4901587
2000-12-27,8.82,8.997188,8.760938,8.957813,6836507
2000-12-28,8.9775,9.115312,8.879062,9.05625,3731111
2000-12-29,8.938125,9.154687,8.701875,8.74125,4417460
2001-01-02,8.938125,9.036563,8.780625,8.800313,6781904
2001-01-03,8.800313,8.879062,8.603438,8.603438,5916507
2001-01-04,8.544375,8.74125,8.505,8.642812,5215238
2001-01-05,8.603438,9.075938,8.603438,8.89875,4620000
2001-01-08,8.918438,9.115312,8.760938,8.800313,4694285
2001-01-09,8.938125,8.957813,8.623125,8.682188,5147301
2001-01-10,8.721563,8.74125,8.58375,8.6625,3506031
2001-01-11,8.6625,8.760938,8.603438,8.642812,5773968
2001-01-12,8.701875,8.780625,8.564063,8.721563,3881904
2001-01-16,8.6625,8.859375,8.6625,8.82,3381904
2001-01-17,8.879062,8.879062,8.623125,8.642812,2780317
2001-01-18,8.544375,8.642812,8.406562,8.445938,2472698
2001-01-19,8.367188,8.564063,8.367188,8.505,2535555
2001-01-22,8.465625,8.58375,8.465625,8.505,2803174
2001-01-23,8.524688,8.701875,8.524688,8.6625,3185714
2001-01-24,8.6625,8.760938,8.544375,8.603438,2882857
2001-01-25,8.3475,8.701875,8.308125,8.623125,9294603
2001-01-26,8.642812,8.682188,8.445938,8.564063,5253333
2001-01-29,8.62785,8.6625,8.536503,8.649903,4382857
2001-01-30,8.571153,8.58375,8.42625,8.5113,3062857
2001-01-31,8.89875,8.90505,8.53965,8.6184,3917460
2001-02-01,8.3979,8.58375,8.394747,8.505,2881587
2001-02-02,8.64675,8.69715,8.62155,8.694003,2925714
2001-02-05,8.82,8.930253,8.74125,8.81055,4269206
2001-02-06,8.8893,8.99325,8.757,8.93655,4027936
2001-02-07,8.945997,8.9964,8.842053,8.901897,2896507
2001-02-08,8.883,8.980647,8.82,8.895603,5131111
2001-02-09,8.80425,9.1287,8.80425,9.053103,3218095
2001-02-12,9.072,9.166503,9.03105,9.11925,3214603
2001-02-13,8.82,9.11925,8.82,8.9775,5430476
2001-02-14,8.9775,9.210603,8.9712,9.0468,3428888
2001-02-15,8.96175,8.99325,8.83575,8.9775,3493650
2001-02-16,8.90505,9.03735,8.80425,8.87355,4206666
2001-02-20,9.135,9.135,8.85465,8.91765,3721587
2001-02-21,8.945997,9.0027,8.74125,8.82,3246031
2001-02-22,8.883,8.9145,8.7696,8.7948,3633650
2001-02-23,8.772753,8.883,8.6373,8.772753,3800634
2001-02-26,8.772753,8.876697,8.7507,8.807403,4872380
2001-02-27,8.807403,8.8641,8.7255,8.78535,4186031
2001-02-28,8.82,8.82,8.649903,8.7003,3373333
2001-03-01,8.7318,8.80425,8.6877,8.694003,5712698
2001-03-02,8.630997,8.851503,8.630997,8.832597,6451111
2001-03-05,8.96175,8.9775,8.901897,8.96805,4575238
2001-03-06,8.93655,9.043653,8.9082,9.03105,4024761
2001-03-07,9.072,9.2925,9.0405,9.270447,5378412
2001-03-08,9.2925,9.30825,9.138147,9.305097,3828253
2001-03-09,9.2862,9.324003,9.1791,9.245253,3493333
2001-03-12,9.446853,9.446853,9.0657,9.12555,4756507
2001-03-13,9.135,9.135,8.876697,8.964903,3790158
2001-03-14,9.009003,9.024747,8.8389,8.8893,3975555
2001-03-15,8.8893,8.9775,8.67825,8.753847,3816507
2001-03-16,8.7759,8.82,8.6814,8.728653,5174285
2001-03-19,9.05625,9.05625,8.82,8.901897,6706031
2001-03-20,8.91765,9.01845,8.901897,8.945997,5410476
2001-03-21,8.82,8.883,8.505,8.6625,6433333
2001-03-22,8.379003,8.48925,8.14905,8.31915,8133650
2001-03-23,8.31915,8.404197,8.142753,8.3475,7605079
2001-03-26,8.394747,8.505,8.3538,8.4357,4706984
2001-03-27,8.505,8.55855,8.36325,8.505,6098095
2001-03-28,8.48925,8.505,8.379003,8.442,3107301
2001-03-29,8.379003,8.457753,8.2845,8.404197,3265079
2001-03-30,8.3979,8.568,8.3853,8.48925,4203492
2001-04-02,8.44515,8.536503,8.3475,8.404197,3335873
2001-04-03,8.325447,8.43255,8.26245,8.3034,3639365
2001-04-04,8.2845,8.53335,8.26875,8.413653,4263174
2001-04-05,8.473497,8.7255,8.404197,8.7066,5217460
2001-04-06,8.694003,8.788497,8.580603,8.753847,4021904
2001-04-09,8.7948,8.96805,8.7948,8.9586,2790793
2001-04-10,9.0405,9.1413,9.009003,9.072,4954603
2001-04-11,9.05625,9.05625,8.867247,8.930253,3995555
2001-04-12,8.930253,9.21375,8.930253,9.1539,8049841
2001-04-16,9.03105,9.4122,9.03105,9.3807,3554603
2001-04-17,9.27675,9.46575,9.27675,9.4248,5015555
2001-04-18,9.427947,9.550803,9.23895,9.32085,5455555
2001-04-19,9.260997,9.324003,9.10665,9.17595,4152063
2001-04-20,9.17595,9.4311,9.17595,9.3555,5502539
2001-04-23,9.6075,9.88155,9.516153,9.88155,14130158
2001-04-24,10.22175,10.22175,9.969747,10.0611,18907304
2001-04-25,10.08,10.083147,9.919353,10.032753,9581587
2001-04-26,10.017,10.1052,9.99495,9.99495,8733968
2001-04-27,10.017,10.03905,9.909903,9.954003,4841269
2001-04-30,10.032753,10.111503,9.969747,10.067403,5490158
2001-05-01,10.06425,10.06425,9.8784,9.969747,4333015
2001-05-02,9.7461,9.944553,9.45,9.52875,7330793
2001-05-03,9.497247,9.5004,9.2673,9.49095,3840000
2001-05-04,9.46575,9.67995,9.46575,9.66735,3074920
2001-05-07,9.765,9.7713,9.59805,9.7587,2792698
2001-05-08,9.74925,9.875253,9.698847,9.787053,3546984
2001-05-09,9.765,10.05165,9.765,10.05165,4536507
2001-05-10,10.08,10.111503,9.97605,10.03905,3099365
2001-05-11,10.032753,10.048497,9.9855,10.02015,4082857
2001-05-14,10.08,10.18395,10.0359,10.17765,4158730
2001-05-15,10.37925,10.37925,10.240647,10.29105,4449523
2001-05-16,10.29105,10.49265,10.2816,10.49265,6248253
2001-05-17,10.4139,10.458,10.332,10.38555,5175555
2001-05-18,10.37925,10.539903,10.3572,10.5147,5541269
2001-05-21,10.53675,10.58715,10.36665,10.5336,4299365
2001-05-22,10.62495,10.62495,10.35405,10.372947,3462222
2001-05-23,10.3509,10.3509,10.143,10.1745,3449523
2001-05-24,10.127247,10.332,10.111503,10.30995,3464444
2001-05-25,10.363497,10.363497,10.1682,10.19655,2765396
2001-05-29,10.2375,10.29105,10.19655,10.224903,3152063
2001-05-30,10.25325,10.2564,10.08,10.15875,3855555
2001-05-31,10.15875,10.205997,10.08,10.190253,4713015
2001-06-01,10.22175,10.234353,10.08945,10.127247,2991428
2001-06-04,10.205997,10.31625,10.180803,10.3068,3836825
2001-06-05,10.303653,10.458,10.2186,10.4202,2504444
2001-06-06,10.31625,10.31625,10.05165,10.0611,6666666
2001-06-07,10.111503,10.1241,9.9666,9.98235,6170158
2001-06-08,10.032753,10.102053,9.909903,10.07055,2406031
2001-06-11,10.08,10.171347,10.0422,10.06425,3574603
2001-06-12,10.07055,10.1745,10.0611,10.161897,2742857
2001-06-13,10.143,10.250097,10.017,10.032753,4084761
2001-06-14,9.9855,10.00125,9.89415,9.93195,2167619
2001-06-15,9.8595,10.057947,9.84375,9.9729,3345396
2001-06-18,10.143,10.143,9.86895,9.8721,2234603
2001-06-19,9.93825,9.9414,9.765,9.900447,1693650
2001-06-20,9.900447,9.925647,9.6075,9.6453,3738412
2001-06-21,9.6768,9.71145,9.305097,9.387,6767936
2001-06-22,9.3555,9.513,9.2295,9.50985,6566031
2001-06-25,9.5445,9.5823,9.37125,9.45,2712063
2001-06-26,9.45,9.575997,9.36495,9.513,4206984
2001-06-27,9.418497,9.552375,9.12555,9.166503,4143174
2001-06-28,8.9775,9.072,8.87985,8.87985,5720000
2001-06-29,9.009003,9.305097,8.945997,9.295647,6821269
