,open,high,low,close,volume
2000-12-21,63.8,64.4,63.3,64.0,301700
2000-12-22,64.0,65.0,64.0,64.5,281900
2000-12-26,64.75,64.9,64.3,64.81,140300
2000-12-27,65.0,66.2,64.5,66.2,93600
2000-12-28,66.0,68.0,66.0,68.0,136800
2000-12-29,66.75,68.42,66.75,68.0,266100
2001-01-02,66.4,66.95,64.35,64.84,378800
2001-01-03,64.0,65.95,63.5,65.5,431900
2001-01-04,64.0,66.91,64.0,65.1,484900
2001-01-05,64.85,64.85,62.95,63.2,479000
2001-01-08,63.45,66.0,62.25,65.6,340600
2001-01-09,65.6,65.92,63.96,64.3,141600
2001-01-10,64.05,65.3,64.05,64.95,174700
2001-01-11,64.95,66.0,63.6,66.0,273000
2001-01-12,65.95,66.05,65.15,65.85,319200
2001-01-16,65.75,67.15,65.11,65.8,344300
2001-01-17,65.8,66.0,64.41,65.09,330500
2001-01-18,65.25,65.25,64.29,65.25,221500
2001-01-19,65.24,65.24,64.2,64.6,231500
2001-01-22,64.5,65.0,64.35,64.6,230900
2001-01-23,64.35,64.6,64.0,64.6,214600
2001-01-24,64.85,66.4,64.2,64.89,245000
2001-01-25,65.05,65.28,64.73,65.23,75000
2001-01-26,65.0,67.27,64.82,67.26,183200
2001-01-29,67.26,68.0,66.95,68.0,272200
2001-01-30,67.75,68.21,67.05,68.11,134300
2001-01-31,68.11,68.6,67.88,68.3,197800
2001-02-01,68.3,68.3,67.0,67.89,175600
2001-02-02,67.88,67.98,66.9,67.02,137800
2001-02-05,68.0,68.8,67.62,68.8,213700
2001-02-06,69.5,69.53,68.0,68.3,253800
2001-02-07,68.3,69.44,68.3,69.31,212300
2001-02-08,69.31,69.4,68.65,69.21,111300
2001-02-09,69.21,69.5,68.9,69.35,80300
2001-02-12,69.6,69.75,67.95,69.5,419100
2001-02-13,69.25,69.85,69.2,69.4,271000
2001-02-14,69.2,69.75,69.07,69.33,93600
2001-02-15,69.5,69.5,68.5,69.5,152900
2001-02-16,69.25,69.98,67.95,69.15,290400
2001-02-20,68.9,68.9,67.51,68.31,182500
2001-02-21,69.0,69.0,68.06,68.07,145900
2001-02-22,68.0,68.25,66.1,67.82,204200
2001-02-23,67.4,67.4,66.35,67.33,227900
2001-02-26,67.2,68.9,67.2,68.9,207200
2001-02-27,68.65,68.96,67.7,68.35,322400
2001-02-28,68.2,68.5,66.94,68.5,225500
2001-03-01,68.25,68.25,66.5,67.49,231800
2001-03-02,67.25,68.6,67.25,68.6,326300
2001-03-05,68.25,68.31,67.6,67.98,109300
2001-03-06,68.0,68.92,68.0,68.75,170700
2001-03-07,68.9,69.77,68.25,69.76,149900
