,open,high,low,close,volume
2000-12-21,48.3125,52.25,47.375,47.9375,4310900
2000-12-22,49.59375,53.125,48.625,53.0,4059700
2000-12-26,52.75,53.25,49.25,51.0625,3433800
2000-12-27,50.125,55.25,50.125,52.5625,2845000
2000-12-28,51.9375,55.0,51.75,52.6875,2135200
2000-12-29,52.3125,53.375,47.5,47.8125,3233100
2001-01-02,47.875,50.25,45.75,46.375,4853700
2001-01-03,46.125,56.0,46.0,55.9375,7429700
2001-01-04,54.78125,56.25,52.25,53.4375,4605400
2001-01-05,52.5,52.875,49.25,50.125,4239500
2001-01-08,49.9375,52.125,47.0,52.0625,3410100
2001-01-09,53.625,54.875,50.9375,52.0625,4115500
2001-01-10,51.0625,55.3125,50.1875,54.875,4030500
2001-01-11,54.125,60.5,53.8125,58.5625,6429100
2001-01-12,59.0,62.5,57.375,59.5625,4595700
2001-01-16,58.96875,59.875,57.0,57.5625,2970300
2001-01-17,61.1875,64.5,61.0625,63.0,7208900
2001-01-18,61.75,69.625,60.9375,69.0625,5697200
2001-01-19,68.875,70.125,66.6875,68.75,6916100
2001-01-22,68.40625,70.0625,66.5,68.875,3801000
2001-01-23,67.9375,69.9375,67.1875,68.375,4768000
2001-01-24,67.9375,68.5,66.0,66.9375,3668200
2001-01-25,63.5,66.125,62.0,62.1875,4808700
2001-01-26,60.875,64.6875,60.6875,63.5,3229400
2001-01-29,59.25,60.25,55.0,60.0625,13109500
2001-01-30,59.5,59.875,55.375,58.125,7760600
2001-01-31,58.5625,61.9375,58.0625,61.0625,9441700
2001-02-01,59.9375,63.1875,59.625,62.4375,5929800
2001-02-02,61.375,62.625,59.375,59.54688,6818600
2001-02-05,59.4375,59.625,57.5,58.5625,3254200
2001-02-06,58.75,60.375,57.5625,57.9375,3082700
2001-02-07,57.71875,58.375,54.25,57.0625,4096600
2001-02-08,57.375,59.5625,57.3125,58.0625,3345700
2001-02-09,57.375,59.75,56.875,59.0625,5217200
2001-02-12,59.0625,61.25,58.25,60.125,3864600
2001-02-13,59.75,62.1875,58.0,58.0,5479100
2001-02-14,58.1875,61.1875,57.4375,61.125,5430000
2001-02-15,61.875,64.6875,61.875,63.0,4760100
2001-02-16,59.0625,61.5,58.5,60.1875,3813700
2001-02-20,60.875,61.1875,55.125,56.0625,4426800
2001-02-21,54.8125,58.125,54.375,55.0,5518400
2001-02-22,55.5,56.125,52.125,54.125,4894200
2001-02-23,54.0625,54.9375,50.375,54.75,4920100
2001-02-26,54.9375,55.0625,50.0,51.9375,7209100
2001-02-27,51.625,52.0,47.625,48.1875,7062000
2001-02-28,48.1875,48.3125,43.0,46.125,11266200
2001-03-01,45.5625,49.625,44.875,49.5,6633200
2001-03-02,49.25,54.1875,48.125,49.8125,6932100
2001-03-05,49.9375,53.9375,49.75,53.6875,4730400
2001-03-06,54.9375,58.5625,54.9375,55.9375,6289900
2001-03-07,56.375,57.25,54.0,56.75,5513200
2001-03-08,56.9375,57.5625,54.6875,56.875,4499600
2001-03-09,55.0625,55.625,51.625,52.375,5067600
2001-03-12,51.4375,53.875,49.75,49.9375,4602800
2001-03-13,48.5625,49.625,47.375,49.375,11978000
2001-03-14,48.0,49.375,45.75,48.0625,7035900
2001-03-15,49.0625,49.875,46.4375,46.5625,5007000
2001-03-16,46.5,46.875,44.0,44.75,6004100
2001-03-19,44.875,48.25,44.5,48.125,3785000
2001-03-20,48.1875,48.5,43.25,43.4375,5893500
2001-03-21,43.625,46.9375,43.25,44.9375,5079900
2001-03-22,44.6875,49.625,44.4375,49.60938,8456200
2001-03-23,49.5625,51.25,47.4375,49.9375,7827100
2001-03-26,50.14,50.25,46.6,47.7,6078900
2001-03-27,46.99,48.58,45.1,46.55,6467600
2001-03-28,46.17,47.55,43.6,44.09,6627200
2001-03-29,43.86,46.48,42.5,42.76,5711500
2001-03-30,43.0,43.11,40.79,41.59,5895500
2001-04-02,42.06,42.52,37.75,38.56,6219600
2001-04-03,38.49,39.71,36.49,36.59,7167900
2001-04-04,36.32,37.89,33.55,34.92,6730900
2001-04-05,35.5,39.6,35.0,39.18,6921300
2001-04-06,38.62,38.63,35.21,35.45,7881600
2001-04-09,36.02,37.1,33.71,35.16,6119500
2001-04-10,35.37,39.47,34.55,38.19,6967800
2001-04-11,41.55,44.85,35.82,41.31,13146000
2001-04-12,39.99,44.72,38.12,43.61,11090500
2001-04-16,42.3,42.7,40.25,41.58,8642200
2001-04-17,40.03,45.0,40.02,44.75,9965800
2001-04-18,44.0,50.0,43.92,47.8,11429600
2001-04-19,47.42,51.76,46.7,51.67,6460400
2001-04-20,50.83,51.06,49.07,50.6,6513800
2001-04-23,49.07,49.25,46.75,47.18,4001600
2001-04-24,47.29,49.9,45.5,46.01,4361900
2001-04-25,46.9,48.8,45.27,48.36,3950700
2001-04-26,48.3,48.79,44.96,45.19,4498900
2001-04-27,46.7,48.99,46.56,48.84,5881500
2001-04-30,49.25,52.5,49.2,50.85,4183300
2001-05-01,50.46,53.03,48.85,52.97,5083000
2001-05-02,52.99,54.5,52.14,53.6,5413600
2001-05-03,52.74,53.25,51.2,51.93,5008000
2001-05-04,50.56,54.24,50.18,54.02,5384100
2001-05-07,54.0,54.99,51.0,51.63,4884000
2001-05-08,52.55,52.9,50.52,52.0,5135100
2001-05-09,49.34,50.23,48.48,49.49,7906600
2001-05-10,50.66,51.9,48.62,48.66,3730700
2001-05-11,48.45,50.21,48.02,48.98,2517900
2001-05-14,48.43,48.5,46.47,47.54,2775000
2001-05-15,47.7,50.98,47.29,48.96,5304900
2001-05-16,48.2,52.61,47.85,51.59,5317500
2001-05-17,51.7,53.75,51.39,52.89,4446000
2001-05-18,52.82,54.0,51.75,53.09,2567600
2001-05-21,52.81,58.15,52.7,58.14,4685100
2001-05-22,58.1,58.36,55.92,56.78,4396900
2001-05-23,56.52,56.53,54.31,54.8,3912000
2001-05-24,54.45,55.25,52.8,55.24,4076600
2001-05-25,55.28,56.01,54.23,54.41,2894800
2001-05-29,54.09,54.19,51.91,52.25,2612100
2001-05-30,51.15,51.53,49.5,50.5,3729600
2001-05-31,50.21,52.47,50.05,51.02,4390200
2001-06-01,51.44,52.85,50.0,52.44,3286100
2001-06-04,53.09,53.18,51.01,52.09,2976400
2001-06-05,52.64,56.17,52.6,55.93,4848800
2001-06-06,55.66,56.17,53.37,54.92,3038700
2001-06-07,54.95,58.4,54.63,58.4,4461600
2001-06-08,58.25,58.39,54.2,54.77,3697700
2001-06-11,54.25,54.34,52.13,52.76,2790800
2001-06-12,51.81,54.87,49.9,54.0,3817600
2001-06-13,53.83,55.24,50.98,51.03,3639800
2001-06-14,50.33,51.93,48.4,48.57,3380000
2001-06-15,48.52,48.55,46.44,47.14,8143600
2001-06-18,47.85,49.2,45.8,46.07,4089500
2001-06-19,48.11,48.78,44.54,45.98,5204400
2001-06-20,45.04,47.08,43.34,45.05,6583900
2001-06-21,44.56,45.4,43.45,43.53,5729300
2001-06-22,43.41,44.0,41.99,42.6,5569200
2001-06-25,43.72,43.85,41.15,42.66,4535400
2001-06-26,41.2,44.03,41.2,42.61,4793600
2001-06-27,42.38,45.05,42.0,44.48,6368900
2001-06-28,44.69,48.16,44.61,46.53,5113400
2001-06-29,46.04,48.26,43.76,44.21,3976100
2001-07-02,44.84,47.06,44.4,45.98,4089600
2001-07-03,45.98,45.98,44.6,45.01,2501200
2001-07-05,44.84,44.89,43.01,43.25,3227000
2001-07-06,42.35,42.65,39.89,39.97,4716200
2001-07-09,40.44,41.51,39.78,41.34,3933400
2001-07-10,41.44,41.89,39.25,39.55,4502700
2001-07-11,39.55,41.38,39.15,40.96,4197500
2001-07-12,42.46,45.7,42.4,45.51,5482400
2001-07-13,45.32,45.44,43.05,43.96,4562200
2001-07-16,43.95,44.65,41.21,42.39,3549700
2001-07-17,41.95,44.64,40.64,44.63,4532500
2001-07-18,43.4,45.3,42.66,42.94,3643600
2001-07-19,44.44,46.82,44.4,46.05,4720300
2001-07-20,44.85,46.0,44.5,45.1,2620300
2001-07-23,45.5,45.95,42.91,43.02,3315100
2001-07-24,42.51,43.6,41.05,42.04,4803500
