,open,high,low,close,volume
2000-12-21,8.7421875,8.8671875,8.625,8.859375,8472000
2000-12-22,8.859375,8.859375,8.71875,8.8515625,3532000
2000-12-26,8.8046875,9.125,8.78125,9.0625,3626400
2000-12-27,9.03125,9.0546875,8.9296875,8.9921875,3991200
2000-12-28,8.9609375,8.96875,8.8046875,8.84375,2663200
2000-12-29,8.875,9.0,8.8125,8.96875,3234400
2001-01-02,8.859375,8.875,8.5625,8.78125,6212000
2001-01-03,8.8046875,8.953125,8.375,8.390625,7304000
2001-01-04,8.40625,8.421875,7.71875,7.890625,13245600
2001-01-05,7.921875,8.0703125,7.8515625,7.921875,7532800
2001-01-08,7.984375,8.046875,7.859375,7.9609375,5707200
2001-01-09,7.9609375,7.9921875,7.859375,7.8984375,4166400
2001-01-10,7.8828125,7.9765625,7.78125,7.796875,10288000
2001-01-11,7.859375,7.8671875,7.125,7.1796875,9068800
2001-01-12,7.234375,7.390625,7.0234375,7.296875,15563200
2001-01-16,7.140625,7.3046875,6.8515625,7.25,12756000
2001-01-17,7.265625,7.453125,7.2109375,7.453125,7714400
2001-01-18,7.421875,7.578125,7.375,7.4921875,5373600
2001-01-19,7.4921875,7.546875,7.28125,7.3671875,7992000
2001-01-22,7.4921875,7.6953125,7.453125,7.6015625,6524000
2001-01-23,7.6015625,7.890625,7.4921875,7.515625,10184000
2001-01-24,7.59375,7.625,7.5234375,7.546875,7172000
2001-01-25,7.578125,7.671875,7.515625,7.5859375,5728800
2001-01-26,7.5859375,7.6328125,7.328125,7.5,7090400
2001-01-29,7.50125,7.685,7.4875,7.4875,7195200
2001-01-30,7.51875,7.5375,7.39375,7.46875,6883200
2001-01-31,7.3875,7.3875,7.2125,7.25,12556800
2001-02-01,7.26875,7.28125,7.025,7.17375,12525600
2001-02-02,7.26875,7.3425,7.26125,7.29,5374400
2001-02-05,7.32125,7.45,7.28625,7.3125,5484800
2001-02-06,7.31375,7.4875,7.31375,7.435,5865600
2001-02-07,7.4375,7.6,7.4375,7.4925,7822400
2001-02-08,7.4925,7.645,7.4925,7.625,5095200
2001-02-09,7.6,7.80625,7.55,7.775,4294400
2001-02-12,7.80625,7.925,7.60625,7.715,7359200
2001-02-13,7.715,7.8125,7.61375,7.725,2992000
2001-02-14,7.75625,7.80625,7.6475,7.725,8260000
2001-02-15,7.725,7.75,7.65125,7.725,5865600
2001-02-16,7.775,7.9125,7.775,7.8875,5541600
2001-02-20,7.86875,8.1125,7.86875,8.06875,8892000
2001-02-21,8.02625,8.225,8.02625,8.1125,10873600
2001-02-22,8.11375,8.15,7.94875,8.0675,8272000
2001-02-23,8.1375,8.15625,7.8475,8.01625,8984000
2001-02-26,8.0475,8.11875,8.0025,8.02625,6752800
2001-02-27,8.0575,8.2625,8.0525,8.2625,12172800
2001-02-28,8.2375,8.23875,8.05625,8.13125,7564800
2001-03-01,8.15625,8.21625,8.1,8.16875,6105600
2001-03-02,8.16875,8.21875,8.05625,8.17,5832800
2001-03-05,8.2,8.24875,8.08875,8.15375,3128800
2001-03-06,8.1375,8.15625,8.0875,8.11875,2708000
2001-03-07,8.1,8.1875,8.04375,8.125,6393600
2001-03-08,8.13125,8.19875,8.0375,8.17375,7828000
2001-03-09,8.18125,8.2225,8.08125,8.19625,5672800
2001-03-12,8.225,8.26875,8.1025,8.125,6135200
2001-03-13,8.2125,8.23125,8.0625,8.0625,8314400
2001-03-14,8.025,8.025,7.93625,7.99625,7020800
2001-03-15,8.025,8.10375,7.9975,8.08125,5829600
2001-03-16,7.9875,8.10875,7.97,8.03125,6590400
2001-03-19,7.5625,7.84375,7.5625,7.72625,19055200
2001-03-20,7.5,7.53625,7.4,7.47125,24016800
2001-03-21,7.45,7.7,7.3775,7.405,9149600
2001-03-22,7.4,7.425,7.03,7.14375,7578400
2001-03-23,7.14375,7.19375,6.98125,7.16625,6686400
2001-03-26,7.25,7.4575,7.25,7.4325,6368000
2001-03-27,7.46,7.685,7.46,7.67,12151200
2001-03-28,7.63875,7.6925,7.48875,7.53625,6145600
2001-03-29,7.525,7.65,7.4,7.65,6317600
2001-03-30,7.7125,7.76,7.6175,7.6625,4706400
2001-04-02,7.65625,7.80375,7.53125,7.65125,7185600
2001-04-03,7.65625,7.75,7.49375,7.6825,9112000
2001-04-04,7.625,7.65,7.51375,7.6,8142400
2001-04-05,7.5375,7.5375,7.325,7.4875,8472000
2001-04-06,7.5,7.58125,7.17875,7.35,8940000
2001-04-09,7.30625,7.6125,7.30625,7.5,9444000
2001-04-10,7.625,7.78,7.61875,7.7,7186400
2001-04-11,7.6875,7.6875,7.4125,7.56125,9365600
2001-04-12,7.5925,7.625,7.47875,7.51875,2788000
2001-04-16,7.51875,7.6425,7.51875,7.6125,3058400
2001-04-17,7.64375,7.8625,7.61875,7.8625,5532800
2001-04-18,7.89375,7.89375,7.5875,7.675,8575200
2001-04-19,7.6875,7.71875,7.53125,7.58375,4243200
2001-04-20,7.46875,7.64375,7.46875,7.55625,6104800
2001-04-23,7.55625,7.60625,7.3875,7.48375,7848800
2001-04-24,7.5125,7.56125,7.4375,7.5125,5405600
2001-04-25,7.525,7.545,7.4625,7.4675,5917600
2001-04-26,7.4875,7.525,7.45625,7.49375,7264000
2001-04-27,7.49375,7.49375,7.4125,7.4375,6334400
2001-04-30,7.4375,7.49875,7.4125,7.4875,4799200
2001-05-01,7.49375,7.51875,7.38125,7.38125,4280000
2001-05-02,7.4625,7.4625,7.3375,7.37,6736800
2001-05-03,7.38125,7.40625,7.15,7.20875,6074400
2001-05-04,7.15625,7.15625,6.81875,6.93125,23115200
2001-05-07,6.9375,7.03125,6.875,7.0125,12088800
2001-05-08,7.04375,7.1375,6.99375,7.1175,12056000
2001-05-09,7.0925,7.2375,7.08125,7.2125,5427200
2001-05-10,7.2125,7.23125,7.06875,7.18,4574400
2001-05-11,7.16875,7.22625,7.13125,7.19625,3775200
2001-05-14,7.21875,7.275,7.19625,7.25,3331200
2001-05-15,7.25,7.25,7.1125,7.14,19509600
2001-05-16,7.0375,7.13125,6.9,7.13125,13563200
2001-05-17,7.13125,7.18125,7.1125,7.1625,14004000
2001-05-18,7.175,7.20625,7.125,7.13125,11178400
2001-05-21,7.15625,7.1725,7.095,7.1,6456000
2001-05-22,7.13125,7.2525,7.1,7.24375,11030400
2001-05-23,7.1875,7.25,7.1625,7.21875,4480800
2001-05-24,7.2,7.27375,7.14375,7.23375,8835200
2001-05-25,7.25625,7.26,7.18,7.225,11471200
2001-05-29,7.2125,7.2125,7.1275,7.1625,5624000
2001-05-30,7.2,7.285,7.1325,7.18,4275200
2001-05-31,7.1775,7.29125,7.1775,7.28125,4294400
2001-06-01,7.35,7.35,7.1825,7.255,3756000
2001-06-04,7.3,7.33125,7.22,7.33125,4829600
2001-06-05,7.325,7.40375,7.29125,7.37,10525600
2001-06-06,7.38125,7.4375,7.33125,7.395,10888800
2001-06-07,7.38125,7.44375,7.3775,7.405,8867200
2001-06-08,7.405,7.455,7.405,7.44875,3647200
2001-06-11,7.44875,7.58125,7.44875,7.575,6916000
2001-06-12,7.5625,7.675,7.5425,7.61625,6693600
2001-06-13,7.5875,7.59375,7.3575,7.38125,5998400
2001-06-14,7.35625,7.35625,7.25875,7.27125,5038400
2001-06-15,7.21875,7.5,7.21875,7.46125,7374400
2001-06-18,7.475,7.56875,7.4575,7.475,5852800
2001-06-19,7.475,7.57625,7.42875,7.57625,2964000
2001-06-20,7.575,7.675,7.41875,7.5625,4490400
2001-06-21,7.55625,7.56875,7.385,7.525,11620800
2001-06-22,7.51875,7.65125,7.49375,7.5875,5453600
2001-06-25,7.575,7.6375,7.52625,7.55625,5251200
2001-06-26,7.55625,7.575,7.47625,7.54875,4508800
2001-06-27,7.54875,7.625,7.49375,7.5925,4787200
2001-06-28,7.6,7.625,7.475,7.49375,4650400
2001-06-29,7.4975,7.53,7.43,7.52625,3658400
2001-07-02,7.50625,7.525,7.45,7.49875,5221600
2001-07-03,7.5,7.51875,7.4475,7.515,4038400
2001-07-05,7.54,7.5625,7.5,7.53375,4547200
2001-07-06,7.53375,7.53625,7.485,7.4925,7452800
2001-07-09,7.49375,7.5125,7.41,7.45875,7028800
2001-07-10,7.46875,7.5,7.425,7.48125,8161600
2001-07-11,7.48125,7.49,7.36875,7.39375,5035200
2001-07-12,7.3625,7.375,7.2875,7.3275,3660000
2001-07-13,7.3375,7.3625,7.25625,7.29125,3515200
2001-07-16,7.2875,7.39375,7.27125,7.29875,2704800
2001-07-17,7.3,7.32125,7.1775,7.18875,3880000
2001-07-18,7.1775,7.27625,7.1625,7.2175,3182400
2001-07-19,7.2425,7.33,7.225,7.32875,8317600
2001-07-20,7.36875,7.375,7.03625,7.12625,10944000
2001-07-23,7.00375,7.005,6.75,6.85625,12451200
2001-07-24,6.85625,6.85625,6.58625,6.6275,10577600
2001-07-25,6.65875,6.8875,6.6125,6.8875,14348800
2001-07-26,6.8875,6.93,6.71875,6.84375,10791200
2001-07-27,6.875,6.88,6.71125,6.79375,7200800
2001-07-30,6.81875,6.9,6.65,6.8925,7154400
2001-07-31,6.9,7.03125,6.75,6.75,7909600
2001-08-01,6.75125,6.81,6.675,6.75,8974400
2001-08-02,6.76875,6.85,6.68875,6.79375,4785600
2001-08-03,6.8125,6.89125,6.695,6.8725,5170400
2001-08-06,6.8725,6.8875,6.68875,6.73125,7691200
2001-08-07,6.71875,6.8375,6.70125,6.8075,3309600
2001-08-08,6.8075,6.8375,6.725,6.73125,4686400
2001-08-09,6.73125,6.75625,6.665,6.6875,5585600
2001-08-10,6.68875,6.7375,6.60625,6.675,5957600
2001-08-13,6.67625,6.72125,6.6625,6.675,2577600
2001-08-14,6.675,6.705,6.65,6.6875,2212000
2001-08-15,6.71875,6.74625,6.67875,6.69,5592000
2001-08-16,6.68125,6.7875,6.675,6.7675,2786400
2001-08-17,6.7425,6.7875,6.71625,6.7375,1926400
2001-08-20,6.73875,6.85625,6.73125,6.85625,3272800
2001-08-21,6.86625,6.89125,6.78625,6.81,3415200
2001-08-22,6.8125,6.89375,6.76625,6.86875,5812000
2001-08-23,6.86875,6.90625,6.84375,6.8775,7665600
2001-08-24,6.87875,6.93125,6.85625,6.91875,3752000
2001-08-27,6.9275,6.95875,6.8875,6.93625,4640800
2001-08-28,6.9425,6.99625,6.9375,6.965,21462400
2001-08-29,6.925,6.96375,6.8625,6.89375,6904000
2001-08-30,6.89375,6.8975,6.81875,6.85625,5319200
2001-08-31,6.84375,6.89375,6.79375,6.79375,4521600
2001-09-04,6.80625,6.86625,6.80375,6.83625,5612800
2001-09-05,6.84375,6.88125,6.77875,6.83125,5152000
2001-09-06,6.8625,6.96,6.85875,6.925,6524800
2001-09-07,6.91875,7.0725,6.9125,7.015,7538400
2001-09-10,7.01875,7.025,6.8925,6.95,7689600
2001-09-17,6.9625,6.98125,6.79375,6.91875,8987200
2001-09-18,6.91875,7.00375,6.86375,6.9375,5956800
2001-09-19,6.95625,7.01875,6.7075,6.85,7572000
2001-09-20,6.86875,6.9175,6.8125,6.88125,9816800
2001-09-21,6.8625,6.93625,6.69,6.705,11778400
