,open,high,low,close,volume
2000-12-22,-8.375,-7.60937,-8.375,-7.90625,16294400
2000-12-26,-7.90625,-7.69531,-8.04687,-7.98437,6576800
2000-12-27,-8.35937,-8.11719,-8.57812,-8.13281,29808000
2000-12-28,-8.01562,-7.52344,-8.01562,-7.59375,13752000
2000-12-29,-7.57812,-7.5625,-7.85156,-7.82812,14977600
2001-01-02,-7.73437,-7.71094,-8.09961,-7.80469,10648000
2001-01-03,-7.85937,-7.0,-7.9375,-7.08594,15505600
2001-01-04,-7.20312,-6.92969,-7.41406,-7.39844,9962400
2001-01-05,-7.32422,-7.25781,-7.57031,-7.55469,6689600
2001-01-08,-7.60937,-7.42187,-7.76562,-7.47656,5708800
2001-01-09,-7.46875,-7.14844,-7.46875,-7.26562,4650400
2001-01-10,-7.39844,-7.0,-7.46875,-7.0625,7817600
2001-01-11,-7.0625,-6.77344,-7.14844,-6.83594,7479200
2001-01-12,-6.89062,-6.60156,-7.0625,-6.67969,9753600
2001-01-16,-6.72656,-6.65625,-6.9375,-6.69531,6483200
2001-01-17,-6.50781,-6.39062,-6.6543,-6.5,10568000
2001-01-18,-5.82031,-5.6875,-5.9375,-5.75,38350400
2001-01-19,-5.72656,-5.58594,-5.82812,-5.82812,14916800
2001-01-22,-5.90625,-5.70312,-5.96875,-5.82812,14746400
2001-01-23,-5.78125,-5.73437,-5.875,-5.82812,8585600
2001-01-24,-5.77344,-5.29687,-5.78906,-5.41406,19114400
2001-01-25,-5.48437,-5.42969,-5.69531,-5.67187,13040000
2001-01-26,-5.6875,-5.67187,-5.8125,-5.78906,17852000
2001-01-29,-5.83594,-5.4707,-5.84375,-5.75,9718400
2001-01-30,-5.77344,-5.48437,-5.78125,-5.53906,6981600
2001-01-31,-5.53906,-5.25,-5.59375,-5.57812,9209600
2001-02-01,-5.58594,-5.4375,-5.74219,-5.44531,4648000
2001-02-02,-5.54687,-5.5,-6.11719,-5.97656,14496000
2001-02-05,-5.99219,-5.9707,-6.60937,-6.35937,32964800
2001-02-06,-6.375,-5.82812,-6.39062,-6.0,9528000
2001-02-07,-6.07812,-5.92187,-6.25,-6.07031,13948800
2001-02-08,-6.10156,-5.625,-6.10156,-5.89062,10638400
2001-02-09,-5.875,-5.64844,-5.9375,-5.85156,9837600
2001-02-12,-5.90625,-5.70312,-5.92187,-5.77344,11797600
2001-02-13,-5.67969,-5.55469,-5.78906,-5.78125,5954400
2001-02-14,-5.77344,-5.67969,-5.82812,-5.71094,11474400
2001-02-15,-5.73437,-5.26562,-5.74219,-5.59375,15435200
2001-02-16,-5.74219,-5.625,-5.84375,-5.66406,9208800
2001-02-20,-5.71875,-5.59375,-5.8125,-5.75781,7919200
2001-02-21,-5.80469,-5.74219,-5.92187,-5.875,13132800
2001-02-22,-5.91406,-5.875,-6.21094,-5.89844,15250400
2001-02-23,-6.03125,-5.78125,-6.0625,-5.79687,17703200
2001-02-26,-5.85547,-5.65625,-5.85937,-5.71875,11486400
2001-02-27,-5.79687,-5.6875,-5.83594,-5.78125,12001600
