,open,high,low,close,volume
2001-02-22,74.0,74.625,69.25,71.375,1286700
2001-02-23,71.125,71.9375,69.1875,71.75,1090700
2001-02-26,72.125,72.5,69.625,72.3125,1107200
2001-02-27,72.3125,73.75,71.5,72.625,1090900
2001-02-28,72.8125,73.625,70.1875,71.125,1097000
2001-03-01,70.8125,71.1875,69.875,70.6875,1212400
2001-03-02,70.3125,72.8125,69.8125,71.5,1050600
2001-03-05,71.375,71.75,68.5,69.0,1211200
2001-03-06,69.5,70.0625,68.5625,69.0,1039600
2001-03-07,69.5,69.5625,67.9375,68.5625,999400
2001-03-08,68.75,69.125,67.125,68.0,1036500
2001-03-09,67.25,67.625,66.4375,66.6875,833800
2001-03-12,66.0,66.0,62.5,62.6875,1348100
2001-03-13,62.875,63.8125,61.625,63.3125,1739300
2001-03-14,60.25,62.25,59.4375,60.1875,2367400
2001-03-15,61.0625,62.625,60.4375,61.875,1415800
2001-03-16,60.875,62.25,58.8125,59.4375,1448000
2001-03-19,59.75,60.1875,56.75,57.25,1736900
2001-03-20,58.125,58.3125,56.5,56.8125,1930900
2001-03-21,56.5625,57.125,53.8125,54.4375,2523300
2001-03-22,54.375,55.75,51.9375,54.625,2391700
2001-03-23,55.5625,60.375,55.5,59.375,3616200
2001-03-26,60.4375,61.625,60.0,60.8125,1185100
2001-03-27,61.0,64.0625,59.625,64.0,2017100
2001-03-28,63.5625,63.75,61.25,62.625,1249300
2001-03-29,62.25,62.75,60.8125,61.25,1011300
2001-03-30,61.6875,62.75,61.1875,62.5,916900
2001-04-02,62.0,64.4375,60.6875,61.625,1140200
2001-04-03,61.4375,61.5,59.0625,59.5625,1180300
2001-04-04,59.625,59.8125,57.125,58.0625,1523800
2001-04-05,60.1875,62.0,59.125,61.9375,1171000
2001-04-06,61.0625,61.5,57.5625,58.625,1383400
2001-04-09,58.94,59.97,58.25,59.02,530600
2001-04-10,59.23,61.28,59.22,60.98,1427800
2001-04-11,61.32,63.76,61.31,62.34,1607600
2001-04-12,62.16,64.17,61.84,62.93,801000
