,open,high,low,close,volume
2000-12-21,9.17188,9.60938,9.17188,9.4375,1092400
2000-12-22,9.39063,9.5625,9.20313,9.5625,2671600
2000-12-26,9.60938,9.625,9.21875,9.5,1080400
2000-12-27,9.42188,9.625,9.20313,9.625,1122800
2000-12-28,9.5,10.04688,9.32813,10.04688,1876400
2000-12-29,10.10938,10.28125,9.875,9.92188,2208800
2001-01-02,9.95313,9.95313,9.54688,9.60938,1005600
2001-01-03,9.67188,10.0,9.375,9.84375,1360000
2001-01-04,9.90625,10.10938,9.82813,9.95313,1078000
2001-01-05,9.96875,9.98438,9.73438,9.9375,1089600
2001-01-08,9.875,10.20313,9.875,10.125,1303600
2001-01-09,10.09375,10.1875,9.9375,10.01563,2059600
2001-01-10,9.875,9.96875,9.73438,9.95313,1736000
2001-01-11,9.95313,9.95313,9.5,9.73438,1306400
2001-01-12,9.9375,9.9375,9.75,9.875,846000
2001-01-16,9.78125,10.20313,9.76563,10.20313,1434400
2001-01-17,10.23438,10.35938,10.04688,10.17188,1729600
2001-01-18,10.1875,10.40625,10.17188,10.375,2154400
2001-01-19,10.34375,10.35938,10.01563,10.03125,1460000
2001-01-22,9.98438,9.98438,9.48438,9.78125,3677200
2001-01-23,9.78125,9.98438,9.70313,9.75,1950400
2001-01-24,9.75,9.89063,9.65625,9.6875,1162000
2001-01-25,9.65625,9.8125,9.59375,9.76563,2148400
2001-01-26,9.71875,9.875,9.64063,9.78125,817200
2001-01-29,9.8375,9.925,9.7475,9.8475,882000
2001-01-30,9.785,10.0875,9.75,10.0825,1038000
2001-01-31,10.185,10.6,10.1625,10.35,2151200
2001-02-01,10.475,10.9025,10.17,10.7325,5483600
2001-02-02,10.9,11.0,10.725,10.81,3050000
2001-02-05,10.6875,10.745,10.55,10.725,1610400
2001-02-06,10.75,10.8725,10.675,10.8175,1400800
2001-02-07,10.875,10.875,10.7025,10.7225,528400
2001-02-08,10.7375,10.75,10.6525,10.7475,598000
2001-02-09,10.7475,10.7925,10.6875,10.7225,1240400
2001-02-12,10.83,10.8725,10.6225,10.85,843600
2001-02-13,10.8825,11.05,10.8375,11.005,1787600
2001-02-14,11.0025,11.0525,10.725,10.7725,1142000
2001-02-15,10.775,11.24,10.7625,11.2125,2069600
2001-02-16,11.15,11.2,10.6875,10.84,1419600
2001-02-20,10.8,10.99,10.675,10.8075,1034400
2001-02-21,10.9875,10.9925,10.58,10.6375,878800
2001-02-22,10.6125,10.8375,10.525,10.8025,1565200
2001-02-23,10.8025,10.9375,10.56,10.565,1356400
2001-02-26,10.675,11.125,10.6125,11.11,1655600
2001-02-27,11.06,11.225,11.0125,11.0625,2140000
2001-02-28,11.0,11.1875,10.97,11.05,1286800
2001-03-01,11.025,11.2375,10.9625,11.0875,1207200
2001-03-02,11.0875,11.4875,11.075,11.3975,1352000
2001-03-05,11.3975,11.76,11.3875,11.63,1427200
2001-03-06,11.6875,11.7675,11.5125,11.685,860400
2001-03-07,11.7875,11.8,11.5125,11.6875,1426000
2001-03-08,11.7125,11.8125,11.5,11.775,1033200
2001-03-09,11.725,11.8875,11.6475,11.7275,1357600
2001-03-12,11.73,11.73,11.325,11.3375,1502000
2001-03-13,11.25,11.2875,10.7925,11.23,2645200
2001-03-14,11.1125,11.1125,10.8875,10.955,804800
2001-03-15,11.0,11.125,10.75,10.82,1484000
2001-03-16,10.82,10.9375,10.3525,10.445,2045200
2001-03-19,10.455,10.8725,10.455,10.7875,1186400
2001-03-20,10.7875,11.2,10.6375,10.865,1323600
2001-03-21,10.875,10.875,10.575,10.6425,1612000
2001-03-22,10.675,10.725,10.125,10.3175,1956000
2001-03-23,10.125,10.25,9.9,10.115,1862400
2001-03-26,10.0625,10.335,10.025,10.335,1065600
2001-03-27,10.335,10.3775,10.05,10.3575,1355200
2001-03-28,10.315,10.45,10.07,10.41,1032000
2001-03-29,10.41,10.47,10.15,10.2125,934800
2001-03-30,10.2125,10.2125,9.9575,10.0175,1975600
2001-04-02,10.125,10.3625,9.9725,10.0,2014000
2001-04-03,10.0,10.025,9.62,9.6825,1211600
2001-04-04,9.7725,10.1025,9.7725,9.9525,1500000
2001-04-05,10.0,10.1575,9.9675,10.1,1834800
2001-04-06,10.15,10.15,9.955,10.09,2112400
2001-04-09,10.325,10.825,10.325,10.64,3061600
