,open,high,low,close,volume
2001-02-22,137.25,138.0,133.0,135.0,60500
2001-02-23,134.0,135.75,130.0,135.75,86100
2001-02-26,136.0,147.17,136.0,144.75,120400
2001-02-27,144.75,149.24001,143.2,145.75,84700
2001-02-28,145.5,148.5,144.0,147.25,58700
2001-03-01,145.5,147.5,143.25,147.0,73300
2001-03-02,147.25,154.67,145.25,152.92999,108700
2001-03-05,157.0,157.0,153.5,155.5,119100
2001-03-06,157.0,163.42,157.0,163.42,127700
2001-03-07,163.42,166.5,160.25,162.45,56400
2001-03-08,163.0,163.24001,157.5,158.03,74800
2001-03-09,157.10001,159.0,156.0,158.03,33400
2001-03-12,158.03,158.03,150.00999,151.5,74600
2001-03-13,151.5,154.0,150.5,154.0,52400
2001-03-14,153.5,153.50999,149.0,150.25,92400
2001-03-15,150.0,155.0,149.0,154.05,70600
2001-03-16,154.5,158.0,150.7,150.7,116500
2001-03-19,150.2,155.0,150.0,154.0,105100
2001-03-20,154.0,163.0,153.5,154.0,56200
2001-03-21,156.0,161.95,154.5,156.0,76700
2001-03-22,155.5,158.0,151.3,156.0,96700
2001-03-23,156.5,160.96001,155.5,159.95,53800
2001-03-26,162.5,166.0,160.5,166.0,57000
2001-03-27,166.0,168.25,165.0,166.2,91000
2001-03-28,166.0,166.5,161.5,165.60001,57100
2001-03-29,165.25,173.14,165.0,170.0,91900
2001-03-30,171.0,178.5,163.0,163.0,126900
2001-04-02,163.5,166.0,160.0,160.5,149500
2001-04-03,162.0,167.24001,161.10001,163.0,79700
2001-04-04,164.75,168.0,164.0,165.5,105100
2001-04-05,166.5,171.39,166.47,167.2,55700
2001-04-06,166.5,167.49001,163.89,166.0,128200
2001-04-09,164.75,170.24001,164.75,165.8,77900
2001-04-10,165.81,169.97,165.81,167.75,60400
2001-04-11,169.0,169.0,165.12,166.75,68000
2001-04-12,166.75,170.0,166.16,168.49001,42800
2001-04-16,167.0,167.5,165.05,165.7,88000
2001-04-17,165.0,167.0,163.5,165.0,87100
2001-04-18,163.5,171.60001,162.5,168.75,92200
2001-04-19,170.0,176.0,168.0,175.60001,55200
2001-04-20,177.5,178.0,167.60001,170.60001,92000
2001-04-23,169.5,178.0,169.25,174.5,64400
2001-04-24,177.0,184.0,177.0,183.0,105700
