,open,high,low,close,volume
2000-12-22,48.25,50.75,48.0,50.5625,3185000
2000-12-26,49.8125,51.8125,49.75,50.5625,1585600
2000-12-27,51.5,52.8125,50.875,51.0625,2278000
2000-12-28,50.3125,51.6875,49.375,50.875,1536000
2000-12-29,50.9375,51.75,48.5625,48.625,2053500
2001-01-02,49.6875,50.4375,44.9375,45.6875,2479000
2001-01-03,46.0,51.0,45.9375,48.625,3962500
2001-01-04,48.375,48.5,45.0625,45.3125,4773400
2001-01-05,45.5625,48.5,43.875,44.6875,3120600
2001-01-08,44.9375,47.75,44.8125,46.4375,2379100
2001-01-09,47.0,50.25,46.625,48.5625,2602500
2001-01-10,47.21875,48.0,45.0,47.375,2972700
2001-01-11,48.0,49.0,47.25,47.9375,1397700
2001-01-12,48.1875,48.9375,46.625,48.5,2022200
2001-01-16,48.375,48.875,46.75,47.375,1614600
2001-01-17,48.5,49.5,47.5,47.75,1762100
2001-01-18,47.98438,49.25,47.5,48.625,2002000
2001-01-19,48.5,48.5,46.0625,46.5,2241100
2001-01-22,46.1875,46.5,44.9375,45.75,2539300
2001-01-23,46.0,46.875,45.0625,46.5,1923100
2001-01-24,46.75,46.875,44.9375,45.5625,2874100
2001-01-25,45.6875,46.0625,44.1875,44.5,2897100
2001-01-26,44.75,46.5,44.25,45.6875,1788300
2001-01-29,45.75,46.375,45.25,45.875,1426400
2001-01-30,46.10938,46.125,44.375,45.25,1487000
2001-01-31,45.375,45.625,44.125,45.125,1823700
2001-02-01,45.125,45.125,41.3125,41.4375,5388600
2001-02-02,42.125,42.25,39.375,39.625,5999300
2001-02-05,40.0625,40.6875,39.375,39.875,4216600
2001-02-06,40.0,42.75,39.5625,40.75,2857600
2001-02-07,40.875,42.5,40.75,42.125,2338200
2001-02-08,42.75,43.25,40.8125,41.625,1575700
2001-02-09,41.23438,43.0625,41.0,42.25,2350100
2001-02-12,42.60938,43.5,41.375,43.0625,1585500
2001-02-13,43.625,43.8125,41.125,41.25,1430100
2001-02-14,41.60938,43.375,40.5,43.3125,2096100
2001-02-15,43.375,43.5,42.0,42.75,1908000
2001-02-16,41.0625,42.25,40.4375,41.625,2091300
2001-02-20,41.5625,42.75,41.0625,41.6875,2739100
2001-02-21,41.5,44.25,41.5,42.1875,2378000
2001-02-22,42.3125,44.4375,42.25,44.0625,3446600
2001-02-23,43.76563,45.0,42.0,43.625,3277200
2001-02-26,43.8125,44.125,41.0625,42.875,2269500
2001-02-27,42.9375,42.9375,40.71875,41.25,2360900
2001-02-28,41.4375,42.75,39.8125,39.9375,4209600
2001-03-01,40.25,40.25,37.0,39.4375,5543600
2001-03-02,38.6875,40.6875,38.5,39.0,3068900
2001-03-05,38.8125,40.8125,38.3125,39.8125,1468700
2001-03-06,40.5625,41.8125,40.0625,40.8125,2031300
