,open,high,low,close,volume
2000-12-21,15.5,15.9375,15.375,15.625,594600
2000-12-22,15.75,15.75,15.4375,15.75,308100
2000-12-26,15.75,15.875,15.4375,15.8125,122000
2000-12-27,15.8125,16.6875,15.5625,16.6875,183300
2000-12-28,16.8125,16.8125,16.375,16.5,277900
2000-12-29,16.4375,16.75,15.125,16.125,1236000
2001-01-02,16.0625,16.125,15.375,15.625,128400
2001-01-03,15.625,16.0625,15.5,15.75,85300
2001-01-04,15.75,16.3125,15.375,16.3125,302000
2001-01-05,16.375,16.5,15.25,15.6875,222000
2001-01-08,15.8125,16.0,15.75,16.0,124800
2001-01-09,16.125,16.125,15.5,15.6875,125200
2001-01-10,15.5,15.5,15.0,15.0,192400
2001-01-11,15.125,15.25,14.0625,14.3125,193000
2001-01-12,14.25,14.3125,13.625,14.125,287000
2001-01-16,14.25,15.0,13.8125,14.5,301500
2001-01-17,14.5,14.5625,13.5,14.1875,351300
2001-01-18,14.125,14.375,13.875,14.0,133000
2001-01-19,13.875,14.125,13.3125,13.5,199700
2001-01-22,13.625,14.0625,12.875,13.375,219700
2001-01-23,13.25,14.5,13.25,14.25,513900
2001-01-24,14.3125,14.3125,13.625,14.125,277200
2001-01-25,14.0625,14.5,13.9375,14.3125,246400
2001-01-26,14.25,14.3125,14.125,14.1875,360400
2001-01-29,14.1,14.1,13.68,13.8,507600
2001-01-30,13.8,14.0,13.75,14.0,278600
2001-01-31,14.0,14.49,14.0,14.1,285700
2001-02-01,14.2,14.45,14.0,14.04,137200
2001-02-02,14.04,14.3,14.04,14.05,136100
2001-02-05,14.1,14.4,14.0,14.2,117000
2001-02-06,14.2,14.43,14.15,14.35,124900
2001-02-07,14.3,14.3,14.12,14.2,98900
2001-02-08,14.2,14.45,14.16,14.19,100800
2001-02-09,14.17,14.3,14.11,14.22,209000
2001-02-12,14.15,14.2,13.82,14.18,167100
2001-02-13,14.18,14.22,14.0,14.22,138200
2001-02-14,13.9,14.18,13.9,14.13,121400
2001-02-15,14.1,14.25,14.07,14.24,94600
2001-02-16,14.2,14.24,14.04,14.1,61000
2001-02-20,14.15,14.23,14.0,14.02,49400
2001-02-21,14.12,14.12,13.86,13.95,106200
2001-02-22,14.0,14.0,13.6,13.6,151300
2001-02-23,13.65,13.94,13.55,13.88,88400
2001-02-26,13.89,14.6,13.89,14.5,285000
2001-02-27,14.25,14.43,14.2,14.31,170500
2001-02-28,14.25,14.5,13.9,14.5,332400
2001-03-01,14.5,14.5,13.95,14.38,65900
2001-03-02,14.28,14.5,14.25,14.5,156900
2001-03-05,14.4,14.99,14.4,14.98,171200
2001-03-06,14.98,14.98,14.65,14.8,126200
2001-03-07,14.73,14.95,14.6,14.91,188600
2001-03-08,14.91,14.91,14.57,14.7,146600
2001-03-09,14.62,14.82,14.6,14.74,93100
2001-03-12,14.4,14.68,14.28,14.29,46600
2001-03-13,14.25,14.25,13.0,13.63,130700
2001-03-14,13.63,14.06,13.63,13.73,109200
2001-03-15,13.73,14.0,13.2,13.2,99400
2001-03-16,13.35,13.7,13.21,13.5,109500
2001-03-19,13.5,13.66,13.3,13.6,62800
2001-03-20,13.6,13.83,13.38,13.38,86700
2001-03-21,13.4,13.5,13.16,13.3,58400
2001-03-22,13.1,13.18,12.75,13.0,277200
2001-03-23,13.0,13.08,12.65,13.05,272200
2001-03-26,13.05,14.0,13.04,13.85,121700
2001-03-27,13.75,14.07,13.32,13.95,148900
2001-03-28,13.96,14.0,13.19,13.81,109300
2001-03-29,13.85,14.0,13.45,13.65,143300
2001-03-30,13.7,13.78,13.15,13.2,229600
2001-04-02,13.1,13.5,13.02,13.45,195200
