,open,high,low,close,volume
2000-12-21,38.5625,41.25,37.125,37.90625,35720200
2000-12-22,39.3125,42.5,39.25,42.5,32830200
2000-12-26,42.125,43.0625,40.3125,41.90625,16418600
2000-12-27,42.15625,45.0625,42.0,44.9375,26665200
2000-12-28,44.84375,45.3125,43.3125,44.6875,20138800
2000-12-29,44.75,45.875,40.65625,41.09375,23929400
2001-01-02,40.9375,41.125,35.15625,35.4375,36380600
2001-01-03,34.5625,42.875,34.53125,42.03125,47526000
2001-01-04,39.5,41.1875,38.375,39.46875,40355600
2001-01-05,39.6875,39.90625,36.28125,36.53125,31656400
2001-01-08,36.5,39.0,35.875,38.9375,23359400
2001-01-09,37.5625,38.15625,35.84375,36.625,29433000
2001-01-10,34.6875,36.3125,33.875,36.21875,35403600
2001-01-11,35.125,37.03125,34.78125,35.28125,25866400
2001-01-12,35.9375,37.53125,35.28125,35.90625,22619600
2001-01-16,34.8125,35.5625,34.21875,35.46875,21852600
2001-01-17,36.5,37.21875,35.78125,36.5,26540000
2001-01-18,36.8125,37.0,35.71875,36.53125,23147800
2001-01-19,37.1875,37.21875,35.0,35.1875,25167400
2001-01-22,35.21875,37.85938,34.65625,37.71875,33483800
2001-01-23,38.15625,39.9375,38.0625,38.8125,37063200
2001-01-24,39.1875,39.19532,36.4375,37.125,28724200
2001-01-25,37.0625,38.25,36.4375,36.96875,31479800
2001-01-26,38.46875,40.6875,37.875,40.5,57665400
2001-01-29,40.09375,43.5,39.75,43.40625,34226200
2001-01-30,42.875,43.0,41.51563,42.84375,22811800
2001-01-31,43.0,43.3125,41.96875,42.03125,22513800
2001-02-01,41.5625,42.75,40.46875,42.625,22344000
2001-02-02,42.0625,44.5625,41.625,43.40625,44556200
2001-02-05,42.90625,44.24219,42.5625,43.21875,21904200
2001-02-06,42.9375,43.6875,40.90625,41.46875,16467400
2001-02-07,40.78125,43.875,40.46875,43.3125,28307600
2001-02-08,43.21875,44.6875,42.3125,42.375,25561800
2001-02-09,42.0,43.0,38.875,39.5625,25314800
2001-02-12,39.53125,42.46875,39.5,41.4375,26479400
2001-02-13,42.75,43.5625,40.21875,40.25,24444800
2001-02-14,40.78125,42.0,39.875,41.6875,24141800
2001-02-15,42.26563,43.96875,42.21875,42.8125,25560200
2001-02-16,40.625,41.6875,39.96875,40.3125,23395000
2001-02-20,40.21875,40.9375,37.6875,37.75782,24447400
2001-02-21,36.375,37.90625,34.9375,35.625,32640000
2001-02-22,34.9375,35.25,31.53125,33.46875,51144600
2001-02-23,29.5625,31.3125,25.0625,30.90625,149932400
2001-02-26,31.4375,32.09375,29.375,31.53125,53842800
2001-02-27,30.84375,30.875,27.71875,27.8125,47386000
2001-02-28,28.0,29.25,26.0625,27.40625,57997000
2001-03-01,27.5625,30.75,27.46875,30.59375,55642200
2001-03-02,29.84375,32.375,29.75,30.25,54743000
2001-03-05,30.5625,31.625,29.75,31.46875,22659000
2001-03-06,32.4375,33.23438,29.09375,29.53125,41703600
2001-03-07,30.5,30.65625,28.03125,28.8125,45456400
2001-03-08,28.84375,29.625,28.59375,28.625,22061200
2001-03-09,27.9375,28.625,25.96875,25.96875,33687600
2001-03-12,25.5,27.0,23.625,24.03125,48112000
2001-03-13,24.3125,26.5,23.78125,26.40625,42182600
2001-03-14,24.94531,26.78125,24.5,25.65625,40149000
2001-03-15,26.8125,27.5625,26.0625,26.09375,26985600
2001-03-16,25.1875,25.6875,24.625,25.15625,30580400
2001-03-19,25.25,29.8125,25.125,29.09375,44608600
2001-03-20,29.0,29.75,26.6875,27.0,42417400
2001-03-21,27.40625,29.5625,27.0625,29.0625,43807600
2001-03-22,29.125,29.78125,26.5,28.4375,59501800
2001-03-23,29.6875,29.96875,28.03125,29.4375,35733800
2001-03-26,29.6875,30.5625,27.5625,28.3125,38035000
2001-03-27,28.53125,30.5,28.3125,29.9375,43913800
2001-03-28,29.1875,29.375,26.8125,27.40625,39496800
2001-03-29,26.1875,28.0625,26.0,27.34375,36864200
2001-03-30,27.46875,28.84375,26.28125,28.3125,29803400
2001-04-02,27.75,28.75,25.46875,25.75,37414800
2001-04-03,26.0,26.375,22.84375,22.875,49397200
2001-04-04,22.4375,23.8125,21.375,21.9375,62465400
2001-04-05,23.0625,24.25,21.6875,23.96875,63258000
2001-04-06,23.39063,23.71875,21.84375,22.3125,40943200
2001-04-09,22.355,23.1,21.89,22.62,23734400
2001-04-10,22.925,25.34,22.605,24.4,34930600
2001-04-11,26.435,26.525,24.85,25.545,29363800
2001-04-12,24.5,26.64,23.55,26.52,36153200
2001-04-16,25.8,26.01,24.005,24.185,23467800
2001-04-17,23.975,25.755,23.95,25.38,28842800
2001-04-18,26.99,30.0,26.375,29.375,51701600
2001-04-19,29.9,33.25,28.93,33.165,55586000
2001-04-20,32.05,33.0,30.63,31.915,33502800
2001-04-23,30.66,31.525,29.025,29.1,27689000
2001-04-24,29.73,31.315,29.625,29.75,26453200
2001-04-25,29.63,31.65,29.08,31.49,35864400
2001-04-26,28.265,30.075,28.265,29.025,62933200
2001-04-27,29.995,30.25,27.93,28.15,33430000
2001-04-30,29.48,30.305,28.35,28.68,29310000
2001-05-01,28.36,30.925,27.875,30.875,27274200
2001-05-02,30.735,31.47,29.52,30.05,25198200
2001-05-03,29.57,30.5,28.86,29.42,22814000
2001-05-04,28.575,31.135,28.175,30.795,30661200
2001-05-07,30.69,30.775,29.78,30.245,19977000
2001-05-08,30.74,31.47,30.21,31.025,20837200
2001-05-09,30.595,30.795,29.525,29.64,17913600
2001-05-10,30.425,30.65,29.26,29.305,15230200
2001-05-11,29.345,30.015,28.57,28.975,12634600
2001-05-14,29.06,29.105,27.6,28.46,18167600
2001-05-15,29.1,31.18,29.02,29.75,37908200
2001-05-16,30.39,32.465,29.935,32.38,34841400
2001-05-17,32.33,34.155,32.2,33.175,31584000
2001-05-18,32.755,33.43,32.26,32.69,15781000
2001-05-21,33.18,35.52,32.875,35.5,25088400
2001-05-22,35.33,35.33,33.5,34.955,21910000
2001-05-23,35.03,35.5,34.045,34.055,24848400
2001-05-24,34.2,35.0,33.525,35.0,20010200
2001-05-25,34.585,34.95,33.75,33.76,14916600
2001-05-29,33.68,34.225,32.75,33.09,17413400
2001-05-30,31.895,32.15,30.525,30.91,24797400
2001-05-31,30.975,31.65,30.2,30.37,21987400
2001-06-01,30.625,31.25,30.0,30.795,14297000
2001-06-04,31.225,31.575,30.28,30.97,12150200
2001-06-05,31.01,32.415,30.95,31.76,17964200
2001-06-06,31.925,32.27,30.765,31.24,12808600
2001-06-07,31.165,32.765,30.85,32.5,14187000
2001-06-08,32.35,32.35,30.5,30.62,11969200
2001-06-11,30.525,30.605,29.0,29.89,19297200
2001-06-12,28.01,29.29,27.75,28.985,25350000
2001-06-13,29.135,29.14,27.1,27.11,21186200
2001-06-14,27.05,27.5,25.715,25.75,23156600
2001-06-15,25.075,25.25,24.25,24.675,34356600
2001-06-18,25.395,26.12,24.725,25.02,27066400
2001-06-19,26.09,26.215,24.93,25.155,21160200
2001-06-20,24.8,25.315,23.99,24.225,28049800
2001-06-21,24.34,26.85,24.0,26.25,32745600
2001-06-22,26.35,27.3,26.22,27.015,22582000
2001-06-25,27.61,27.65,26.38,27.175,22868600
2001-06-26,26.655,27.1,25.95,26.725,21046600
2001-06-27,26.775,28.375,26.66,27.78,25090000
2001-06-28,28.35,29.575,28.35,28.8,25078800
