,open,high,low,close,volume
2000-12-22,22.0,24.25,22.0,23.95,721200
2000-12-26,23.7,23.87,23.0,23.02,203300
2000-12-27,22.77,24.2,22.77,23.65,350800
2000-12-28,23.65,27.8,23.65,27.19,1903600
2000-12-29,26.75,26.92,25.9,26.45,728900
2001-01-02,26.13,26.13,25.12,25.19,547100
2001-01-03,23.6,26.0,23.14,25.65,1424900
2001-01-04,25.1,25.9,24.5,25.55,984100
2001-01-05,25.52,26.1,25.45,25.55,756500
2001-01-08,25.69,26.0,25.06,25.31,198900
2001-01-09,25.34,25.5,24.75,25.37,188900
2001-01-10,25.5,25.85,25.0,25.45,226300
2001-01-11,25.64,26.4,25.0,26.26,296300
2001-01-12,26.19,26.19,25.55,25.81,171100
2001-01-16,25.0,25.8,24.8,25.7,1136200
2001-01-17,26.3,27.6,26.3,27.5,1992500
2001-01-18,27.5,28.88,27.48,28.15,2045400
2001-01-19,28.15,28.4,27.65,28.0,1349800
2001-01-22,27.8,28.49,27.38,28.39,783500
2001-01-23,28.63,29.22,28.35,28.94,796700
2001-01-24,28.75,28.95,28.15,28.59,661100
2001-01-25,26.6,28.33,26.12,27.0,3281200
2001-01-26,27.0,27.5,26.38,26.55,2761400
2001-01-29,26.0,26.2,25.02,25.65,4673600
2001-01-30,25.95,26.0,25.02,25.7,3217100
2001-01-31,25.9,26.7,25.75,26.18,2614400
2001-02-01,26.43,26.45,25.84,26.25,1364700
2001-02-02,26.0,26.01,25.3,25.8,1379700
2001-02-05,25.8,27.2,25.45,27.04,1924600
2001-02-06,27.35,28.15,27.35,27.52,1838900
2001-02-07,27.49,28.95,27.21,28.8,2853000
2001-02-08,29.0,30.0,28.4,29.12,2826400
2001-02-09,29.48,30.25,29.0,30.0,2459700
2001-02-12,29.85,30.24,29.24,29.6,1489000
2001-02-13,29.75,29.75,28.85,28.94,1496700
2001-02-14,29.0,29.19,28.0,29.0,1596500
2001-02-15,28.5,28.89,28.25,28.75,1013000
2001-02-16,28.65,29.2,28.35,28.61,416300
2001-02-20,28.6,29.58,28.45,28.64,798500
2001-02-21,28.64,29.24,28.51,28.55,799400
2001-02-22,28.75,29.1,28.6,28.7,883500
2001-02-23,28.45,28.5,26.95,27.74,1074500
2001-02-26,28.1,28.3,26.9,27.6,2567000
2001-02-27,27.57,28.5,27.35,28.08,1257400
2001-02-28,28.4,28.61,28.03,28.25,806000
2001-03-01,28.09,28.09,27.4,27.45,629800
2001-03-02,27.0,27.6,26.75,27.25,494300
2001-03-05,26.95,27.35,26.58,26.74,598500
2001-03-06,27.26,27.95,27.2,27.68,765000
2001-03-07,27.9,27.9,27.28,27.29,288900
2001-03-08,27.19,27.2,26.92,26.99,708000
2001-03-09,26.85,26.85,25.5,25.55,929300
2001-03-12,25.4,25.4,23.85,23.9,1947700
2001-03-13,24.1,24.52,23.91,24.45,1256700
2001-03-14,23.15,23.7,22.87,22.9,1582500
2001-03-15,22.91,23.5,22.65,23.5,2787000
2001-03-16,23.15,23.15,22.51,22.7,697400
2001-03-19,22.65,22.65,21.83,22.07,954100
2001-03-20,22.25,22.75,21.95,22.05,907200
2001-03-21,22.25,22.25,20.6,20.89,2226200
2001-03-22,20.7,20.9,19.87,20.56,874900
2001-03-23,20.9,21.58,20.6,21.18,769100
2001-03-26,21.43,22.19,21.4,21.9,908800
2001-03-27,22.0,22.5,21.81,22.48,711900
2001-03-28,22.15,22.2,21.9,22.13,536300
2001-03-29,22.37,23.0,22.22,22.6,719500
2001-03-30,22.85,23.11,22.63,23.05,438700
2001-04-02,22.9,23.09,22.26,22.55,710500
2001-04-03,22.3,22.3,20.85,20.85,797400
2001-04-04,20.99,21.75,20.76,21.2,755500
2001-04-05,21.7,22.66,21.7,22.05,629200
2001-04-06,21.9,22.0,21.31,21.4,466000
2001-04-09,21.65,22.2,21.49,22.19,457300
2001-04-10,21.94,22.45,21.7,22.15,505200
2001-04-11,22.0,22.06,21.5,21.7,275300
2001-04-12,21.5,21.67,20.9,21.5,764300
2001-04-16,21.75,21.75,20.95,21.0,364800
2001-04-17,20.5,20.5,19.5,20.1,2351300
2001-04-18,20.65,22.39,20.65,22.06,1953700
2001-04-19,22.0,22.2,21.06,21.6,1229600
2001-04-20,21.45,21.45,20.5,20.55,1400600
2001-04-23,20.7,20.95,20.56,20.9,208600
2001-04-24,20.9,21.0,20.31,20.41,568000
2001-04-25,19.8,20.2,19.45,20.1,1937300
2001-04-26,19.6,19.95,19.45,19.5,1658900
2001-04-27,19.5,19.9,19.35,19.8,1098600
2001-04-30,19.9,20.54,19.89,20.38,1231900
2001-05-01,20.13,20.75,20.13,20.5,457100
2001-05-02,20.4,21.1,20.25,20.76,917000
2001-05-03,20.87,21.24,20.63,21.04,1148900
2001-05-04,21.0,21.53,20.9,21.04,759200
2001-05-07,21.04,21.43,21.0,21.06,218200
2001-05-08,21.06,21.2,20.99,21.12,300100
2001-05-09,20.9,21.34,20.8,20.86,395400
2001-05-10,21.0,21.35,21.0,21.07,505000
2001-05-11,21.1,21.34,21.01,21.15,162800
2001-05-14,20.2,20.21,19.3,19.5,6026300
2001-05-15,19.9,20.1,19.78,19.99,3245700
2001-05-16,20.0,20.99,19.98,20.99,2059700
2001-05-17,21.0,21.5,20.9,21.32,1649800
2001-05-18,21.25,21.45,21.0,21.2,545800
2001-05-21,21.45,22.3,21.25,22.15,1885300
2001-05-22,22.3,22.45,21.85,21.9,788200
2001-05-23,21.9,21.9,21.56,21.65,302900
2001-05-24,21.9,22.09,21.8,22.01,278500
