,open,high,low,close,volume
2000-12-21,36.125,39.5625,36.0,39.0625,251600.0
2000-12-22,39.34375,40.0,37.9375,38.9375,175800.0
2000-12-26,38.625,40.125,37.875,38.25,183900.0
2000-12-27,38.125,39.0,37.1875,37.5,317600.0
2000-12-28,37.125,37.5,36.6875,37.25,222600.0
2000-12-29,37.5,41.0,34.875,35.26563,615500.0
2001-01-02,36.4375,37.5,35.125,35.5625,263800.0
2001-01-03,35.25,35.92188,32.0,34.0625,442600.0
2001-01-04,34.25,34.4375,32.0,32.4375,363800.0
2001-01-05,32.1875,32.1875,30.375,31.125,281700.0
2001-01-08,31.0625,31.0625,30.0,30.25,178800.0
2001-01-09,30.25,31.375,30.25,31.0,160400.0
2001-01-10,31.0,34.375,30.6875,32.25,205700.0
2001-01-11,32.5,33.6875,32.5,33.625,125800.0
2001-01-12,33.4375,36.8125,33.4375,34.75,272500.0
2001-01-16,35.0625,39.125,35.0,39.0,305100.0
2001-01-17,39.0,40.25,36.5,36.75,340900.0
2001-01-18,36.73438,37.3125,34.25,35.0625,132700.0
2001-01-19,35.4375,36.0625,33.375,33.875,167900.0
2001-01-22,34.25,35.125,33.82813,34.5625,112800.0
2001-01-23,34.5,36.875,34.375,36.75,135600.0
2001-01-24,36.375,38.75,36.125,37.125,316700.0
2001-01-25,37.0,38.0,36.125,36.6875,101700.0
2001-01-26,35.9375,35.9375,31.5,33.125,461700.0
2001-01-29,32.875,33.375,31.0,31.75,269300.0
2001-01-30,31.76563,32.25,29.875,30.75,315500.0
2001-01-31,30.75,34.875,30.3125,32.75,193500.0
2001-02-01,33.0,33.0,31.875,32.875,87200.0
2001-02-02,32.45313,33.125,32.125,32.3125,104500.0
2001-02-05,32.1875,32.25,31.75,32.1875,85800.0
2001-02-06,32.25,34.8125,32.125,34.8125,130100.0
2001-02-07,34.3125,34.3125,32.9375,33.8125,79100.0
2001-02-08,33.5625,34.625,33.3125,33.375,67000.0
2001-02-09,33.3125,33.3125,31.9375,32.125,143400.0
2001-02-12,32.0625,35.9375,32.0625,34.9375,125600.0
2001-02-13,34.875,36.9375,33.3125,33.5,117700.0
2001-02-14,33.5625,35.0,32.375,34.6875,86500.0
2001-02-15,34.625,35.0625,33.0625,34.0,53300.0
2001-02-16,33.625,34.0,32.375,33.8125,66500.0
2001-02-20,33.875,33.875,31.4375,31.9375,41700.0
2001-02-21,30.9375,32.5,30.9375,32.1875,85400.0
2001-02-22,31.98438,32.0,30.6875,30.9375,104300.0
