,open,high,low,close,volume
2000-12-21,26.5,27.0,25.875,26.9375,1604700
2000-12-22,26.8125,27.5625,26.75,27.5625,1278100
2000-12-26,27.375,27.625,27.3125,27.625,297200
2000-12-27,27.34375,28.0,27.3125,27.8125,396000
2000-12-28,27.78125,27.8125,27.5625,27.8125,495700
2000-12-29,27.8125,27.875,27.25,27.3125,541400
2001-01-02,27.4375,27.5,26.625,27.125,1068400
2001-01-03,27.0625,28.375,26.25,28.20313,961100
2001-01-04,28.10938,28.875,28.0,28.625,743000
2001-01-05,28.6875,28.6875,27.5,27.9375,592100
2001-01-08,27.6875,27.9375,27.25,27.625,764700
2001-01-09,27.5625,27.8125,26.9375,27.4375,878600
2001-01-10,27.375,27.875,27.1875,27.5,751000
2001-01-11,27.5,28.125,27.4375,28.0,1438000
2001-01-12,28.1875,28.1875,27.375,27.6875,804800
2001-01-16,27.5625,28.5,27.3125,28.375,688800
2001-01-17,28.5,29.0,28.5,28.875,561800
2001-01-18,28.8125,28.875,28.3125,28.34375,877000
2001-01-19,28.25,28.75,27.875,28.25,738700
2001-01-22,28.1875,29.1875,28.125,29.15625,952300
2001-01-23,29.0625,29.3125,28.8125,28.9375,408000
2001-01-24,29.0,29.0625,28.8125,29.0,506900
2001-01-25,29.0,29.3125,28.875,28.9375,474100
2001-01-26,28.9375,29.5625,28.875,29.3125,724500
2001-01-29,29.375,30.0625,29.25,29.5,899200
2001-01-30,29.5625,29.75,29.3125,29.6875,256600
2001-01-31,29.75,29.8125,29.375,29.75,613700
2001-02-01,29.75,30.0,29.5,29.8125,353700
2001-02-02,29.70313,30.0,29.625,29.75,717400
2001-02-05,29.90625,29.9375,29.6875,29.875,542400
2001-02-06,29.9375,30.0,29.625,29.6875,336400
2001-02-07,29.5625,29.9375,29.5,29.8125,693400
2001-02-08,29.9375,30.0,29.6875,29.875,372400
2001-02-09,29.75,30.0,29.6875,29.9375,585300
2001-02-12,29.8125,30.4375,29.75,30.0,607000
2001-02-13,29.875,30.0625,29.75,29.9375,397500
2001-02-14,29.875,30.0,29.6875,29.875,523200
2001-02-15,29.75,30.1875,29.75,30.1875,611800
2001-02-16,29.9375,30.5625,29.9375,30.5,419900
2001-02-20,30.375,30.5,29.8125,30.0,642500
2001-02-21,29.75,30.25,29.6875,29.9375,638100
2001-02-22,29.9375,30.1875,29.1875,29.9375,1393100
2001-02-23,29.9375,30.1875,29.6875,30.04688,1105500
2001-02-26,29.875,30.375,29.8125,30.375,550100
2001-02-27,30.3125,30.6875,30.0,30.25,562100
2001-02-28,30.21875,30.5625,29.5625,30.0,565900
2001-03-01,29.875,30.5,29.75,30.375,599600
2001-03-02,30.1875,31.1875,30.0625,31.1875,758300
2001-03-05,30.9375,31.375,30.75,31.25,522400
2001-03-06,31.375,31.625,30.9375,31.125,416700
2001-03-07,31.0625,32.0,31.0,32.0,665300
2001-03-08,31.9375,32.0625,31.625,32.0,493300
2001-03-09,31.9375,31.9375,31.0625,31.25,317300
2001-03-12,31.25,31.25,29.625,29.8125,624400
2001-03-13,29.9375,30.375,29.375,30.375,736200
2001-03-14,29.4375,29.8125,28.5625,28.9375,559900
2001-03-15,29.0,29.75,29.0,29.4375,585700
2001-03-16,28.8125,29.4375,28.75,29.0,1343000
2001-03-19,29.1875,29.25,28.25,28.8125,737900
2001-03-20,28.9375,29.0,28.03125,28.0625,777900
2001-03-21,28.0625,28.125,27.125,27.1875,805600
2001-03-22,27.07813,27.3125,26.0,26.75,1410000
2001-03-23,26.75,28.0,26.6875,27.6875,1002900
2001-03-26,28.0,28.1875,27.875,28.125,1026900
2001-03-27,28.0625,28.375,27.875,28.1875,1304900
2001-03-28,28.25,28.25,27.8125,28.125,910100
2001-03-29,27.9375,28.5,27.875,28.17188,660400
2001-03-30,28.4375,29.3125,28.3125,28.4375,2350600
2001-04-02,28.375,29.5,28.125,28.875,1675800
2001-04-03,28.8125,28.9375,28.4375,28.875,1508400
2001-04-04,28.9375,29.0,27.625,28.0,775500
2001-04-05,28.1875,29.3125,28.125,29.25,928900
2001-04-06,29.26563,29.28125,28.5,28.875,1192300
2001-04-09,28.88,29.21,28.88,29.05,1011900
2001-04-10,29.03,29.99,29.03,29.93,1088500
2001-04-11,29.81,30.25,29.8,30.14,1348900
2001-04-12,29.74,30.39,29.65,30.34,678900
2001-04-16,30.13,30.5,29.9,30.09,903800
2001-04-17,30.15,30.15,29.82,30.04,1156700
2001-04-18,30.0,31.3,30.0,31.08,958300
2001-04-19,31.01,31.26,30.9,31.02,621400
2001-04-20,30.9,31.08,30.43,30.72,1090000
2001-04-23,30.71,30.8,30.45,30.78,894700
2001-04-24,30.7,30.77,30.34,30.48,1038700
2001-04-25,30.53,30.55,29.75,30.55,836900
2001-04-26,30.28,30.63,30.13,30.14,479700
2001-04-27,30.15,31.01,30.15,31.0,594300
2001-04-30,31.0,31.0,30.09,30.45,877000
2001-05-01,30.2,30.49,29.83,30.0,560900
2001-05-02,30.09,30.51,29.93,30.5,534600
2001-05-03,30.26,30.5,29.95,30.41,400300
2001-05-04,30.19,30.55,30.0,30.55,480500
2001-05-07,30.51,30.65,30.33,30.35,263900
2001-05-08,30.27,30.46,30.11,30.17,455300
2001-05-09,30.1,30.25,29.95,30.04,673300
2001-05-10,30.08,30.45,29.95,30.03,408800
2001-05-11,30.08,30.33,29.65,29.95,406900
2001-05-14,29.86,30.2,29.75,30.17,294000
2001-05-15,29.99,30.38,29.85,30.34,313900
2001-05-16,30.09,31.0,29.95,30.99,501400
2001-05-17,30.9,31.08,30.57,30.69,426500
2001-05-18,30.53,30.63,30.3,30.53,669100
2001-05-21,30.6,30.7,30.29,30.42,591600
2001-05-22,30.54,31.2,30.2,30.82,534200
2001-05-23,31.0,31.13,30.79,30.8,624500
2001-05-24,30.79,31.23,30.75,30.76,526000
2001-05-25,30.75,30.94,30.54,30.55,271600
2001-05-29,30.47,30.95,30.36,30.9,451500
2001-05-30,30.9,31.04,30.62,30.62,422300
2001-05-31,30.69,31.14,30.5,31.03,359400
2001-06-01,30.95,31.09,30.57,31.07,370400
2001-06-04,31.13,31.25,30.85,31.19,277100
2001-06-05,31.18,31.58,31.13,31.58,380500
2001-06-06,31.58,31.58,30.93,31.32,436000
2001-06-07,31.25,31.31,30.93,31.19,428500
2001-06-08,31.28,31.28,30.71,30.91,362300
2001-06-11,30.91,31.11,30.74,30.75,402300
2001-06-12,30.7,30.71,30.33,30.66,958700
2001-06-13,30.62,30.63,30.1,30.16,1345000
2001-06-14,30.06,30.09,29.21,29.6,2020900
2001-06-15,29.68,30.23,29.55,30.1,3807700
