,open,high,low,close,volume
2001-02-22,1.170611111111111,1.170611111111111,1.136079111111111,1.139591111111112,345120
2001-02-23,1.139591111111112,1.153052,1.126713333333333,1.150125777777778,109332
2001-02-26,1.152467555555556,1.166514666666667,1.152467555555556,1.166514666666667,199896
2001-02-27,1.164759111111111,1.165343555555555,1.132566666666667,1.143101777777778,322899
2001-02-28,1.143101777777778,1.182318666666667,1.143101777777778,1.182318666666667,483508
2001-03-01,1.177049333333334,1.177049333333334,1.161831555555556,1.167685333333333,114466
2001-03-02,1.168269777777778,1.177635555555556,1.168269777777778,1.177635555555556,531348
2001-03-05,1.182318666666667,1.188170222222222,1.171782222222222,1.177635555555556,128134
2001-03-06,1.179391111111111,1.189341333333333,1.179391111111111,1.185244444444445,220401
2001-03-07,1.185244444444445,1.226216444444445,1.185244444444445,1.21568,545001
2001-03-08,1.217436888888889,1.224459555555556,1.211583111111111,1.216850666666667,246019
2001-03-09,1.214509333333333,1.246701777777778,1.205729777777778,1.232068444444445,669736
2001-03-12,1.246701777777778,1.246701777777778,1.190512,1.194024,252855
2001-03-13,1.191097777777778,1.194024,1.163002222222222,1.174123555555556,234051
2001-03-14,1.170611111111111,1.170611111111111,1.150125777777778,1.153052,172558
2001-03-15,1.151881333333333,1.153052,1.137249777777778,1.151881333333333,99082
2001-03-16,1.153052,1.153052,1.131396,1.131396,572338
2001-03-19,1.132566666666667,1.1472,1.11852,1.1472,275058
2001-03-20,1.150125777777778,1.153052,1.115007555555556,1.117348888888889,220401
2001-03-21,1.115007555555556,1.115007555555556,1.103302222222222,1.109154222222223,68343
2001-03-22,1.106812888888889,1.106812888888889,1.068183555555556,1.085742666666667,146922
2001-03-23,1.086913333333333,1.1472,1.086327555555556,1.1472,198180
2001-03-26,1.144272444444445,1.1472,1.139591111111112,1.141346666666667,107631
2001-03-27,1.137249777777778,1.171782222222222,1.130811555555555,1.171782222222222,189643
2001-03-28,1.169440444444445,1.174709777777778,1.139591111111112,1.144272444444445,145221
2001-03-29,1.141346666666667,1.144858666666667,1.109154222222223,1.123787111111111,187929
2001-03-30,1.123787111111111,1.129640888888889,1.112081333333334,1.129640888888889,813241
2001-04-02,1.129640888888889,1.182318666666667,1.125542666666667,1.157734666666667,259687
2001-04-03,1.157734666666667,1.161831555555556,1.151881333333333,1.161831555555556,80293
2001-04-04,1.158905777777778,1.164759111111111,1.155979555555556,1.156564444444445,99082
2001-04-05,1.158905777777778,1.208657333333333,1.158905777777778,1.208657333333333,215266
2001-04-06,1.208657333333333,1.210412444444445,1.185244444444445,1.188170222222222,425413
2001-04-09,1.188170222222222,1.188170222222222,1.153052,1.165929777777778,252855
2001-04-10,1.141346666666667,1.159490222222222,1.136663555555556,1.140760444444445,293860
2001-04-11,1.141346666666667,1.145443111111112,1.122616444444445,1.123787111111111,169141
2001-04-12,1.125542666666667,1.126713333333333,1.119104444444445,1.124957777777778,68343
2001-04-16,1.123787111111111,1.126713333333333,1.123787111111111,1.123787111111111,64923
2001-04-17,1.124957777777778,1.136079111111111,1.123787111111111,1.136079111111111,213565
2001-04-18,1.135492888888889,1.141346666666667,1.112666222222223,1.131396,370738
2001-04-19,1.129640888888889,1.134322222222222,1.115007555555556,1.126713333333333,280192
2001-04-20,1.12612888888889,1.12612888888889,1.059404,1.074036,425413
2001-04-23,1.071109777777778,1.071109777777778,1.047697333333334,1.059404,121299
2001-04-24,1.062330222222222,1.068183555555556,1.013749777777778,1.027212,215266
2001-04-25,1.030137777777778,1.065256444444445,1.024285777777778,1.065256444444445,167427
2001-04-26,1.071109777777778,1.079889333333333,1.068183555555556,1.079889333333333,107631
2001-04-27,1.082230666666667,1.106228,1.082230666666667,1.106228,169141
2001-04-30,1.115007555555556,1.120861333333333,1.092180888888889,1.092180888888889,205012
2001-05-01,1.094522222222222,1.112081333333334,1.082815555555555,1.10974,111051
2001-05-02,1.112081333333334,1.117348888888889,1.109154222222223,1.113836888888889,27337
2001-05-03,1.109154222222223,1.117933777777778,1.091595111111111,1.091595111111111,114466
2001-05-04,1.088668888888889,1.136079111111111,1.076963111111111,1.136079111111111,343401
2001-05-07,1.136079111111111,1.136079111111111,1.117348888888889,1.117933777777778,131553
2001-05-08,1.112081333333334,1.112081333333334,1.082815555555555,1.094522222222222,114466
2001-05-09,1.100374666666667,1.100374666666667,1.062330222222222,1.074036,155472
2001-05-10,1.076963111111111,1.089839555555555,1.071109777777778,1.089839555555555,210147
2001-05-11,1.085742666666667,1.085742666666667,1.065256444444445,1.065256444444445,54675
2001-05-14,1.065256444444445,1.068183555555556,1.056476888888889,1.061159555555555,64923
2001-05-15,1.061159555555555,1.076963111111111,1.049453777777778,1.062330222222222,181095
2001-05-16,1.065256444444445,1.117933777777778,1.065256444444445,1.109154222222223,256272
2001-05-17,1.109154222222223,1.120861333333333,1.071694666666667,1.087498222222222,456171
2001-05-18,1.082815555555555,1.082815555555555,1.065256444444445,1.071109777777778,136669
2001-05-21,1.074036,1.123787111111111,1.074036,1.123787111111111,401496
2001-05-22,1.119104444444445,1.119104444444445,1.106228,1.112081333333334,97381
2001-05-23,1.115007555555556,1.115007555555556,1.084572,1.088084444444445,148636
