,open,high,low,close,volume
2000-12-21,10.166667,10.75,10.125,10.666667,1961250
2000-12-22,10.75,10.791667,10.583333,10.666667,831600
2000-12-26,10.666667,10.708333,10.375,10.416667,408300
2000-12-27,10.5,10.75,10.458333,10.708333,1269300
2000-12-28,10.791667,11.125,10.666667,11.083333,1751400
2000-12-29,11.166667,11.5,11.166667,11.458333,2110500
2001-01-02,11.5,11.5,10.833333,11.041667,2702400
2001-01-03,10.916667,11.083333,10.625,10.75,1851150
2001-01-04,10.791667,10.958333,10.666667,10.916667,3143400
2001-01-05,10.875,11.25,10.875,11.208333,1998750
2001-01-08,11.25,11.416667,11.166667,11.416667,1961250
2001-01-09,11.458333,11.458333,10.958333,11.041667,3036300
2001-01-10,10.958333,10.958333,10.541667,10.875,894300
2001-01-11,10.833333,10.916667,10.541667,10.666667,935400
2001-01-12,10.666667,10.666667,10.541667,10.583333,650850
2001-01-16,10.583333,10.833333,10.5,10.833333,1454550
2001-01-17,10.833333,10.833333,10.5,10.5,1082250
2001-01-18,10.541667,10.625,10.5,10.625,1569450
2001-01-19,10.625,10.625,10.541667,10.541667,842100
2001-01-22,10.541667,10.625,10.5,10.541667,1001100
2001-01-23,10.541667,10.583333,10.416667,10.458333,858450
2001-01-24,10.458333,10.625,10.375,10.583333,682350
2001-01-25,10.625,10.666667,10.541667,10.541667,801600
2001-01-26,10.5,10.541667,10.291667,10.5,1122000
2001-01-29,10.466667,10.66,10.406667,10.58,1140000
2001-01-30,10.333333,10.4,9.506667,9.7,2345700
2001-01-31,9.7,9.8,9.166667,9.166667,1978800
2001-02-01,9.333333,9.5,9.3,9.426667,1890000
2001-02-02,9.626667,9.833333,9.6,9.773333,1538250
2001-02-05,10.0,10.126667,9.833333,9.866667,2181750
2001-02-06,9.866667,10.4,9.866667,10.333333,2448150
2001-02-07,10.3,10.386667,10.266667,10.333333,853800
2001-02-08,10.3,10.326667,10.033333,10.066667,861150
2001-02-09,10.066667,10.433333,10.066667,10.366667,1318050
2001-02-12,10.333333,10.72,10.333333,10.586667,1917450
2001-02-13,10.633333,10.693333,10.6,10.673333,774150
2001-02-14,10.673333,10.726667,10.606667,10.66,1066650
2001-02-15,10.66,10.733333,10.633333,10.666667,1535100
2001-02-16,10.633333,10.733333,10.606667,10.66,2718600
2001-02-20,10.693333,10.8,10.606667,10.78,1501950
2001-02-21,10.766667,10.8,10.633333,10.746667,989700
2001-02-22,10.813333,10.933333,10.753333,10.793333,809850
2001-02-23,10.86,10.86,10.693333,10.78,549600
2001-02-26,10.733333,10.833333,10.533333,10.833333,579450
2001-02-27,10.766667,10.986667,10.766667,10.833333,1283700
2001-02-28,10.866667,11.093333,10.78,11.093333,801600
2001-03-01,11.066667,11.266667,11.066667,11.266667,1104450
2001-03-02,11.266667,11.426667,11.166667,11.406667,1662300
2001-03-05,11.5,11.66,11.5,11.533333,1367250
2001-03-06,11.6,11.633333,11.506667,11.52,632850
2001-03-07,11.52,11.68,11.52,11.653333,892050
2001-03-08,11.633333,12.44,11.6,12.26,2308950
2001-03-09,12.26,12.666667,12.166667,12.273333,1964250
2001-03-12,12.24,12.666667,12.213333,12.506667,1916550
2001-03-13,12.6,12.64,12.22,12.566667,1590750
2001-03-14,12.0,12.52,11.933333,12.3,2079750
2001-03-15,12.333333,12.366667,11.92,12.0,1322700
2001-03-16,11.933333,12.166667,11.913333,12.166667,931950
2001-03-19,12.2,12.28,12.026667,12.12,776400
2001-03-20,12.12,12.293333,12.0,12.24,694050
2001-03-21,12.066667,12.2,11.766667,12.033333,778650
2001-03-22,11.933333,11.933333,11.2,11.36,1038900
2001-03-23,11.293333,11.666667,11.12,11.666667,1279350
2001-03-26,11.533333,12.166667,11.533333,11.866667,918000
2001-03-27,11.866667,11.866667,11.533333,11.653333,676050
2001-03-28,11.613333,12.0,11.6,11.973333,776400
2001-03-29,11.946667,12.733333,11.853333,12.673333,1769250
2001-03-30,12.673333,12.733333,12.373333,12.5,1022850
2001-04-02,12.466667,12.466667,12.066667,12.166667,647400
2001-04-03,12.133333,12.133333,11.78,11.86,1752900
2001-04-04,11.866667,12.02,11.84,12.0,640500
2001-04-05,12.0,12.16,11.933333,12.066667,744900
2001-04-06,12.066667,12.173333,11.966667,12.1,794400
2001-04-09,12.033333,12.533333,12.006667,12.273333,1079100
2001-04-10,12.233333,12.413333,12.213333,12.333333,771450
2001-04-11,12.333333,12.44,12.3,12.406667,437250
2001-04-12,12.406667,12.7,12.406667,12.573333,767700
2001-04-16,12.666667,12.766667,12.506667,12.553333,357900
2001-04-17,12.533333,12.633333,12.2,12.266667,542400
2001-04-18,12.333333,12.766667,12.2,12.2,601650
2001-04-19,12.133333,12.333333,11.946667,12.233333,512250
2001-04-20,12.166667,12.173333,11.633333,11.9,602400
2001-04-23,11.9,12.0,11.693333,12.0,181950
2001-04-24,11.833333,12.0,11.786667,11.966667,176250
2001-04-25,11.933333,12.12,11.826667,12.066667,351900
2001-04-26,12.233333,12.733333,12.226667,12.533333,641100
2001-04-27,12.533333,12.833333,12.5,12.706667,747900
2001-04-30,12.666667,12.666667,12.0,12.0,620850
2001-05-01,12.0,12.8,11.933333,12.666667,1093200
2001-05-02,12.666667,12.666667,12.386667,12.413333,408750
2001-05-03,12.366667,12.366667,11.933333,12.286667,356700
2001-05-04,12.286667,12.286667,11.986667,12.013333,455700
2001-05-07,12.0,12.253333,11.833333,12.173333,530250
2001-05-08,12.173333,12.366667,12.033333,12.273333,1072500
2001-05-09,12.3,12.446667,11.933333,12.4,570900
2001-05-10,12.4,12.466667,12.233333,12.433333,370950
2001-05-11,12.42,12.433333,12.233333,12.353333,282900
2001-05-14,12.3,12.36,12.16,12.36,511200
2001-05-15,12.426667,13.066667,12.366667,12.786667,1266600
2001-05-16,12.786667,13.0,12.7,12.993333,761400
2001-05-17,12.933333,12.94,12.7,12.753333,1149300
2001-05-18,12.566667,12.7,12.566667,12.666667,455550
2001-05-21,12.666667,12.666667,12.393333,12.5,596400
2001-05-22,12.533333,12.56,12.193333,12.306667,624900
2001-05-23,12.306667,12.333333,11.8,11.966667,1287600
2001-05-24,11.9,12.18,11.9,11.966667,798450
2001-05-25,11.96,11.993333,11.7,11.813333,355350
2001-05-29,11.866667,12.066667,11.833333,11.933333,365850
2001-05-30,11.94,11.96,11.733333,11.873333,384000
2001-05-31,11.9,12.253333,11.9,12.253333,821550
2001-06-01,12.32,12.593333,12.173333,12.533333,651450
2001-06-04,12.366667,12.733333,12.366667,12.673333,578550
2001-06-05,12.633333,12.933333,12.573333,12.7,470700
2001-06-06,12.706667,12.706667,12.433333,12.446667,270900
2001-06-07,12.5,12.873333,12.493333,12.633333,498750
2001-06-08,12.626667,12.733333,12.513333,12.56,404850
2001-06-11,12.566667,12.74,12.48,12.693333,484800
2001-06-12,12.6,12.66,12.553333,12.6,335400
2001-06-13,12.633333,12.966667,12.633333,12.8,550500
2001-06-14,12.8,12.966667,12.766667,12.766667,681150
2001-06-15,12.733333,12.76,12.62,12.653333,353100
2001-06-18,12.666667,12.666667,12.6,12.66,356550
2001-06-19,12.733333,12.926667,12.586667,12.866667,409800
2001-06-20,12.8,13.033333,12.766667,13.026667,606750
2001-06-21,13.02,13.133333,12.9,13.033333,931950
2001-06-22,12.966667,12.973333,12.786667,12.866667,752400
2001-06-25,12.8,12.806667,12.4,12.646667,484350
2001-06-26,12.646667,13.3,12.566667,12.64,600600
2001-06-27,12.506667,12.8,12.506667,12.766667,336300
2001-06-28,12.766667,13.213333,12.766667,13.113333,617550
2001-06-29,13.046667,13.233333,12.78,13.233333,895200
2001-07-02,13.2,13.22,13.1,13.2,814200
2001-07-03,13.266667,13.333333,13.04,13.166667,589350
2001-07-05,13.133333,13.326667,13.08,13.3,849150
2001-07-06,13.266667,13.36,13.14,13.266667,663300
2001-07-09,13.3,13.566667,13.28,13.5,1065300
2001-07-10,13.433333,13.52,13.213333,13.346667,952350
2001-07-11,13.4,13.673333,13.366667,13.62,924000
2001-07-12,13.453333,13.8,13.453333,13.766667,588750
2001-07-13,13.733333,13.933333,13.733333,13.866667,1085700
2001-07-16,13.866667,13.9,13.466667,13.466667,454650
2001-07-17,13.473333,13.633333,13.36,13.386667,357000
2001-07-18,13.4,13.533333,13.286667,13.366667,374550
2001-07-19,13.533333,13.573333,13.326667,13.333333,297600
2001-07-20,13.3,13.513333,13.3,13.333333,463350
2001-07-23,13.6,13.6,13.2,13.266667,199200
2001-07-24,13.166667,13.166667,12.233333,12.406667,748650
2001-07-25,12.533333,12.713333,12.233333,12.593333,772200
2001-07-26,12.46,12.733333,12.346667,12.566667,578850
2001-07-27,12.7,12.766667,12.66,12.673333,722550
2001-07-30,12.666667,13.06,12.666667,12.933333,441450
2001-07-31,12.966667,13.433333,12.733333,13.266667,1162950
2001-08-01,13.266667,13.466667,13.233333,13.3,1043550
2001-08-02,13.366667,13.4,12.96,12.966667,691350
2001-08-03,13.066667,13.653333,13.066667,13.333333,1090200
2001-08-06,13.266667,13.3,13.0,13.2,799050
2001-08-07,13.206667,13.246667,13.033333,13.133333,531300
2001-08-08,13.066667,13.22,12.973333,13.14,521400
2001-08-09,13.1,13.133333,12.753333,13.02,508350
2001-08-10,13.0,13.433333,13.0,13.433333,1649400
2001-08-13,13.366667,13.666667,13.213333,13.566667,675750
2001-08-14,13.533333,13.673333,13.306667,13.466667,810900
2001-08-15,13.5,13.5,13.133333,13.326667,658200
2001-08-16,13.333333,13.333333,13.22,13.313333,491700
2001-08-17,13.266667,13.333333,13.066667,13.2,438450
2001-08-20,13.266667,13.333333,13.233333,13.293333,308100
2001-08-21,13.293333,13.366667,13.28,13.326667,286650
2001-08-22,13.326667,13.333333,13.133333,13.226667,374400
2001-08-23,13.226667,13.226667,13.0,13.146667,394050
2001-08-24,13.146667,13.146667,12.6,13.053333,1124700
2001-08-27,13.266667,13.48,13.266667,13.333333,1203600
2001-08-28,13.333333,13.48,13.313333,13.373333,1077600
2001-08-29,13.36,13.553333,13.333333,13.493333,1180350
2001-08-30,13.5,13.5,13.166667,13.266667,1750350
2001-08-31,13.266667,13.386667,13.233333,13.233333,1084950
2001-09-04,13.3,13.4,13.186667,13.333333,437100
2001-09-05,13.333333,13.453333,13.326667,13.38,477450
2001-09-06,13.333333,13.36,13.233333,13.3,608850
2001-09-07,13.266667,13.266667,12.686667,12.833333,1178700
2001-09-10,12.633333,12.82,12.266667,12.733333,1129800
2001-09-17,12.333333,12.333333,11.766667,11.933333,1108950
2001-09-18,12.0,12.0,11.1,11.48,1080450
2001-09-19,11.413333,11.5,10.466667,11.233333,1603650
2001-09-20,11.133333,11.14,10.713333,10.84,688650
2001-09-21,10.533333,11.0,10.4,11.0,1001400
2001-09-24,11.5,11.5,11.266667,11.293333,991650
2001-09-25,11.426667,11.666667,11.166667,11.366667,761850
2001-09-26,11.366667,11.426667,10.633333,10.746667,1372200
2001-09-27,10.733333,11.32,10.706667,11.2,942600
2001-09-28,11.32,11.366667,10.8,10.8,1361700
2001-10-01,10.833333,10.933333,10.58,10.72,873900
2001-10-02,10.866667,11.066667,10.86,11.066667,1477050
2001-10-03,11.466667,11.493333,11.28,11.333333,782550
2001-10-04,11.333333,11.566667,11.306667,11.393333,1097250
2001-10-05,11.393333,11.466667,11.1,11.246667,598800
2001-10-08,11.4,11.4,10.913333,11.08,571500
2001-10-09,11.133333,11.333333,11.133333,11.24,416400
2001-10-10,11.333333,11.466667,11.3,11.466667,528150
2001-10-11,11.533333,11.866667,11.5,11.686667,704700
2001-10-12,11.666667,11.7,11.546667,11.606667,1251900
2001-10-15,11.586667,11.586667,11.2,11.266667,600300
2001-10-16,11.5,11.913333,11.5,11.853333,833250
2001-10-17,11.9,12.0,11.766667,11.766667,745950
2001-10-18,11.633333,11.966667,11.626667,11.806667,240900
2001-10-19,11.9,11.966667,11.566667,11.566667,254700
2001-10-22,11.633333,11.733333,11.266667,11.3,774300
2001-10-23,11.333333,11.4,11.266667,11.333333,279750
2001-10-24,11.333333,11.5,11.333333,11.426667,289800
2001-10-25,11.333333,11.76,11.333333,11.606667,450450
2001-10-26,11.606667,11.813333,11.606667,11.7,297150
2001-10-29,11.7,11.733333,11.2,11.293333,356100
2001-10-30,10.533333,11.253333,10.533333,11.166667,924450
2001-10-31,11.233333,11.366667,10.686667,10.92,1087650
2001-11-01,10.9,10.966667,10.566667,10.7,1172700
2001-11-02,10.666667,10.666667,10.166667,10.3,2370150
2001-11-05,10.3,10.606667,10.3,10.54,1363950
2001-11-06,10.533333,11.2,10.533333,11.033333,905700
2001-11-07,10.966667,11.573333,10.966667,11.306667,744900
2001-11-08,11.333333,11.56,11.066667,11.173333,420300
2001-11-09,11.166667,11.373333,11.1,11.353333,251850
2001-11-12,11.133333,11.233333,10.9,11.1,393750
2001-11-13,11.133333,11.466667,11.133333,11.333333,511200
2001-11-14,11.433333,11.566667,11.306667,11.52,526800
2001-11-15,11.5,11.966667,11.333333,11.906667,418500
2001-11-16,11.906667,12.233333,11.866667,12.206667,973350
2001-11-19,12.22,12.46,12.133333,12.173333,763500
2001-11-20,12.173333,12.2,12.1,12.133333,973350
2001-11-21,12.126667,12.126667,11.8,11.853333,265500
2001-11-23,11.866667,12.033333,11.733333,11.933333,101550
2001-11-26,11.8,11.92,11.753333,11.88,305700
2001-11-27,11.8,11.866667,11.633333,11.666667,268500
2001-11-28,11.666667,11.7,11.52,11.533333,342750
2001-11-29,11.533333,11.533333,11.226667,11.326667,419550
2001-11-30,11.2,11.68,11.1,11.5,1123500
2001-12-03,11.5,11.533333,11.333333,11.533333,290250
2001-12-04,11.533333,11.533333,11.333333,11.34,516450
2001-12-05,11.333333,11.54,11.333333,11.366667,719700
2001-12-06,11.466667,12.366667,11.4,12.346667,1741050
2001-12-07,12.3,12.466667,11.9,12.453333,717900
2001-12-10,12.4,12.42,12.14,12.233333,563400
2001-12-11,12.266667,12.266667,12.02,12.02,474150
2001-12-12,12.0,12.053333,11.766667,11.873333,752700
2001-12-13,12.5,12.946667,12.353333,12.7,31271850
2001-12-14,12.766667,12.913333,12.6,12.9,2433150
2001-12-17,12.733333,13.2,12.733333,13.173333,1290450
2001-12-18,13.266667,13.28,13.04,13.233333,1473450
2001-12-19,13.233333,13.333333,12.833333,12.9,1531650
2001-12-20,12.966667,13.106667,12.74,13.0,2292450
2001-12-21,13.1,13.733333,13.033333,13.566667,2606700
2001-12-24,13.6,13.62,13.42,13.566667,300450
2001-12-26,13.5,13.5,13.326667,13.393333,471300
2001-12-27,13.326667,13.666667,13.326667,13.433333,1000800
2001-12-28,13.486667,13.553333,13.4,13.5,1461000
2001-12-31,13.433333,13.5,13.133333,13.313333,934350
2002-01-02,12.933333,13.326667,12.733333,13.326667,1377150
2002-01-03,13.333333,13.333333,13.126667,13.146667,819900
2002-01-04,13.146667,13.146667,12.9,12.966667,979650
2002-01-07,12.966667,13.28,12.96,13.133333,487800
2002-01-08,13.14,13.14,12.92,13.02,320250
2002-01-09,13.0,13.133333,12.84,12.88,569250
2002-01-10,12.88,12.88,12.573333,12.666667,1206900
2002-01-11,12.666667,12.953333,12.633333,12.866667,377400
2002-01-14,12.92,13.126667,12.866667,12.946667,547950
2002-01-15,12.946667,13.026667,12.7,13.0,696300
2002-01-16,13.0,13.24,12.933333,13.026667,895500
