,open,high,low,close,volume
2000-12-21,23.9375,24.5,23.625,23.8125,837900
2000-12-22,23.8125,24.1875,23.5625,23.8125,930800
2000-12-26,24.0625,24.875,24.0,24.75,340800
2000-12-27,24.75,25.75,24.3125,25.4375,368200
2000-12-28,25.9375,26.5,25.0,26.125,550000
2000-12-29,26.1875,26.5625,25.9375,26.3125,575200
2001-01-02,26.1875,26.25,24.625,24.9375,505200
2001-01-03,25.1875,26.375,24.75,26.3125,594400
2001-01-04,26.3125,27.25,26.3125,26.9375,768300
2001-01-05,27.0,27.0,25.9375,26.4375,637500
2001-01-08,26.1875,26.75,26.0625,26.3125,507800
2001-01-09,26.125,26.1875,25.5,25.6875,618600
2001-01-10,25.4375,26.0,24.875,25.9375,348700
2001-01-11,26.1875,26.1875,25.375,25.75,386600
2001-01-12,25.625,26.5,25.25,26.4375,741000
2001-01-16,26.4375,26.9375,26.0,26.875,634900
2001-01-17,26.9375,27.25,26.6875,27.0625,941100
2001-01-18,26.875,26.875,25.375,25.625,1260900
2001-01-19,25.0,25.3125,24.0,24.3125,1141400
2001-01-22,24.5625,24.875,23.625,24.5,825000
2001-01-23,25.0,25.0625,24.625,24.9375,492300
2001-01-24,23.75,24.5625,23.625,24.5625,995900
2001-01-25,24.3125,25.875,24.25,25.75,784700
2001-01-26,25.75,25.75,24.6875,25.125,464100
2001-01-29,25.12,25.95,24.89,25.65,595200
2001-01-30,25.9,26.0,25.02,26.0,578300
2001-01-31,26.0,27.0,26.0,26.85,611700
2001-02-01,26.85,26.99,26.35,26.6,407200
2001-02-02,26.55,26.7,26.2,26.4,430600
2001-02-05,26.3,26.9,26.15,26.75,540300
2001-02-06,26.75,26.75,25.93,26.03,700700
2001-02-07,26.1,26.4,25.25,26.03,529600
2001-02-08,26.27,26.5,25.61,25.79,530900
2001-02-09,25.88,26.69,25.7,26.55,606800
2001-02-12,26.75,26.75,26.15,26.51,442700
2001-02-13,26.51,27.18,26.3,26.75,1275900
2001-02-14,26.95,26.99,26.45,26.48,816000
2001-02-15,26.5,27.12,26.0,26.15,917600
2001-02-16,26.37,26.37,25.76,26.11,517200
2001-02-20,26.11,26.3,25.61,25.76,531200
2001-02-21,25.85,25.85,24.96,24.99,516800
2001-02-22,25.05,25.2,24.15,24.49,673300
2001-02-23,24.5,24.5,23.52,24.16,628000
2001-02-26,24.25,25.2,24.21,25.08,432500
2001-02-27,25.24,25.68,25.0,25.52,517200
2001-02-28,25.6,26.05,25.1,25.1,813800
2001-03-01,25.15,25.28,24.89,25.21,848000
2001-03-02,25.25,25.92,25.2,25.6,554000
2001-03-05,25.6,26.22,25.53,25.89,572100
2001-03-06,26.1,26.36,25.86,26.19,307900
2001-03-07,26.05,26.7,25.72,26.67,600600
2001-03-08,26.5,26.97,26.28,26.55,442900
2001-03-09,26.75,26.75,26.4,26.51,510300
2001-03-12,26.7,26.73,25.9,25.93,408500
2001-03-13,25.69,26.0,25.12,25.93,534100
2001-03-14,25.68,25.93,24.9,25.08,480900
2001-03-15,25.05,25.17,24.5,24.9,650400
2001-03-16,24.35,25.1,24.35,24.56,578000
2001-03-19,24.6,25.12,24.5,24.9,426500
2001-03-20,24.8,25.37,24.3,24.6,467700
2001-03-21,24.8,25.0,24.22,24.64,721200
2001-03-22,24.7,24.7,24.0,24.24,1166300
2001-03-23,24.2,24.95,24.0,24.77,676800
2001-03-26,24.7,25.0,24.45,24.86,550800
2001-03-27,24.9,25.0,24.49,24.84,417700
2001-03-28,24.8,25.12,24.6,24.98,512600
2001-03-29,25.15,25.8,25.0,25.3,540200
2001-03-30,25.35,25.75,25.15,25.48,390600
2001-04-02,25.85,26.51,25.62,25.64,734500
2001-04-03,24.15,24.16,19.73,20.31,5878700
2001-04-04,20.75,22.45,20.75,22.0,3234700
2001-04-05,22.0,22.62,21.3,21.41,3177300
2001-04-06,21.25,21.25,20.45,20.52,1189100
2001-04-09,20.77,21.2,20.62,20.82,1154000
2001-04-10,21.0,21.0,20.55,20.55,1654800
2001-04-11,20.8,21.06,20.65,20.91,1019300
2001-04-12,20.93,21.46,20.67,20.67,1576500
2001-04-16,20.85,21.23,20.75,20.9,1084300
