,open,high,low,close,volume
2001-02-22,26.244,26.244,25.814,25.884,32700
2001-02-23,25.904,26.304,25.884,26.004,93600
2001-02-26,26.064,26.564,26.064,26.564,50800
2001-02-27,26.464,26.464,26.204,26.214,32200
2001-02-28,26.214,26.394,26.174,26.384,369700
2001-03-01,26.334,26.494,26.324,26.494,65600
2001-03-02,26.494,26.604,26.054,26.584,60100
2001-03-05,26.584,26.604,26.304,26.504,26700
2001-03-06,26.404,26.654,26.404,26.654,24700
2001-03-07,26.754,26.974,26.754,26.934,48500
2001-03-08,26.904,27.054,26.704,26.954,92000
2001-03-09,26.954,27.104,26.894,27.004,34000
2001-03-12,27.004,27.054,26.654,26.664,55300
2001-03-13,26.614,26.624,26.454,26.604,28500
2001-03-14,26.604,26.604,26.274,26.304,35400
2001-03-15,26.254,26.254,25.834,25.854,32700
2001-03-16,25.954,25.994,25.654,25.654,39500
2001-03-19,25.704,25.784,25.364,25.504,123700
2001-03-20,25.404,25.704,25.354,25.554,96100
2001-03-21,25.604,25.604,25.104,25.224,120200
2001-03-22,25.204,25.204,24.604,24.874,96100
2001-03-23,24.874,25.304,24.714,25.184,31300
2001-03-26,25.284,25.514,25.234,25.504,86700
2001-03-27,25.604,25.754,25.324,25.504,454200
2001-03-28,25.144,25.374,25.104,25.204,370300
2001-03-29,25.204,25.394,25.104,25.254,47000
2001-03-30,25.304,25.754,25.304,25.754,45600
2001-04-02,25.704,25.744,25.504,25.744,27100
2001-04-03,25.784,25.784,25.124,25.204,40600
2001-04-04,25.104,25.254,24.754,24.784,91100
2001-04-05,24.884,25.274,24.884,25.054,71200
2001-04-06,25.004,25.004,24.404,24.404,95600
2001-04-09,24.454,24.554,24.314,24.504,73000
2001-04-10,24.454,24.604,24.354,24.394,46400
2001-04-11,24.384,24.384,23.604,23.604,133100
2001-04-12,23.504,23.804,23.504,23.804,47200
2001-04-16,24.054,24.154,23.734,23.904,94500
2001-04-17,23.854,24.024,23.804,23.924,68000
2001-04-18,23.954,24.844,23.954,24.804,63300
2001-04-19,24.904,24.924,24.404,24.604,152100
2001-04-20,24.554,24.694,24.224,24.224,41800
2001-04-23,24.224,24.704,24.204,24.204,91900
2001-04-24,24.274,24.604,24.174,24.584,114100
2001-04-25,24.564,25.574,24.554,25.504,126400
2001-04-26,25.404,26.104,25.404,26.104,109500
2001-04-27,26.204,26.954,26.174,26.794,133800
2001-04-30,26.804,27.204,26.804,26.914,197400
2001-05-01,26.914,27.004,26.904,27.004,81200
2001-05-02,26.954,26.954,26.754,26.834,69000
2001-05-03,26.804,26.844,26.374,26.454,103200
2001-05-04,26.504,26.874,26.384,26.704,59400
2001-05-07,26.804,26.864,26.554,26.554,30500
2001-05-08,26.564,26.634,26.414,26.584,26700
2001-05-09,26.584,26.584,26.464,26.494,241300
2001-05-10,26.454,26.594,26.324,26.584,90300
2001-05-11,26.604,26.654,26.104,26.204,47300
2001-05-14,26.304,26.454,25.954,26.204,44800
2001-05-15,26.284,26.304,25.964,26.294,45700
2001-05-16,26.154,26.294,26.004,26.104,41400
2001-05-17,26.154,26.304,26.154,26.254,52100
2001-05-18,26.204,26.654,26.104,26.334,30400
2001-05-21,26.404,27.104,26.324,27.054,32900
2001-05-22,27.004,27.524,27.004,27.524,49900
2001-05-23,27.424,27.424,26.874,27.054,34700
2001-05-24,27.154,27.154,26.304,27.054,58100
2001-05-25,26.904,26.964,26.694,26.854,37200
2001-05-29,26.804,26.854,26.574,26.704,33600
2001-05-30,26.604,26.654,26.404,26.454,38700
2001-05-31,27.554,27.554,26.464,26.554,58500
2001-06-01,26.544,26.654,26.314,26.654,31000
2001-06-04,26.554,26.744,26.424,26.604,58600
2001-06-05,26.604,27.004,26.574,27.004,31600
2001-06-06,26.804,27.204,26.804,26.954,56600
2001-06-07,26.954,27.054,26.904,27.004,20600
2001-06-08,26.954,27.264,26.734,27.064,50800
2001-06-11,27.104,27.434,27.104,27.404,26100
2001-06-12,27.374,27.754,27.374,27.474,104600
2001-06-13,27.554,27.804,27.504,27.724,84100
2001-06-14,27.924,28.134,27.754,27.804,153100
2001-06-15,27.704,27.754,27.554,27.554,97600
2001-06-18,27.454,27.804,27.454,27.804,38100
2001-06-19,27.804,27.884,27.704,27.804,19000
2001-06-20,27.814,27.934,27.794,27.934,35700
2001-06-21,27.934,28.054,27.934,28.044,26200
2001-06-22,28.044,28.094,27.804,27.804,33600
2001-06-25,27.814,27.974,27.754,27.804,42900
2001-06-26,27.754,28.044,27.604,28.044,297400
2001-06-27,27.654,27.854,27.604,27.804,246200
2001-06-28,27.854,28.104,27.854,28.104,80700
2001-06-29,28.104,28.704,28.104,28.614,110500
2001-07-02,28.624,28.624,28.134,28.304,38300
2001-07-03,28.304,28.654,28.304,28.604,45900
2001-07-05,28.604,29.094,28.604,28.604,63000
2001-07-06,28.614,28.704,28.604,28.654,94200
2001-07-09,28.624,28.654,28.574,28.614,118900
2001-07-10,28.644,28.644,28.334,28.354,86300
2001-07-11,28.354,28.384,28.054,28.204,47000
2001-07-12,28.204,28.504,28.204,28.504,38200
2001-07-13,28.404,28.604,28.364,28.514,32100
2001-07-16,28.554,28.854,28.554,28.704,69600
2001-07-17,28.754,29.024,28.684,28.954,41700
2001-07-18,28.954,29.004,28.824,28.954,94200
2001-07-19,28.954,29.154,28.904,28.964,127300
2001-07-20,26.804,27.654,26.804,27.554,871200
2001-07-23,27.554,27.584,27.444,27.504,348500
2001-07-24,27.504,27.604,27.404,27.554,256700
2001-07-25,27.604,28.104,27.454,28.104,227700
2001-07-26,28.204,28.454,27.994,28.404,101200
2001-07-27,28.654,28.794,28.604,28.714,61700
2001-07-30,28.724,28.754,28.454,28.464,116100
2001-07-31,28.404,28.694,28.404,28.604,96800
2001-08-01,28.604,28.754,28.534,28.604,99800
2001-08-02,28.604,28.804,28.414,28.414,106100
2001-08-03,28.454,28.534,28.254,28.454,89700
2001-08-06,28.454,28.604,28.404,28.434,71100
2001-08-07,28.444,28.444,28.154,28.304,132000
2001-08-08,28.304,28.404,28.054,28.404,149500
2001-08-09,28.404,28.654,28.354,28.654,86900
2001-08-10,28.604,29.054,28.504,28.954,95900
2001-08-13,28.954,29.004,28.634,28.784,81000
2001-08-14,28.904,29.104,28.814,28.954,62500
2001-08-15,29.004,29.254,28.904,29.254,60000
2001-08-16,29.254,29.254,29.054,29.154,130200
2001-08-17,29.204,29.284,28.804,29.054,187800
2001-08-20,29.004,29.114,29.004,29.054,46500
2001-08-21,29.104,29.354,29.004,29.034,76600
2001-08-22,29.104,29.294,29.004,29.214,91500
2001-08-23,29.224,29.304,29.104,29.204,78700
2001-08-24,29.154,29.204,28.954,29.004,77500
2001-08-27,28.954,29.294,28.804,29.004,37400
2001-08-28,29.204,29.244,28.694,28.694,75900
2001-08-29,28.444,28.854,28.154,28.854,82900
2001-08-30,28.854,28.854,28.204,28.354,117900
2001-08-31,28.354,28.604,27.604,27.604,163300
2001-09-04,27.504,27.994,27.504,27.904,226500
2001-09-05,27.854,28.254,27.854,28.034,51600
2001-09-06,28.054,28.104,27.604,27.704,75600
2001-09-07,27.654,27.754,27.304,27.354,62700
2001-09-10,27.304,27.424,27.244,27.254,90400
2001-09-17,30.304,30.354,28.754,28.844,1470800
2001-09-18,29.044,29.064,28.554,28.554,618700
2001-09-19,28.804,29.004,28.204,28.604,783400
2001-09-20,28.604,28.604,27.254,27.304,409500
2001-09-21,27.304,27.404,26.894,26.904,165100
2001-09-24,27.154,28.104,27.154,27.654,320200
2001-09-25,27.804,28.304,27.654,28.304,1381100
2001-09-26,27.904,28.304,27.604,28.254,793200
2001-09-27,28.354,29.154,28.354,29.154,285900
2001-09-28,28.954,29.904,28.954,29.824,238600
2001-10-01,29.824,29.824,29.304,29.504,191600
2001-10-02,29.054,29.804,29.054,29.604,266900
2001-10-03,29.404,29.554,29.394,29.494,232600
2001-10-04,29.904,30.204,29.504,29.504,197300
2001-10-05,29.604,29.604,28.754,29.554,98200
2001-10-08,29.454,29.704,29.154,29.264,36100
2001-10-09,29.254,29.354,29.014,29.054,58100
2001-10-10,29.104,29.664,29.054,29.554,121400
2001-10-11,29.554,30.054,29.544,29.674,58400
2001-10-12,29.674,29.674,29.214,29.404,52700
2001-10-15,29.354,29.604,29.324,29.544,56300
2001-10-16,29.504,29.554,29.224,29.354,104300
2001-10-17,29.304,29.534,28.704,29.234,197300
2001-10-18,29.154,29.254,28.574,28.904,192500
2001-10-19,28.884,28.954,28.504,28.714,180700
2001-10-22,28.814,28.984,28.504,28.574,147100
2001-10-23,28.584,28.754,28.324,28.354,144200
2001-10-24,28.454,28.504,28.014,28.104,220200
2001-10-25,28.054,28.054,27.854,27.954,201300
2001-10-26,28.054,28.104,26.804,27.864,251100
2001-10-29,27.904,28.004,27.854,27.944,99000
2001-10-30,27.944,28.014,27.854,28.004,88300
2001-10-31,28.004,28.194,27.904,28.124,153600
2001-11-01,28.104,28.564,28.054,28.454,235800
2001-11-02,28.444,28.504,28.254,28.304,98700
2001-11-05,28.304,28.434,27.964,28.094,58600
2001-11-06,28.054,28.554,28.004,28.354,92400
2001-11-07,28.254,28.294,28.004,28.004,128000
2001-11-08,27.904,28.204,27.704,27.954,87600
2001-11-09,27.854,27.914,27.614,27.834,97400
2001-11-12,27.854,28.104,27.754,28.104,105400
2001-11-13,27.954,28.054,27.764,28.054,190000
2001-11-14,28.054,28.324,27.864,28.284,158300
2001-11-15,28.204,28.424,28.004,28.304,48700
2001-11-16,28.204,28.334,28.124,28.284,102100
2001-11-19,28.304,28.324,28.004,28.294,56900
2001-11-20,28.254,28.414,28.084,28.104,70000
2001-11-21,28.154,28.354,28.004,28.354,100400
2001-11-23,28.324,28.504,28.324,28.504,21700
2001-11-26,28.494,28.494,28.314,28.354,84000
2001-11-27,28.354,28.354,28.294,28.304,83500
2001-11-28,28.304,28.554,28.204,28.234,136800
2001-11-29,28.304,28.654,28.214,28.604,210000
2001-11-30,28.504,28.754,28.454,28.604,115100
2001-12-03,28.504,28.714,28.344,28.414,105500
2001-12-04,28.444,29.054,28.444,29.054,53400
2001-12-05,29.054,29.524,29.054,29.404,86800
2001-12-06,29.504,29.744,29.404,29.634,108100
2001-12-07,29.644,29.644,29.404,29.544,59700
2001-12-10,29.554,29.554,29.104,29.104,171400
2001-12-11,29.104,29.244,29.004,29.154,77500
2001-12-12,29.104,29.154,28.904,28.904,85400
2001-12-13,28.904,28.904,28.714,28.804,73400
2001-12-14,28.854,29.154,28.574,28.844,63600
2001-12-17,28.844,29.304,28.754,29.254,54400
2001-12-18,29.254,29.354,28.974,29.304,40600
2001-12-19,29.404,29.404,29.114,29.284,540300
2001-12-20,29.284,29.304,29.104,29.104,313800
2001-12-21,29.254,29.594,29.104,29.404,284100
2001-12-24,29.424,29.454,29.304,29.444,33600
2001-12-26,29.444,29.494,29.284,29.364,780800
2001-12-27,28.914,29.304,28.914,29.154,806200
2001-12-28,29.284,29.564,29.204,29.354,192100
2001-12-31,29.254,29.384,28.984,29.014,77000
2002-01-02,29.004,29.024,28.334,28.704,150600
2002-01-03,28.754,29.104,28.754,29.104,81000
2002-01-04,29.144,29.284,28.804,29.114,34600
2002-01-07,29.154,29.264,28.904,29.104,73500
2002-01-08,29.154,29.254,29.144,29.244,87900
2002-01-09,29.244,29.254,29.004,29.154,87100
2002-01-10,29.204,29.254,29.154,29.254,78900
2002-01-11,29.304,29.454,29.154,29.314,76300
2002-01-14,29.314,30.054,29.314,30.024,107800
2002-01-15,29.924,29.954,29.534,29.904,69700
2002-01-16,29.904,30.084,29.774,29.804,85800
2002-01-17,29.854,30.104,29.694,30.104,98600
2002-01-18,30.084,30.084,29.644,29.664,65500
2002-01-22,29.704,30.004,29.504,29.814,114200
2002-01-23,29.754,30.014,29.754,30.004,128900
2002-01-24,30.134,30.224,29.944,29.964,145500
2002-01-25,29.964,29.984,29.874,29.914,47600
2002-01-28,29.924,30.154,29.664,29.914,114200
2002-01-29,29.954,29.974,29.754,29.804,93200
2002-01-30,29.904,30.104,29.854,30.004,157400
2002-01-31,30.054,30.054,29.804,29.954,50100
2002-02-01,30.004,30.094,29.914,30.014,49000
2002-02-04,30.024,30.144,29.834,30.094,171200
2002-02-05,30.044,30.184,29.814,29.924,123400
2002-02-06,30.004,30.054,29.494,29.904,499200
2002-02-07,29.954,29.954,29.584,29.584,365700
2002-02-08,29.454,29.714,29.404,29.704,125000
2002-02-11,29.754,29.844,29.554,29.784,110000
2002-02-12,29.784,29.944,29.704,29.904,652600
2002-02-13,29.904,30.304,29.744,30.294,102800
2002-02-14,30.294,30.294,29.984,30.104,118000
2002-02-15,30.154,30.204,29.854,30.204,77000
2002-02-19,30.204,30.304,30.084,30.254,63200
2002-02-20,30.284,30.484,30.174,30.484,218700
2002-02-21,30.554,30.554,29.944,29.944,125700
2002-02-22,29.854,30.614,29.804,30.614,105000
2002-02-25,30.714,30.814,30.294,30.534,65200
2002-02-26,30.534,30.554,30.354,30.534,74000
2002-02-27,30.454,30.464,30.304,30.314,114800
2002-02-28,30.354,30.554,30.204,30.224,109900
2002-03-01,30.284,30.304,30.054,30.294,144600
2002-03-04,30.354,30.394,30.024,30.374,208900
2002-03-05,30.404,30.954,30.304,30.954,343900
2002-03-06,31.054,31.054,30.824,30.994,123900
2002-03-07,30.994,31.064,30.674,30.844,87100
2002-03-08,30.844,31.114,30.844,31.114,52500
2002-03-11,31.054,31.064,30.734,30.954,205700
2002-03-12,30.934,31.054,30.604,30.614,220000
2002-03-13,30.704,31.044,30.614,30.764,192500
2002-03-14,30.854,31.154,30.754,31.154,189000
2002-03-15,31.054,31.404,31.054,31.104,168800
2002-03-18,30.854,31.364,30.854,31.204,81800
2002-03-19,31.104,31.564,31.054,31.514,73500
2002-03-20,31.404,31.474,31.104,31.114,43800
2002-03-21,31.304,31.754,31.304,31.554,135400
2002-03-22,31.554,31.754,31.484,31.544,154500
2002-03-25,31.554,31.654,31.304,31.504,508600
2002-03-26,31.204,31.754,31.204,31.754,897500
2002-03-27,31.754,31.854,31.554,31.854,370000
2002-03-28,31.884,32.464,31.854,31.904,125400
2002-04-01,31.804,31.904,31.654,31.904,135700
2002-04-02,31.804,32.454,31.714,32.154,160500
2002-04-03,32.254,32.304,32.104,32.184,69100
2002-04-04,32.184,32.584,32.124,32.544,44600
2002-04-05,32.604,32.854,32.494,32.594,109500
2002-04-08,32.634,32.904,32.504,32.824,61300
2002-04-09,32.804,33.304,32.804,33.154,73200
2002-04-10,33.154,33.894,33.104,33.894,130000
2002-04-11,33.894,33.894,33.654,33.754,104300
2002-04-12,33.904,34.604,33.664,34.604,89800
2002-04-15,34.204,34.204,33.604,33.904,178800
2002-04-16,33.704,33.914,33.034,33.074,186400
2002-04-17,33.054,33.064,32.304,32.554,250800
2002-04-18,32.554,32.954,32.454,32.814,248900
2002-04-19,32.904,32.924,32.684,32.904,186600
2002-04-22,33.004,33.004,32.764,32.804,112300
2002-04-23,32.804,32.854,32.534,32.534,235000
2002-04-24,32.534,32.754,32.524,32.584,283200
2002-04-25,32.584,32.754,32.454,32.554,133000
2002-04-26,32.554,32.884,32.504,32.654,100500
2002-04-29,32.754,32.904,32.454,32.904,67500
2002-04-30,32.954,33.754,32.904,33.404,124000
2002-05-01,33.604,34.294,33.304,34.184,98500
2002-05-02,34.194,34.604,33.974,34.364,112400
2002-05-03,34.364,34.454,34.154,34.204,128400
2002-05-06,34.204,34.504,33.814,33.824,95000
2002-05-07,34.074,34.154,33.704,33.964,56900
2002-05-08,34.214,34.264,33.454,33.824,62600
2002-05-09,33.824,33.854,33.104,33.104,98600
2002-05-10,33.304,33.324,32.804,32.904,107700
2002-05-13,32.904,33.404,32.854,33.044,77300
2002-05-14,33.044,33.304,32.994,33.294,48800
2002-05-15,33.294,33.654,33.254,33.654,60000
2002-05-16,33.654,33.654,32.974,32.974,72200
2002-05-17,32.974,33.454,32.974,33.304,46000
2002-05-20,33.304,33.504,33.064,33.484,48400
2002-05-21,33.504,33.504,33.084,33.154,63200
2002-05-22,33.004,33.254,32.954,32.954,55600
2002-05-23,32.854,33.954,32.754,33.754,113400
2002-05-24,33.854,34.294,33.514,33.554,59500
2002-05-28,33.604,33.854,33.204,33.824,57500
2002-05-29,33.974,34.164,33.654,34.154,51700
2002-05-30,34.154,34.704,34.004,34.704,49400
2002-05-31,34.604,34.604,34.104,34.104,59200
2002-06-03,34.154,34.804,34.004,34.304,97300
2002-06-04,34.304,34.314,34.124,34.194,98800
2002-06-05,34.254,34.504,34.254,34.504,58100
2002-06-06,34.504,34.504,34.304,34.414,99500
2002-06-07,34.414,34.454,34.004,34.214,112200
2002-06-10,34.304,34.564,34.264,34.414,44700
2002-06-11,34.454,34.654,34.124,34.174,230300
2002-06-12,34.274,34.404,33.794,34.084,110000
2002-06-13,34.184,34.344,33.844,33.944,73400
2002-06-14,33.904,34.094,33.814,33.844,88900
2002-06-17,33.804,34.154,33.804,34.144,101100
2002-06-18,34.204,34.254,33.934,34.154,59400
2002-06-19,34.254,34.534,33.944,34.064,81900
2002-06-20,34.154,34.604,34.054,34.104,84600
2002-06-21,34.334,34.644,34.154,34.454,142300
2002-06-24,34.504,35.004,34.354,34.664,85800
2002-06-25,34.454,35.004,34.434,34.804,873800
2002-06-26,34.104,34.104,33.454,33.504,846400
2002-06-27,33.354,33.524,33.044,33.394,333100
2002-06-28,33.204,33.954,33.204,33.954,233100
2002-07-01,33.904,33.904,32.804,33.704,162300
2002-07-02,33.604,33.724,33.004,33.404,132800
2002-07-03,33.304,33.304,32.684,32.904,215700
2002-07-05,33.004,33.104,32.564,32.844,66700
2002-07-08,32.854,33.054,31.854,32.084,150400
2002-07-09,32.184,32.394,31.784,31.984,132700
2002-07-10,32.054,32.304,31.244,31.254,142300
2002-07-11,31.284,31.304,30.184,31.054,363600
2002-07-12,30.804,31.224,30.404,30.564,146400
2002-07-15,30.574,30.604,30.204,30.604,393400
2002-07-16,30.704,31.734,30.704,31.264,233100
2002-07-17,31.304,31.704,30.504,30.954,503300
2002-07-18,30.954,30.954,30.424,30.554,242100
2002-07-19,30.554,30.604,30.204,30.204,476400
2002-07-22,30.304,30.904,29.124,29.694,192600
2002-07-23,29.754,29.834,28.504,28.534,169400
2002-07-24,27.554,28.054,26.254,27.534,645600
2002-07-25,27.534,28.484,26.954,28.204,343500
2002-07-26,28.304,29.184,28.104,29.014,381900
2002-07-29,29.204,30.504,29.204,30.264,218400
2002-07-30,30.514,31.254,29.704,30.944,204100
2002-07-31,30.944,30.944,30.204,30.554,190800
2002-08-01,30.564,30.654,29.804,29.994,208400
2002-08-02,30.004,30.004,29.494,29.504,193800
2002-08-05,29.604,29.604,28.704,29.044,142100
2002-08-06,29.054,29.604,28.904,29.524,149900
2002-08-07,29.554,30.354,29.374,30.334,107500
2002-08-08,30.404,30.404,29.894,30.204,85900
2002-08-09,30.204,30.204,29.524,29.874,160000
2002-08-12,29.754,30.184,29.414,30.184,93300
2002-08-13,30.154,30.504,29.554,29.554,62200
2002-08-14,29.654,30.334,29.454,30.334,63400
2002-08-15,30.334,30.344,29.904,29.994,60200
2002-08-16,29.904,30.504,29.904,30.444,162200
2002-08-19,30.504,30.724,30.304,30.604,119100
2002-08-20,30.614,30.804,30.314,30.374,134900
2002-08-21,30.324,30.424,29.834,30.054,196800
2002-08-22,30.204,30.204,29.874,30.014,104300
2002-08-23,30.104,30.404,29.804,30.104,85900
2002-08-26,30.114,30.694,30.034,30.694,126500
2002-08-27,30.804,31.304,30.254,30.924,104700
2002-08-28,30.904,31.394,30.904,31.034,45400
2002-08-29,31.104,31.304,30.904,31.264,70700
2002-08-30,31.304,31.534,31.144,31.374,126800
2002-09-03,31.504,31.504,30.854,30.964,84200
2002-09-04,31.054,31.054,30.804,30.804,102500
2002-09-05,30.804,30.804,30.404,30.414,97400
2002-09-06,30.484,30.804,30.454,30.804,153700
2002-09-09,30.904,30.994,30.664,30.844,103800
2002-09-10,30.904,30.954,30.504,30.744,46000
2002-09-11,30.864,31.004,30.714,30.794,43000
2002-09-12,30.704,30.704,30.454,30.514,37800
2002-09-13,30.554,30.974,30.484,30.834,91800
2002-09-16,30.884,30.934,30.654,30.784,54900
2002-09-17,30.864,30.954,30.634,30.784,582100
2002-09-18,30.854,31.144,30.414,30.804,112600
2002-09-19,30.804,30.804,30.304,30.444,79500
2002-09-20,30.604,30.764,30.304,30.404,149400
2002-09-23,30.304,30.514,30.034,30.354,81300
2002-09-24,30.384,30.384,29.924,30.354,76700
2002-09-25,30.354,30.404,29.934,30.294,683800
2002-09-26,29.944,30.204,29.724,30.204,736500
2002-09-27,30.204,30.384,29.454,29.454,138500
2002-09-30,29.484,29.484,28.754,29.044,264700
2002-10-01,29.044,29.054,28.504,28.754,236000
2002-10-02,28.624,28.854,28.624,28.674,143400
2002-10-03,28.654,28.884,28.454,28.654,115300
2002-10-04,28.604,28.704,27.744,27.904,173400
2002-10-07,27.854,28.004,27.154,27.274,184800
2002-10-08,27.314,27.454,26.894,26.934,199200
2002-10-09,26.834,26.874,25.854,25.954,241000
2002-10-10,25.854,26.504,25.544,26.404,249900
2002-10-11,26.304,27.304,26.304,27.144,86600
2002-10-14,27.104,27.304,26.644,26.704,72800
2002-10-15,27.004,27.504,26.974,27.354,78100
2002-10-16,27.404,27.544,26.854,27.104,88800
2002-10-17,27.314,27.654,27.314,27.604,91700
2002-10-18,27.704,27.704,27.324,27.324,40900
2002-10-21,27.404,27.414,26.994,27.114,66200
2002-10-22,27.114,27.114,26.084,26.184,250000
2002-10-23,26.184,26.284,26.004,26.104,235300
2002-10-24,26.084,26.484,26.084,26.424,211300
2002-10-25,26.354,27.124,26.354,27.124,83800
2002-10-28,27.354,27.364,27.054,27.214,150600
2002-10-29,27.214,27.264,26.784,27.094,189400
2002-10-30,27.154,27.304,26.964,27.304,95800
2002-10-31,27.474,27.724,27.434,27.484,202900
2002-11-01,27.484,27.694,27.484,27.694,85500
2002-11-04,27.684,28.304,27.554,28.304,95500
2002-11-05,28.304,28.624,27.874,28.624,104300
2002-11-06,28.704,29.054,28.554,28.964,207000
2002-11-07,29.054,29.124,28.704,28.954,75900
2002-11-08,28.964,28.964,28.484,28.794,81500
2002-11-11,28.804,28.854,28.314,28.344,84300
2002-11-12,28.334,28.534,28.264,28.534,132800
2002-11-13,28.554,28.604,28.204,28.204,89200
2002-11-14,28.354,28.594,28.264,28.554,142800
2002-11-15,28.304,28.624,28.304,28.404,147500
2002-11-18,28.454,28.524,27.954,27.994,140300
2002-11-19,27.894,28.304,27.854,28.004,69400
2002-11-20,28.254,28.294,27.554,28.284,104100
2002-11-21,28.204,28.604,28.194,28.534,152500
2002-11-22,28.604,29.254,28.354,29.254,360700
2002-11-25,29.254,29.454,28.514,29.154,419500
2002-11-26,29.204,29.204,28.804,29.104,194900
2002-11-27,29.104,29.804,29.104,29.804,220600
2002-11-29,29.804,30.054,29.514,30.024,135100
2002-12-02,30.024,30.304,29.704,30.034,120000
2002-12-03,29.784,30.384,29.784,30.164,184800
2002-12-04,30.164,30.164,29.654,29.864,116500
2002-12-05,29.884,30.004,29.684,29.704,391200
2002-12-06,29.704,29.844,29.524,29.664,112600
2002-12-09,29.724,30.154,29.684,29.924,62300
2002-12-10,30.004,30.204,29.594,29.634,147600
2002-12-11,29.634,29.634,29.154,29.394,144200
2002-12-12,29.404,29.504,29.284,29.404,173500
2002-12-13,29.504,29.774,29.304,29.304,67000
2002-12-16,29.454,29.654,29.374,29.554,189500
2002-12-17,29.454,29.474,29.254,29.394,136500
2002-12-18,29.394,29.434,28.964,29.024,71000
2002-12-19,29.124,29.354,28.984,29.304,154500
2002-12-20,29.304,29.614,29.204,29.534,182700
2002-12-23,29.304,29.604,29.214,29.304,149900
2002-12-24,29.404,29.954,29.404,29.764,101400
2002-12-26,29.904,30.204,29.784,30.004,764600
2002-12-27,29.554,29.954,29.474,29.954,719200
2002-12-30,29.904,30.174,29.704,30.174,162500
2002-12-31,30.254,30.714,29.904,29.904,189500
2003-01-02,30.004,30.084,29.854,30.054,116500
2003-01-03,30.104,30.104,29.844,29.994,212100
2003-01-06,30.104,30.304,29.894,30.254,104000
2003-01-07,30.154,30.164,29.604,29.764,237500
2003-01-08,29.854,29.964,29.514,29.624,121400
2003-01-09,29.624,29.884,29.364,29.884,209700
2003-01-10,29.954,29.954,29.124,29.124,112400
2003-01-13,29.254,29.334,29.004,29.004,109600
2003-01-14,29.004,29.204,29.004,29.034,185400
2003-01-15,29.084,29.204,28.654,28.854,146400
2003-01-16,28.804,28.854,28.304,28.304,98900
2003-01-17,28.304,28.804,28.284,28.294,80600
2003-01-21,28.304,28.324,28.024,28.304,125200
2003-01-22,28.354,28.604,28.234,28.604,62100
2003-01-23,28.654,28.954,28.614,28.854,147300
2003-01-24,28.904,28.904,28.454,28.534,187600
2003-01-27,28.554,28.584,28.404,28.554,119100
2003-01-28,28.604,28.744,28.504,28.744,72600
2003-01-29,29.054,29.054,28.154,28.374,571000
2003-01-30,28.454,28.454,28.214,28.314,265400
2003-01-31,28.374,28.814,28.314,28.524,176200
2003-02-03,28.654,28.794,28.374,28.374,90800
2003-02-04,28.384,28.674,28.274,28.554,113700
2003-02-05,28.654,28.794,28.394,28.524,76100
2003-02-06,28.524,28.654,28.404,28.534,127800
2003-02-07,28.554,28.624,28.154,28.304,202000
2003-02-10,28.304,28.604,28.304,28.604,665900
2003-02-11,28.804,28.804,28.154,28.304,202600
2003-02-12,28.304,28.404,28.054,28.204,224600
2003-02-13,28.054,28.154,27.904,28.154,422700
2003-02-14,28.254,28.264,27.764,27.764,315400
2003-02-18,27.804,28.554,27.794,28.444,217400
2003-02-19,28.304,28.404,28.174,28.284,55300
2003-02-20,28.344,28.384,28.144,28.244,151900
2003-02-21,28.154,28.504,28.084,28.354,184100
