,open,high,low,close,volume
2001-02-22,18.15,18.4,17.86,18.13,224300
2001-02-23,18.2,18.5,17.95,18.06,375100
2001-02-26,18.06,18.25,17.8,18.09,313200
2001-02-27,18.15,18.22,18.06,18.06,186800
2001-02-28,18.15,18.74,18.1,18.7,249300
2001-03-01,18.65,18.65,17.77,17.84,201000
2001-03-02,17.8,18.15,17.8,18.1,322400
2001-03-05,18.05,18.55,18.05,18.25,248100
2001-03-06,18.1,18.28,17.76,17.95,171400
2001-03-07,17.9,18.4,17.67,17.73,174300
2001-03-08,17.73,18.01,17.6,18.01,202300
2001-03-09,17.8,18.02,17.53,18.01,242700
2001-03-12,17.95,18.32,17.63,18.0,286100
2001-03-13,17.85,17.95,17.45,17.58,320200
2001-03-14,17.2,17.61,17.16,17.52,140600
2001-03-15,17.45,17.46,14.0,14.15,1587300
2001-03-16,14.2,14.6,12.76,12.87,1121300
2001-03-19,12.88,13.25,12.5,13.25,544000
2001-03-20,13.35,13.82,13.25,13.55,316300
2001-03-21,13.4,13.41,12.75,12.79,237300
2001-03-22,12.7,12.75,11.6,12.21,293100
2001-03-23,12.23,12.79,12.23,12.73,250100
2001-03-26,12.75,13.25,12.5,13.09,383600
2001-03-27,12.99,13.05,12.75,12.95,278500
2001-03-28,12.98,13.0,12.5,12.5,182100
2001-03-29,12.55,13.02,12.54,12.85,101600
2001-03-30,12.85,14.15,12.77,14.1,328700
2001-04-02,13.9,14.05,13.45,13.45,198300
2001-04-03,13.35,13.45,12.3,12.3,254900
2001-04-04,12.3,13.1,12.14,12.91,244500
2001-04-05,12.91,13.45,12.77,13.45,166400
2001-04-06,13.35,13.59,12.98,13.29,143700
2001-04-09,13.29,13.93,13.29,13.77,105100
2001-04-10,13.67,13.86,13.35,13.77,156700
2001-04-11,13.87,14.01,13.65,13.66,230200
2001-04-12,13.6,13.9,13.36,13.8,135600
2001-04-16,14.1,14.25,13.9,14.2,133800
2001-04-17,14.1,14.8,14.02,14.55,125800
2001-04-18,15.0,15.1,14.55,14.69,193500
2001-04-19,14.69,15.15,14.45,15.15,134500
2001-04-20,15.05,15.17,14.52,15.17,151600
2001-04-23,15.12,15.42,15.0,15.42,132600
2001-04-24,15.3,15.3,14.55,14.85,224700
2001-04-25,14.75,15.3,14.6,15.3,88700
2001-04-26,15.6,17.4,15.59,17.01,397500
2001-04-27,17.01,17.68,17.01,17.6,277900
2001-04-30,17.95,18.24,17.9,18.18,443400
2001-05-01,18.05,18.24,17.75,18.07,453700
2001-05-02,18.05,18.05,17.45,17.97,155600
2001-05-03,17.8,17.98,17.2,17.45,292200
2001-05-04,17.35,17.9,16.75,17.9,177400
2001-05-07,18.0,18.0,17.3,17.57,293900
2001-05-08,17.54,17.65,17.22,17.31,106600
2001-05-09,17.4,17.4,16.9,16.98,120800
2001-05-10,17.0,17.0,16.68,16.85,158300
2001-05-11,16.72,17.55,16.7,17.42,302900
2001-05-14,17.3,17.3,16.9,16.98,21500
2001-05-15,17.05,17.32,16.61,17.32,99600
2001-05-16,17.32,17.5,16.8,17.15,193200
2001-05-17,17.2,17.95,17.01,17.85,179700
2001-05-18,17.65,17.75,17.41,17.6,99400
