,open,high,low,close,volume
2000-12-22,6.75781,6.78125,6.72656,6.75,885600
2000-12-26,6.75,6.95313,6.73438,6.90625,530400
2000-12-27,6.92969,7.09375,6.92969,7.09375,331200
2000-12-28,7.20313,7.35938,7.07813,7.3125,913600
2000-12-29,7.30469,7.375,7.29688,7.34375,574400
2001-01-02,7.34375,7.34375,7.0625,7.125,563200
2001-01-03,7.09375,7.25,6.71875,7.03125,1274400
2001-01-04,7.0,7.0,6.6875,6.71094,1168000
2001-01-05,6.75,6.82813,6.625,6.69531,1074400
2001-01-08,6.72656,7.11719,6.72656,7.11719,971200
2001-01-09,7.11719,7.25,6.96875,7.09375,911200
2001-01-10,7.07813,7.35156,7.07813,7.32813,1649600
2001-01-11,7.32813,7.67188,7.27344,7.53125,1758400
2001-01-12,7.53125,7.67969,7.4375,7.52344,1244800
2001-01-16,7.52344,7.89844,7.42969,7.89844,1202400
2001-01-17,7.90625,8.0625,7.875,7.94531,2139200
2001-01-18,7.92188,8.10938,7.80469,8.0625,1156000
2001-01-19,8.11719,8.11719,7.85938,7.92188,1090400
2001-01-22,7.89063,8.0,7.875,7.875,532800
2001-01-23,7.90625,8.05469,7.90625,8.05469,1232000
2001-01-24,8.07813,8.14844,8.0,8.125,1777600
2001-01-25,8.09375,8.23438,8.00781,8.1875,1020000
2001-01-26,8.15625,8.32813,8.03906,8.32031,1193600
2001-01-29,8.32,8.4875,8.32,8.3875,1591200
2001-01-30,8.41875,8.465,8.32125,8.465,882400
2001-01-31,8.43375,8.4875,8.35625,8.42625,671200
2001-02-01,8.4575,8.575,8.39,8.5675,548000
2001-02-02,8.53625,8.53625,8.34375,8.425,2000800
2001-02-05,8.425,8.425,8.06875,8.125,1281600
2001-02-06,8.09375,8.09625,7.8625,7.8975,1589600
2001-02-07,7.8975,8.055,7.78125,8.03375,1256800
2001-02-08,8.035,8.035,7.895,7.95875,748000
2001-02-09,7.93125,8.05375,7.925,8.01875,711200
2001-02-12,8.05,8.25,7.94375,8.21875,548800
2001-02-13,8.25,8.35875,8.23125,8.26875,651200
2001-02-14,8.3,8.35625,8.18125,8.25625,887200
2001-02-15,8.2375,8.23875,7.975,8.03125,770400
2001-02-16,7.9875,8.09375,7.87625,8.0875,799200
2001-02-20,8.0875,8.125,8.075,8.075,614400
2001-02-21,8.05,8.06625,7.90875,7.92625,784000
2001-02-22,7.93875,7.95125,7.8375,7.8625,639200
2001-02-23,7.85625,7.85625,7.61875,7.8,1061600
2001-02-26,7.875,8.0,7.82875,7.9875,625600
2001-02-27,7.99375,7.99375,7.89375,7.93375,465600
2001-02-28,7.9325,8.075,7.81625,7.98125,1149600
2001-03-01,7.99375,7.99375,7.8875,7.95,575200
2001-03-02,7.9375,7.95,7.8975,7.94125,926400
2001-03-05,7.95,8.1375,7.875,8.09875,1631200
2001-03-06,8.13,8.25,8.03375,8.1125,2023200
2001-03-07,8.1125,8.2375,8.1125,8.1375,891200
