,open,high,low,close,volume
2001-02-22,36.0,36.01,34.85,35.21,802200
2001-02-23,35.0,35.12,33.65,34.32,577700
2001-02-26,34.19,35.7,34.19,35.38,442100
2001-02-27,35.13,36.1,35.1,35.95,379400
2001-02-28,35.96,35.96,34.5,34.8,438700
2001-03-01,34.6,35.25,34.18,35.14,283200
2001-03-02,35.14,37.0,35.01,36.47,445500
2001-03-05,36.19,38.3,36.1,37.17,419600
2001-03-06,37.37,38.05,37.2,37.31,176400
2001-03-07,37.51,37.9,37.51,37.57,208200
2001-03-08,37.56,38.35,36.81,38.0,658400
2001-03-09,38.1,38.2,36.95,37.11,236100
2001-03-12,37.31,37.6,36.64,36.7,194400
2001-03-13,35.6,36.4,34.25,35.87,974800
2001-03-14,35.87,35.87,34.65,34.97,255100
2001-03-15,35.2,35.2,33.99,34.0,623900
2001-03-16,33.82,33.83,32.52,32.57,780100
2001-03-19,32.5,34.12,32.49,33.41,354100
2001-03-20,33.21,34.35,33.05,33.85,300100
2001-03-21,35.0,35.0,32.9,33.06,352100
2001-03-22,32.75,32.75,30.89,32.25,547200
2001-03-23,32.25,33.0,31.7,32.76,284700
2001-03-26,33.1,33.7,32.8,33.57,205900
2001-03-27,33.57,33.57,32.7,32.77,622300
2001-03-28,32.27,32.6,31.65,32.4,282400
2001-03-29,32.4,32.81,32.08,32.59,136900
2001-03-30,32.3,33.05,31.9,32.95,164100
2001-04-02,32.94,33.75,32.24,32.6,303400
2001-04-03,32.5,32.51,31.6,31.7,219400
2001-04-04,31.75,32.58,31.73,32.17,353300
2001-04-05,33.3,34.05,32.86,33.94,291200
2001-04-06,34.11,34.11,32.76,33.25,293900
2001-04-09,33.0,34.2,32.91,33.04,276000
2001-04-10,33.04,34.3,32.92,34.15,240600
2001-04-11,33.9,34.1,32.55,32.76,285700
2001-04-12,32.77,33.2,32.49,33.06,175600
2001-04-16,33.31,33.52,32.5,32.91,178900
2001-04-17,32.85,33.13,32.48,32.65,243100
2001-04-18,32.65,35.3,32.55,35.22,562500
2001-04-19,35.15,35.22,34.02,34.7,493700
2001-04-20,34.5,34.52,33.53,34.07,419700
2001-04-23,34.17,34.3,33.26,34.11,146000
2001-04-24,33.66,34.15,33.0,33.9,266600
2001-04-25,33.9,34.23,33.64,34.2,191400
2001-04-26,34.0,35.05,34.0,34.77,177200
2001-04-27,35.1,35.7,35.06,35.7,223200
2001-04-30,35.95,36.65,35.76,36.25,426200
2001-05-01,36.25,36.25,35.7,35.76,350700
2001-05-02,35.91,36.25,35.6,36.1,311800
2001-05-03,35.9,36.1,35.59,35.91,260400
2001-05-04,35.41,36.09,34.94,36.09,320000
