,open,high,low,close,volume
2006-05-24,-61.3,-61.1,-61.61,-61.2,37600
2006-05-25,-61.25,-61.19,-61.59,-61.42,50200
2006-05-26,-61.5,-61.45,-61.56,-61.5,44200
2006-05-30,-61.52,-61.42,-61.72,-61.52,68500
2006-05-31,-61.5,-61.21,-61.55,-61.31,69000
2006-06-01,-61.41,-60.5,-61.48,-60.5,40100
2006-06-02,-60.6,-60.0,-60.7,-60.0,69500
2006-06-05,-60.1,-59.97,-60.31,-60.02,67400
2006-06-06,-60.02,-60.02,-60.53,-60.45,62300
2006-06-07,-60.45,-60.35,-60.85,-60.63,52700
2006-06-08,-60.73,-60.68,-61.15,-60.68,40600
2006-06-09,-60.65,-60.59,-61.7,-61.7,145000
2006-06-12,-61.65,-61.65,-62.75,-62.49,55300
2006-06-13,-62.61,-62.49,-63.48,-63.46,301500
2006-06-14,-63.5,-63.5,-65.08,-64.27,230800
2006-06-15,-64.17,-63.91,-64.32,-64.05,185600
2006-06-16,-63.99,-62.9,-64.0,-63.05,90600
2006-06-19,-62.85,-62.6,-64.65,-63.6,105100
2006-06-20,-63.37,-62.72,-63.68,-62.83,62300
2006-06-21,-62.88,-61.9,-63.05,-62.06,49000
2006-06-22,-61.97,-61.65,-61.99,-61.87,35900
2006-06-23,-61.8,-60.61,-61.88,-61.12,86700
2006-06-26,-61.1,-60.37,-61.16,-60.44,36400
2006-06-27,-60.67,-59.77,-60.67,-60.39,118100
2006-06-28,-60.34,-60.34,-61.07,-61.03,106100
2006-06-29,-61.03,-60.5,-61.03,-60.62,91600
2006-06-30,-60.6,-60.6,-62.55,-62.55,765000
2006-07-03,-62.3,-62.1,-63.2,-62.97,173500
2006-07-05,-63.07,-62.97,-63.4,-63.02,54900
2006-07-06,-63.02,-63.0,-63.57,-63.46,83100
2006-07-07,-63.54,-63.2,-63.62,-63.5,72800
2006-07-10,-63.5,-63.26,-63.53,-63.34,42200
2006-07-11,-63.38,-63.02,-63.45,-63.03,51200
2006-07-12,-63.04,-62.83,-63.4,-62.95,60800
2006-07-13,-63.07,-62.74,-63.21,-63.02,52400
2006-07-14,-63.28,-63.16,-63.76,-63.39,42300
2006-07-17,-63.4,-63.15,-63.42,-63.31,28900
2006-07-18,-63.3,-62.85,-63.31,-62.85,21700
2006-07-19,-62.87,-61.51,-62.87,-61.52,90400
2006-07-20,-61.56,-61.2,-61.62,-61.49,45800
2006-07-21,-61.49,-61.4,-61.84,-61.48,49900
2006-07-24,-61.3,-60.91,-61.36,-60.92,64400
2006-07-25,-60.96,-60.19,-61.05,-60.36,43300
2006-07-26,-60.46,-60.4,-61.4,-61.39,40800
2006-07-27,-61.32,-61.1,-61.6,-61.5,22000
2006-07-28,-61.4,-60.96,-61.4,-61.0,12800
2006-07-31,-60.2,-59.04,-61.0,-60.9,151200
2006-08-01,-61.05,-61.05,-61.54,-61.4,105600
2006-08-02,-61.35,-61.13,-61.66,-61.31,42600
2006-08-03,-61.5,-60.9,-61.53,-60.97,32800
2006-08-04,-60.87,-60.87,-61.7,-61.51,65400
2006-08-07,-61.6,-61.6,-61.95,-61.73,43900
2006-08-08,-61.75,-61.54,-62.19,-62.18,45200
2006-08-09,-62.14,-62.1,-63.34,-63.32,20500
2006-08-10,-63.4,-62.75,-63.54,-62.8,21200
2006-08-11,-62.85,-62.85,-63.34,-62.94,15200
2006-08-14,-62.79,-62.49,-62.79,-62.55,47500
2006-08-15,-62.45,-62.2,-62.6,-62.5,16800
2006-08-16,-62.5,-62.31,-62.65,-62.64,28600
2006-08-17,-62.57,-62.33,-62.68,-62.68,18500
2006-08-18,-62.6,-62.54,-62.85,-62.73,18300
2006-08-21,-62.85,-62.85,-63.1,-63.04,13700
2006-08-22,-63.05,-62.93,-63.3,-63.23,8800
2006-08-23,-63.3,-63.18,-63.95,-63.9,59000
2006-08-24,-63.95,-63.95,-64.25,-64.14,10500
2006-08-25,-64.17,-63.85,-64.19,-63.89,17300
2006-08-28,-63.68,-63.55,-63.7,-63.7,33400
2006-08-29,-63.74,-63.74,-64.11,-64.02,23800
2006-08-30,-63.9,-63.6,-64.05,-63.77,34900
2006-08-31,-63.67,-63.49,-63.87,-63.87,28800
2006-09-01,-63.87,-63.87,-64.38,-64.33,44000
2006-09-05,-64.37,-63.32,-64.37,-63.44,40100
2006-09-06,-63.49,-63.0,-63.55,-63.41,25700
2006-09-07,-63.5,-61.97,-63.6,-62.44,54600
2006-09-08,-62.43,-62.43,-62.75,-62.55,34600
2006-09-11,-62.58,-62.22,-62.65,-62.44,30200
2006-09-12,-62.5,-62.44,-62.75,-62.64,35900
2006-09-13,-62.54,-62.51,-62.89,-62.69,29100
2006-09-14,-62.79,-62.76,-63.24,-63.0,31400
2006-09-15,-62.9,-62.81,-63.04,-62.94,76700
2006-09-18,-63.0,-62.86,-63.2,-63.1,44600
2006-09-19,-63.1,-63.09,-63.35,-63.11,39000
2006-09-20,-63.02,-61.97,-63.07,-62.05,70000
2006-09-21,-62.0,-61.86,-62.31,-62.18,18500
2006-09-22,-62.25,-62.25,-62.56,-62.34,41600
2006-09-25,-62.32,-62.32,-62.7,-62.67,46000
2006-09-26,-62.67,-62.5,-63.0,-62.71,241500
2006-09-27,-62.75,-62.27,-62.75,-62.27,122100
2006-09-28,-62.02,-61.3,-62.02,-61.7,125400
2006-09-29,-61.72,-61.65,-62.15,-62.08,89800
2006-10-02,-62.22,-62.22,-63.26,-62.81,62800
2006-10-03,-62.81,-62.8,-63.03,-62.88,26100
2006-10-04,-62.87,-62.47,-62.99,-62.5,141700
2006-10-05,-62.5,-61.41,-62.6,-61.58,79400
2006-10-06,-61.61,-61.57,-61.95,-61.92,67300
2006-10-09,-61.92,-61.54,-62.05,-61.62,30800
2006-10-10,-61.6,-61.6,-61.85,-61.7,51000
2006-10-11,-61.7,-61.67,-61.88,-61.71,166500
2006-10-12,-61.71,-61.52,-62.0,-61.53,153300
2006-10-13,-61.52,-61.41,-61.83,-61.7,79100
2006-10-16,-61.7,-61.52,-62.03,-61.95,36500
2006-10-17,-62.02,-61.97,-62.25,-62.09,27000
2006-10-18,-62.01,-61.95,-62.25,-62.08,34000
2006-10-19,-62.15,-61.85,-62.18,-62.02,44900
2006-10-20,-61.97,-61.67,-62.11,-61.7,29300
2006-10-23,-61.88,-61.7,-62.32,-62.25,21400
2006-10-24,-62.75,-62.1,-63.24,-63.11,80000
2006-10-25,-63.1,-62.7,-63.1,-63.0,56400
2006-10-26,-62.77,-62.35,-63.25,-62.42,143600
2006-10-27,-62.5,-62.01,-62.75,-62.68,38100
2006-10-30,-62.71,-61.91,-62.84,-61.97,34000
2006-10-31,-61.97,-61.97,-62.63,-62.48,42000
2006-11-01,-62.45,-62.38,-62.65,-62.65,45000
2006-11-02,-62.85,-62.3,-63.0,-62.49,20000
2006-11-03,-62.44,-62.41,-63.05,-62.91,13000
2006-11-06,-62.8,-62.51,-62.86,-62.51,13100
2006-11-07,-62.62,-62.33,-62.72,-62.49,18200
2006-11-08,-62.65,-62.32,-62.75,-62.39,21900
2006-11-09,-62.39,-62.39,-62.95,-62.9,16600
2006-11-10,-62.94,-62.32,-62.94,-62.33,24800
2006-11-13,-62.35,-61.96,-62.4,-62.01,28600
2006-11-14,-62.05,-61.5,-62.11,-61.5,42200
2006-11-15,-61.5,-61.05,-61.51,-61.08,128200
2006-11-16,-61.08,-60.97,-61.43,-61.4,29600
2006-11-17,-61.7,-61.69,-62.52,-62.11,128300
2006-11-20,-62.15,-62.07,-62.32,-62.25,32200
2006-11-21,-62.3,-62.0,-62.31,-62.04,34800
2006-11-22,-62.04,-62.01,-62.5,-62.49,49000
2006-11-24,-62.51,-62.3,-62.51,-62.39,31400
2006-11-27,-62.5,-62.32,-62.75,-62.33,45200
2006-11-28,-62.4,-61.91,-62.48,-62.34,177700
2006-11-29,-62.25,-61.81,-62.43,-61.81,71800
2006-11-30,-61.82,-61.28,-62.09,-62.08,119900
2006-12-01,-62.08,-60.9,-62.18,-60.9,131200
2006-12-04,-60.88,-60.67,-61.33,-61.27,43700
2006-12-05,-61.2,-60.55,-61.26,-60.72,20200
2006-12-06,-60.82,-60.27,-60.92,-60.7,33400
2006-12-07,-60.75,-60.53,-60.81,-60.64,7400
2006-12-08,-60.66,-60.15,-60.83,-60.35,26900
2006-12-11,-60.4,-60.33,-60.85,-60.35,65000
2006-12-12,-60.35,-59.74,-60.35,-59.94,86900
2006-12-13,-60.14,-59.37,-60.23,-59.37,41900
2006-12-14,-59.35,-59.15,-59.55,-59.19,144900
2006-12-15,-59.19,-58.93,-59.25,-58.97,45500
2006-12-18,-58.95,-58.61,-58.95,-58.69,39000
2006-12-19,-58.77,-58.77,-59.33,-58.98,71800
2006-12-20,-59.04,-58.94,-59.51,-59.48,67000
2006-12-21,-59.49,-59.3,-59.64,-59.64,26900
2006-12-22,-59.64,-59.64,-60.65,-60.61,27600
2006-12-26,-60.5,-59.64,-60.5,-59.79,30800
2006-12-27,-59.75,-59.7,-59.82,-59.7,15400
2006-12-28,-59.7,-59.7,-59.79,-59.7,25600
2006-12-29,-59.7,-59.7,-60.07,-59.99,19200
2007-01-03,-59.9,-59.75,-61.23,-61.09,62200
2007-01-04,-61.09,-59.87,-61.13,-59.91,25200
2007-01-05,-60.01,-60.01,-61.08,-60.69,39400
2007-01-08,-60.8,-60.47,-60.94,-60.52,19600
2007-01-09,-60.6,-60.57,-61.07,-60.85,28700
2007-01-10,-60.7,-60.7,-61.35,-61.15,43400
2007-01-11,-61.16,-59.81,-61.16,-60.08,75700
2007-01-12,-60.0,-59.7,-60.0,-59.7,38000
2007-01-16,-59.65,-59.62,-59.93,-59.7,59900
2007-01-17,-59.79,-59.7,-59.96,-59.84,26000
2007-01-18,-59.9,-59.76,-60.03,-59.78,21300
2007-01-19,-59.8,-59.26,-59.96,-59.5,58000
2007-01-22,-59.75,-59.71,-59.95,-59.95,46700
2007-01-23,-60.0,-59.69,-60.0,-59.0,34700
2007-01-24,-58.26,-56.1,-58.26,-56.5,338300
2007-01-25,-56.5,-55.4,-56.59,-56.1,197800
2007-01-26,-56.48,-56.15,-56.62,-56.2,96500
2007-01-29,-55.95,-53.87,-56.1,-54.36,193400
2007-01-30,-54.36,-54.2,-54.64,-54.5,87800
2007-01-31,-54.48,-54.0,-54.66,-54.65,47500
2007-02-01,-54.64,-54.521,-55.47,-55.02,46200
2007-02-02,-55.0,-54.8,-55.1,-55.01,33700
2007-02-05,-54.95,-54.8,-55.15,-55.01,78400
2007-02-06,-55.1,-54.97,-55.26,-55.1,45700
2007-02-07,-55.17,-54.99,-55.46,-55.23,64800
2007-02-08,-55.33,-54.89,-55.36,-54.92,71800
2007-02-09,-54.9,-54.35,-55.0,-54.55,45200
2007-02-12,-53.8,-53.56,-54.37,-53.89,124000
2007-02-13,-53.75,-52.6,-53.75,-52.78,67900
2007-02-14,-52.75,-52.64,-52.98,-52.97,55600
2007-02-15,-53.07,-52.72,-53.25,-53.24,40300
2007-02-16,-53.24,-53.11,-53.56,-53.26,42900
2007-02-20,-53.21,-52.94,-53.36,-53.23,39500
2007-02-21,-53.47,-53.07,-53.9,-53.68,55300
2007-02-22,-53.7,-53.7,-54.47,-54.05,87900
2007-02-23,-54.12,-53.16,-54.4,-53.22,55700
2007-02-26,-53.0,-52.35,-53.0,-52.62,79100
2007-02-27,-52.8,-52.53,-54.2,-54.13,99900
2007-02-28,-54.13,-54.0,-54.71,-54.6,120800
2007-03-01,-54.85,-53.74,-55.2,-54.43,250900
2007-03-02,-54.5,-53.67,-54.67,-54.11,74000
2007-03-05,-54.2,-54.2,-56.003,-55.31,88600
2007-03-06,-55.09,-54.88,-55.4,-55.18,136400
2007-03-07,-55.25,-55.2,-55.67,-55.44,74900
2007-03-08,-55.33,-54.99,-55.58,-55.1,39200
2007-03-09,-55.0,-53.91,-55.01,-54.25,57400
2007-03-12,-54.35,-54.1,-55.595,-54.5,37400
2007-03-13,-54.6,-54.0,-54.77,-54.44,66300
2007-03-14,-54.36,-54.11,-54.5,-54.27,43200
2007-03-15,-54.31,-54.0,-54.43,-54.0,62200
2007-03-16,-54.0,-53.58,-54.2,-53.83,116900
2007-03-19,-53.74,-52.7201,-53.89,-52.89,43100
2007-03-20,-53.04,-52.55,-53.08,-53.0,56000
2007-03-21,-52.95,-52.04,-53.12,-52.04,40300
2007-03-22,-52.0,-50.92,-52.04,-51.16,34700
2007-03-23,-51.16,-49.82,-51.28,-50.0,69400
2007-03-26,-50.06,-49.28,-50.3,-49.6,56100
2007-03-27,-49.4,-49.35,-50.95,-50.5,95600
2007-03-28,-50.6,-50.09,-50.94,-50.52,107300
2007-03-29,-50.35,-50.35,-51.38,-50.65,57200
2007-03-30,-50.65,-49.92,-50.84,-50.12,46500
2007-04-02,-50.1,-48.94,-50.14,-49.33,53300
2007-04-03,-49.24,-47.48,-49.24,-47.73,45600
2007-04-04,-47.63,-47.63,-48.81,-48.59,59200
2007-04-05,-48.58,-47.9,-48.79,-48.03,20300
2007-04-09,-47.92,-47.8,-48.81,-48.3,110700
2007-04-10,-48.46,-48.3,-48.62,-48.39,56300
2007-04-11,-47.89,-47.84,-48.85,-48.12,51400
2007-04-12,-48.3,-47.9,-48.3,-48.0,23500
2007-04-13,-47.91,-47.54,-48.05,-47.56,18500
2007-04-16,-47.43,-46.58,-47.54,-46.68,32400
2007-04-17,-46.69,-46.68,-47.39,-47.3,19500
2007-04-18,-47.4,-47.3,-48.59,-48.43,48200
2007-04-19,-48.43,-48.3,-48.67,-48.45,39700
2007-04-20,-48.0,-47.95,-48.43,-48.06,54100
2007-04-23,-48.4,-47.84,-49.14,-48.59,102800
2007-04-24,-48.59,-48.59,-49.68,-48.87,76000
2007-04-25,-48.83,-48.66,-49.8,-48.85,72300
2007-04-26,-48.9,-47.88,-48.9,-48.42,74700
2007-04-27,-48.35,-47.76,-48.75,-47.76,55300
2007-04-30,-47.8,-47.8,-49.25,-48.63,246000
2007-05-01,-48.63,-48.63,-49.67,-48.84,110700
2007-05-02,-48.85,-48.28,-49.08,-48.7,111100
2007-05-03,-48.65,-48.58,-49.74,-49.71,66800
2007-05-04,-49.55,-48.92,-49.64,-48.94,55200
2007-05-07,-48.96,-48.77,-49.52,-49.12,33300
2007-05-08,-49.2,-49.04,-49.78,-49.05,48900
2007-05-09,-49.15,-49.08,-49.54,-49.1,38300
2007-05-10,-49.2,-49.2,-50.16,-50.16,48000
2007-05-11,-50.0,-49.72,-50.24,-49.95,25500
2007-05-14,-50.0,-49.12,-50.16,-49.24,100000
2007-05-15,-49.2,-48.53,-49.31,-48.8,74000
2007-05-16,-48.8,-48.66,-49.35,-49.2,102100
2007-05-17,-49.32,-49.32,-50.7158,-50.6,112100
2007-05-18,-50.6,-50.39,-50.94,-50.45,92000
2007-05-21,-50.7,-50.7,-51.5,-51.0,289400
2007-05-22,-50.45,-50.3,-51.17,-51.1,2507500
2007-05-23,-51.0,-50.78,-51.11,-50.9,758400
2007-05-24,-50.95,-50.79,-51.88,-51.7,599500
2007-05-25,-51.55,-51.27,-52.24,-51.46,329200
2007-05-29,-51.55,-50.67,-51.55,-50.83,161600
2007-05-30,-51.0,-50.56,-51.38,-50.62,276700
2007-05-31,-50.16,-49.4,-50.3,-49.55,342800
2007-06-01,-49.35,-48.9,-49.4484,-48.9,210400
2007-06-04,-48.96,-48.79,-49.43,-48.8,262800
2007-06-05,-48.91,-47.7,-49.04,-47.87,295100
2007-06-06,-48.07,-48.07,-48.7,-48.3,212000
2007-06-07,-48.4,-48.4,-49.15,-48.56,176900
2007-06-08,-48.56,-47.95,-48.64,-48.2,154100
2007-06-11,-48.33,-48.32,-48.6,-48.35,115400
2007-06-12,-48.36,-47.97,-48.41,-48.25,170400
2007-06-13,-48.19,-46.67,-48.19,-47.03,168300
2007-06-14,-46.9,-46.52,-47.23,-46.95,242200
2007-06-15,-46.4,-45.75,-46.4,-45.94,321200
2007-06-18,-45.82,-45.59,-46.07,-45.81,208900
2007-06-19,-45.8,-44.07,-45.81,-44.09,282600
2007-06-20,-43.84,-42.9,-45.17,-45.07,386200
2007-06-21,-45.07,-44.119,-45.08,-44.76,206800
2007-06-22,-44.7,-44.6,-45.88,-45.18,210200
2007-06-25,-45.4,-45.27,-46.41,-46.2,105400
2007-06-26,-45.95,-45.62,-46.78,-45.73,157800
2007-06-27,-45.83,-45.62,-46.3,-45.7,342300
2007-06-28,-45.69,-45.69,-47.06,-46.98,119900
2007-06-29,-46.98,-45.82,-47.1,-46.04,87700
2007-07-02,-45.9,-43.68,-45.94,-44.84,202000
2007-07-03,-44.81,-44.16,-45.52,-45.1,90100
2007-07-05,-45.13,-43.97,-45.13,-43.97,68000
2007-07-06,-43.8,-43.4,-44.36,-43.5,130400
2007-07-09,-43.39,-43.39,-43.99,-43.52,103500
2007-07-10,-43.55,-43.35,-44.45,-43.92,149800
2007-07-11,-43.95,-43.49,-44.0,-43.54,77200
2007-07-12,-43.45,-43.3,-43.65,-43.41,100500
2007-07-13,-43.5,-42.89,-43.78,-43.01,65600
2007-07-16,-43.11,-42.99,-44.17,-43.01,127300
2007-07-17,-42.8,-42.61,-42.91,-42.81,244900
2007-07-18,-42.89,-42.84,-43.75,-43.51,123700
2007-07-19,-43.39,-43.37,-44.0,-43.9,156200
2007-07-20,-43.99,-43.9,-44.43,-44.24,125100
2007-07-23,-44.4,-44.17,-44.49,-44.18,68600
2007-07-24,-44.18,-43.78,-45.66,-45.59,76200
2007-07-25,-45.4,-45.23,-45.75,-45.43,131100
2007-07-26,-46.0,-45.73,-46.63,-46.01,123300
2007-07-27,-46.05,-44.8,-46.1,-46.1,130700
2007-07-30,-46.1,-45.12,-46.28,-45.23,98000
2007-07-31,-45.0,-44.44,-45.4,-45.3,120700
2007-08-01,-45.19,-44.0,-45.58,-44.81,256600
2007-08-02,-44.73,-43.07,-44.73,-44.25,185600
2007-08-03,-44.2,-43.8,-45.67,-45.4,230400
2007-08-06,-44.49,-43.51,-52.09,-47.71,1251700
2007-08-07,-47.71,-46.89,-48.0,-47.74,229100
2007-08-08,-47.45,-45.09,-47.5,-46.55,420400
2007-08-09,-47.4,-47.095,-48.23,-48.04,491200
2007-08-10,-48.3,-47.86,-49.3,-48.5,300900
2007-08-13,-47.9,-47.65,-48.21,-48.0,253500
2007-08-14,-48.0,-46.69,-48.22,-48.04,319700
2007-08-15,-48.12,-48.02,-49.56,-49.07,208700
2007-08-16,-49.34,-49.21,-51.11,-49.6,418400
2007-08-17,-48.1,-47.0,-48.87,-48.67,223100
2007-08-20,-48.45,-46.88,-48.64,-47.65,173000
2007-08-21,-47.55,-47.15,-49.1,-48.09,50700
2007-08-22,-47.9,-46.5,-47.9,-46.69,94500
2007-08-23,-46.55,-46.51,-47.27,-47.21,47500
2007-08-24,-47.31,-47.0,-47.7,-47.0,69300
2007-08-27,-47.05,-46.75,-47.29,-46.97,88500
2007-08-28,-47.07,-47.05,-48.05,-47.85,126300
2007-08-29,-47.85,-47.45,-48.08,-47.45,171200
2007-08-30,-47.43,-47.22,-47.7,-47.31,156900
2007-08-31,-46.81,-45.75,-46.94,-45.85,149300
2007-09-04,-45.87,-45.55,-46.1,-45.68,95600
2007-09-05,-45.86,-45.15,-45.96,-45.44,104400
2007-09-06,-45.17,-44.86,-45.53,-45.45,69300
2007-09-07,-45.85,-45.85,-47.44,-47.11,70600
2007-09-10,-46.95,-46.5,-47.29,-46.88,68200
2007-09-11,-46.81,-46.4,-46.93,-46.5,77500
2007-09-12,-46.65,-46.54,-47.23,-47.03,77800
2007-09-13,-46.95,-46.77,-47.79,-47.29,92700
2007-09-14,-47.6,-46.61,-47.69,-47.07,58100
2007-09-17,-47.15,-47.08,-47.82,-47.63,93100
2007-09-18,-47.32,-46.29,-47.48,-46.51,169500
2007-09-19,-46.5,-44.66,-46.69,-45.63,197300
2007-09-20,-45.51,-44.65,-45.59,-45.17,197100
2007-09-21,-44.85,-44.26,-45.63,-44.61,289100
2007-09-24,-44.4,-42.55,-44.4,-42.81,770200
2007-09-25,-42.7,-39.72,-42.78,-40.6,791300
2007-09-26,-40.08,-39.05,-40.3,-39.5,464900
2007-09-27,-39.5,-39.21,-40.19,-39.6,325500
2007-09-28,-39.9,-39.285,-40.88,-40.79,176900
2007-10-01,-40.45,-39.89,-41.2,-40.33,313200
2007-10-02,-40.16,-39.71,-40.7,-40.23,140200
2007-10-03,-40.48,-40.28,-41.17,-40.98,138600
2007-10-04,-40.98,-40.55,-41.98,-41.76,206500
2007-10-05,-41.25,-39.84,-41.37,-40.3,391500
2007-10-08,-39.92,-39.65,-40.5,-40.1,125700
2007-10-09,-39.9,-39.34,-40.43,-40.23,118200
2007-10-10,-40.03,-39.39,-40.5,-39.89,149500
2007-10-11,-39.36,-38.25,-43.5,-41.91,640700
2007-10-12,-41.65,-40.71,-43.434,-40.77,276000
2007-10-15,-41.0,-40.8,-42.5,-41.62,132700
2007-10-16,-42.0,-41.15,-42.24,-41.82,144200
2007-10-17,-41.5,-40.93,-41.74,-41.25,185800
2007-10-18,-41.35,-41.15,-41.68,-41.56,154500
2007-10-19,-41.7,-41.42,-43.5899,-43.4,241400
2007-10-22,-44.48,-42.37,-45.35,-43.18,352800
2007-10-23,-42.3,-42.3,-44.07,-43.59,245800
2007-10-24,-43.38,-42.47,-44.34,-42.72,283000
2007-10-25,-42.3,-42.1,-43.85,-43.47,142300
2007-10-26,-43.08,-42.1901,-43.82,-43.54,123900
2007-10-29,-43.2,-40.4,-43.2,-40.49,241300
2007-10-30,-40.75,-40.66,-41.45,-41.27,173500
2007-10-31,-41.15,-40.83,-41.79,-40.98,88700
2007-11-01,-40.59,-40.46,-42.06,-41.66,227800
2007-11-02,-41.5,-41.35,-42.7699,-41.59,120300
2007-11-05,-42.3,-41.88,-43.06,-42.15,87700
2007-11-06,-42.15,-40.49,-42.25,-40.82,181700
2007-11-07,-41.25,-40.95,-42.62,-42.51,158800
2007-11-08,-42.33,-41.55,-42.69,-41.8,194100
2007-11-09,-42.5,-42.3,-44.02,-43.95,124991
2007-11-12,-43.95,-41.03,-44.29,-41.97,347400
2007-11-13,-41.72,-40.91,-41.88,-41.1,206975
2007-11-14,-41.02,-40.22,-41.68,-41.2,223667
2007-11-15,-41.33,-41.33,-42.72,-42.24,184100
2007-11-16,-42.42,-39.36,-42.42,-40.21,476300
2007-11-19,-39.76,-36.6,-40.53,-38.0,1200400
2007-11-20,-38.97,-38.53,-40.39,-39.6,323609
2007-11-21,-39.88,-37.81,-39.99,-38.45,405125
2007-11-23,-37.5,-36.96,-38.15,-36.96,117400
2007-11-26,-36.3,-34.9,-36.54,-36.31,230450
2007-11-27,-36.26,-36.26,-39.31,-38.5,438400
2007-11-28,-38.82,-36.62,-38.9,-37.48,343477
2007-11-29,-37.69,-36.69,-37.69,-37.35,172950
2007-11-30,-36.19,-35.91,-39.18,-38.82,305300
2007-12-03,-39.5,-37.6901,-41.65,-38.16,624316
2007-12-04,-38.15,-37.75,-39.05,-38.27,315125
2007-12-05,-37.77,-37.77,-38.94,-38.38,266218
2007-12-06,-38.5,-38.19,-39.0,-38.38,148898
2007-12-07,-38.25,-38.25,-39.5,-39.08,213631
2007-12-10,-39.05,-37.37,-39.08,-37.59,279100
2007-12-11,-37.53,-37.53,-39.78,-39.16,880600
2007-12-12,-39.15,-38.74,-39.25,-38.96,325860
2007-12-13,-39.9,-39.23,-40.43,-39.58,240100
2007-12-14,-39.87,-39.87,-42.1,-40.98,539800
2007-12-17,-41.97,-40.65,-43.18,-41.35,498406
2007-12-18,-40.9,-40.9,-42.45,-41.55,493565
2007-12-19,-41.71,-41.44,-42.33,-41.65,176052
2007-12-20,-41.72,-41.45,-42.37,-41.75,352300
2007-12-21,-41.13,-40.1,-41.54,-40.95,445700
2007-12-24,-40.72,-39.87,-41.44,-40.42,116750
2007-12-26,-40.92,-40.32,-40.92,-40.62,115000
2007-12-27,-40.59,-40.39,-41.31,-41.12,215245
2007-12-28,-41.0,-40.78,-41.93,-41.25,282164
2007-12-31,-41.75,-41.28,-41.96,-41.33,141100
2008-01-02,-41.35,-41.19,-42.09,-41.36,281500
2008-01-03,-41.5,-39.99,-41.5,-40.97,366900
2008-01-04,-41.49,-40.2,-41.69,-40.94,332750
2008-01-07,-40.8,-40.5,-41.67,-41.41,502100
2008-01-08,-41.32,-41.32,-43.98,-43.87,710300
2008-01-09,-43.58,-43.58,-44.93,-44.26,459076
2008-01-10,-44.38,-43.67,-45.32,-44.26,405375
2008-01-11,-44.3,-43.99,-45.18,-44.75,148700
2008-01-14,-45.04,-44.56,-45.85,-44.73,330400
2008-01-15,-45.48,-44.13,-45.48,-44.78,298870
2008-01-16,-45.19,-44.45,-45.2,-44.86,440478
2008-01-17,-44.75,-44.65,-46.4,-46.17,461400
2008-01-18,-45.78,-45.3,-47.62,-46.63,392800
2008-01-22,-48.29,-47.1,-48.92,-47.97,363300
2008-01-23,-48.85,-46.44,-49.1699,-46.56,519800
2008-01-24,-46.46,-44.05,-46.46,-45.43,538300
2008-01-25,-45.25,-45.25,-46.8,-46.67,547000
2008-01-28,-46.61,-46.37,-47.31,-46.65,282800
2008-01-29,-44.85,-44.85,-46.35,-45.43,469339
2008-01-30,-45.18,-45.18,-46.1,-45.78,215126
2008-01-31,-45.8,-44.78,-46.06,-45.12,317300
2008-02-01,-45.12,-43.02,-45.59,-43.25,347908
2008-02-04,-43.0,-42.15,-43.3,-42.17,295600
2008-02-05,-41.93,-41.32,-42.49,-41.59,480950
2008-02-06,-41.5,-41.5,-43.0,-42.43,378225
2008-02-07,-42.3,-42.11,-43.49,-42.35,278159
2008-02-08,-43.3,-43.19,-47.97,-46.4,1755238
2008-02-11,-46.76,-46.49,-47.91,-47.2,1081240
2008-02-12,-47.73,-46.12,-47.73,-46.47,402450
2008-02-13,-46.02,-45.08,-46.48,-45.24,278900
2008-02-14,-45.49,-44.75,-46.7,-46.64,271000
2008-02-15,-46.75,-46.5,-47.11,-46.87,221200
2008-02-19,-46.47,-46.47,-47.49,-47.11,503800
2008-02-20,-47.46,-47.29,-48.22,-47.62,360883
2008-02-21,-47.64,-47.25,-48.35,-47.85,665085
2008-02-22,-47.47,-47.47,-48.48,-47.86,301502
2008-02-25,-47.9,-46.89,-47.9,-47.0,154000
2008-02-26,-47.17,-46.53,-47.47,-46.65,333600
2008-02-27,-46.51,-45.9,-46.81,-46.5,227316
