,open,high,low,close,volume
2000-12-21,40.625,41.0,40.125,40.5,100900
2000-12-22,40.5,42.4375,40.25,42.4375,146500
2000-12-26,42.4375,42.4375,41.75,42.3125,52100
2000-12-27,42.3125,43.0,42.0625,43.0,72400
2000-12-28,42.875,44.6875,42.875,44.6875,107500
2000-12-29,44.5625,45.375,44.1875,44.1875,137900
2001-01-02,44.25,44.25,41.75,41.875,109300
2001-01-03,41.875,43.625,41.4375,43.0625,219700
2001-01-04,43.0,43.0,41.75,42.6875,101200
2001-01-05,42.9375,42.9375,41.25,41.5625,80800
2001-01-08,41.5,41.875,40.125,41.25,101600
2001-01-09,41.25,41.8125,40.75,40.8125,90700
2001-01-10,40.8125,41.125,40.4375,40.5,146000
2001-01-11,40.4375,40.8125,40.125,40.5,87500
2001-01-12,40.625,41.3125,40.125,41.0625,105800
2001-01-16,41.0,41.4375,40.125,41.125,114400
2001-01-17,41.375,42.1875,41.0625,41.6875,136400
2001-01-18,41.5625,41.8125,39.6875,39.75,131800
2001-01-19,39.375,39.8125,38.875,39.0625,82800
2001-01-22,39.3125,39.3125,38.375,39.0,166500
2001-01-23,39.125,40.5625,39.0,40.5,109000
2001-01-24,40.5,41.125,40.0,41.0,110900
2001-01-25,40.875,42.875,40.5625,41.4375,125900
2001-01-26,41.1875,41.1875,40.0,40.0625,74000
2001-01-29,40.16,42.0,40.15,41.95,131600
2001-01-30,41.85,42.13,41.08,41.4,63900
2001-01-31,41.4,42.2,41.38,41.41,105400
2001-02-01,41.41,41.72,41.31,41.72,41600
2001-02-02,41.74,42.0,40.6,40.6,99700
2001-02-05,40.6,41.04,40.42,40.57,83000
2001-02-06,40.82,41.67,40.2,40.39,114300
2001-02-07,40.4,41.62,40.35,41.53,46100
2001-02-08,41.43,41.75,41.29,41.53,44100
2001-02-09,41.83,41.91,41.3,41.87,75600
2001-02-12,41.53,43.45,41.41,43.26,201100
2001-02-13,43.36,43.63,43.0,43.03,72400
2001-02-14,43.0,43.16,42.91,43.0,58400
2001-02-15,43.0,43.6,43.0,43.6,130300
2001-02-16,43.5,43.74,43.0,43.09,86400
2001-02-20,42.89,43.25,42.89,42.96,85800
2001-02-21,42.98,43.45,42.85,42.9,98600
2001-02-22,42.99,43.18,42.35,42.45,96800
2001-02-23,42.46,42.72,41.77,42.28,78900
2001-02-26,42.38,43.63,42.38,43.24,104200
2001-02-27,43.14,43.74,43.14,43.3,111400
2001-02-28,43.3,43.75,42.47,42.95,95800
2001-03-01,42.85,42.86,41.2,41.84,103400
2001-03-02,41.94,43.15,41.94,42.68,115900
2001-03-05,42.93,43.75,42.9,43.11,113500
2001-03-06,43.0,43.8,43.0,43.8,86100
2001-03-07,43.82,43.99,43.71,43.99,83800
2001-03-08,44.0,44.5,43.85,44.5,148900
2001-03-09,44.5,44.81,44.15,44.46,131700
2001-03-12,44.26,44.8,43.82,43.9,123100
2001-03-13,43.9,44.1,42.49,44.1,104400
2001-03-14,43.85,44.24,42.8,43.07,100800
2001-03-15,42.87,43.48,42.35,43.17,54300
