,open,high,low,close,volume
2000-12-21,29.125,29.375,28.5,29.125,1679500.0
2000-12-22,31.5,33.75,30.375,32.0,2028100.0
2000-12-26,32.0,32.0,29.625,30.4375,672900.0
2000-12-27,30.1875,32.0,29.8125,32.0,1324100.0
2000-12-28,32.25,32.25,31.5625,31.9375,647000.0
2000-12-29,32.0,32.1875,31.25,31.625,675400.0
2001-01-02,31.875,32.0,30.0625,30.1875,1625000.0
2001-01-03,31.25,37.125,30.5,37.125,2762100.0
2001-01-04,32.0,33.125,29.875,30.6875,9027500.0
2001-01-05,30.75,30.9375,28.75,28.875,3835300.0
2001-01-08,29.0,29.4375,26.75,27.5,1951200.0
2001-01-09,27.25,29.0,27.25,29.0,2427100.0
2001-01-10,28.5,30.1875,27.9375,30.0,1452100.0
2001-01-11,30.0,31.5,29.8125,31.5,1701200.0
2001-01-12,31.5,32.4375,31.1875,32.0625,1881800.0
2001-01-16,32.0625,32.5,31.9375,32.25,1617400.0
2001-01-17,33.25,33.375,32.6875,32.6875,1211900.0
2001-01-18,32.5,32.8125,32.125,32.5,975200.0
2001-01-19,32.5625,32.5625,31.75,32.1875,1532900.0
2001-01-22,32.1875,34.875,32.1875,34.125,1830000.0
2001-01-23,36.25,36.3125,35.0625,35.375,2403200.0
2001-01-24,35.0,35.9375,34.75,34.9375,1387600.0
2001-01-25,34.125,36.0625,34.125,35.75,1424300.0
2001-01-26,35.25,35.75,34.5625,35.0,1272400.0
2001-01-29,34.65,36.24,34.65,35.75,861600.0
2001-01-30,35.99,36.55,35.37,35.77,711000.0
2001-01-31,36.32,37.8,36.0,37.48,1432400.0
2001-02-01,37.0,37.16,36.0,37.15,930100.0
2001-02-02,37.01,37.08,35.85,35.85,814000.0
2001-02-05,34.16,35.4,34.16,34.87,986100.0
2001-02-06,35.5,35.8,34.56,34.8,989200.0
2001-02-07,34.7,35.79,34.7,35.36,579300.0
2001-02-08,35.35,35.4,34.65,34.91,1270400.0
2001-02-09,34.91,35.18,33.28,33.42,734000.0
2001-02-12,33.67,34.64,32.63,34.45,1078800.0
2001-02-13,33.95,34.2,33.0,33.64,1180400.0
2001-02-14,34.14,34.22,33.25,33.62,591100.0
2001-02-15,34.0,34.2,33.06,33.98,1436000.0
2001-02-16,34.63,34.63,32.76,32.93,1091000.0
2001-02-20,32.93,33.98,32.76,32.88,640800.0
2001-02-21,32.88,32.88,31.64,31.69,1336500.0
2001-02-22,31.62,31.8,31.02,31.04,885900.0
2001-02-23,30.6,31.5,29.45,31.29,1527600.0
2001-02-26,31.65,33.0,31.62,32.81,668700.0
2001-02-27,32.12,32.7,31.8,32.08,685500.0
2001-02-28,32.02,32.14,30.95,31.11,1568400.0
2001-03-01,31.8,32.28,30.74,31.25,1744500.0
2001-03-02,31.25,33.65,30.5,33.6,1398800.0
2001-03-05,33.35,33.4,32.59,32.59,744200.0
2001-03-06,33.3,33.85,33.28,33.8,520900.0
2001-03-07,33.85,34.76,33.6,34.5,459500.0
2001-03-08,34.45,34.45,33.6,33.97,624100.0
2001-03-09,34.1,34.1,32.67,33.06,847800.0
2001-03-12,33.05,33.05,31.21,31.22,980600.0
2001-03-13,31.0,31.1,30.55,30.88,907300.0
2001-03-14,29.25,29.99,29.02,29.56,1289100.0
2001-03-15,30.0,30.47,29.72,29.76,802100.0
2001-03-16,29.65,29.65,28.2,28.69,1398400.0
2001-03-19,28.5,28.69,28.2,28.5,1329800.0
2001-03-20,28.98,31.25,28.55,28.69,1425600.0
2001-03-21,28.7,28.84,27.36,27.38,1156600.0
2001-03-22,27.48,27.48,26.0,26.7,1407600.0
2001-03-23,27.0,27.8,27.0,27.64,1027000.0
2001-03-26,27.64,27.99,27.37,27.76,800500.0
2001-03-27,27.75,27.98,27.31,27.93,955600.0
2001-03-28,27.25,27.75,26.73,27.04,995600.0
2001-03-29,27.02,27.95,26.3,27.21,1049100.0
2001-03-30,27.2,27.6,27.0,27.25,978900.0
2001-04-02,27.25,27.28,26.52,26.63,888300.0
2001-04-03,26.63,26.63,25.12,25.26,824300.0
2001-04-04,25.95,26.14,25.41,25.71,897900.0
2001-04-05,25.99,27.45,25.95,27.02,962100.0
2001-04-06,26.25,26.44,25.15,25.69,707400.0
2001-04-09,26.1,26.72,25.7,26.09,640900.0
2001-04-10,26.34,28.18,26.3,28.15,932300.0
2001-04-11,28.15,29.1,26.38,27.19,679400.0
2001-04-12,27.19,27.19,25.94,27.0,913300.0
2001-04-16,27.15,27.35,26.25,26.3,554700.0
2001-04-17,26.25,27.06,25.95,26.89,611800.0
2001-04-18,28.25,29.81,28.01,29.65,1925600.0
2001-04-19,28.6,29.95,28.6,29.3,1259600.0
2001-04-20,29.5,30.0,29.23,29.5,1456500.0
2001-04-23,29.65,30.18,29.3,29.75,701200.0
2001-04-24,29.45,29.47,28.0,28.54,1238900.0
2001-04-25,28.75,29.1,28.7,29.0,741500.0
2001-04-26,29.25,29.45,29.0,29.0,1528400.0
2001-04-27,29.5,30.5,29.22,30.5,1647800.0
