,open,high,low,close,volume
2000-12-22,21.6875,21.84375,21.3125,21.75,989200.0
2000-12-26,21.71875,22.34375,21.71875,22.21875,1402000.0
2000-12-27,22.1875,22.875,22.09375,22.625,1606800.0
2000-12-28,22.625,23.0,22.3125,22.71875,2227400.0
2000-12-29,23.25,23.84375,23.0,23.25,3161600.0
2001-01-02,23.625,23.9375,23.40625,23.5,2805600.0
2001-01-03,23.625,24.90625,23.3125,24.78125,3579600.0
2001-01-04,24.1875,26.1875,24.15625,25.875,3418600.0
2001-01-05,25.875,26.0,24.0,24.1875,2166000.0
2001-01-08,24.0625,24.34375,23.96875,24.15625,1289600.0
2001-01-09,24.375,24.5,23.96875,24.375,1502800.0
2001-01-10,24.46875,24.5625,23.8125,24.375,1015600.0
2001-01-11,24.375,24.9375,23.96875,24.71875,1251000.0
2001-01-12,24.59375,24.6875,24.25,24.3125,1065600.0
2001-01-16,24.3125,24.53125,24.15625,24.5,1421800.0
2001-01-17,25.0,25.0625,23.90625,23.96875,1334000.0
2001-01-18,24.0625,24.84375,23.90625,24.3125,1724200.0
2001-01-19,23.875,24.59375,23.84375,24.3125,2263200.0
2001-01-22,24.0,24.21875,22.9375,22.96875,3809400.0
2001-01-23,23.0,23.625,22.8125,23.5625,3764600.0
2001-01-24,23.375,24.0625,23.375,23.96875,1451400.0
2001-01-25,23.96875,24.4375,23.84375,24.1875,1115800.0
2001-01-26,24.125,24.4375,23.96875,24.15625,828200.0
2001-01-29,24.15,24.97,24.135,24.535,1252000.0
2001-01-30,24.53,25.26,24.25,25.2,5193000.0
2001-01-31,25.25,25.845,25.175,25.5,3135200.0
2001-02-01,25.125,25.525,25.0,25.375,1819800.0
2001-02-02,25.25,25.25,24.975,25.005,1887400.0
2001-02-05,24.9,25.75,24.825,25.315,1684200.0
2001-02-06,25.625,26.25,25.25,25.675,1193000.0
2001-02-07,25.55,26.25,25.495,25.665,1176600.0
2001-02-08,25.65,25.85,25.61,25.68,964400.0
2001-02-09,25.625,26.125,25.61,25.74,1545200.0
2001-02-12,25.675,26.35,25.6,26.21,770200.0
2001-02-13,26.125,26.475,26.1,26.285,1234600.0
2001-02-14,26.13,26.315,25.9,25.9,1189800.0
2001-02-15,26.125,26.83,26.125,26.83,1273400.0
2001-02-16,26.9,26.9,26.425,26.545,1063600.0
2001-02-20,26.525,27.415,26.45,27.0,1773200.0
2001-02-21,26.625,27.3,26.625,26.75,1631800.0
2001-02-22,26.5,26.745,26.25,26.25,1371800.0
2001-02-23,25.37,26.2,25.37,25.945,2199200.0
2001-02-26,26.05,26.625,25.815,26.59,1053400.0
2001-02-27,26.5,27.415,26.48,27.37,1645000.0
2001-02-28,27.25,27.3,26.3,26.49,931000.0
2001-03-01,26.5,26.52,25.7,26.125,1619800.0
2001-03-02,25.625,26.9,25.625,26.775,1727000.0
2001-03-05,26.775,27.32,26.655,27.315,950600.0
2001-03-06,28.225,28.25,27.605,27.91,1340000.0
2001-03-07,27.825,28.775,27.685,28.775,1774000.0
2001-03-08,28.5,29.875,28.405,29.63,2346400.0
2001-03-09,29.5,29.99,29.415,29.56,1525000.0
2001-03-12,28.75,29.1,28.525,28.525,1950400.0
2001-03-13,28.505,28.55,27.85,28.2,1273600.0
2001-03-14,28.225,28.405,27.9,28.03,1241200.0
2001-03-15,27.905,28.555,27.875,28.485,1103600.0
2001-03-16,28.4,28.765,28.225,28.35,1903400.0
2001-03-19,28.125,29.175,28.065,28.915,1182200.0
2001-03-20,28.79,28.91,28.315,28.455,836400.0
2001-03-21,28.455,28.495,27.125,27.395,1332400.0
2001-03-22,27.225,27.225,25.625,26.89,1796600.0
2001-03-23,26.775,27.03,26.065,26.98,1065400.0
2001-03-26,26.98,27.675,26.93,27.485,762600.0
2001-03-27,27.5,28.495,27.3,28.4,1338000.0
2001-03-28,28.15,28.165,27.145,27.85,1256000.0
2001-03-29,27.95,28.45,27.765,28.215,1404400.0
2001-03-30,28.2,28.42,27.65,28.42,969800.0
2001-04-02,28.42,28.92,28.125,28.425,1657400.0
2001-04-03,28.25,28.255,26.775,27.0,985000.0
2001-04-04,27.095,27.79,27.005,27.73,632200.0
2001-04-05,27.755,28.9,27.755,28.825,1056600.0
2001-04-06,28.75,28.75,28.05,28.49,662800.0
2001-04-09,28.45,28.945,28.335,28.48,991800.0
2001-04-10,28.75,28.905,28.05,28.375,1865200.0
2001-04-11,28.375,28.375,27.295,27.6,1508200.0
2001-04-12,27.625,27.775,27.3,27.635,1635200.0
2001-04-16,28.0,28.0,27.525,27.875,863400.0
2001-04-17,27.875,28.3,27.805,28.3,900800.0
2001-04-18,28.375,29.75,28.36,29.255,894600.0
2001-04-19,29.2,29.2,28.235,28.38,1306400.0
2001-04-20,28.275,28.3,26.95,27.4,1596000.0
2001-04-23,27.4,27.575,26.65,27.07,1248600.0
2001-04-24,27.3,27.36,26.575,26.655,1356800.0
2001-04-25,26.775,26.925,26.04,26.775,923600.0
2001-04-26,26.775,26.8,26.2,26.475,1884400.0
2001-04-27,26.5,27.025,26.275,27.015,1259800.0
2001-04-30,27.01,27.015,26.42,26.51,1730600.0
2001-05-01,26.625,27.085,26.5,26.975,877600.0
2001-05-02,26.85,27.245,26.775,26.9,777800.0
2001-05-03,26.775,27.25,26.425,27.185,1092400.0
2001-05-04,26.935,27.595,26.75,27.525,1134800.0
2001-05-07,27.525,27.635,27.14,27.165,885800.0
2001-05-08,27.625,28.125,27.48,27.6,1521800.0
2001-05-09,28.0,28.0,26.8,27.275,843800.0
2001-05-10,27.4,27.985,27.375,27.7,731200.0
2001-05-11,27.675,27.825,27.5,27.52,495000.0
2001-05-14,27.5,27.615,27.485,27.53,708000.0
2001-05-15,27.5,28.35,27.5,27.95,876200.0
2001-05-16,27.825,28.84,27.755,28.785,904400.0
2001-05-17,28.9,29.625,28.695,29.03,1012800.0
2001-05-18,29.035,29.375,28.8,28.825,790800.0
2001-05-21,28.9,28.925,28.575,28.755,1063800.0
2001-05-22,28.7,29.1,28.555,28.735,1295200.0
2001-05-23,28.75,29.2,28.7,28.97,1155000.0
2001-05-24,28.97,29.1,28.83,28.855,842600.0
2001-05-25,28.825,28.895,28.425,28.675,524200.0
2001-05-29,28.6,28.8,28.5,28.64,367600.0
2001-05-30,28.65,28.835,28.205,28.325,725200.0
2001-05-31,28.575,29.085,28.43,28.805,663800.0
2001-06-01,28.925,28.975,28.605,28.85,658400.0
2001-06-04,28.84,29.17,28.805,29.08,815600.0
2001-06-05,29.0,29.995,28.975,29.945,1528600.0
2001-06-06,29.945,30.14,29.71,29.83,1553800.0
2001-06-07,29.9,30.19,29.825,29.945,1099400.0
2001-06-08,30.235,30.235,29.405,29.635,823200.0
2001-06-11,29.65,29.67,29.32,29.39,522200.0
2001-06-12,29.125,29.65,29.125,29.645,618800.0
2001-06-13,29.39,29.6,29.195,29.3,784200.0
2001-06-14,29.0,29.0,28.425,28.655,989800.0
2001-06-15,28.6,28.705,28.3,28.5,1092200.0
2001-06-18,28.45,29.075,28.45,29.01,783400.0
2001-06-19,28.905,29.05,28.3,28.5,770400.0
2001-06-20,28.375,28.815,28.325,28.41,984600.0
2001-06-21,28.425,29.28,28.255,29.24,752400.0
2001-06-22,29.0,29.06,28.35,28.38,743000.0
2001-06-25,28.475,28.815,27.75,28.17,834400.0
2001-06-26,28.275,28.275,27.65,28.175,1310000.0
2001-06-27,28.18,28.375,28.005,28.25,587400.0
2001-06-28,28.35,28.41,28.01,28.145,1325800.0
2001-06-29,27.875,27.875,27.335,27.52,1966400.0
