,open,high,low,close,volume
2001-02-22,9.066825,9.33498,9.027,9.2394,584557
2001-02-23,9.2925,9.396045,9.220815,9.32967,671186
2001-02-26,9.332325,9.64827,9.27126,9.507555,1115630
2001-02-27,9.507555,9.54738,9.242055,9.36153,1231638
2001-02-28,9.38277,9.58986,9.305775,9.581895,897928
2001-03-01,9.470385,9.470385,9.167715,9.215505,1075329
2001-03-02,9.215505,9.406665,9.11727,9.34029,708474
2001-03-05,9.337635,9.337635,9.119925,9.305775,645574
2001-03-06,9.26595,9.555345,9.2394,9.44118,479849
2001-03-07,9.406665,9.592515,9.37215,9.57393,642184
2001-03-08,9.60579,9.69075,9.558,9.69075,483239
2001-03-09,9.6642,9.69075,9.47835,9.634995,398116
2001-03-12,9.698715,9.698715,9.486315,9.49428,518267
2001-03-13,9.49428,9.49428,9.05355,9.36684,658003
2001-03-14,9.327015,9.470385,8.965935,9.06417,631261
2001-03-15,9.0801,9.37215,9.013725,9.321705,684745
2001-03-16,9.093375,9.33498,9.093375,9.22347,1246704
2001-03-19,9.3456,9.55269,9.2925,9.396045,1048964
2001-03-20,9.411975,9.7173,9.38808,9.47835,719774
2001-03-21,9.4518,9.53676,9.36153,9.38277,725423
2001-03-22,9.257985,9.257985,8.9208,9.00045,847834
2001-03-23,8.934075,9.199575,8.843805,9.1863,824105
2001-03-26,9.19692,9.52083,9.19692,9.385425,555555
2001-03-27,9.438525,9.47835,9.14382,9.406665,924293
2001-03-28,9.3456,9.459765,9.15975,9.31374,723163
2001-03-29,9.2925,9.4518,9.226125,9.40932,493785
2001-03-30,9.42525,9.42525,9.162405,9.2925,845951
2001-04-02,9.252675,9.52614,9.22878,9.512865,1906967
2001-04-03,9.539415,9.539415,9.103995,9.162405,756685
2001-04-04,9.082755,9.48366,9.082755,9.40932,496421
2001-04-05,9.37215,9.608445,9.37215,9.597825,566101
2001-04-06,9.6111,9.826155,9.486315,9.826155,1235781
2001-04-09,9.932355,10.383705,9.932355,10.31202,2241431
2001-04-10,10.48725,10.57752,10.06245,10.165995,1447457
2001-04-11,10.089,10.089,9.783675,9.8766,928436
2001-04-12,9.8766,9.97218,9.58455,9.97218,827871
2001-04-16,9.95625,10.22175,9.842085,9.89784,654613
2001-04-17,9.9297,10.197855,9.916425,10.197855,702448
2001-04-18,10.3014,10.7262,10.29609,10.52973,1009416
2001-04-19,10.52973,10.52973,10.32795,10.500525,683992
2001-04-20,10.500525,10.5138,10.06245,10.208475,587947
2001-04-23,10.288125,10.5138,10.2483,10.40229,583427
2001-04-24,10.21644,10.341225,10.089,10.325295,1812052
2001-04-25,10.28547,10.5138,10.11555,10.511145,804896
2001-04-26,10.48725,10.64655,10.447425,10.60938,871939
2001-04-27,10.633275,10.930635,10.633275,10.787265,1012806
2001-04-30,10.734165,10.7793,10.5138,10.776645,1475329
2001-05-01,10.776645,10.904085,10.712925,10.840365,803766
2001-05-02,10.84302,10.920015,10.7262,10.824435,800000
2001-05-03,10.78992,10.85364,10.68372,10.750095,692278
2001-05-04,10.819125,11.084625,10.75275,10.97046,1195103
2001-05-07,10.8855,10.98639,10.850985,10.872225,662146
2001-05-08,10.85895,10.861605,10.65717,10.686375,864030
2001-05-09,10.7262,10.728855,10.5669,10.627965,732956
2001-05-10,10.62531,10.9917,10.62,10.86957,1011299
2001-05-11,10.88019,10.882845,10.633275,10.840365,551789
2001-05-14,10.80585,10.88019,10.739475,10.771335,477589
2001-05-15,10.766025,10.89612,10.69965,10.845675,477212
2001-05-16,10.62,11.015595,10.62,11.00763,890018
2001-05-17,11.010285,11.042145,10.7793,10.872225,965725
2001-05-18,10.872225,10.92798,10.80585,10.92798,770244
2001-05-21,10.92798,10.978425,10.898775,10.97577,564971
2001-05-22,10.978425,11.151,10.97577,11.12445,1056497
2001-05-23,11.148345,11.148345,11.0448,11.143035,1231261
2001-05-24,11.148345,11.151,10.9917,11.14569,661393
2001-05-25,11.151,11.151,10.9917,11.12445,728060
2001-05-29,11.12445,11.33685,11.12445,11.148345,987193
2001-05-30,11.201445,11.254545,10.84833,10.89612,973258
2001-05-31,10.89612,10.98108,10.8324,10.98108,738606
2001-06-01,11.01825,11.111175,10.90674,11.084625,474576
2001-06-04,11.0979,11.111175,10.90674,10.98639,462523
2001-06-05,11.01294,11.11914,10.882845,10.91736,846327
2001-06-06,10.84833,10.8855,10.69965,10.7793,977401
2001-06-07,10.781955,10.819125,10.59345,10.6731,671939
2001-06-08,10.66248,10.665135,10.3545,10.553625,860263
2001-06-11,10.606725,10.606725,10.089,10.17396,1395856
2001-06-12,10.22175,10.22175,9.8235,9.873945,1477966
2001-06-13,9.889875,10.13679,9.8235,10.00935,1671186
2001-06-14,10.054485,10.086345,9.666855,9.68544,1166478
2001-06-15,9.783675,9.889875,9.69606,9.788985,2120150
2001-06-18,9.90315,9.9297,9.78633,9.78633,2794350
2001-06-19,9.69075,9.90315,9.69075,9.8235,1213935
2001-06-20,9.8235,9.92439,9.81288,9.81819,1158192
2001-06-21,9.85005,9.95625,9.8235,9.836775,1741242
2001-06-22,9.8766,9.8766,9.63765,9.65358,698305
2001-06-25,9.65358,9.95625,9.558,9.571275,948022
2001-06-26,9.558,9.62703,9.5049,9.544725,1229755
2001-06-27,9.558,9.603135,9.401355,9.40401,561581
2001-06-28,9.42525,9.7704,9.411975,9.587205,564971
2001-06-29,9.53145,9.836775,9.47835,9.65889,896798
2001-07-02,9.69075,9.804915,9.6111,9.661545,1041807
2001-07-03,9.624375,9.65889,9.496935,9.63234,332580
2001-07-05,9.63234,9.63234,9.385425,9.48366,845197
2001-07-06,9.465075,9.465075,9.21816,9.2925,869303
2001-07-09,9.26595,9.3456,9.21285,9.305775,671939
2001-07-10,9.30843,9.502245,9.25002,9.385425,767608
2001-07-11,9.411975,9.558,9.3987,9.5049,794350
2001-07-12,9.558,9.746505,9.53145,9.63765,1105461
2001-07-13,9.650925,9.757125,9.58455,9.698715,704708
2001-07-16,9.698715,9.932355,9.693405,9.927045,924293
2001-07-17,9.916425,9.916425,9.810225,9.810225,552165
2001-07-18,9.942975,10.404945,9.9297,10.404945,1604896
2001-07-19,10.4607,10.580175,10.389015,10.42353,1324293
2001-07-20,10.426185,10.606725,10.36512,10.431495,648210
2001-07-23,10.601415,10.601415,10.378395,10.38105,1849340
2001-07-24,10.38105,10.4076,10.16865,10.17396,382674
2001-07-25,10.1421,10.245645,10.00935,10.229715,763088
2001-07-26,10.176615,10.176615,9.932355,10.01466,691525
2001-07-27,10.022625,10.04652,9.6642,9.693405,765348
2001-07-30,9.719955,9.842085,9.63765,9.74385,708851
2001-07-31,9.7173,9.8766,9.7173,9.719955,913370
2001-08-01,9.6642,9.666855,9.486315,9.63234,1430885
2001-08-02,9.6111,9.8235,9.53145,9.799605,852354
2001-08-03,9.79695,9.80226,9.688095,9.778365,581544
2001-08-06,9.8235,9.8235,9.550035,9.55269,289265
2001-08-07,9.53145,9.56331,9.31905,9.4518,1371751
2001-08-08,9.3987,9.6111,9.3987,9.465075,796610
2001-08-09,9.438525,9.6642,9.438525,9.613755,580414
2001-08-10,9.58455,9.78633,9.49428,9.714645,511111
2001-08-13,9.704025,9.78633,9.603135,9.751815,578154
2001-08-14,9.725265,9.85005,9.714645,9.77571,287005
2001-08-15,9.79695,9.916425,9.75447,9.90315,413182
2001-08-16,9.90315,9.90315,9.603135,9.63234,850470
2001-08-17,9.57924,9.60579,9.3987,9.46242,731450
2001-08-20,9.558,9.58455,9.411975,9.486315,988323
2001-08-21,9.544725,9.666855,9.53145,9.581895,749152
2001-08-22,9.369495,9.369495,8.652645,9.066825,4703954
2001-08-23,9.00045,9.066825,8.89425,8.9739,2407532
2001-08-24,9.00045,9.119925,8.987175,9.066825,884369
2001-08-27,9.05355,9.09072,9.013725,9.04824,770244
2001-08-28,9.04824,9.077445,8.94735,8.950005,1575141
2001-08-29,8.9739,9.05355,8.96328,9.027,1446704
2001-08-30,9.029655,9.029655,8.9208,8.944695,1026365
2001-08-31,8.944695,9.21285,8.9208,9.178335,896798
2001-09-04,9.1332,9.385425,9.1332,9.14382,969868
2001-09-05,9.03762,9.15975,8.85708,9.01107,844444
2001-09-06,8.88363,8.9208,8.642025,8.663265,1378154
2001-09-07,8.62875,8.695125,8.496,8.496,1752919
2001-09-10,8.496,8.8146,8.46945,8.67654,1561581
2001-09-17,8.36325,8.392455,8.180055,8.180055,2273446
2001-09-18,8.2305,8.36325,8.20395,8.249085,1605649
2001-09-19,8.2305,8.37918,8.11899,8.31546,1170244
2001-09-20,8.307495,8.31015,7.90128,7.90128,1755932
2001-09-21,7.7526,7.88535,7.67295,7.818975,1894538
2001-09-24,7.818975,8.440245,7.818975,8.419005,1834651
2001-09-25,8.419005,8.429625,8.00748,8.09775,1839171
2001-09-26,8.031375,8.04465,7.67826,7.72074,2068549
2001-09-27,7.739325,7.739325,7.51896,7.633125,1207909
2001-09-28,7.72605,7.925175,7.51365,7.771185,1720150
2001-10-01,7.760565,7.829595,7.58268,7.595955,1188700
2001-10-02,7.5933,7.925175,7.484445,7.83756,1344632
2001-10-03,7.500375,8.482725,7.473825,8.42166,2956308
