,open,high,low,close,volume
2000-12-21,32.919988,33.146417,32.523738,32.580345,77397.0
2000-12-22,32.467131,32.580345,32.127488,32.467131,112507.0
2000-12-26,32.353917,32.467131,32.353917,32.467131,23075.0
2000-12-27,32.467131,32.636953,32.467131,32.580345,199069.0
2000-12-28,32.467131,33.372845,32.410524,33.316238,171466.0
2000-12-29,33.203024,33.203024,32.69356,32.750167,94842.0
2001-01-02,32.69356,32.806774,32.127488,32.184096,362807.0
2001-01-03,32.184096,32.580345,32.127488,32.29731,219936.0
2001-01-04,32.29731,32.353917,32.014274,32.184096,177760.0
2001-01-05,32.240703,32.240703,31.787846,31.844453,60173.0
2001-01-08,31.90106,32.070881,31.618024,31.844453,128738.0
2001-01-09,31.618024,31.90106,31.561417,31.618024,52113.0
2001-01-10,31.618024,31.618024,31.221775,31.334989,225126.0
2001-01-11,31.278382,31.278382,30.768918,30.825525,217397.0
2001-01-12,30.599096,30.882132,30.542489,30.542489,178422.0
2001-01-16,31.10856,31.10856,30.316061,30.429275,152255.0
2001-01-17,30.429275,30.429275,30.033025,30.146239,229873.0
2001-01-18,30.372668,30.825525,29.919811,30.825525,492429.0
2001-01-19,30.71231,31.10856,30.655703,30.768918,108312.0
2001-01-22,30.768918,30.995346,30.599096,30.995346,376719.0
2001-01-23,30.882132,31.051953,30.882132,30.938739,112728.0
2001-01-24,30.938739,30.938739,30.655703,30.882132,79716.0
2001-01-25,30.882132,30.882132,30.655703,30.825525,103675.0
2001-01-26,30.825525,30.825525,30.71231,30.825525,180078.0
2001-01-29,30.827789,30.927417,30.755332,30.927417,219605.0
2001-01-30,30.900246,31.017989,30.891189,31.008932,498280.0
2001-01-31,31.017989,31.470846,30.900246,31.017989,224022.0
2001-02-01,30.547018,30.927417,30.547018,30.882132,191119.0
2001-02-02,30.746275,31.561417,30.746275,31.29876,228328.0
2001-02-05,31.280646,31.280646,31.027046,31.10856,276135.0
2001-02-06,31.10856,31.10856,30.755332,30.945532,134589.0
2001-02-07,30.836846,31.153846,30.836846,30.98176,356735.0
2001-02-08,30.963646,30.98176,30.655703,30.891189,78391.0
2001-02-09,30.927417,31.008932,30.66476,30.746275,84574.0
2001-02-12,30.882132,30.927417,30.655703,30.72816,93517.0
2001-02-13,30.700989,30.836846,30.655703,30.700989,219605.0
2001-02-14,30.700989,30.800618,30.655703,30.764389,1451672.0
2001-02-15,,,,,
2001-02-16,30.746275,30.927417,30.60136,30.655703,573470.0
2001-02-20,30.746275,30.746275,30.383989,30.610418,1272918.0
2001-02-21,30.519846,30.610418,29.885846,30.220961,188028.0
2001-02-22,30.021703,30.112275,29.269961,29.360532,291261.0
2001-02-23,29.360532,30.891189,29.360532,29.885846,998880.0
2001-02-26,29.885846,31.199132,29.885846,31.063275,318643.0
2001-02-27,31.063275,31.688217,31.036103,31.61576,895205.0
2001-02-28,31.61576,32.784131,31.606703,32.295046,439873.0
2001-03-01,32.295046,32.602988,32.014274,32.421846,198959.0
2001-03-02,32.602988,33.553988,32.602988,32.965274,511750.0
2001-03-05,32.956217,33.236988,32.956217,33.155474,476530.0
2001-03-06,33.155474,33.191702,32.929045,32.956217,222145.0
2001-03-07,32.956217,32.956217,32.37656,32.467131,738091.0
2001-03-08,32.467131,32.467131,32.358446,32.467131,80378.0
2001-03-09,32.467131,32.467131,32.014274,32.150131,178533.0
2001-03-12,32.204474,32.240703,31.74256,31.93276,141877.0
2001-03-13,31.923703,32.295046,31.923703,32.195417,107318.0
2001-03-14,31.978046,32.014274,31.547832,31.561417,230094.0
2001-03-15,31.153846,31.543303,30.836846,31.153846,132933.0
2001-03-16,30.655703,31.10856,30.655703,31.008932,2370284.0
2001-03-19,31.017989,31.733503,30.972703,31.606703,2185789.0
2001-03-20,31.606703,32.331274,31.516132,31.534246,123990.0
2001-03-21,31.543303,31.74256,30.655703,30.719103,242902.0
2001-03-22,30.746275,30.836846,29.659418,30.202846,167712.0
2001-03-23,30.202846,31.017989,29.976418,30.021703,224574.0
2001-03-26,29.976418,30.927417,29.976418,30.927417,267744.0
2001-03-27,30.746275,30.927417,30.202846,30.882132,113059.0
2001-03-28,30.79156,30.79156,30.066989,30.130389,175441.0
2001-03-29,30.157561,30.655703,30.076046,30.519846,184384.0
2001-03-30,30.519846,31.10856,30.492675,30.501732,191009.0
2001-04-02,30.864017,31.334989,30.864017,31.289703,228548.0
2001-04-03,31.199132,31.226303,30.329646,30.383989,94621.0
2001-04-04,30.565132,30.873075,30.338703,30.501732,107760.0
2001-04-05,30.47456,31.153846,30.47456,31.008932,109968.0
2001-04-06,31.063275,31.063275,30.374932,30.429275,73312.0
2001-04-09,30.429275,30.836846,30.275303,30.293418,71876.0
2001-04-10,30.293418,30.47456,30.103218,30.130389,146072.0
2001-04-11,30.239075,30.275303,29.632246,29.731875,195315.0
2001-04-12,29.731875,29.731875,29.342418,29.550732,203927.0
2001-04-16,29.550732,29.749989,29.351475,29.351475,148501.0
2001-04-17,29.432989,29.840561,29.297132,29.749989,112839.0
2001-04-18,29.749989,30.021703,29.387704,29.958304,358391.0
2001-04-19,29.931132,30.021703,29.749989,29.976418,97602.0
2001-04-20,30.021703,30.202846,29.768104,29.867732,207791.0
2001-04-23,30.021703,30.094161,29.614132,29.822446,116703.0
2001-04-24,29.822446,30.021703,29.605075,29.840561,235504.0
2001-04-25,29.931132,30.089632,29.768104,29.885846,58738.0
2001-04-26,29.894904,30.447389,29.894904,30.302475,200615.0
2001-04-27,30.700989,31.289703,30.547018,31.153846,440978.0
2001-04-30,31.199132,31.380274,31.099503,31.307817,65694.0
2001-05-01,31.316874,31.525189,31.153846,31.498017,136577.0
2001-05-02,31.516132,31.561417,31.334989,31.561417,217839.0
2001-05-03,31.280646,31.470846,31.063275,31.344046,418454.0
2001-05-04,31.10856,31.271589,30.72816,31.144789,175883.0
2001-05-07,31.017989,31.190075,30.909303,31.017989,199069.0
2001-05-08,31.063275,31.063275,30.565132,30.873075,212981.0
2001-05-09,30.79156,30.79156,30.583246,30.682875,84905.0
2001-05-10,30.700989,30.79156,30.655703,30.710046,55977.0
2001-05-11,30.655703,30.700989,30.519846,30.619475,46261.0
2001-05-14,30.637589,30.655703,30.438332,30.655703,76735.0
2001-05-15,30.655703,30.873075,30.556075,30.746275,82586.0
2001-05-16,30.746275,31.17196,30.746275,31.17196,167381.0
2001-05-17,31.199132,31.289703,30.990817,31.226303,102902.0
2001-05-18,31.199132,31.199132,30.909303,31.04516,197082.0
2001-05-21,30.972703,31.017989,30.737218,30.873075,203044.0
2001-05-22,30.963646,31.561417,30.91836,31.289703,270284.0
2001-05-23,31.325932,31.878417,31.162903,31.724446,183280.0
2001-05-24,31.724446,32.068617,31.651989,32.041446,257918.0
2001-05-25,32.014274,32.014274,31.561417,31.787846,237602.0
2001-05-29,31.878417,32.331274,31.787846,32.159188,146624.0
2001-05-30,32.159188,32.159188,31.923703,31.923703,90315.0
2001-05-31,31.923703,32.18636,31.914646,32.014274,209889.0
2001-06-01,32.014274,32.014274,31.968989,32.014274,77287.0
2001-06-04,31.99616,32.467131,31.878417,32.467131,337634.0
2001-06-05,32.458074,32.919988,32.458074,32.88376,133375.0
2001-06-06,32.88376,33.046788,32.88376,32.983388,61056.0
2001-06-07,32.94716,33.01056,32.874703,33.01056,115820.0
2001-06-08,32.965274,33.01056,32.738845,32.738845,84684.0
2001-06-11,32.648274,32.802245,32.458074,32.75696,196861.0
2001-06-12,32.75696,33.191702,32.69356,33.019617,401120.0
2001-06-13,33.101131,33.101131,32.738845,32.892817,211214.0
2001-06-14,32.919988,32.919988,32.548645,32.775074,193880.0
2001-06-15,32.639217,32.901874,32.602988,32.729788,2237130.0
2001-06-18,32.702617,33.825702,32.702617,33.662674,2378013.0
2001-06-19,33.916274,33.916274,33.644559,33.762302,182618.0
2001-06-20,33.825702,34.187988,33.735131,33.961559,191561.0
2001-06-21,34.006845,34.233274,33.916274,34.052131,158328.0
2001-06-22,34.052131,34.097416,33.780417,33.816645,207239.0
2001-06-25,33.825702,33.961559,33.635502,33.671731,69889.0
2001-06-26,33.825702,33.961559,33.671731,33.807588,67571.0
2001-06-27,33.753245,33.816645,33.372845,33.608331,158438.0
2001-06-28,33.599274,34.115531,33.599274,33.735131,237713.0
2001-06-29,33.735131,34.215159,33.282274,33.409074,352097.0
2001-07-02,33.282274,33.870988,33.101131,33.870988,184826.0
2001-07-03,33.961559,34.052131,33.934388,34.024959,81041.0
2001-07-05,34.006845,34.187988,33.861931,33.934388,53217.0
2001-07-06,34.006845,34.079302,33.599274,33.816645,73753.0
2001-07-09,33.916274,34.097416,33.32756,33.481531,168154.0
2001-07-10,33.508702,33.581159,33.372845,33.463417,71545.0
2001-07-11,33.454359,33.508702,33.282274,33.363788,121340.0
2001-07-12,33.400017,33.400017,33.236988,33.354731,74858.0
2001-07-13,33.372845,33.372845,33.246045,33.26416,196088.0
2001-07-16,33.26416,33.32756,32.929045,33.019617,99589.0
2001-07-17,32.919988,33.101131,32.88376,32.965274,99810.0
2001-07-18,32.602988,33.101131,32.602988,33.019617,152807.0
2001-07-19,33.101131,33.255102,33.001502,33.246045,109416.0
2001-07-20,33.282274,33.282274,33.055845,33.191702,87113.0
2001-07-23,33.191702,33.32756,32.802245,33.01056,86892.0
2001-07-24,33.055845,33.209817,32.648274,32.657331,170804.0
2001-07-25,32.657331,32.69356,32.37656,32.69356,149495.0
2001-07-26,32.648274,33.146417,32.584874,32.938103,228438.0
2001-07-27,33.155474,33.354731,32.874703,33.282274,143643.0
2001-07-30,33.336617,33.409074,32.874703,32.919988,72429.0
2001-07-31,32.738845,33.173588,32.738845,33.046788,140662.0
2001-08-01,33.146417,33.318502,33.001502,33.164531,145410.0
2001-08-02,32.829417,33.236988,32.69356,33.20076,170362.0
2001-08-03,33.20076,33.372845,33.055845,33.173588,156340.0
2001-08-06,33.32756,33.472474,33.318502,33.445302,242571.0
2001-08-07,33.553988,33.644559,33.553988,33.644559,155015.0
2001-08-08,33.644559,33.870988,33.508702,33.834759,189905.0
2001-08-09,33.870988,33.961559,33.599274,33.961559,121782.0
2001-08-10,33.961559,34.278559,33.916274,34.278559,347902.0
2001-08-13,34.278559,34.278559,33.870988,34.278559,473107.0
2001-08-14,34.278559,34.821988,34.233274,34.713302,431261.0
2001-08-15,34.722359,34.867273,34.459702,34.776702,272160.0
2001-08-16,34.74953,34.776702,34.369131,34.459702,107649.0
2001-08-17,34.459702,34.957845,34.242331,34.894445,97050.0
2001-08-20,34.731416,34.912559,34.468759,34.912559,132160.0
2001-08-21,35.00313,35.546559,34.613673,35.12993,224353.0
2001-08-22,35.184273,35.238616,35.030302,35.184273,261119.0
2001-08-23,35.184273,35.727702,35.148045,35.727702,426845.0
2001-08-24,35.727702,35.727702,35.093702,35.157102,385110.0
2001-08-27,35.338245,35.727702,35.184273,35.501273,182839.0
2001-08-28,35.528444,35.546559,35.365416,35.455987,291482.0
2001-08-29,35.32013,35.374473,35.093702,35.274845,410946.0
2001-08-30,35.265787,35.537502,34.323845,34.613673,185709.0
2001-08-31,34.794816,34.921616,34.369131,34.378188,92523.0
2001-09-04,34.169874,34.296673,34.006845,34.278559,129179.0
2001-09-05,34.459702,34.495931,34.043074,34.097416,176987.0
2001-09-06,34.115531,34.278559,33.807588,33.807588,245993.0
2001-09-07,33.807588,33.807588,32.802245,32.802245,227444.0
2001-09-10,32.69356,32.69356,32.467131,32.467131,372855.0
2001-09-17,34.957845,35.184273,33.282274,33.535874,4968566.0
2001-09-18,34.142702,34.323845,33.191702,33.735131,3923313.0
2001-09-19,34.052131,34.459702,32.829417,33.436245,620725.0
2001-09-20,33.436245,33.553988,32.37656,33.146417,691388.0
2001-09-21,32.738845,33.046788,31.968989,32.421846,819574.0
2001-09-24,32.829417,33.508702,32.394674,32.557703,416467.0
2001-09-25,32.766017,33.101131,32.421846,32.965274,745599.0
2001-09-26,33.146417,33.916274,32.829417,33.282274,382019.0
2001-09-27,33.553988,33.825702,33.345674,33.717017,440978.0
2001-09-28,33.916274,34.314788,33.780417,34.006845,358170.0
2001-10-01,34.233274,34.233274,33.282274,33.463417,572697.0
2001-10-02,33.463417,33.644559,32.684503,33.037731,306608.0
2001-10-03,32.919988,32.919988,31.987103,32.104846,1684306.0
2001-10-04,32.195417,33.780417,32.195417,32.702617,440094.0
2001-10-05,32.521474,32.738845,31.74256,32.648274,206798.0
2001-10-08,32.512417,32.711674,32.195417,32.331274,188138.0
2001-10-09,32.421846,32.901874,32.295046,32.856588,272823.0
2001-10-10,32.784131,33.037731,31.878417,32.874703,220489.0
2001-10-11,32.648274,33.735131,32.648274,33.590217,369542.0
2001-10-12,33.780417,33.780417,32.938103,33.119245,262886.0
2001-10-15,33.318502,33.689845,33.146417,33.617388,139006.0
2001-10-16,33.463417,33.599274,33.26416,33.418131,231530.0
2001-10-17,32.874703,33.055845,32.69356,33.01056,365788.0
2001-10-18,32.992445,33.001502,32.421846,32.593931,442744.0
2001-10-19,32.738845,33.644559,32.738845,33.644559,727271.0
2001-10-22,33.644559,33.644559,32.602988,33.146417,498280.0
2001-10-23,33.599274,33.771359,33.463417,33.599274,569495.0
2001-10-24,33.599274,33.599274,33.146417,33.191702,765363.0
2001-10-25,33.418131,33.644559,33.282274,33.436245,286293.0
2001-10-26,33.626445,33.644559,33.236988,33.508702,509101.0
2001-10-29,33.644559,33.825702,33.409074,33.544931,278123.0
2001-10-30,33.599274,33.644559,33.191702,33.363788,305946.0
2001-10-31,33.463417,33.680788,33.282274,33.553988,534385.0
2001-11-01,33.735131,33.825702,33.418131,33.825702,670189.0
2001-11-02,33.780417,34.006845,33.553988,33.825702,282429.0
2001-11-05,33.735131,34.414416,33.409074,33.717017,207902.0
2001-11-06,33.898159,34.459702,33.852874,34.459702,263548.0
2001-11-07,34.640845,34.695188,34.142702,34.649902,261451.0
2001-11-08,34.867273,34.912559,34.459702,34.776702,348012.0
2001-11-09,34.731416,34.740473,34.233274,34.523102,271719.0
2001-11-12,34.550273,34.550273,34.024959,34.351016,355962.0
2001-11-13,34.351016,34.68613,34.305731,34.577445,179858.0
2001-11-14,34.713302,34.713302,34.142702,34.287616,313123.0
2001-11-15,34.287616,34.803873,34.287616,34.803873,505347.0
2001-11-16,33.825702,34.187988,33.644559,33.843816,1996546.0
2001-11-19,34.187988,34.187988,33.735131,34.052131,455220.0
2001-11-20,34.088359,34.233274,33.834759,34.133645,525993.0
2001-11-21,34.133645,34.206102,33.825702,34.206102,236829.0
2001-11-23,34.233274,34.260445,34.097416,34.187988,123659.0
2001-11-26,34.233274,34.287616,33.789474,33.798531,329463.0
2001-11-27,33.961559,33.961559,33.635502,33.689845,217728.0
2001-11-28,33.463417,33.961559,33.463417,33.825702,407523.0
2001-11-29,33.825702,33.825702,33.282274,33.553988,330126.0
2001-11-30,33.553988,33.735131,33.418131,33.644559,355741.0
2001-12-03,33.644559,33.644559,33.146417,33.372845,665221.0
2001-12-04,33.336617,33.807588,33.336617,33.644559,371640.0
2001-12-05,33.689845,34.459702,33.689845,34.178931,895205.0
2001-12-06,34.178931,34.930673,34.106474,34.731416,335867.0
2001-12-07,34.740473,34.740473,34.559331,34.668016,113722.0
2001-12-10,34.668016,34.668016,33.771359,34.269502,315000.0
2001-12-11,34.097416,34.677073,34.097416,34.514045,273485.0
2001-12-12,34.287616,34.640845,33.979674,34.387245,407413.0
2001-12-13,34.387245,34.450645,34.187988,34.269502,554148.0
2001-12-14,34.260445,34.68613,34.187988,34.68613,2863376.0
2001-12-17,34.68613,35.138987,34.459702,34.604616,2623786.0
