,open,high,low,close,volume
2000-12-21,26.625,26.75,26.09375,26.46875,13507000
2000-12-22,26.59375,27.15625,26.53125,26.96875,10058800
2000-12-26,26.96875,27.5,26.84375,27.46875,5180000
2000-12-27,27.5,27.65625,27.25,27.65625,5982200
2000-12-28,27.65625,28.0625,27.46875,27.875,5018000
2000-12-29,28.09375,28.1875,27.71875,27.84375,6043000
2001-01-02,27.21875,27.40625,26.6875,26.96875,10616400
2001-01-03,26.4375,27.0,25.0,26.5625,25444200
2001-01-04,26.0625,26.65625,25.34375,26.0,17224200
2001-01-05,25.65625,26.3125,24.96875,26.1875,14437000
2001-01-08,25.8125,26.3125,25.71875,25.9375,9123600
2001-01-09,25.78125,26.15625,24.625,24.71875,11326800
2001-01-10,23.90625,24.8125,23.84375,24.34375,15362600
2001-01-11,24.75,25.28125,24.4375,24.625,11738200
2001-01-12,25.03125,25.03125,24.09375,24.34375,8525000
2001-01-16,24.375,25.09375,23.875,24.96875,14995200
2001-01-17,25.3125,25.40625,24.6875,24.6875,9124200
2001-01-18,24.875,24.875,24.15625,24.21875,8346600
2001-01-19,24.25,24.8125,24.03125,24.53125,9148400
2001-01-22,24.53125,25.0625,24.3125,24.8125,6294200
2001-01-23,24.84375,25.21875,24.65625,24.8125,9064800
2001-01-24,24.96875,25.375,24.75,25.09375,7102800
2001-01-25,25.125,25.4375,24.84375,25.3125,10620000
2001-01-26,25.53125,25.9375,25.28125,25.75,9104000
2001-01-29,25.875,26.14,25.325,25.565,7106200
2001-01-30,25.81,26.05,25.305,25.955,8707400
2001-01-31,25.725,25.9,25.35,25.755,6828200
2001-02-01,25.525,25.94,24.875,25.2,9373200
2001-02-02,24.975,25.3,24.925,25.12,5189000
2001-02-05,25.44,25.755,25.225,25.68,5201000
2001-02-06,25.38,25.59,25.135,25.445,5214800
2001-02-07,25.45,25.76,25.25,25.37,4983400
2001-02-08,25.475,25.77,25.465,25.55,6306200
2001-02-09,25.55,25.6,25.125,25.335,6213800
2001-02-12,25.585,25.73,25.3,25.4,5967400
2001-02-13,25.425,25.495,24.875,24.995,7284400
2001-02-14,25.275,25.49,24.975,25.14,4532600
2001-02-15,25.175,25.31,24.8,24.855,4475400
2001-02-16,24.85,25.35,24.8,25.055,6796000
2001-02-20,25.275,25.28,24.225,24.34,7583000
2001-02-21,24.34,24.6,23.9,24.01,7599000
2001-02-22,24.05,24.2,23.21,24.075,9636600
2001-02-23,24.015,24.3,23.425,24.235,6664400
2001-02-26,24.235,24.84,23.89,24.79,7720200
2001-02-27,24.79,25.165,24.58,25.035,7209600
2001-02-28,25.29,25.29,24.515,24.82,7045400
2001-03-01,24.82,24.885,24.29,24.78,8979600
2001-03-02,24.85,25.245,24.7,25.085,6782000
2001-03-05,24.96,25.06,24.375,24.915,5492800
2001-03-06,25.25,25.36,24.37,24.735,7346400
