,open,high,low,close,volume
2001-06-12,43.7085,45.16545,42.384,43.9734,3894450
2001-06-13,43.84095,44.2383,43.7085,43.84095,758021
2001-06-14,43.7085,43.7085,42.384,42.9138,501094
2001-06-15,42.78135,43.57605,42.384,43.57605,382823
2001-06-18,45.033,46.0926,43.84095,45.13896,358399
2001-06-19,45.033,45.96015,44.37075,45.96015,232804
2001-06-20,46.0926,49.0065,46.0926,47.1522,176179
2001-06-21,47.1522,47.682,47.01975,47.1522,79124
2001-06-22,47.09922,47.09922,45.96015,46.30452,109852
2001-06-25,45.69525,47.682,43.7085,46.75485,142582
2001-06-26,46.56942,46.56942,44.98002,45.033,109362
2001-06-27,45.033,46.22505,44.37075,45.8277,96149
2001-06-28,46.3575,47.28465,46.0926,46.3575,102567
2001-06-29,46.3575,47.54955,45.69525,47.01975,222876
2001-07-02,47.01975,47.1522,45.69525,46.3575,46319
2001-07-03,46.75485,46.75485,45.69525,46.0926,54397
2001-07-05,46.3575,47.25816,46.0926,47.07273,74858
2001-07-06,47.04624,47.28465,46.75485,46.96677,60588
2001-07-09,46.6224,46.6224,45.033,45.2979,117327
2001-07-10,45.43035,45.58929,44.37075,44.7681,148961
2001-07-11,45.16545,47.01975,44.66214,45.69525,151981
2001-07-12,45.69525,46.3575,44.63565,44.68863,198980
2001-07-13,44.66214,45.69525,44.66214,45.69525,112268
2001-07-16,45.8277,46.03962,45.69525,45.96015,48848
2001-07-17,45.96015,46.3575,44.7681,45.96015,64967
2001-07-18,45.8277,45.8277,45.033,45.43035,80558
2001-07-19,45.033,45.2979,44.5032,45.033,128274
2001-07-20,44.90055,45.033,44.68863,44.90055,38769
2001-07-23,44.90055,44.90055,44.63565,44.90055,59984
2001-07-24,44.90055,44.90055,43.1787,43.4436,221442
2001-07-25,43.1787,43.1787,41.0595,43.04625,371762
2001-07-26,43.04625,43.9734,43.04625,43.60254,96187
2001-07-27,43.7085,45.5628,43.7085,45.5628,118875
2001-07-30,45.16545,46.33101,45.033,45.033,91204
2001-07-31,46.3575,47.01975,44.7681,45.69525,267270
2001-08-01,45.96015,46.3575,45.74823,45.74823,139562
2001-08-02,45.74823,45.8277,44.10585,44.37075,153114
2001-08-03,44.37075,47.01975,44.37075,46.75485,177085
2001-08-06,47.01975,47.682,46.78134,47.682,46545
2001-08-07,47.4171,47.81445,46.3575,46.3575,130011
2001-08-08,46.6224,46.6224,45.5628,46.48995,67346
2001-08-09,46.3575,46.48995,45.69525,46.11909,58625
2001-08-10,46.11909,46.8873,46.11909,46.8873,25745
2001-08-13,46.6224,48.34425,46.48995,47.44359,34994
2001-08-14,47.28465,49.0065,47.28465,48.07935,72027
2001-08-15,48.4767,48.4767,47.682,48.34425,61419
2001-08-16,48.34425,48.90054,48.10584,48.76809,68780
2001-08-17,48.7416,49.72173,48.7416,49.2714,9248
2001-08-20,49.66875,51.6555,49.66875,51.6555,174933
2001-08-21,50.99325,51.25815,50.331,50.46345,108078
2001-08-22,50.8608,53.5098,50.8608,52.84755,180294
2001-08-23,52.98,52.98,52.1853,52.1853,44394
2001-08-24,51.52305,51.52305,50.5959,50.8608,154322
2001-08-27,50.99325,51.1257,50.0661,50.331,59531
2001-08-28,50.331,50.46345,49.72173,50.331,99924
2001-08-29,50.331,50.5959,49.66875,50.331,127066
2001-08-30,50.46345,50.5959,49.66875,49.72173,31219
2001-08-31,49.8012,50.19855,49.8012,49.82769,15741
2001-09-04,49.66875,49.77471,48.7416,49.40385,48810
2001-09-05,49.2714,49.2714,48.60915,48.60915,55568
2001-09-06,48.37074,48.42372,47.57604,47.57604,6908
2001-09-07,47.1522,47.99988,46.8873,47.04624,38731
2001-09-10,47.1522,47.1522,46.38399,46.6224,74443
2001-09-17,45.96015,54.3045,45.96015,50.99325,726085
2001-09-18,51.6555,52.1853,51.6555,51.9204,319479
2001-09-19,52.1853,53.64225,51.6555,53.64225,222499
2001-09-20,53.90715,59.6025,53.90715,56.6886,409097
2001-09-21,56.9535,58.278,54.43695,55.0992,307701
2001-09-24,55.629,56.1588,55.0992,55.629,167534
2001-09-25,56.1588,56.9535,55.3641,55.76145,120951
2001-09-26,56.6886,59.31111,56.55615,58.91376,345035
2001-09-27,61.58925,65.13891,60.6621,63.44355,369573
2001-09-28,63.8409,64.60911,61.61574,61.96011,141109
2001-10-01,60.927,61.85415,60.21177,61.13892,102793
2001-10-02,59.6025,61.1919,58.83429,60.1323,139448
2001-10-03,60.6621,63.44355,60.6621,61.48329,320875
2001-10-04,61.7217,62.2515,60.1323,61.16541,148886
2001-10-05,61.1919,62.2515,60.55614,62.11905,131294
2001-10-08,62.14554,62.14554,60.6621,61.24488,45564
2001-10-09,61.27137,61.7217,60.927,60.927,80483
2001-10-10,61.1919,63.28461,61.1919,62.41044,212080
2001-10-11,63.0462,63.54951,62.11905,62.22501,55266
2001-10-12,61.9866,62.5164,60.1323,61.9866,81653
2001-10-15,61.32435,61.35084,59.36409,60.3972,40883
2001-10-16,60.42369,63.576,58.99323,59.47005,50660
2001-10-17,58.278,59.6025,58.278,59.57601,71272
2001-10-18,59.09919,61.4568,58.8078,61.35084,101283
2001-10-19,61.35084,62.48991,61.1919,61.7217,47753
2001-10-22,62.38395,67.04619,62.38395,65.6952,110607
2001-10-23,66.7548,66.7548,65.4303,65.56275,81464
2001-10-24,65.56275,65.56275,62.7813,63.07269,130502
2001-10-25,63.09918,64.21176,62.03958,64.21176,145602
2001-10-26,65.1654,66.4899,64.23825,66.27798,141638
2001-10-29,67.5495,69.64221,65.56275,66.225,125556
2001-10-30,62.91375,62.91375,60.26475,61.56276,201849
2001-10-31,61.9866,62.2515,60.927,61.69521,271045
2001-11-01,61.7217,61.7217,60.95349,61.7217,49037
2001-11-02,62.2515,63.68196,61.61574,63.576,118422
2001-11-05,63.8409,65.74818,63.70845,64.9005,70139
2001-11-06,64.9005,66.17202,64.3707,65.93361,50169
2001-11-07,66.225,68.0793,64.97997,66.25149,270177
2001-11-08,66.4899,66.4899,63.3111,65.24487,270441
2001-11-09,63.576,63.576,60.79455,60.927,3009626
2001-11-12,61.05945,61.32435,58.11906,61.32435,649565
2001-11-13,61.58925,63.09918,60.95349,62.2515,644582
2001-11-14,62.5164,62.91375,60.97998,61.08594,161343
2001-11-15,61.1919,61.9866,60.6621,60.927,139939
2001-11-16,60.927,61.29786,59.6025,59.99985,185428
2001-11-19,60.26475,60.79455,57.7482,58.8078,195734
2001-11-20,58.8078,59.6025,58.8078,58.8078,268327
2001-11-21,58.8078,60.1323,58.8078,59.20515,204416
2001-11-23,59.6025,61.80117,59.3376,61.56276,55605
2001-11-26,62.11905,62.22501,60.79455,61.9866,179388
2001-11-27,61.9866,63.17865,61.9866,62.7813,132729
2001-11-28,62.7813,62.7813,61.1919,61.77468,79124
2001-11-29,61.56276,63.23163,61.56276,63.20514,107021
2001-11-30,63.3111,63.3111,62.38395,62.72832,105738
2001-12-03,62.2515,63.15216,60.58263,62.38395,44771
2001-12-04,62.5164,63.3111,62.11905,62.88726,103510
2001-12-05,63.52302,63.70845,62.27799,62.43693,202831
2001-12-06,62.41044,63.17865,61.58925,63.0462,121668
2001-12-07,63.576,63.576,61.85415,62.11905,255303
2001-12-10,61.05945,62.09256,60.79455,61.1919,115100
2001-12-11,60.927,63.15216,60.68859,61.85415,283465
2001-12-12,61.85415,62.2515,61.1919,61.7217,287278
2001-12-13,61.48329,62.35746,61.1919,61.96011,109852
2001-12-14,61.96011,62.88726,61.21839,61.58925,238656
2001-12-17,61.05945,61.85415,59.8674,61.1919,263457
2001-12-18,60.6621,61.4568,60.6621,61.05945,90524
2001-12-19,60.97998,62.38395,60.95349,62.19852,364250
2001-12-20,61.9866,62.86077,61.85415,62.35746,120271
2001-12-21,62.2515,62.48991,60.6621,61.05945,116836
2001-12-24,60.3972,61.7217,60.3972,61.16541,37636
2001-12-26,60.6621,61.37733,60.26475,60.927,106228
2001-12-27,61.1919,61.43031,60.3972,61.32435,159720
2001-12-28,60.927,62.22501,60.927,61.9866,165156
2001-12-31,62.11905,62.5164,61.88064,62.38395,268214
2002-01-02,62.38395,62.64885,61.7217,62.2515,153152
2002-01-03,62.2515,64.60911,62.2515,63.0462,541789
2002-01-04,63.0462,63.8409,62.86077,62.91375,126274
2002-01-07,62.2515,63.0462,61.05945,61.32435,222725
2002-01-08,60.927,60.927,56.9535,57.4833,661306
2002-01-09,57.61575,59.8674,57.50979,58.96674,760400
2002-01-10,59.3376,62.41044,59.3376,61.05945,759871
2002-01-11,61.7217,62.7813,61.7217,62.7813,221593
2002-01-14,62.70183,64.1058,62.70183,63.36408,250736
2002-01-15,63.28461,64.05282,62.91375,64.05282,275235
2002-01-16,63.8409,64.1058,63.576,63.97335,177010
2002-01-17,64.60911,64.60911,63.576,63.60249,266213
2002-01-18,63.60249,63.94686,63.36408,63.576,139637
2002-01-22,63.54951,63.81441,62.7813,63.81441,458323
2002-01-23,63.44355,64.47666,63.44355,63.97335,237938
2002-01-24,63.70845,64.23825,63.17865,64.18527,238429
2002-01-25,64.34421,66.25149,63.76143,65.6952,226802
2002-01-28,66.35745,66.59586,65.03295,65.48328,172668
2002-01-29,65.19189,66.225,65.19189,65.19189,101472
2002-01-30,66.17202,67.92036,64.9005,67.92036,218044
2002-01-31,67.47003,71.523,67.47003,70.94022,522159
2002-02-01,71.7879,73.21836,70.75479,72.66207,367119
2002-02-04,72.45015,73.80114,71.7879,72.47664,189392
2002-02-05,72.47664,74.11902,72.45015,74.11902,381426
2002-02-06,74.03955,74.03955,72.8475,73.05942,310343
2002-02-07,73.50975,73.50975,71.57598,71.65545,162589
2002-02-08,71.92035,73.08591,71.7879,73.08591,178595
2002-02-11,73.1124,73.58922,72.60909,72.97995,82672
2002-02-12,73.1124,75.09915,72.97995,73.50975,497885
2002-02-13,73.77465,74.03955,72.45015,73.9071,147602
2002-02-14,73.9071,75.2316,73.9071,75.2316,266440
2002-02-15,75.70842,75.70842,73.1124,73.21836,66402
2002-02-19,73.1124,73.6422,71.523,71.7879,244696
2002-02-20,72.3177,72.3177,69.96009,71.523,105624
2002-02-21,71.2581,72.13227,70.14552,71.84088,75349
2002-02-22,71.7879,71.81439,70.33095,70.4634,107097
2002-02-25,71.39055,71.49651,70.1985,71.36406,281351
2002-02-26,71.523,71.523,70.33095,70.33095,93318
2002-02-27,70.86075,71.49651,70.67532,70.70181,103246
2002-02-28,70.9932,72.8475,70.9932,71.49651,127482
2002-03-01,71.523,71.523,70.1985,71.2581,72253
2002-03-04,70.59585,72.0528,70.59585,71.12565,86183
2002-03-05,71.39055,71.65545,70.22499,70.9932,136353
2002-03-06,70.9932,71.2581,67.0197,69.64221,363797
2002-03-07,70.06605,70.1985,67.17864,67.97334,176179
2002-03-08,67.57599,68.74155,67.57599,67.97334,141223
2002-03-11,67.97334,67.97334,66.35745,66.88725,117553
2002-03-12,66.7548,69.1389,66.64884,68.63559,116572
2002-03-13,68.47665,68.55612,67.68195,67.94685,59720
2002-03-14,68.0793,68.55612,68.0793,68.21175,13476
2002-03-15,68.0793,68.0793,66.88725,66.88725,80407
2002-03-18,67.25811,67.39056,65.72169,65.9601,221479
2002-03-19,66.09255,66.64884,65.82765,66.56937,146621
2002-03-20,66.99321,67.0197,66.11904,66.11904,131710
2002-03-21,66.225,68.55612,66.14553,67.94685,194035
2002-03-22,68.23824,68.23824,66.99321,67.49652,40203
2002-03-25,67.78791,67.78791,65.98659,66.4899,96413
2002-03-26,65.27136,65.93361,64.1058,65.72169,583125
2002-03-27,65.72169,65.72169,65.19189,65.4303,534465
2002-03-28,65.29785,65.56275,65.29785,65.4303,169988
2002-04-01,65.40381,65.4303,65.1654,65.29785,57455
2002-04-02,65.29785,67.41705,65.29785,67.0197,288523
2002-04-03,67.15215,67.20513,66.225,66.4899,118686
2002-04-04,66.35745,69.08592,66.35745,68.79453,674103
2002-04-05,68.874,70.1985,68.874,69.9336,325066
2002-04-08,70.14552,70.17201,68.63559,69.32433,103699
2002-04-09,69.53625,72.87399,69.43029,72.60909,362400
2002-04-10,72.60909,73.50975,71.36406,73.50975,220875
2002-04-11,73.3773,73.6422,73.32432,73.3773,205020
2002-04-12,73.9071,74.172,73.1124,74.14551,317553
2002-04-15,74.172,75.36405,73.9071,74.03955,178142
2002-04-16,74.172,74.30445,73.9071,74.172,173952
2002-04-17,74.172,75.4965,74.172,75.4965,251830
2002-04-18,75.36405,76.5561,74.75478,75.12564,165043
2002-04-19,75.09915,75.7614,74.80776,74.83425,168667
2002-04-22,74.30445,74.7018,72.87399,72.87399,116270
2002-04-23,73.24485,74.01306,72.8475,72.87399,364779
2002-04-24,72.87399,72.87399,71.44353,71.65545,176557
2002-04-25,70.9932,72.3177,70.1985,70.30446,173348
2002-04-26,70.4634,72.5826,70.1985,72.18525,128388
2002-04-29,72.8475,73.13889,71.39055,71.62896,111966
2002-04-30,73.6422,79.31106,72.87399,77.48325,909513
2002-05-01,77.6157,78.54285,76.26471,77.74815,401094
2002-05-02,78.09252,81.72165,77.6157,80.7945,239033
2002-05-03,80.71503,83.68191,79.47,79.47,314420
2002-05-06,79.84086,82.119,79.47,80.7945,92185
2002-05-07,80.13225,80.15874,73.1124,74.7018,630955
2002-05-08,74.4369,75.4965,73.66869,74.11902,201434
2002-05-09,74.03955,74.67531,73.3773,73.80114,102076
2002-05-10,73.77465,75.2316,73.74816,75.2316,183201
2002-05-13,74.56935,76.2912,73.00644,75.2316,171687
2002-05-14,75.7614,79.04616,75.01968,77.82762,385881
2002-05-15,77.48325,78.4104,75.65544,76.18524,440883
2002-05-16,75.99981,82.43688,75.99981,82.119,3259796
2002-05-17,81.8541,82.35741,79.47,81.98655,440468
2002-05-20,81.77463,81.80112,80.66205,80.95344,112382
2002-05-21,80.7945,80.92695,79.47,79.86735,176594
2002-05-22,79.76139,80.2647,79.07265,79.84086,212608
2002-05-23,79.9998,81.0594,79.60245,80.92695,160135
2002-05-24,80.66205,82.6488,80.13225,82.119,154435
2002-05-28,82.3839,86.06601,81.45675,85.50972,279879
2002-05-29,85.2978,86.3574,83.9733,85.69515,192072
2002-05-30,84.768,85.2978,82.17198,82.70178,220762
2002-05-31,83.31105,87.417,82.43688,86.17197,210268
2002-06-03,86.17197,86.17197,84.5031,85.19184,153907
2002-06-04,85.19184,85.19184,82.78125,83.07264,158286
2002-06-05,83.33754,83.7084,83.04615,83.57595,125745
2002-06-06,84.2382,85.16535,83.31105,84.2382,240090
2002-06-07,81.19185,87.28455,80.7945,86.78124,159229
2002-06-10,86.72826,87.6819,85.8276,85.96005,72140
2002-06-11,86.22495,87.9468,86.22495,87.417,368214
2002-06-12,87.28455,90.11898,86.8872,89.69514,320762
2002-06-13,89.5362,90.066,83.4435,84.29118,250773
2002-06-14,84.29118,84.97992,79.9998,84.79449,327293
2002-06-17,84.768,85.2978,83.4435,83.84085,317591
2002-06-18,83.76138,84.90045,83.7084,84.90045,173121
2002-06-19,84.5031,87.01965,83.86734,87.01965,189505
2002-06-20,86.8872,88.4766,86.72826,87.73488,329596
2002-06-21,87.1521,87.81435,86.6223,87.78786,125707
2002-06-24,87.60243,87.60243,84.37065,87.28455,144809
2002-06-25,87.23157,87.417,86.0925,86.94018,110230
2002-06-26,84.55608,85.2978,83.9733,85.13886,294186
2002-06-27,84.768,89.13885,84.34416,88.4766,220536
2002-06-28,87.417,87.52296,86.48985,87.17859,209437
2002-07-01,87.417,87.417,84.10575,84.10575,96979
2002-07-02,83.4435,84.10575,80.15874,81.19185,394488
2002-07-03,81.45675,82.48986,80.47662,80.5296,356134
2002-07-05,80.5296,81.77463,80.39715,81.61569,86523
2002-07-08,81.45675,82.6488,81.19185,81.8541,35032
2002-07-09,81.8541,82.14549,80.7945,81.03291,138542
2002-07-10,80.92695,81.5892,78.9402,78.9402,318724
2002-07-11,78.4104,79.33755,75.89385,78.4104,310683
2002-07-12,78.43689,79.47,76.52961,76.821,248622
2002-07-15,77.21835,77.21835,73.24485,74.27796,157757
2002-07-16,74.172,76.821,73.13889,74.54286,155719
2002-07-17,75.20511,77.0859,73.27134,74.86074,185164
2002-07-18,74.86074,75.44352,72.8475,73.27134,269837
2002-07-19,73.27134,75.20511,71.28459,71.49651,232163
2002-07-22,71.49651,71.92035,65.6952,66.7548,270970
2002-07-23,66.7548,71.65545,66.7548,69.96009,404077
2002-07-24,67.8144,72.8475,67.57599,72.71505,420271
