,open,high,low,close,volume
2015-06-24,63.45,63.45,63.38,63.38,3298.0
2015-06-25,62.9,62.9,61.9,61.9,3697.0
2015-06-26,,,,,
2015-06-29,60.92,60.92,60.8,60.8,298.0
2015-06-30,61.33,61.4,60.33,60.9,1815535.0
2015-07-01,60.74,62.4,60.63,62.4,192374.0
2015-07-02,63.0,65.0,62.4,64.99,1744983.0
2015-07-06,65.12,66.4,62.99,63.75,2092255.0
2015-07-07,63.91,63.99,61.54,62.47,3053123.0
2015-07-08,62.5,63.9,59.5,59.71,3784287.0
2015-07-09,59.5,60.93,58.51,59.51,2284224.0
2015-07-10,59.97,61.6,59.4,61.4,2237700.0
2015-07-13,62.04,62.25,61.61,62.12,1248985.0
2015-07-14,62.1,63.05,61.44,62.19,994805.0
2015-07-15,62.25,62.93,61.13,61.62,1209852.0
2015-07-16,61.7,63.68,61.536,62.32,1365860.0
2015-07-17,62.62,63.25,61.64,61.75,1213160.0
2015-07-20,62.0,62.93,61.5,61.55,1977773.0
2015-07-21,61.84,62.86,59.62,59.85,1808278.0
2015-07-22,60.35,61.14,59.57,60.14,900131.0
2015-07-23,59.77,60.78,59.35,59.85,1124669.0
2015-07-24,59.55,59.95,57.66,58.91,1154606.0
2015-07-27,58.45,59.42,57.865,58.19,1255148.0
2015-07-28,58.52,59.75,57.49,59.34,1636664.0
2015-07-29,58.88,59.73,58.08,59.39,1790202.0
2015-07-30,61.36,63.19,61.04,62.83,3530133.0
2015-07-31,61.5,63.75,61.16,63.06,1624922.0
2015-08-03,63.37,64.74,62.39,63.17,2128043.0
2015-08-04,62.25,63.45,62.24,62.57,702960.0
2015-08-05,63.29,63.96,62.22,62.75,1499413.0
2015-08-06,62.0,62.5,60.48,61.74,2536885.0
2015-08-07,61.68,62.61,60.98,62.56,2060916.0
2015-08-10,62.99,63.5,61.9,62.98,1424068.0
2015-08-11,64.0,64.0,61.71,63.4,1727202.0
2015-08-12,63.4,63.87,61.71,63.31,1396291.0
2015-08-13,63.26,63.7975,62.35,63.13,844264.0
2015-08-14,63.13,63.81,61.959,63.23,938714.0
2015-08-17,62.63,63.41,62.63,63.34,714352.0
2015-08-18,63.02,63.58,62.91,63.16,806541.0
2015-08-19,62.98,63.29,62.07,62.07,1078038.0
2015-08-20,61.75,61.75,60.38,60.68,1297574.0
2015-08-21,60.22,60.265,58.63,59.01,1959042.0
2015-08-24,56.66,60.29,53.48,56.46,2146012.0
2015-08-25,58.3,58.37,55.01,55.5,2348722.0
2015-08-26,57.13,57.94,55.15,56.45,1860461.0
2015-08-27,58.24,59.25,57.74,59.22,1874587.0
2015-08-28,59.32,60.42,59.22,60.26,1508708.0
2015-08-31,60.09,60.23,58.64,59.35,1681727.0
2015-09-01,58.5,59.12,57.66,58.43,1851546.0
2015-09-02,58.92,59.44,57.45,58.17,1237806.0
2015-09-03,58.35,59.64,58.18,58.72,1106026.0
2015-09-04,57.26,58.33,57.25,57.35,821079.0
2015-09-08,58.14,58.68,57.69,58.6,625519.0
2015-09-09,59.0,60.06,58.13,58.25,1079369.0
2015-09-10,58.13,59.41,58.03,58.74,1662986.0
2015-09-11,58.5,59.78,58.02,58.75,1032844.0
2015-09-14,58.75,59.62,57.55,59.58,1485320.0
2015-09-15,62.99,62.99,58.67,59.68,1422946.0
2015-09-16,59.23,59.23,57.01,58.79,1964994.0
2015-09-17,58.68,59.18,57.38,57.73,1228566.0
2015-09-18,56.97,57.33,55.6,55.7,2215410.0
2015-09-21,57.68,57.68,55.49,55.86,1649262.0
2015-09-22,56.99,56.99,53.45,53.94,1991917.0
2015-09-23,53.83,55.02,52.58,52.79,1841629.0
2015-09-24,51.01,52.45,50.5,52.31,2477605.0
2015-09-25,52.57,52.78,51.67,51.95,1469229.0
2015-09-28,51.36,51.92,49.9,49.97,1765841.0
2015-09-29,49.38,51.27,48.8,50.57,1774597.0
2015-09-30,54.76,54.76,50.62,51.44,1591803.0
2015-10-01,55.22,56.05,51.09,52.0,2199751.0
2015-10-02,49.99,53.05,49.99,53.01,1927919.0
2015-10-05,53.4,54.38,53.11,54.1,1544704.0
2015-10-06,54.36,55.05,53.97,54.31,2165269.0
2015-10-07,51.54,54.83,51.54,54.06,2463150.0
2015-10-08,53.92,54.64,53.56,54.19,1810709.0
2015-10-09,55.01,57.72,55.01,57.57,3475497.0
2015-10-12,57.53,57.59,55.48,56.33,1297336.0
2015-10-13,55.66,56.8,55.45,55.54,1768993.0
2015-10-14,55.58,56.19,55.28,55.76,1020988.0
2015-10-15,55.57,56.13,54.95,56.01,877065.0
2015-10-16,57.85,57.85,54.76,55.79,1397037.0
2015-10-19,55.19,55.729,53.6616,54.27,1440253.0
2015-10-20,53.84,54.4399,51.36,53.76,1125933.0
2015-10-21,54.2,54.2,51.75,52.57,1562909.0
2015-10-22,53.17,53.76,51.93,52.5,1879330.0
2015-10-23,52.69,53.71,52.64,53.37,1502292.0
2015-10-26,53.3,53.355,52.19,53.26,1164098.0
2015-10-27,52.79,53.31,52.17,53.07,1021768.0
2015-10-28,54.8,54.92,52.96,54.41,1828712.0
2015-10-29,52.71,54.83,52.02,54.06,1101220.0
2015-10-30,54.11,54.56,53.76,53.76,1046010.0
2015-11-02,53.56,54.65,53.52,54.1,1169848.0
2015-11-03,51.02,53.82,51.02,53.22,1388181.0
2015-11-04,54.84,54.84,53.12,53.25,1021850.0
2015-11-05,49.98,52.59,48.2,51.38,3935046.0
2015-11-06,50.92,53.73,50.92,53.66,1404942.0
2015-11-09,51.13,54.09,51.12,51.9,1477479.0
2015-11-10,52.59,52.59,50.33,51.33,1202623.0
2015-11-11,50.44,51.9499,50.44,51.56,801702.0
2015-11-12,50.4,50.92,49.24,49.27,1346457.0
2015-11-13,48.92,49.98,48.43,48.55,1641962.0
2015-11-16,48.6,48.745,47.65,47.93,2369735.0
2015-11-17,46.29,49.04,46.29,47.75,2299686.0
2015-11-18,47.64,49.62,47.64,49.57,1771493.0
2015-11-19,49.29,50.5,48.98,50.18,1538446.0
2015-11-20,50.36,50.7,49.84,50.11,986826.0
2015-11-23,49.11,50.89,49.11,50.4,1194502.0
2015-11-24,52.62,52.62,50.04,50.5,1721665.0
2015-11-25,49.93,51.02,48.99,50.28,926118.0
2015-11-27,50.12,50.68,49.9907,50.41,289046.0
2015-11-30,52.1,52.1,50.52,50.63,1461773.0
2015-12-01,50.78,51.72,50.4,51.02,1056314.0
2015-12-02,49.77,51.57,49.77,50.37,1084263.0
2015-12-03,52.1,52.1,50.01,50.53,1244228.0
2015-12-04,50.67,50.78,49.78,50.42,827734.0
2015-12-07,49.31,50.42,48.9,48.96,1541521.0
2015-12-08,48.86,49.18,47.98,48.0,1232170.0
2015-12-09,48.14,48.82,47.5,48.05,1529281.0
2015-12-10,47.03,48.34,46.5,46.91,3138894.0
2015-12-11,46.18,46.98,45.61,45.76,1569253.0
2015-12-14,45.65,45.93,43.9,44.15,2078634.0
2015-12-15,44.67,45.562,43.55,43.57,3263626.0
2015-12-16,44.01,45.01,42.75,44.92,3985897.0
2015-12-17,44.79,45.29,44.42,44.87,3345607.0
2015-12-18,44.98,45.382,44.04,44.09,5003507.0
2015-12-21,44.25,44.85,44.02,44.48,3419445.0
2015-12-22,44.54,44.76,43.325,44.04,2501614.0
2015-12-23,44.46,45.625,44.07,45.51,1720043.0
2015-12-24,45.69,46.11,45.29,45.51,442076.0
2015-12-28,45.41,45.66,44.9101,45.63,943499.0
2015-12-29,45.94,46.3,45.68,45.87,881894.0
2015-12-30,45.71,46.075,45.5201,45.76,1051116.0
2015-12-31,45.45,46.355,45.4,45.62,972197.0
2016-01-04,44.81,45.53,44.3949,45.52,1646251.0
2016-01-05,45.57,45.705,45.24,45.49,1566920.0
2016-01-06,44.7,44.895,44.0,44.23,1378313.0
2016-01-07,43.32,44.58,43.15,43.79,1994405.0
2016-01-08,43.54,43.67,41.74,41.93,2958778.0
2016-01-11,42.07,42.2,39.41,39.76,3725660.0
2016-01-12,40.02,40.44,37.9,38.35,3538001.0
2016-01-13,37.92,40.02,37.89,37.96,4673553.0
2016-01-14,38.14,38.93,37.42,38.5,1770881.0
2016-01-15,37.55,38.16,36.9,37.05,2434445.0
2016-01-19,37.44,37.58,36.218,36.46,2377795.0
2016-01-20,35.88,36.77,34.52,36.05,2680407.0
2016-01-21,36.23,37.36,35.78,36.41,1647909.0
2016-01-22,37.25,38.18,36.91,37.74,1873199.0
2016-01-25,34.07,34.19,31.53,32.11,8386682.0
2016-01-26,32.4,32.94,31.86,32.08,2887272.0
2016-01-27,31.73,33.7099,31.73,32.6,2064442.0
2016-01-28,32.8,33.3,31.63,31.65,2466836.0
2016-01-29,31.86,35.41,31.7,35.28,5158790.0
2016-02-01,34.79,35.26,33.4,35.01,3585803.0
2016-02-02,34.14,34.39,33.32,33.36,3029769.0
2016-02-03,33.95,34.31,32.89,33.31,3747024.0
2016-02-04,33.13,34.55,33.11,34.43,3319039.0
2016-02-05,34.21,34.86,33.3,33.4,1402318.0
2016-02-08,33.2,33.39,31.8,32.19,2067267.0
2016-02-09,31.67,32.927,31.63,32.69,3128846.0
2016-02-10,31.63,33.15,31.29,31.35,3092817.0
2016-02-11,30.82,31.3,29.73,29.94,2988262.0
2016-02-12,30.38,31.09,30.12,31.03,2271279.0
2016-02-16,31.5,31.69,30.6903,31.51,2352769.0
2016-02-17,32.07,33.12,31.71,32.71,2006864.0
2016-02-18,32.85,33.16,32.0,32.73,1989129.0
2016-02-19,31.67,32.49,30.56,31.56,3522610.0
2016-02-22,32.97,32.97,31.76,32.35,1492376.0
2016-02-23,32.17,32.68,31.93,32.58,1446711.0
2016-02-24,32.01,32.63,31.66,32.31,1663938.0
2016-02-25,32.56,32.99,31.84,32.42,1435966.0
2016-02-26,32.54,34.093,32.19,33.56,2113594.0
2016-02-29,32.54,35.19,32.54,33.77,2816460.0
2016-03-01,34.18,35.415,33.98,35.4,1932640.0
2016-03-02,35.2,36.98,35.07,36.9,2884120.0
2016-03-03,36.73,37.83,36.73,37.68,2447453.0
2016-03-04,37.91,38.0,36.23,36.76,3203755.0
2016-03-07,36.64,37.19,35.63,36.24,2099351.0
2016-03-08,35.84,36.135,34.66,35.36,2397307.0
2016-03-09,35.65,36.04,35.28,35.6,2395291.0
2016-03-10,35.64,35.92,34.56,35.04,1716134.0
2016-03-11,35.53,36.99,35.165,36.96,1555191.0
2016-03-14,36.3,38.41,36.3,38.02,2476716.0
2016-03-15,37.93,37.93,36.4,37.02,1277930.0
2016-03-16,37.05,38.25,36.605,37.99,2021708.0
2016-03-17,37.75,39.59,37.75,39.39,2604933.0
