,open,high,low,close,volume
2001-02-22,17.388308,17.520036,16.861388,17.256576,1144804
2001-02-23,17.520036,17.520036,16.123704,16.229088,1359032
2001-02-26,16.492544,16.597928,16.097356,16.150048,1221020
2001-02-27,16.20274,17.072156,15.886588,15.991972,1581648
2001-02-28,15.807552,15.991972,15.544092,15.912936,1583392
2001-03-01,15.675824,15.781208,14.8591,15.12256,2431268
2001-03-02,16.071012,18.389452,15.991972,17.651768,2146212
2001-03-05,17.203884,18.389452,17.151192,17.80984,965384
2001-03-06,18.099648,18.705604,18.099648,18.205032,1107268
2001-03-07,18.363108,19.469636,18.0733,19.285212,1452784
2001-03-08,19.75944,19.864824,18.442144,18.52118,1124652
2001-03-09,18.52118,18.52118,17.309268,17.651768,986792
2001-03-12,17.203884,17.203884,16.20274,16.255432,1205764
2001-03-13,16.071012,16.071012,14.885444,14.885444,1843888
2001-03-14,14.885444,15.675824,14.701024,15.412364,1504632
2001-03-15,15.175248,15.412364,14.358528,14.358528,2324988
2001-03-16,14.384872,14.384872,13.251996,13.251996,2102904
2001-03-19,13.69988,14.490256,13.594496,14.253144,1297656
2001-03-20,14.621984,16.703312,14.490256,15.280632,2466376
2001-03-21,15.544092,16.4662,15.148904,15.4914,1679308
2001-03-22,16.071012,16.071012,14.569292,14.727368,1048812
2001-03-23,15.017176,15.75486,14.8591,15.649476,1090336
2001-03-26,15.912936,15.991972,14.8591,14.8591,1773060
2001-03-27,15.280632,15.517748,14.938136,15.069868,1178852
2001-03-28,15.22794,16.4662,15.175248,16.4662,2011884
2001-03-29,15.93928,16.097356,15.148904,15.333324,703940
2001-03-30,15.359672,15.93928,14.964484,15.781208,853868
2001-04-02,15.807552,15.807552,14.542948,15.807552,949900
2001-04-03,14.621984,14.621984,12.514312,13.041232,3030600
2001-04-04,13.041232,13.963336,12.46162,13.963336,2672632
2001-04-05,14.569292,14.621984,13.62084,13.857952,978404
2001-04-06,13.594496,13.69988,12.935848,13.69988,1229564
2001-04-09,13.462764,13.8843,13.43642,13.8843,768392
2001-04-10,13.8843,14.490256,13.62084,14.33218,906248
2001-04-11,14.33218,15.12256,14.33218,14.806408,1041716
2001-04-12,15.04352,15.359672,14.701024,15.30698,760152
2001-04-16,15.280632,15.333324,14.911792,15.254288,570028
2001-04-17,14.990828,16.28178,14.964484,16.176396,1057392
2001-04-18,16.4662,17.203884,16.28178,16.861388,1657068
2001-04-19,19.75944,24.369976,19.75944,23.447868,9314912
2001-04-20,22.86826,23.974788,22.314996,22.657492,4086552
2001-04-23,22.394032,22.52576,20.0229,20.0229,2379988
2001-04-24,20.418088,21.550964,20.154628,21.313848,1411148
2001-04-25,21.577308,22.183264,21.340196,21.550964,1138392
2001-04-26,21.550964,22.130572,20.892316,21.10308,1320356
2001-04-27,21.63,23.31614,21.603656,23.2371,1625564
2001-04-30,23.31614,23.974788,23.31614,23.816712,1797356
2001-05-01,23.711328,26.08246,23.711328,26.08246,2399876
2001-05-02,26.34592,26.899184,25.081316,25.160352,2620140
2001-05-03,24.896896,26.214192,24.2119,26.135152,1986376
2001-05-04,25.555544,26.003424,25.213044,25.924384,1245656
2001-05-07,25.89804,26.372264,25.713616,26.135152,811736
2001-05-08,26.477648,26.767456,25.054968,25.819,1155928
2001-05-09,25.160352,26.34592,25.160352,26.34592,990548
2001-05-10,26.477648,27.136296,25.739964,26.293228,865864
2001-05-11,26.372264,26.714764,26.214192,26.714764,1397596
2001-05-14,26.34592,26.925532,26.240536,26.34592,810940
2001-05-15,26.34592,28.058404,26.1615,28.058404,1457872
2001-05-16,27.399756,28.954168,27.136296,28.532632,1672136
2001-05-17,28.190136,29.217624,27.979368,28.638016,1276516
2001-05-18,28.47994,28.7434,27.95302,28.7434,1013400
2001-05-21,28.717052,29.90262,28.585324,29.90262,1283460
2001-05-22,28.980512,28.980512,27.268028,28.321864,2823548
2001-05-23,27.663216,28.058404,26.34592,27.794944,1246796
2001-05-24,27.531488,27.663216,26.925532,27.215336,926480
2001-05-25,27.215336,27.24168,25.292084,26.319576,1909972
2001-05-29,25.292084,25.687272,24.817856,24.896896,1647804
2001-05-30,24.633436,24.686128,23.658636,23.790364,1945992
2001-05-31,25.292084,28.190136,25.292084,26.108808,3096720
2001-06-01,26.135152,28.058404,26.108808,27.926676,2427812
2001-06-04,28.163788,28.321864,26.7938,28.321864,1741256
2001-06-05,28.190136,28.190136,26.319576,26.319576,2056368
2001-06-06,26.34592,26.951876,25.081316,25.924384,1719316
2001-06-07,25.213044,25.397468,23.869404,24.106516,2172820
2001-06-08,23.869404,23.974788,22.104228,23.737672,2444056
2001-06-11,23.447868,23.737672,22.920952,23.184408,1498788
2001-06-12,22.920952,23.605944,22.367688,23.05268,2351976
2001-06-13,23.05268,23.447868,22.15692,22.15692,1416120
2001-06-14,22.262304,22.920952,21.076736,21.867112,2001448
2001-06-15,21.076736,22.683836,20.813276,21.076736,2221368
2001-06-18,21.076736,21.287504,20.418088,21.024044,1583468
2001-06-19,21.076736,21.287504,20.707892,21.10308,1217720
2001-06-20,20.681548,20.839624,20.180976,20.497124,1440564
2001-06-21,20.312704,20.813276,20.154628,20.813276,1234952
2001-06-22,20.549816,20.813276,20.154628,20.418088,1427276
2001-06-25,20.549816,20.73424,19.522328,19.680404,1162264
2001-06-26,19.680404,21.524616,19.49598,21.419232,1637824
2001-06-27,21.524616,24.132864,21.287504,22.631144,2217380
2001-06-28,23.843056,24.47536,23.526908,24.001132,1128332
2001-06-29,24.02748,25.213044,23.843056,25.213044,1819140
2001-07-02,25.160352,25.160352,24.369976,25.028624,994004
2001-07-03,24.633436,24.712472,24.106516,24.686128,600624
2001-07-05,24.712472,25.502852,24.528052,25.239392,738292
2001-07-06,24.633436,24.633436,24.238248,24.238248,882524
