,open,high,low,close,volume
2001-07-25,29.5,30.95,29.5,29.76,2439400
2001-07-26,28.9,28.9,28.0,28.1,2675400
2001-07-27,28.2,29.01,28.2,28.4,1398200
2001-07-30,28.4,28.55,28.4,28.46,766900
2001-07-31,28.46,28.65,28.43,28.6,974600
2001-08-01,29.0,29.85,29.0,29.5,1863700
2001-08-02,29.48,29.7,28.5,28.65,785000
2001-08-03,28.4,28.45,27.9,28.0,1204500
2001-08-06,28.0,28.2,27.3,27.76,1565500
2001-08-07,28.5,30.5,28.2,29.94,7815800
2001-08-08,29.7,29.75,28.05,28.69,5274500
2001-08-09,28.1,28.45,27.55,28.36,2996900
2001-08-10,28.0,28.35,27.43,28.0,3193700
2001-08-13,27.75,27.85,26.85,27.3,4809800
2001-08-14,27.3,28.1,27.2,27.7,3667700
2001-08-15,27.75,28.4,27.7,28.08,2622100
2001-08-16,28.03,28.1,27.3,28.1,2132100
2001-08-17,27.7,28.0,26.53,28.0,1747200
2001-08-20,27.65,27.72,26.8,27.2,2066600
2001-08-21,27.2,27.44,27.1,27.34,1870500
2001-08-22,27.1,27.26,26.4,27.26,2549800
2001-08-23,27.15,27.19,26.73,26.75,2343000
2001-08-24,26.25,26.72,26.05,26.69,1909700
2001-08-27,26.6,26.8,26.3,26.66,1461800
2001-08-28,26.1,26.3,25.86,26.02,2378300
2001-08-29,26.02,26.75,25.95,26.4,2020500
2001-08-30,26.4,27.3,26.4,26.95,2443000
2001-08-31,26.8,27.2,26.5,27.2,1447500
2001-09-04,27.1,28.0,27.09,27.78,1697200
2001-09-05,27.65,27.83,27.15,27.65,1655000
2001-09-06,27.55,27.6,27.0,27.24,2030900
2001-09-07,26.5,27.87,26.4,26.66,1748200
2001-09-10,26.5,26.83,26.3,26.44,1020100
2001-09-17,25.1,26.04,24.78,25.25,1665200
2001-09-18,25.25,25.36,24.7,25.1,1687700
2001-09-19,24.8,26.12,24.8,25.02,1494700
2001-09-20,25.0,26.49,24.86,25.75,1993600
2001-09-21,25.0,26.85,24.95,25.85,1945900
2001-09-24,25.8,27.05,25.8,26.7,1803600
2001-09-25,26.7,26.99,26.0,26.3,1586600
2001-09-26,26.25,26.99,26.25,26.8,1020600
2001-09-27,26.6,27.6,26.6,27.0,1637300
2001-09-28,27.0,28.0,26.95,27.75,1019000
2001-10-01,27.75,28.66,27.5,28.11,1090300
2001-10-02,28.15,28.75,28.12,28.55,1174400
2001-10-03,28.55,28.9,28.34,28.8,814200
2001-10-04,28.8,29.0,28.31,28.86,1239600
2001-10-05,28.7,29.2,28.55,29.05,1076400
2001-10-08,28.9,28.94,28.5,28.72,398600
2001-10-09,28.5,28.74,28.5,28.71,797100
2001-10-10,28.65,29.3,28.61,29.01,717100
2001-10-11,29.01,29.75,29.01,29.42,1052100
2001-10-12,28.9,29.82,28.9,29.82,1221500
2001-10-15,29.74,30.05,29.57,29.77,720900
2001-10-16,29.7,29.98,29.21,29.95,1052000
2001-10-17,29.98,30.04,29.75,29.97,1675400
2001-10-18,28.5,29.05,28.49,28.82,1677900
2001-10-19,28.85,29.45,28.85,29.38,590600
2001-10-22,29.4,29.78,29.28,29.75,462100
2001-10-23,29.75,30.0,29.75,29.79,1017600
2001-10-24,29.85,30.1,29.67,29.95,529000
2001-10-25,29.85,30.22,29.4,29.59,703800
2001-10-26,29.55,29.56,28.75,29.01,893500
2001-10-29,29.0,29.35,27.95,29.2,1239000
2001-10-30,29.7,30.5,29.45,30.1,3428500
2001-10-31,30.95,31.15,30.6,30.91,1543100
2001-11-01,31.5,31.5,30.91,31.41,821900
2001-11-02,31.35,32.75,31.3,31.7,947600
2001-11-05,31.81,31.85,30.91,31.02,1002100
2001-11-06,31.05,31.98,30.02,31.79,1155300
2001-11-07,30.6,32.2,30.55,31.77,1428500
2001-11-08,31.87,31.88,30.6,30.6,861200
2001-11-09,30.3,30.71,29.9,30.01,1209100
2001-11-12,30.05,30.09,29.71,29.98,663600
2001-11-13,30.0,30.55,30.0,30.26,772400
2001-11-14,30.25,31.0,30.2,30.9,931800
2001-11-15,31.0,31.04,29.96,30.02,995800
2001-11-16,30.15,30.34,30.0,30.08,814500
2001-11-19,30.2,30.3,28.75,29.95,1354600
2001-11-20,30.05,30.32,30.01,30.24,549200
2001-11-21,30.45,31.1,30.41,30.6,582700
2001-11-23,30.6,31.1,30.6,30.8,233400
2001-11-26,31.0,33.3,31.0,32.75,1135900
2001-11-27,32.74,33.1,31.65,32.57,801600
2001-11-28,32.5,32.94,32.45,32.55,602300
2001-11-29,32.1,32.81,32.03,32.6,428100
2001-11-30,32.25,32.43,32.15,32.26,391800
2001-12-03,32.28,32.42,31.99,32.2,702900
2001-12-04,31.95,32.6,31.45,32.6,564600
2001-12-05,32.5,32.85,31.0,32.68,1190600
2001-12-06,32.7,33.0,32.22,32.85,525200
2001-12-07,32.45,32.46,31.11,31.4,1158400
2001-12-10,31.25,31.55,31.15,31.33,371500
2001-12-11,30.83,30.85,30.2,30.34,792800
2001-12-12,30.3,30.43,29.44,29.94,1026400
2001-12-13,29.9,30.86,29.76,30.6,887800
2001-12-14,30.4,31.5,30.31,30.91,869500
2001-12-17,30.6,30.65,30.01,30.25,607700
2001-12-18,30.05,30.75,30.0,30.3,741900
2001-12-19,30.3,31.0,30.28,30.57,828000
2001-12-20,30.45,30.55,29.8,30.03,646600
2001-12-21,30.02,30.35,29.9,30.33,831300
2001-12-24,30.1,30.2,29.75,29.8,392100
2001-12-26,29.6,30.25,29.4,29.83,456900
2001-12-27,30.0,30.0,29.57,29.86,712100
2001-12-28,29.61,30.13,29.55,29.75,618800
2001-12-31,29.6,30.75,29.6,30.54,916300
2002-01-02,30.29,30.4,29.98,30.23,795000
2002-01-03,30.1,30.22,29.8,30.04,1027200
2002-01-04,30.02,30.1,29.5,29.55,786600
2002-01-07,29.5,29.7,29.32,29.55,674800
2002-01-08,29.5,30.54,29.46,30.5,872000
2002-01-09,30.45,31.56,30.33,30.7,774900
2002-01-10,30.7,30.75,30.26,30.56,384600
2002-01-11,30.7,30.7,29.85,29.93,427500
2002-01-14,29.8,32.0,29.8,31.81,596800
2002-01-15,31.65,31.68,30.57,31.25,465100
2002-01-16,31.1,31.55,31.01,31.32,402800
2002-01-17,31.1,31.8,30.8,31.8,610100
2002-01-18,31.48,31.88,31.1,31.21,400400
2002-01-22,31.0,31.65,30.35,31.05,406700
2002-01-23,30.8,32.6,30.8,31.73,506000
2002-01-24,31.75,32.4,31.7,32.15,564900
2002-01-25,32.0,32.5,31.92,32.1,347600
2002-01-28,31.95,32.15,31.5,32.15,574000
2002-01-29,32.4,33.4,32.28,32.6,864200
2002-01-30,32.35,33.7,31.92,32.87,592600
2002-01-31,32.62,32.8,32.0,32.53,599700
2002-02-01,32.4,32.65,31.92,32.4,348300
2002-02-04,32.35,32.9,31.92,32.31,479500
2002-02-05,31.0,33.45,31.0,32.9,1548000
2002-02-06,33.75,34.07,33.31,33.6,1458000
2002-02-07,33.6,34.35,33.37,34.08,888200
2002-02-08,33.7,34.03,33.42,34.03,632500
2002-02-11,34.03,34.75,33.95,34.5,485900
2002-02-12,34.6,34.89,34.4,34.61,547200
2002-02-13,35.0,35.0,33.9,34.45,749700
2002-02-14,34.4,34.82,34.15,34.7,803600
2002-02-15,34.85,35.09,34.55,34.8,793900
2002-02-19,34.7,35.01,34.45,35.0,677900
2002-02-20,35.0,35.48,34.9,35.48,1099000
2002-02-21,35.55,36.36,35.0,35.25,987600
2002-02-22,35.1,35.23,34.84,35.09,708000
2002-02-25,35.09,35.21,34.6,35.07,760800
2002-02-26,35.07,35.85,35.0,35.68,1099900
2002-02-27,35.55,36.23,35.5,35.9,1927200
2002-02-28,35.95,36.1,35.64,35.76,980500
2002-03-01,36.05,36.29,35.7,35.8,682200
2002-03-04,36.2,36.6,35.95,36.36,587800
2002-03-05,36.11,36.25,34.48,34.88,590300
2002-03-06,34.88,34.89,33.9,34.22,1229500
2002-03-07,33.75,33.95,33.22,33.25,1661100
2002-03-08,33.25,34.05,33.25,33.74,819900
2002-03-11,33.75,34.51,33.68,34.5,592000
2002-03-12,34.5,34.75,34.32,34.41,484800
2002-03-13,34.66,34.92,34.38,34.4,428200
2002-03-14,34.5,34.58,34.05,34.49,558500
2002-03-15,34.7,35.9,34.63,35.56,683500
2002-03-18,35.45,35.5,34.4,34.84,617700
2002-03-19,34.8,35.19,34.25,35.18,508700
2002-03-20,35.18,36.91,35.18,35.44,944600
2002-03-21,35.45,35.75,35.27,35.67,481300
2002-03-22,34.95,34.96,33.6,34.16,1802500
2002-03-25,34.25,34.28,32.45,32.95,1384600
2002-03-26,32.96,33.93,32.96,33.89,840300
2002-03-27,33.9,34.2,33.7,33.81,877700
2002-03-28,33.81,34.15,33.8,34.05,448400
2002-04-01,33.95,34.22,33.73,34.15,405200
2002-04-02,34.1,34.1,33.75,33.82,351700
2002-04-03,33.8,33.8,33.2,33.73,632900
2002-04-04,33.25,33.98,33.06,33.74,689900
2002-04-05,33.5,33.9,33.3,33.3,506300
2002-04-08,33.15,33.81,33.05,33.8,431000
2002-04-09,33.78,34.18,33.75,33.86,406200
2002-04-10,34.0,34.1,33.55,33.6,843100
2002-04-11,33.6,33.69,32.8,32.99,890300
2002-04-12,33.02,33.69,32.87,33.6,325900
2002-04-15,33.6,33.72,33.15,33.15,305800
2002-04-16,33.15,33.4,32.4,32.52,697500
2002-04-17,32.45,32.47,31.46,31.99,633500
2002-04-18,31.9,31.92,30.39,31.62,2401100
2002-04-19,31.7,32.3,31.54,31.86,1353200
2002-04-22,31.8,32.5,31.8,32.27,725800
2002-04-23,32.28,32.3,31.84,31.9,643900
2002-04-24,31.88,32.0,30.0,30.9,870300
2002-04-25,33.25,34.0,32.5,33.6,2327600
2002-04-26,33.75,34.15,33.05,33.9,847900
2002-04-29,34.0,34.1,33.18,33.21,610000
2002-04-30,33.3,35.13,33.21,34.71,1051300
2002-05-01,34.9,35.24,34.71,35.2,578800
2002-05-02,35.19,35.82,35.15,35.62,647400
2002-05-03,35.5,35.5,34.26,35.27,557500
2002-05-06,35.2,35.3,34.53,34.56,438000
2002-05-07,34.6,34.98,34.39,34.42,516800
2002-05-08,34.4,35.0,34.33,34.8,363800
2002-05-09,34.7,35.15,34.58,34.88,259800
2002-05-10,34.7,34.98,34.6,34.77,263300
2002-05-13,34.65,35.06,34.58,35.02,423100
2002-05-14,34.9,35.15,34.9,35.15,448800
2002-05-15,35.0,36.12,34.95,36.12,779500
2002-05-16,36.3,36.85,35.64,35.65,907000
2002-05-17,35.7,36.4,35.55,36.34,533800
2002-05-20,36.3,36.45,35.9,36.32,341700
2002-05-21,36.35,36.68,35.5,35.95,444500
2002-05-22,35.98,35.98,35.2,35.49,463100
2002-05-23,35.55,35.7,34.92,35.43,467700
2002-05-24,35.55,35.77,35.3,35.65,358800
2002-05-28,35.55,35.6,34.9,35.42,250100
2002-05-29,35.4,35.41,34.85,35.24,318900
2002-05-30,35.2,35.72,34.76,35.17,465700
2002-05-31,35.1,35.14,34.44,34.98,435300
2002-06-03,34.6,34.68,33.55,33.55,452500
2002-06-04,33.5,33.7,32.85,33.0,719900
2002-06-05,33.2,34.34,33.05,34.26,495000
2002-06-06,34.3,34.39,33.52,34.12,433900
2002-06-07,34.25,34.46,33.9,34.27,969100
2002-06-10,34.4,34.4,33.8,34.18,488800
2002-06-11,34.25,34.29,32.0,32.3,884900
2002-06-12,32.35,32.49,31.02,32.13,833100
2002-06-13,31.9,32.93,31.9,32.28,499600
2002-06-14,32.28,32.48,31.51,32.25,412900
2002-06-17,33.05,34.23,33.05,34.2,913600
2002-06-18,34.15,34.65,34.02,34.12,894200
2002-06-19,34.12,34.46,34.05,34.2,567400
2002-06-20,34.1,34.53,33.91,34.07,639200
