,AAPL,MSFT,AMZN,GOOG,GOOGL,TSLA,FB,BRK.B,JPM,V,JNJ,WMT,NVDA,PYPL,DIS,MA,PG,UNH,HD,BAC,INTC,NFLX,CMCSA,VZ,ADBE,CRM,NKE,XOM,ABT,KO,T,AVGO,CSCO,LLY,PFE,TMO,MRK,ABBV,CVX,PEP,ORCL,ACN,QCOM,DHR,TXN,MCD,COST,WFC,NEE,MDT,TMUS,HON,UNP,UPS,MS,C,BMY,AMGN,PM,LIN,LOW,BA,SBUX,CHTR,SCHW,CAT,RTX,NOW,AMAT,GS,BLK,INTU,AMD,AXP,IBM,GE,DE,EL,MMM,MU,AMT,TGT,LMT,BKNG,CVS,SYK,ISRG,LRCX,SPGI,MO,FIS,TJX,GILD,ATVI,PLD,TFC,MDLZ,ZTS,GM,USB,FISV,CB,CI,ADP,ANTM,PNC,BDX,CCI,ILMN,CSX,CME,FDX,ADSK,COP,CL,SHW,DUK,NSC,ITW,ICE,SO,EQIX,ADI,HCA,MMC,ECL,APD,GPN,D,TWTR,COF,FCX,BSX,VRTX,MCO,EW,AON,EMR,PGR,KLAC,ETN,MET,REGN,NOC,DG,HUM,MNST,ALGN,WM,GD
2020-07-31 00:00:00+00:00,106.26,205.01,3164.68,1482.96,1487.95,286.152,253.67,195.78,96.64,190.4,145.76,129.4,424.59,196.07,116.94,308.53,131.12,302.78,265.49,24.88,47.73,488.88,42.8,57.48,444.32,194.85,97.61,42.08,100.64,47.24,29.58,316.75,47.1,150.29,36.47703904,413.95,80.24,94.91,83.94,137.66,55.45,224.78,105.61,203.8,127.55,194.28,315.53,24.26,70.175,96.48,107.38,149.37,173.35,142.76,48.88,50.01,58.66,244.67,76.81,245.11,148.91,158.0,76.53,580.0,33.15,132.88,56.68,439.2,64.33,197.96,575.01,306.37,77.43,93.32,122.94,6.07,176.31,197.54,150.47,50.055,261.39,125.88,378.97,1662.13,62.94,193.3,685.44,377.16,350.25,41.15,146.31,51.99,69.53,82.63,105.42,37.46,55.49,151.68,24.89,36.84,99.79,127.24,172.69,132.91,273.8,106.67,281.34,166.7,382.16,71.34,163.68,168.4,236.43,37.39,77.2,647.92,84.74,192.21,184.99,96.78,54.61,785.48,114.85,126.64,116.6,187.08,286.63,178.02,81.03,36.4,63.8,12.92,38.57,272.0,281.3,78.41,205.22,62.01,90.34,199.83,93.13,37.85,632.07,325.01,190.4,392.45,78.48,293.82,109.6,146.74
2020-08-03 00:00:00+00:00,108.9375,216.54,3111.89,1474.45,1482.76,297.0,251.96,199.26,96.1,190.69,147.35,129.3,440.41,197.07,116.35,312.59,131.29,303.61,266.18,24.99,48.3,498.62,42.88,57.24,447.97,203.19,98.33,42.25,100.68,46.3,29.62,321.23,47.16,152.84,36.353805799999996,419.09,82.54,95.94,84.81,136.7,55.98,227.18,109.59,206.83,129.32,194.4,319.32,24.29,69.3975,97.33,106.88,148.53,172.06,142.18,49.46,50.39,59.1,247.36,76.53,244.31,150.27,162.27,75.5,589.7,33.34,131.78,57.51,439.96,65.01,199.39,579.95,311.7,77.67,93.54,124.31,6.11,177.62,198.17,150.41,50.39,256.58,127.84,377.1,1650.24,63.86,191.6,688.94,381.41,350.68,41.01,148.93,51.89,71.73,84.79,104.98,37.77,55.49,154.51,25.64,36.8,100.54,126.45,173.0,134.46,270.75,105.93,283.68,164.1,397.86,70.35,160.5,169.22,239.48,36.71,76.57,641.14,83.81,190.47,185.92,96.28,54.01,779.12,116.57,125.87,115.82,184.41,278.41,179.04,80.33,36.39,63.49,13.1,38.0,279.52,280.63,78.02,200.23,62.77,89.89,207.65,94.87,37.3,645.18,323.59,192.89,394.55,77.84,287.36,108.98,147.72
2020-08-04 00:00:00+00:00,109.665,213.29,3138.83,1464.97,1473.3,297.4,249.83,200.24,95.55,192.29,147.22,131.64,449.11,197.33,117.29,314.39,133.79,304.5,267.87,25.01,49.13,509.64,43.21,57.91,446.92,201.41,97.33,43.47,99.93,46.69,30.01,328.39,47.67,154.85,36.39172372,415.72,81.67,94.29,86.49,137.47,56.0,227.15,110.95,206.07,132.23,199.36,329.79,24.22,71.2625,96.29,108.39,147.33,173.68,144.72,49.26,50.14,59.47,243.59,77.1,243.85,149.67,165.07,75.13,600.01,33.95,131.52,57.51,438.15,64.85,201.64,571.04,310.64,85.04,93.19,125.84,6.14,178.11,199.42,151.21,51.3,260.17,130.45,377.99,1675.13,64.98,189.3,683.5,384.96,345.77,41.6,147.2,53.28,70.88,86.45,105.59,37.18,55.58,155.64,25.8,36.23,99.65,124.76,173.5,136.74,270.89,105.29,282.86,165.88,393.68,70.76,160.63,170.66,239.9,37.64,76.77,650.91,84.69,192.39,185.09,95.78,54.44,793.43,117.18,128.39,117.39,189.31,279.58,174.23,80.88,36.35,63.24,12.95,37.15,275.71,276.0,76.6,199.64,61.93,90.25,204.9,94.65,36.9,648.43,325.01,195.43,391.18,78.01,288.27,108.82,147.24
2020-08-05 00:00:00+00:00,110.0625,212.94,3205.03,1473.61,1479.09,297.004,249.12,203.62,97.21,196.1,148.4,129.81,451.47,202.91,127.61,328.0,133.44,312.47,267.48,25.39,48.92,502.11,42.29,57.54,449.51,202.64,100.94,43.85,102.14,47.22,29.85,329.54,47.33,154.34,36.4486006,419.9,81.64,93.25,87.2,136.25,55.5,228.7,111.39,205.54,132.7,199.26,329.97,24.4,70.945,97.02,107.9,150.82,177.47,145.08,49.77,51.04,59.69,241.47,76.96,248.27,150.26,174.28,75.78,598.26,34.2,134.97,60.03,435.74,64.87,204.52,582.15,310.95,85.31,95.39,125.45,6.4,182.82,201.24,155.35,51.05,255.29,129.37,383.5,1724.77,64.4,187.96,692.89,383.47,347.39,41.66,146.5,53.54,69.0,84.32,104.9,37.66,55.15,157.72,26.33,36.86,98.0,125.67,174.87,134.77,275.65,106.56,283.43,164.52,400.74,71.43,160.67,171.7,243.2,38.02,76.18,650.73,83.51,193.06,188.53,96.16,53.4,794.04,116.17,130.41,118.43,191.94,284.62,174.34,79.71,36.79,64.67,13.97,37.73,273.23,277.62,78.12,198.53,64.69,90.62,203.99,96.34,38.28,624.52,329.71,195.28,403.91,83.1,298.51,109.18,149.19
2020-08-06 00:00:00+00:00,113.9025,216.35,3225.0,1500.1,1504.95,297.916,265.28,205.02,97.24,198.77,147.55,129.35,453.42,204.09,130.82,330.14,132.71,314.06,269.37,25.47,48.57,509.08,42.87,57.83,464.11,207.79,100.45,43.64,101.75,47.48,29.84,329.16,47.77,152.88,36.27796996,415.73,81.05,92.57,87.47,135.86,55.28,230.89,111.06,205.69,133.74,203.18,333.31,24.24,70.7025,96.73,108.1,152.58,179.61,145.47,49.45,50.89,61.33,241.55,77.12,246.66,151.19,172.2,75.66,602.14,33.14,134.39,59.87,430.33,63.61,204.25,582.23,312.23,86.71,95.92,126.12,6.33,181.26,199.24,156.0,48.7,255.51,129.01,379.74,1751.79,64.12,188.59,691.25,377.81,352.57,41.55,147.0,53.41,68.81,86.84,104.88,37.55,55.49,161.33,26.62,36.79,102.38,126.56,173.07,136.52,271.48,107.03,259.61,163.87,399.33,72.27,161.47,172.24,243.57,38.05,75.86,654.57,84.21,195.77,187.95,97.46,53.89,792.06,116.74,132.32,118.77,194.2,282.99,176.5,79.63,37.69,63.55,14.56,37.89,273.34,279.32,77.41,195.61,65.12,89.61,203.59,96.51,36.98,621.21,326.34,192.55,407.63,83.51,301.8,110.37,149.14
2020-08-07 00:00:00+00:00,111.1125,212.48,3167.46,1494.49,1498.37,290.54200000000003,268.44,209.48,99.38,196.36,148.6,129.97,447.98,198.63,129.93,328.02,133.55,317.03,271.64,26.11,48.03,494.73,42.81,58.53,449.57,201.05,101.86,43.44,101.23,47.8,30.02,325.93,47.43,152.93,36.4486006,414.33,81.02,92.92,86.8,136.74,55.23,231.56,108.25,205.4,133.56,204.6,330.91,25.07,71.945,100.05,115.09,155.11,182.93,156.9,50.35,52.12,61.02,240.69,77.5,245.31,152.78,170.02,75.79,601.87,34.04,134.92,61.23,431.21,63.57,208.27,588.19,309.43,84.85,99.16,124.96,6.4,183.5,199.99,158.33,48.75,257.61,131.75,385.62,1754.48,64.96,191.54,685.85,372.44,347.27,42.17,147.78,55.45,69.35,82.47,105.07,39.06,55.6,158.88,26.72,37.46,103.91,129.95,178.19,137.99,276.66,109.7,256.41,168.19,355.66,72.93,164.64,183.53,236.24,38.3,76.24,656.72,86.61,198.99,190.55,100.96,54.69,791.7,116.32,130.27,117.74,194.9,281.69,174.83,80.62,37.14,65.75,13.96,38.97,272.99,275.52,76.94,195.44,66.37,90.73,202.85,97.76,38.72,620.21,329.27,195.29,417.94,83.19,305.81,112.72,152.97
2020-08-10 00:00:00+00:00,112.7275,208.25,3148.16,1496.1,1496.82,283.714,263.0,212.58,100.64,196.79,148.03,131.88,446.6,193.32,128.79,322.88,134.1,319.1,274.73,26.56,49.22,483.38,43.02,58.99,443.29,197.16,105.41,44.51,100.04,47.72,30.2,327.36,47.73,153.0,36.39172372,410.16,80.91,92.38,89.73,135.98,54.94,230.34,106.36,202.05,135.41,204.12,330.0,24.7,70.91,100.38,116.07,159.43,186.85,159.59,50.58,52.86,61.82,238.17,78.37,243.34,153.72,179.41,77.47,602.34,33.8,142.02,64.23,438.68,65.24,209.38,580.2,304.18,82.24,101.62,127.11,6.67,189.91,204.49,161.44,49.15,253.41,132.94,389.26,1768.58,65.71,187.67,683.0,375.76,344.07,43.22,146.16,56.52,68.51,82.26,103.73,39.42,55.49,158.09,27.98,37.47,99.34,130.96,183.0,138.17,278.85,109.66,256.75,166.18,353.35,74.08,162.84,199.98,231.88,39.64,76.65,651.25,84.76,204.5,195.83,99.16,55.07,782.74,116.76,132.47,116.41,195.3,281.24,170.26,80.12,37.44,67.41,14.38,38.98,268.73,271.15,75.78,192.84,68.17,90.12,203.09,99.76,39.78,608.24,335.73,193.29,419.76,82.0,302.905,111.61,156.56
2020-08-11 00:00:00+00:00,109.375,203.38,3080.67,1480.32,1480.54,274.878,256.13,212.66,103.82,197.77,146.97,130.2,434.0,189.03,130.49,328.54,133.23,315.55,274.92,26.92,48.19,466.93,42.99,58.51,435.23,191.99,105.12,44.97,99.06,47.93,30.2,324.03,47.19,150.63,35.82295492,407.24,80.91,92.67,89.62,135.12,54.27,228.57,108.83,200.01,136.04,205.0,322.43,25.32,69.4475,100.72,113.59,160.28,190.35,155.85,51.78,53.76,63.13,234.65,78.72,244.85,153.87,180.13,78.87,590.48,34.96,142.53,64.26,421.36,64.46,211.06,586.64,299.2,76.88,103.26,126.75,6.73,193.22,207.26,163.38,47.76,246.2,131.72,391.96,1805.1,65.26,188.92,675.0,369.01,343.71,43.6,143.05,57.51,68.1,79.12,100.51,40.7,55.2,156.93,28.52,38.27,98.22,132.01,182.38,138.1,280.33,112.47,255.0,161.79,341.21,75.14,165.62,196.45,228.79,39.71,75.96,652.4,83.67,206.08,196.32,98.61,54.19,758.17,116.56,131.59,116.98,196.22,281.6,170.93,78.56,37.28,69.63,13.96,39.31,261.86,274.53,76.66,193.55,70.29,89.02,200.54,102.18,40.57,598.86,341.85,191.09,415.77,80.6,304.13,111.59,158.85
2020-08-12 00:00:00+00:00,113.01,209.19,3162.24,1506.62,1507.24,310.952,259.89,213.24,102.94,198.74,149.66,131.89,457.61,191.32,131.79,327.63,135.46,322.27,281.58,26.73,49.19,475.47,43.34,58.6,445.36,192.62,105.22,44.09,100.65,48.43,30.18,333.64,48.1,152.55,36.33484684,416.17,82.68,95.51,90.72,137.8,54.17,229.75,115.79,205.92,138.64,206.02,326.76,25.19,71.1475,102.09,115.25,160.07,191.83,157.79,52.38,53.35,63.64,241.72,79.69,248.63,156.63,175.44,79.29,598.74,34.84,142.57,64.29,427.13,66.5,212.13,590.24,304.75,82.61,101.68,126.7,6.72,192.31,211.5,164.26,48.48,251.3,134.6,392.44,1808.07,64.99,190.18,683.09,381.52,349.19,42.96,143.82,57.73,68.84,81.71,102.88,40.81,56.03,159.36,28.03,37.81,97.97,130.28,184.32,139.58,283.18,112.0,257.22,165.2,344.14,75.03,167.46,201.96,231.57,41.66,77.24,671.89,84.32,204.85,198.53,99.43,54.86,772.99,119.22,132.13,116.65,198.69,285.4,173.0,79.58,37.44,68.15,13.97,39.96,270.85,278.84,78.58,192.13,71.79,89.01,208.0,102.55,40.04,612.35,339.4,196.83,420.06,82.65,307.98,112.25,156.41
2020-08-13 00:00:00+00:00,115.01,208.7,3161.02,1518.45,1516.65,324.2,261.3,211.98,102.37,197.58,148.0,131.85,457.72,193.07,130.96,326.19,135.78,321.52,281.66,26.35,48.56,481.33,43.39,58.52,450.02,195.14,106.52,43.01,101.1,48.38,29.91,329.42,42.72,150.46,36.18317516,416.6,83.54,94.68,89.82,138.1,54.02,231.73,113.41,207.19,137.15,206.49,325.7,25.02,71.1,101.29,115.37,158.98,189.72,159.29,52.18,52.89,63.24,240.46,78.14,249.24,155.7,174.73,79.02,604.22,34.61,140.67,63.3,438.42,65.07,208.39,589.56,306.71,81.84,100.42,125.03,6.6,189.5,213.37,165.86,46.14,250.73,134.81,389.24,1792.97,64.7,190.96,690.56,377.02,356.13,42.57,145.2,57.11,68.18,81.29,102.64,38.82,56.01,158.87,27.55,37.37,99.48,131.2,180.88,139.26,282.33,111.01,262.33,164.36,353.53,74.0,167.07,203.86,238.19,40.63,76.98,669.23,82.74,204.38,197.51,100.2,55.01,770.12,118.11,130.67,117.15,196.55,288.31,173.4,79.31,37.82,67.64,13.79,39.75,267.15,281.97,79.4,194.67,70.2,89.04,209.96,101.43,39.44,610.89,338.62,196.08,419.5,83.82,312.22,111.34,154.95
