,Ticker,Security,GICS_sector,GICS_sub_industry,Headquarter_location,Date_first_added,CIK,Founded,SEC_filings_link
0,MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,0000066740,1902,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MMM&action=getcompany
1,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,0000001800,1888,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABT&action=getcompany
2,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,0001551152,2013 (1888),https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABBV&action=getcompany
3,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,0000815094,1981,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABMD&action=getcompany
4,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,0001467373,1989,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACN&action=getcompany
5,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,0000718877,2008,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ATVI&action=getcompany
6,ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,0000796343,1982,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADBE&action=getcompany
7,AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,0000002488,1969,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMD&action=getcompany
8,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,0001158449,1932,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAP&action=getcompany
9,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,0000874761,1981,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AES&action=getcompany
10,AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,0000004977,1955,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AFL&action=getcompany
11,A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,0001090872,1999,https://www.sec.gov/cgi-bin/browse-edgar?CIK=A&action=getcompany
12,APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,0000002969,1940,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APD&action=getcompany
13,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,0001086222,1998,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AKAM&action=getcompany
14,ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",2016-05-13,0000766421,1985,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALK&action=getcompany
15,ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,0000915913,1994,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALB&action=getcompany
16,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,0001035443,1994,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ARE&action=getcompany
17,ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",2012-05-25,0000899866,1992,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALXN&action=getcompany
18,ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",2017-06-19,0001097149,1997,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALGN&action=getcompany
19,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,0001579241,1908,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALLE&action=getcompany
20,LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,0000352541,1917,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LNT&action=getcompany
21,ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,0000899051,1931,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALL&action=getcompany
22,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,0001652044,1998,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GOOGL&action=getcompany
23,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,0001652044,1998,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GOOG&action=getcompany
24,MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,0000764180,1985,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MO&action=getcompany
25,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,0001018724,1994,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMZN&action=getcompany
26,AMCR,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019-06-07,0001748790,2019 (1860),https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMCR&action=getcompany
27,AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,0001002910,1902,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AEE&action=getcompany
28,AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,0000006201,1934,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAL&action=getcompany
29,AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,0000004904,1906,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AEP&action=getcompany
30,AXP,American Express Co,Financials,Consumer Finance,"New York, New York",1976-06-30,0000004962,1850,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AXP&action=getcompany
31,AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",1980-03-31,0000005272,1919,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AIG&action=getcompany
32,AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,0001053507,1995,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMT&action=getcompany
33,AWK,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,0001410636,1886,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AWK&action=getcompany
34,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,0000820027,1894,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMP&action=getcompany
35,ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30,0001140859,1985,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABC&action=getcompany
36,AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,0001037868,1930,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AME&action=getcompany
37,AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,0000318154,1980,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMGN&action=getcompany
38,APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,0000820313,1932,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APH&action=getcompany
39,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",1999-10-12,0000006281,1965,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADI&action=getcompany
40,ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,0001013462,1969,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANSS&action=getcompany
41,ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,0001156039,2014 (1940s),https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANTM&action=getcompany
42,AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",1996-04-23,0000315293,1982 (1919),https://www.sec.gov/cgi-bin/browse-edgar?CIK=AON&action=getcompany
43,AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,0000091142,1916,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AOS&action=getcompany
44,APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,0000006769,1954,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APA&action=getcompany
45,AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",2003-03-14,0000922864,1994 (1975),https://www.sec.gov/cgi-bin/browse-edgar?CIK=AIV&action=getcompany
46,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,0000320193,1977,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAPL&action=getcompany
47,AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16,0000006951,1967,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMAT&action=getcompany
48,APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",2012-12-24,0001521332,1994,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APTV&action=getcompany
49,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",1981-07-29,0000007084,1902,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADM&action=getcompany
50,ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,0001596532,2004,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANET&action=getcompany
51,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",2016-05-31,0000354190,1927,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AJG&action=getcompany
52,AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",2007-04-10,0001267238,1892,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AIZ&action=getcompany
53,T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),0000732717,1983 (1885),https://www.sec.gov/cgi-bin/browse-edgar?CIK=T&action=getcompany
54,ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,0000731802,1906,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ATO&action=getcompany
55,ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",1989-12-01,0000769397,1982,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADSK&action=getcompany
56,ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",1981-03-31,0000008670,1949,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADP&action=getcompany
57,AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1997-01-02,0000866787,1979,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AZO&action=getcompany
58,AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia[3]",2007-01-10,0000915912,1978,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AVB&action=getcompany
59,AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",1987-12-31,0000008818,1990,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AVY&action=getcompany
60,BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07,0001701605,2017,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BKR&action=getcompany
61,BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984-10-31,0000009389,,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BLL&action=getcompany
62,BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,0000070858,1998 (1923 / 1874),https://www.sec.gov/cgi-bin/browse-edgar?CIK=BAC&action=getcompany
63,BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,"New York, New York",1995-03-31,0001390777,1784,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BK&action=getcompany
64,BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,0000010456,1931,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BAX&action=getcompany
65,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,0000010795,1897,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BDX&action=getcompany
