assetType,assetMainType,cusip,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1208.5,200,Z,1211.11,200,P,1209.0601,0,Q,0.0,0.0,0.0, ,1211.45,-2.39,6261,1586783535660,1586783688946,1211.11,q,NASD,True,True,0.1559,4,1532.106,1013.536,0.0,24.5328,0.0,0.0,,Normal,1211.45,1082,0.0,1586462400537,-0.1973,-0.34,-0.0281,0.0,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1207.0,100,Q,1211.11,200,P,1208.51,0,Q,0.0,0.0,0.0, ,1211.45,-2.94,6986,1586783944053,1586783959891,1211.11,q,NASD,True,True,0.1532,4,1532.106,1013.536,0.0,24.5328,0.0,0.0,,Normal,1211.45,1082,0.0,1586462400537,-0.2427,-0.34,-0.0281,0.0,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1208.0,100,P,1211.15,100,Q,1210.0,0,Q,0.0,0.0,0.0, ,1211.45,-1.45,7168,1586784229740,1586784263869,1211.15,q,NASD,True,True,0.1512,4,1532.106,1013.536,0.0,24.5328,0.0,0.0,,Normal,1211.45,1082,0.0,1586462400537,-0.1197,-0.3,-0.0248,0.0,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1205.01,100,Q,1210.0,100,Q,1209.1801,21600,Q,1209.1801,1209.1801,1209.1801, ,1211.45,-2.27,29554,1586784601525,1586784601268,1209.18,q,NASD,True,True,0.1482,4,1532.106,1013.536,0.0,24.5328,0.0,0.0,,Normal,1209.1801,216,-2.27,1586784601268,-0.1874,-2.27,-0.1874,-0.1874,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1206.78,100,Z,1209.1801,100,V,1208.22,100,Z,1209.1801,1209.21,1204.86, ,1211.45,-3.23,68442,1586784901094,1586784899604,1208.22,q,NASD,True,True,0.1337,4,1532.106,1013.536,0.0,24.5328,0.0,0.0,,Normal,1208.22,1,-3.23,1586784899604,-0.2666,-3.23,-0.2666,-0.2666,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1215.45,100,Q,1217.37,100,Y,1215.8275,100,D,1209.1801,1218.775,1204.86, ,1211.45,4.3775,111324,1586785202705,1586785196288,1215.8275,q,NASD,True,True,0.1203,4,1532.106,1013.536,0.0,24.5328,0.0,0.0,,Normal,1215.8275,1,4.3775,1586785196288,0.3613,4.3775,0.3613,0.3613,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1208.89,100,Q,1212.38,400,Q,1211.88,100,D,1209.1801,1218.775,1204.86, ,1211.45,0.43,135808,1586785502946,1586785492539,1211.88,q,NASD,True,True,0.114,4,1532.106,1013.536,0.0,24.5328,0.0,0.0,,Normal,1211.88,1,0.43,1586785492539,0.0355,0.43,0.0355,0.0355,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1202.22,100,Q,1205.05,100,B,1202.99,100,Q,1209.1801,1218.775,1202.99, ,1211.45,-8.46,175121,1586785801872,1586785799988,1202.99,q,NASD,True,True,0.1055,4,1532.106,1013.536,0.0,24.5328,0.0,0.0,,Normal,1202.99,1,-8.46,1586785799988,-0.6983,-8.46,-0.6983,-0.6983,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1201.51,100,Q,1203.66,500,Q,1202.15,200,D,1209.1801,1218.775,1202.0, ,1211.45,-9.3,212577,1586786101558,1586786092872,1202.15,q,NASD,True,True,0.0988,4,1532.106,1013.536,0.0,24.5328,0.0,0.0,,Normal,1202.15,2,-9.3,1586786092872,-0.7677,-9.3,-0.7677,-0.7677,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1198.3,100,X,1199.99,100,X,1199.55,100,P,1209.1801,1218.775,1198.48, ,1211.45,-11.9,247394,1586786402093,1586786401021,1199.55,q,NASD,True,True,0.0944,4,1532.106,1013.536,0.0,24.5328,0.0,0.0,,Normal,1199.55,1,-11.9,1586786401021,-0.9823,-11.9,-0.9823,-0.9823,True
