assetType,assetMainType,cusip,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,268.45,6800,K,268.5,400,Q,268.5,0,D,0.0,0.0,0.0, ,267.99,0.51,296883,1586783699513,1586783700792,268.45,q,NASD,True,True,0.0555,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,267.99,1,0.0,1586462400418,0.1903,0.46,0.1717,0.0,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,268.8,300,Q,268.9,100,P,268.81,0,D,0.0,0.0,0.0, ,267.99,0.82,316203,1586783996231,1586784001182,268.8,q,NASD,True,True,0.0542,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,267.99,1,0.0,1586462400418,0.306,0.81,0.3023,0.0,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,268.88,100,Q,269.0,1300,Q,268.88,0,D,0.0,0.0,0.0, ,267.99,0.89,327051,1586784302432,1586784302432,268.88,q,NASD,True,True,0.0529,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,267.99,1,0.0,1586462400418,0.3321,0.89,0.3321,0.0,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,268.29,100,P,268.31,200,Z,268.3,100,D,268.31,268.37,268.19, ,267.99,0.31,721403,1586784601705,1586784601699,268.3,q,NASD,True,True,0.051,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,268.3,1,0.31,1586784601699,0.1157,0.31,0.1157,0.1157,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,268.15,300,P,268.24,300,Z,268.17,100,Z,268.31,268.79,267.6923, ,267.99,0.18,1547151,1586784901632,1586784901295,268.17,q,NASD,True,True,0.0403,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,268.17,1,0.18,1586784901295,0.0672,0.18,0.0672,0.0672,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,269.45,100,P,269.51,200,Z,269.49,200,Q,268.31,269.72,267.6923, ,267.99,1.5,2368184,1586785202616,1586785202610,269.49,q,NASD,True,True,0.0344,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,269.49,2,1.5,1586785202610,0.5597,1.5,0.5597,0.5597,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,268.25,200,Z,268.31,600,Z,268.2787,1500,D,268.31,269.72,267.6923, ,267.99,0.2887,2887384,1586785502927,1586785502938,268.2787,q,NASD,True,True,0.0318,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,268.2787,15,0.2887,1586785502938,0.1077,0.2887,0.1077,0.1077,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,267.37,200,Q,267.4,200,Z,267.4,100,J,268.31,269.72,267.01, ,267.99,-0.59,3521735,1586785801971,1586785801551,267.4,q,NASD,True,True,0.0295,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,267.4,1,-0.59,1586785801551,-0.2202,-0.59,-0.2202,-0.2202,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,267.19,100,J,267.24,300,Z,267.22,100,P,268.31,269.72,267.01, ,267.99,-0.77,3925157,1586786101982,1586786101477,267.22,q,NASD,True,True,0.0282,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,267.22,1,-0.77,1586786101477,-0.2873,-0.77,-0.2873,-0.2873,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,267.4,200,Z,267.44,100,Q,267.4,100,Q,268.31,269.72,267.01, ,267.99,-0.59,4443550,1586786402021,1586786401841,267.4,q,NASD,True,True,0.0268,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,267.4,1,-0.59,1586786401841,-0.2202,-0.59,-0.2202,-0.2202,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,268.54,200,Q,268.58,200,Z,268.5799,1500,D,268.31,269.72,267.01, ,267.99,0.5899,4964521,1586786701638,1586786701932,268.5799,q,NASD,True,True,0.0256,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,268.5799,15,0.5899,1586786701932,0.2201,0.5899,0.2201,0.2201,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,268.8,200,Z,268.83,100,Z,268.8245,600,D,268.31,269.72,267.01, ,267.99,0.8345,5386255,1586787002040,1586787001947,268.8245,q,NASD,True,True,0.0248,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,268.8245,6,0.8345,1586787001947,0.3114,0.8345,0.3114,0.3114,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,268.62,100,Q,268.66,400,Z,268.66,100,D,268.31,269.72,267.01, ,267.99,0.67,5734254,1586787302112,1586787302091,268.66,q,NASD,True,True,0.0241,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,268.66,1,0.67,1586787302091,0.25,0.67,0.25,0.25,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,267.86,200,Z,267.9,100,Z,267.9,300,D,268.31,269.72,267.01, ,267.99,-0.09,6140892,1586787602101,1586787601978,267.9,q,NASD,True,True,0.0234,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,267.9,3,-0.09,1586787601978,-0.0336,-0.09,-0.0336,-0.0336,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,267.53,200,Q,267.56,100,Q,267.5537,100,D,268.31,269.72,267.01, ,267.99,-0.4363,6486414,1586787902118,1586787901551,267.5537,q,NASD,True,True,0.0228,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,267.5537,1,-0.4363,1586787901551,-0.1628,-0.4363,-0.1628,-0.1628,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,267.49,100,Z,267.53,100,K,267.541,100,D,268.31,269.72,267.01, ,267.99,-0.449,6865773,1586788202469,1586788202439,267.53,q,NASD,True,True,0.0223,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,267.541,1,-0.449,1586788202439,-0.1675,-0.46,-0.1716,-0.1675,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,268.13,200,K,268.18,200,Z,268.165,200,D,268.31,269.72,267.01, ,267.99,0.175,7419736,1586788502791,1586788502540,268.165,q,NASD,True,True,0.0217,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,268.165,2,0.175,1586788502540,0.0653,0.175,0.0653,0.0653,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,267.34,200,Z,267.39,100,Q,267.36,400,V,268.31,269.72,267.01, ,267.99,-0.63,7748697,1586788801726,1586788801204,267.36,q,NASD,True,True,0.0214,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,267.36,4,-0.63,1586788801204,-0.2351,-0.63,-0.2351,-0.2351,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,267.09,200,Q,267.13,200,Z,267.11,100,D,268.31,269.72,266.85, ,267.99,-0.88,8108171,1586789101646,1586789101460,267.11,q,NASD,True,True,0.021,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,267.11,1,-0.88,1586789101460,-0.3284,-0.88,-0.3284,-0.3284,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,267.38,100,Q,267.4,200,Q,267.3918,100,D,268.31,269.72,266.85, ,267.99,-0.5982,8410713,1586789401696,1586789401745,267.3918,q,NASD,True,True,0.0206,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,267.3918,1,-0.5982,1586789401745,-0.2232,-0.5982,-0.2232,-0.2232,True
EQUITY,EQUITY,037833100,AAPL,Apple Inc. - Common Stock,266.7,100,Q,266.75,200,Z,266.71,100,Z,268.31,269.72,266.55, ,267.99,-1.28,8701255,1586789701815,1586789699988,266.71,q,NASD,True,True,0.0203,4,327.85,170.27,0.0,21.1656,3.08,1.15,2020-02-07 00:00:00.000,Normal,266.71,1,-1.28,1586789699988,-0.4776,-1.28,-0.4776,-0.4776,True
