assetType,assetMainType,cusip,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.4,300,Q,318.63,100,Q,317.11,0,Q,0.0,0.0,0.0, ,318.7,-1.59,4370,1586783465049,1586783591874,318.63,q,NASD,True,True,0.1869,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,318.7,3367,0.0,1586462400615,-0.4989,-0.07,-0.022,0.0,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.4,300,Q,318.63,100,Q,318.08,0,Q,0.0,0.0,0.0, ,318.7,-0.62,4518,1586783812093,1586783904282,318.63,q,NASD,True,True,0.1973,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,318.7,3367,0.0,1586462400615,-0.1945,-0.07,-0.022,0.0,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.95,100,Q,318.63,100,Q,318.57,0,Q,0.0,0.0,0.0, ,318.7,-0.13,4545,1586784208417,1586784283088,318.63,q,NASD,True,True,0.2021,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,318.7,3367,0.0,1586462400615,-0.0408,-0.07,-0.022,0.0,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,315.14,100,Q,315.94,100,Q,315.69,100,Q,315.94,315.94,315.5, ,318.7,-3.01,57455,1586784601724,1586784601500,315.69,q,NASD,True,True,0.1842,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,315.69,1,-3.01,1586784601500,-0.9445,-3.01,-0.9445,-0.9445,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.39,100,Q,316.72,100,Q,316.615,100,D,315.94,316.85,314.87, ,318.7,-2.085,84239,1586784900153,1586784898035,316.615,q,NASD,True,True,0.1534,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,316.615,1,-2.085,1586784898035,-0.6542,-2.085,-0.6542,-0.6542,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,318.42,100,Q,318.93,100,Z,318.63,100,Q,315.94,318.9,314.87, ,318.7,-0.07,128827,1586785202421,1586785201217,318.63,q,NASD,True,True,0.1193,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,318.63,1,-0.07,1586785201217,-0.022,-0.07,-0.022,-0.022,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.1,100,Q,316.8,400,Q,316.18,100,Q,315.94,319.12,314.87, ,318.7,-2.52,166814,1586785502804,1586785500557,316.18,q,NASD,True,True,0.1045,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,316.18,1,-2.52,1586785500557,-0.7907,-2.52,-0.7907,-0.7907,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,315.0,200,K,315.44,200,P,315.2937,100,D,315.94,319.12,314.52, ,318.7,-3.4063,188326,1586785801953,1586785801915,315.2937,q,NASD,True,True,0.0997,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,315.2937,1,-3.4063,1586785801915,-1.0688,-3.4063,-1.0688,-1.0688,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,315.14,100,P,315.68,200,Z,315.41,100,D,315.94,319.12,314.52, ,318.7,-3.29,209597,1586786100314,1586786101378,315.41,q,NASD,True,True,0.0945,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,315.41,1,-3.29,1586786101378,-1.0323,-3.29,-1.0323,-1.0323,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,313.8,100,Z,314.36,100,J,314.3,100,K,315.94,319.12,313.86, ,318.7,-4.4,243255,1586786401725,1586786401188,314.3,q,NASD,True,True,0.088,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,314.3,1,-4.4,1586786401188,-1.3806,-4.4,-1.3806,-1.3806,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,315.82,100,K,316.08,200,Q,315.9203,300,D,315.94,319.12,313.75, ,318.7,-2.7797,276383,1586786701974,1586786696121,315.9203,q,NASD,True,True,0.083,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,315.9203,3,-2.7797,1586786696121,-0.8722,-2.7797,-0.8722,-0.8722,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.95,100,Q,317.32,100,J,317.04,100,Q,315.94,319.12,313.75, ,318.7,-1.66,294836,1586787001942,1586786997044,317.04,q,NASD,True,True,0.0806,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,317.04,1,-1.66,1586786997044,-0.5209,-1.66,-0.5209,-0.5209,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.64,100,P,316.96,200,Q,316.77,100,P,315.94,319.12,313.75, ,318.7,-1.93,315242,1586787301782,1586787294024,316.77,q,NASD,True,True,0.0781,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,316.77,1,-1.93,1586787294024,-0.6056,-1.93,-0.6056,-0.6056,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.0,200,Q,316.35,100,Q,316.275,100,D,315.94,319.12,313.75, ,318.7,-2.425,331894,1586787600993,1586787600420,316.275,q,NASD,True,True,0.0767,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,316.275,1,-2.425,1586787600420,-0.7609,-2.425,-0.7609,-0.7609,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,314.63,100,Z,314.99,100,Z,314.82,100,Q,315.94,319.12,313.75, ,318.7,-3.88,362462,1586787902146,1586787895642,314.82,q,NASD,True,True,0.0744,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,314.82,1,-3.88,1586787895642,-1.2174,-3.88,-1.2174,-1.2174,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,314.77,100,Q,314.97,100,Z,314.98,100,D,315.94,319.12,313.75, ,318.7,-3.72,383224,1586788202439,1586788197140,314.97,q,NASD,True,True,0.0724,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,314.98,1,-3.72,1586788197140,-1.1672,-3.73,-1.1704,-1.1672,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,314.62,100,Z,314.99,200,K,314.74,100,Z,315.94,319.12,313.75, ,318.7,-3.96,402547,1586788501839,1586788498315,314.74,q,NASD,True,True,0.0712,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,314.74,1,-3.96,1586788498315,-1.2425,-3.96,-1.2426,-1.2425,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,314.27,100,Z,314.45,100,Q,314.46,100,D,315.94,319.12,313.75, ,318.7,-4.24,422297,1586788801637,1586788798738,314.45,q,NASD,True,True,0.0692,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,314.46,1,-4.24,1586788798738,-1.3304,-4.25,-1.3335,-1.3304,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,314.69,100,M,315.03,100,Z,314.67,100,K,315.94,319.12,313.75, ,318.7,-4.03,441594,1586789101768,1586789100345,314.69,q,NASD,True,True,0.0677,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,314.67,1,-4.03,1586789100345,-1.2645,-4.01,-1.2582,-1.2645,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,315.51,100,Q,315.71,100,Z,315.6614,100,D,315.94,319.12,313.75, ,318.7,-3.0386,458674,1586789401729,1586789396266,315.6614,q,NASD,True,True,0.0671,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,315.6614,1,-3.0386,1586789396266,-0.9534,-3.0386,-0.9534,-0.9534,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,314.45,100,Q,314.62,100,Q,314.6299,700,D,315.94,319.12,313.75, ,318.7,-4.0701,488135,1586789701812,1586789700727,314.62,q,NASD,True,True,0.0651,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,314.6299,7,-4.0701,1586789700727,-1.2771,-4.08,-1.2802,-1.2771,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,314.58,100,Z,314.84,100,Q,314.69,100,K,315.94,319.12,313.75, ,318.7,-4.01,510132,1586790001212,1586790000642,314.69,q,NASD,True,True,0.0637,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,314.69,1,-4.01,1586790000642,-1.2582,-4.01,-1.2582,-1.2582,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,314.59,100,Q,315.0,200,Z,314.71,100,D,315.94,319.12,313.75, ,318.7,-3.99,533584,1586790300040,1586790274496,314.71,q,NASD,True,True,0.0631,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,314.71,1,-3.99,1586790274496,-1.252,-3.99,-1.252,-1.252,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,314.32,100,B,314.69,100,Z,314.445,100,D,315.94,319.12,313.75, ,318.7,-4.255,548450,1586790600477,1586790597433,314.445,q,NASD,True,True,0.0622,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,314.445,1,-4.255,1586790597433,-1.3351,-4.255,-1.3351,-1.3351,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,314.32,100,Q,314.49,100,J,314.32,100,D,315.94,319.12,313.75, ,318.7,-4.38,562483,1586790901622,1586790900084,314.32,q,NASD,True,True,0.0617,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,314.32,1,-4.38,1586790900084,-1.3743,-4.38,-1.3743,-1.3743,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,314.25,100,Q,314.4,100,V,314.3,600,D,315.94,319.12,313.75, ,318.7,-4.4,575100,1586791200051,1586791199187,314.3,q,NASD,True,True,0.0611,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,314.3,6,-4.4,1586791199187,-1.3806,-4.4,-1.3806,-1.3806,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,315.08,100,Q,315.28,100,Z,315.345,900,D,315.94,319.12,313.75, ,318.7,-3.355,588297,1586791500234,1586791498712,315.28,q,NASD,True,True,0.0605,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,315.345,9,-3.355,1586791498712,-1.0527,-3.42,-1.0731,-1.0527,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.14,100,Q,316.33,100,Z,316.24,100,K,315.94,319.12,313.75, ,318.7,-2.46,616436,1586791801509,1586791799892,316.24,q,NASD,True,True,0.059,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,316.24,1,-2.46,1586791799892,-0.7719,-2.46,-0.7719,-0.7719,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,315.29,100,Q,315.67,100,Z,315.43,100,P,315.94,319.12,313.75, ,318.7,-3.27,630308,1586792102242,1586792101591,315.43,q,NASD,True,True,0.0584,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,315.43,1,-3.27,1586792101591,-1.026,-3.27,-1.026,-1.026,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,314.91,100,J,315.12,100,Z,314.89,100,D,315.94,319.12,313.75, ,318.7,-3.81,641256,1586792402073,1586792396275,314.91,q,NASD,True,True,0.058,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,314.89,1,-3.81,1586792396275,-1.1955,-3.79,-1.1892,-1.1955,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,314.34,100,Z,314.6,100,J,314.33,100,D,315.94,319.12,313.75, ,318.7,-4.37,661558,1586792702594,1586792696999,314.34,q,NASD,True,True,0.0576,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,314.33,1,-4.37,1586792696999,-1.3712,-4.36,-1.3681,-1.3712,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,315.39,100,Q,315.55,100,Z,315.49,100,Z,315.94,319.12,313.75, ,318.7,-3.21,673986,1586793002308,1586793002303,315.49,q,NASD,True,True,0.0573,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,315.49,1,-3.21,1586793002303,-1.0072,-3.21,-1.0072,-1.0072,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,315.14,200,Z,315.43,100,Q,315.3207,100,D,315.94,319.12,313.75, ,318.7,-3.3793,682561,1586793301805,1586793284322,315.3207,q,NASD,True,True,0.057,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,315.3207,1,-3.3793,1586793284322,-1.0603,-3.3793,-1.0603,-1.0603,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,315.0,100,Z,315.16,200,Q,315.0996,100,D,315.94,319.12,313.75, ,318.7,-3.6004,692291,1586793600392,1586793583762,315.0996,q,NASD,True,True,0.0568,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,315.0996,1,-3.6004,1586793583762,-1.1297,-3.6004,-1.1297,-1.1297,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,315.42,100,B,315.81,200,Q,315.61,100,Q,315.94,319.12,313.75, ,318.7,-3.09,704071,1586793901269,1586793897969,315.61,q,NASD,True,True,0.0564,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,315.61,1,-3.09,1586793897969,-0.9696,-3.09,-0.9696,-0.9696,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,315.2,100,Z,315.38,200,Z,315.215,100,D,315.94,319.12,313.75, ,318.7,-3.485,715279,1586794200918,1586794186710,315.215,q,NASD,True,True,0.0561,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,315.215,1,-3.485,1586794186710,-1.0935,-3.485,-1.0935,-1.0935,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,315.84,100,C,316.12,100,Y,315.99,100,D,315.94,319.12,313.75, ,318.7,-2.71,728819,1586794502327,1586794500390,315.99,q,NASD,True,True,0.0556,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,315.99,1,-2.71,1586794500390,-0.8503,-2.71,-0.8503,-0.8503,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.34,100,Q,316.62,600,K,316.46,100,Z,315.94,319.12,313.75, ,318.7,-2.24,748788,1586794802427,1586794789325,316.46,q,NASD,True,True,0.0549,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,316.46,1,-2.24,1586794789325,-0.7029,-2.24,-0.7029,-0.7029,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.65,100,Q,316.8,100,Q,316.725,100,V,315.94,319.12,313.75, ,318.7,-1.975,763636,1586795100908,1586795100916,316.725,q,NASD,True,True,0.0545,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,316.725,1,-1.975,1586795100916,-0.6197,-1.975,-0.6197,-0.6197,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.36,100,Q,316.53,100,Q,316.42,100,K,315.94,319.12,313.75, ,318.7,-2.28,777209,1586795402073,1586795402049,316.42,q,NASD,True,True,0.0542,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,316.42,1,-2.28,1586795402049,-0.7154,-2.28,-0.7154,-0.7154,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.21,100,Z,316.38,100,Z,316.265,500,D,315.94,319.12,313.75, ,318.7,-2.435,788353,1586795701654,1586795701205,316.265,q,NASD,True,True,0.0539,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,316.265,5,-2.435,1586795701205,-0.764,-2.435,-0.764,-0.764,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.26,200,Q,316.45,200,Q,316.3,100,V,315.94,319.12,313.75, ,318.7,-2.4,798014,1586796001527,1586796000866,316.3,q,NASD,True,True,0.0537,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,316.3,1,-2.4,1586796000866,-0.7531,-2.4,-0.7531,-0.7531,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.49,100,K,316.66,100,Z,316.37,100,Q,315.94,319.12,313.75, ,318.7,-2.33,803096,1586796301641,1586796280848,316.49,q,NASD,True,True,0.0536,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,316.37,1,-2.33,1586796280848,-0.7311,-2.21,-0.6934,-0.7311,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,316.63,300,Q,316.95,100,P,316.78,100,Y,315.94,319.12,313.75, ,318.7,-1.92,812271,1586796600031,1586796554482,316.78,q,NASD,True,True,0.0533,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,316.78,1,-1.92,1586796554482,-0.6024,-1.92,-0.6025,-0.6024,True
EQUITY,EQUITY,00724F101,ADBE,Adobe Inc. - Common Stock,315.84,100,Q,316.22,300,Q,315.76,100,D,315.94,319.12,313.75, ,318.7,-2.94,821197,1586796901618,1586796874839,315.84,q,NASD,True,True,0.0533,4,386.745,255.1314,0.0,48.2495,0.0,0.0,,Normal,315.76,1,-2.94,1586796874839,-0.9225,-2.86,-0.8974,-0.9225,True
