assetType,assetMainType,cusip,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed
EQUITY,EQUITY,097023105,BA,Boeing Company (The) Common Stock,156.05,100,K,156.34,100,T,156.18,100,N,0.0,0.0,0.0, ,151.84,4.34,776419,1586783702345,1586783702321,156.05,n,NYSE,True,True,0.1067,2,391.0,89.0,0.0,0.0,8.22,5.41,2020-02-13 00:00:00.000,Normal,151.84,3877,0.0,1586471400000,2.8583,4.21,2.7727,0.0,True
EQUITY,EQUITY,097023105,BA,Boeing Company (The) Common Stock,156.35,100,P,156.5,100,P,156.5,0,N,0.0,0.0,0.0, ,151.84,4.66,797498,1586783997913,1586784001351,156.35,n,NYSE,True,True,0.1046,2,391.0,89.0,0.0,0.0,8.22,5.41,2020-02-13 00:00:00.000,Normal,151.84,3877,0.0,1586471400000,3.069,4.51,2.9702,0.0,True
EQUITY,EQUITY,097023105,BA,Boeing Company (The) Common Stock,156.46,400,T,156.6,200,K,156.48,0,N,0.0,0.0,0.0, ,151.84,4.64,820364,1586784298717,1586784300779,156.46,n,NYSE,True,True,0.1028,2,391.0,89.0,0.0,0.0,8.22,5.41,2020-02-13 00:00:00.000,Normal,151.84,3877,0.0,1586471400000,3.0558,4.62,3.0427,0.0,True
EQUITY,EQUITY,097023105,BA,Boeing Company (The) Common Stock,155.3,1600,N,155.41,100,Z,155.4,100,J,155.5,155.55,155.3, ,151.84,3.56,1149585,1586784601698,1586784601733,155.4,n,NYSE,True,True,0.1007,2,391.0,89.0,0.0,0.0,8.22,5.41,2020-02-13 00:00:00.000,Normal,155.4,1,3.56,1586784601733,2.3446,3.56,2.3446,2.3446,True
EQUITY,EQUITY,097023105,BA,Boeing Company (The) Common Stock,152.14,300,N,152.29,200,P,152.255,200,D,155.5,156.0,152.05, ,151.84,0.415,1984307,1586784901627,1586784901626,152.255,n,NYSE,True,True,0.0931,2,391.0,89.0,0.0,0.0,8.22,5.41,2020-02-13 00:00:00.000,Normal,152.255,2,0.415,1586784901626,0.2733,0.415,0.2733,0.2733,True
EQUITY,EQUITY,097023105,BA,Boeing Company (The) Common Stock,153.79,100,Z,153.88,100,P,153.88,100,P,155.5,156.0,151.25, ,151.84,2.04,2985604,1586785202483,1586785202483,153.88,n,NYSE,True,True,0.0836,2,391.0,89.0,0.0,0.0,8.22,5.41,2020-02-13 00:00:00.000,Normal,153.88,1,2.04,1586785202483,1.3435,2.04,1.3435,1.3435,True
EQUITY,EQUITY,097023105,BA,Boeing Company (The) Common Stock,152.25,100,Z,152.44,100,T,152.3393,100,D,155.5,156.0,151.25, ,151.84,0.4993,3656092,1586785502962,1586785502571,152.3393,n,NYSE,True,True,0.0788,2,391.0,89.0,0.0,0.0,8.22,5.41,2020-02-13 00:00:00.000,Normal,152.3393,1,0.4993,1586785502571,0.3288,0.4993,0.3288,0.3288,True
EQUITY,EQUITY,097023105,BA,Boeing Company (The) Common Stock,149.56,2500,K,149.71,100,Z,149.635,100,D,155.5,156.0,149.33, ,151.84,-2.205,4584956,1586785801902,1586785801905,149.635,n,NYSE,True,True,0.0743,2,391.0,89.0,0.0,0.0,8.22,5.41,2020-02-13 00:00:00.000,Normal,149.635,1,-2.205,1586785801905,-1.4522,-2.205,-1.4522,-1.4522,True
EQUITY,EQUITY,097023105,BA,Boeing Company (The) Common Stock,149.88,200,Z,150.02,200,T,149.9916,1000,D,155.5,156.0,149.33, ,151.84,-1.8484,5166536,1586786101953,1586786101689,149.9916,n,NYSE,True,True,0.0718,2,391.0,89.0,0.0,0.0,8.22,5.41,2020-02-13 00:00:00.000,Normal,149.9916,10,-1.8484,1586786101689,-1.2173,-1.8484,-1.2173,-1.2173,True
EQUITY,EQUITY,097023105,BA,Boeing Company (The) Common Stock,149.8,100,Z,150.0,700,P,149.86,500,D,155.5,156.0,148.9, ,151.84,-1.98,5843290,1586786402014,1586786401726,149.86,n,NYSE,True,True,0.0692,2,391.0,89.0,0.0,0.0,8.22,5.41,2020-02-13 00:00:00.000,Normal,149.86,5,-1.98,1586786401726,-1.304,-1.98,-1.304,-1.304,True
