assetType,assetMainType,cusip,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed
EQUITY,EQUITY,191216100,KO,Coca-Cola Company (The) Common Stock,48.68,100,Z,48.89,200,T,48.72,0,N,0.0,0.0,0.0, ,49.0,-0.28,20212,1586783672289,1586783700612,48.89,n,NYSE,True,True,0.1951,2,60.13,36.27,0.0,23.6967,1.64,3.35,2020-03-13 00:00:00.000,Normal,49.0,14155,0.0,1586471400002,-0.5714,-0.11,-0.2245,0.0,True
EQUITY,EQUITY,191216100,KO,Coca-Cola Company (The) Common Stock,48.69,2200,K,48.89,100,T,48.71,0,N,0.0,0.0,0.0, ,49.0,-0.29,20583,1586783989185,1586784002253,48.89,n,NYSE,True,True,0.1954,2,60.13,36.27,0.0,23.6967,1.64,3.35,2020-03-13 00:00:00.000,Normal,49.0,14155,0.0,1586471400002,-0.5918,-0.11,-0.2245,0.0,True
EQUITY,EQUITY,191216100,KO,Coca-Cola Company (The) Common Stock,48.69,100,Z,49.0,800,T,49.0,0,N,0.0,0.0,0.0, ,49.0,0.0,21105,1586784267429,1586784297750,49.0,n,NYSE,True,True,0.1918,2,60.13,36.27,0.0,23.6967,1.64,3.35,2020-03-13 00:00:00.000,Normal,49.0,14155,0.0,1586471400002,0.0,0.0,0.0,0.0,True
EQUITY,EQUITY,191216100,KO,Coca-Cola Company (The) Common Stock,48.31,200,Z,48.5,4800,N,48.5,100,N,48.35,48.5,48.25, ,49.0,-0.5,431365,1586784601637,1586784601637,48.5,n,NYSE,True,True,0.1771,2,60.13,36.27,0.0,23.6967,1.64,3.35,2020-03-13 00:00:00.000,Normal,48.5,1,-0.5,1586784601637,-1.0204,-0.5,-1.0204,-1.0204,True
EQUITY,EQUITY,191216100,KO,Coca-Cola Company (The) Common Stock,48.22,500,Z,48.24,100,P,48.23,100,P,48.35,48.64,48.18, ,49.0,-0.77,651430,1586784901583,1586784901372,48.23,n,NYSE,True,True,0.1306,2,60.13,36.27,0.0,23.6967,1.64,3.35,2020-03-13 00:00:00.000,Normal,48.23,1,-0.77,1586784901372,-1.5714,-0.77,-1.5714,-1.5714,True
EQUITY,EQUITY,191216100,KO,Coca-Cola Company (The) Common Stock,48.18,100,T,48.19,1000,Z,48.19,100,K,48.35,48.64,48.18, ,49.0,-0.81,893782,1586785202625,1586785202592,48.19,n,NYSE,True,True,0.104,2,60.13,36.27,0.0,23.6967,1.64,3.35,2020-03-13 00:00:00.000,Normal,48.19,1,-0.81,1586785202592,-1.6531,-0.81,-1.6531,-1.6531,True
EQUITY,EQUITY,191216100,KO,Coca-Cola Company (The) Common Stock,48.13,200,T,48.14,200,Z,48.13,100,Z,48.35,48.64,47.92, ,49.0,-0.87,1193580,1586785502852,1586785502571,48.13,n,NYSE,True,True,0.0896,2,60.13,36.27,0.0,23.6967,1.64,3.35,2020-03-13 00:00:00.000,Normal,48.13,1,-0.87,1586785502571,-1.7755,-0.87,-1.7755,-1.7755,True
EQUITY,EQUITY,191216100,KO,Coca-Cola Company (The) Common Stock,47.83,100,Z,47.84,500,T,47.8259,700,D,48.35,48.64,47.76, ,49.0,-1.1741,1552711,1586785801952,1586785800650,47.83,n,NYSE,True,True,0.0776,2,60.13,36.27,0.0,23.6967,1.64,3.35,2020-03-13 00:00:00.000,Normal,47.8259,7,-1.1741,1586785800650,-2.3961,-1.17,-2.3878,-2.3961,True
EQUITY,EQUITY,191216100,KO,Coca-Cola Company (The) Common Stock,47.84,400,Z,47.85,100,Z,47.84,200,D,48.35,48.64,47.76, ,49.0,-1.16,1758465,1586786101972,1586786100131,47.84,n,NYSE,True,True,0.0733,2,60.13,36.27,0.0,23.6967,1.64,3.35,2020-03-13 00:00:00.000,Normal,47.84,2,-1.16,1586786100131,-2.3673,-1.16,-2.3673,-2.3673,True
EQUITY,EQUITY,191216100,KO,Coca-Cola Company (The) Common Stock,47.71,200,N,47.72,500,Z,47.72,100,V,48.35,48.64,47.7, ,49.0,-1.28,1916775,1586786402019,1586786401846,47.72,n,NYSE,True,True,0.07,2,60.13,36.27,0.0,23.6967,1.64,3.35,2020-03-13 00:00:00.000,Normal,47.72,1,-1.28,1586786401846,-2.6122,-1.28,-2.6122,-2.6122,True
