assetType,assetMainType,cusip,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed
EQUITY,EQUITY,580135101,MCD,McDonald's Corporation Common Stock,182.7,100,K,183.5,100,K,182.75,0,N,0.0,0.0,0.0, ,183.7,-0.95,8754,1586783693120,1586783699651,183.5,n,NYSE,True,True,0.2098,2,221.93,124.23,0.0,23.1294,5.0,2.72,2020-02-28 00:00:00.000,Normal,183.7,3615,0.0,1586471400004,-0.5171,-0.2,-0.1089,0.0,True
EQUITY,EQUITY,580135101,MCD,McDonald's Corporation Common Stock,182.8,200,T,184.0,100,P,182.8,0,N,0.0,0.0,0.0, ,183.7,-0.9,9180,1586783986458,1586783973113,183.7,n,NYSE,True,True,0.2132,2,221.93,124.23,0.0,23.1294,5.0,2.72,2020-02-28 00:00:00.000,Normal,183.7,3615,0.0,1586471400004,-0.4899,0.0,0.0,0.0,True
EQUITY,EQUITY,580135101,MCD,McDonald's Corporation Common Stock,182.61,100,K,184.59,100,T,182.61,0,N,0.0,0.0,0.0, ,183.7,-1.09,9721,1586784302567,1586784296608,183.7,n,NYSE,True,True,0.2193,2,221.93,124.23,0.0,23.1294,5.0,2.72,2020-02-28 00:00:00.000,Normal,183.7,3615,0.0,1586471400004,-0.5934,0.0,0.0,0.0,True
EQUITY,EQUITY,580135101,MCD,McDonald's Corporation Common Stock,182.61,100,X,182.99,100,X,182.68,57700,N,182.68,182.68,182.68, ,183.7,-1.02,69494,1586784601704,1586784601677,182.68,n,NYSE,True,True,0.2173,2,221.93,124.23,0.0,23.1294,5.0,2.72,2020-02-28 00:00:00.000,Normal,182.68,577,-1.02,1586784601677,-0.5553,-1.02,-0.5553,-0.5553,True
EQUITY,EQUITY,580135101,MCD,McDonald's Corporation Common Stock,180.81,200,T,181.23,200,Z,180.99,100,N,182.68,182.8506,180.8, ,183.7,-2.71,131376,1586784901472,1586784901470,180.99,n,NYSE,True,True,0.1602,2,221.93,124.23,0.0,23.1294,5.0,2.72,2020-02-28 00:00:00.000,Normal,180.99,1,-2.71,1586784901470,-1.4752,-2.71,-1.4752,-1.4752,True
EQUITY,EQUITY,580135101,MCD,McDonald's Corporation Common Stock,181.44,200,Z,181.79,100,N,181.66,100,K,182.68,182.8506,180.01, ,183.7,-2.04,191453,1586785202590,1586785201502,181.66,n,NYSE,True,True,0.135,2,221.93,124.23,0.0,23.1294,5.0,2.72,2020-02-28 00:00:00.000,Normal,181.66,1,-2.04,1586785201502,-1.1105,-2.04,-1.1105,-1.1105,True
EQUITY,EQUITY,580135101,MCD,McDonald's Corporation Common Stock,180.56,100,Z,180.78,100,N,180.61,500,D,182.68,182.8506,180.01, ,183.7,-3.09,255669,1586785500336,1586785498668,180.61,n,NYSE,True,True,0.1196,2,221.93,124.23,0.0,23.1294,5.0,2.72,2020-02-28 00:00:00.000,Normal,180.61,5,-3.09,1586785498668,-1.6821,-3.09,-1.6821,-1.6821,True
EQUITY,EQUITY,580135101,MCD,McDonald's Corporation Common Stock,180.37,100,J,180.49,100,N,180.37,100,J,182.68,182.8506,180.01, ,183.7,-3.33,295175,1586785801885,1586785801876,180.37,n,NYSE,True,True,0.1115,2,221.93,124.23,0.0,23.1294,5.0,2.72,2020-02-28 00:00:00.000,Normal,180.37,1,-3.33,1586785801876,-1.8127,-3.33,-1.8127,-1.8127,True
EQUITY,EQUITY,580135101,MCD,McDonald's Corporation Common Stock,180.36,200,P,180.7,300,P,180.47,100,D,182.68,182.8506,180.01, ,183.7,-3.23,332326,1586786101975,1586786090575,180.47,n,NYSE,True,True,0.1049,2,221.93,124.23,0.0,23.1294,5.0,2.72,2020-02-28 00:00:00.000,Normal,180.47,1,-3.23,1586786090575,-1.7583,-3.23,-1.7583,-1.7583,True
EQUITY,EQUITY,580135101,MCD,McDonald's Corporation Common Stock,179.57,200,Z,179.9,100,T,179.702,500,D,182.68,182.8506,179.46, ,183.7,-3.998,370711,1586786401047,1586786395100,179.702,n,NYSE,True,True,0.101,2,221.93,124.23,0.0,23.1294,5.0,2.72,2020-02-28 00:00:00.000,Normal,179.702,5,-3.998,1586786395100,-2.1764,-3.998,-2.1764,-2.1764,True
