assetType,assetMainType,cusip,assetSubType,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed
ETF,EQUITY,46090E103,ETF,QQQ,"Invesco QQQ Trust, Series 1",200.3,1000,Q,200.36,600,Q,200.4,0,Q,0.0,0.0,0.0, ,200.86,-0.46,635046,1586783700634,1586783674290,200.36,q,NASD,True,True,0.0724,4,237.47,164.93,0.0,0.0,1.6201,0.81,2020-03-23 00:00:00.000,Normal,200.86,1775,0.0,1586462400155,-0.229,-0.5,-0.2489,0.0,True
ETF,EQUITY,46090E103,ETF,QQQ,"Invesco QQQ Trust, Series 1",200.31,400,Q,200.36,1400,Q,200.33,300,Q,0.0,0.0,0.0, ,200.86,-0.53,652321,1586784001843,1586784001183,200.36,q,NASD,True,True,0.0709,4,237.47,164.93,0.0,0.0,1.6201,0.81,2020-03-23 00:00:00.000,Normal,200.86,1775,0.0,1586462400155,-0.2639,-0.5,-0.2489,0.0,True
ETF,EQUITY,46090E103,ETF,QQQ,"Invesco QQQ Trust, Series 1",200.34,1100,P,200.38,800,X,200.38,0,Q,0.0,0.0,0.0, ,200.86,-0.48,669003,1586784302572,1586784293504,200.38,q,NASD,True,True,0.0699,4,237.47,164.93,0.0,0.0,1.6201,0.81,2020-03-23 00:00:00.000,Normal,200.86,1775,0.0,1586462400155,-0.239,-0.48,-0.239,0.0,True
ETF,EQUITY,46090E103,ETF,QQQ,"Invesco QQQ Trust, Series 1",199.94,700,P,199.98,600,Q,199.95,400,Q,199.92,200.0,199.9, ,200.86,-0.91,977403,1586784601726,1586784601726,199.95,q,NASD,True,True,0.0632,4,237.47,164.93,0.0,0.0,1.6201,0.81,2020-03-23 00:00:00.000,Normal,199.95,4,-0.91,1586784601726,-0.4531,-0.91,-0.4531,-0.4531,True
ETF,EQUITY,46090E103,ETF,QQQ,"Invesco QQQ Trust, Series 1",199.95,200,Z,199.96,300,P,199.96,100,K,199.92,200.3,199.65, ,200.86,-0.9,2281264,1586784901646,1586784901576,199.96,q,NASD,True,True,0.0345,4,237.47,164.93,0.0,0.0,1.6201,0.81,2020-03-23 00:00:00.000,Normal,199.96,1,-0.9,1586784901576,-0.4481,-0.9,-0.4481,-0.4481,True
ETF,EQUITY,46090E103,ETF,QQQ,"Invesco QQQ Trust, Series 1",201.1,900,Q,201.12,500,Q,201.11,100,Q,199.92,201.25,199.65, ,200.86,0.25,3382193,1586785202704,1586785202695,201.11,q,NASD,True,True,0.0283,4,237.47,164.93,0.0,0.0,1.6201,0.81,2020-03-23 00:00:00.000,Normal,201.11,1,0.25,1586785202695,0.1245,0.25,0.1245,0.1245,True
ETF,EQUITY,46090E103,ETF,QQQ,"Invesco QQQ Trust, Series 1",200.16,600,Q,200.18,900,Q,200.18,100,P,199.92,201.25,199.65, ,200.86,-0.68,4189030,1586785502969,1586785502822,200.18,q,NASD,True,True,0.0253,4,237.47,164.93,0.0,0.0,1.6201,0.81,2020-03-23 00:00:00.000,Normal,200.18,1,-0.68,1586785502822,-0.3385,-0.68,-0.3385,-0.3385,True
ETF,EQUITY,46090E103,ETF,QQQ,"Invesco QQQ Trust, Series 1",199.59,600,Q,199.61,300,Z,199.6,100,Q,199.92,201.25,199.43, ,200.86,-1.26,5075458,1586785801993,1586785801968,199.6,q,NASD,True,True,0.0229,4,237.47,164.93,0.0,0.0,1.6201,0.81,2020-03-23 00:00:00.000,Normal,199.6,1,-1.26,1586785801968,-0.6273,-1.26,-0.6273,-0.6273,True
ETF,EQUITY,46090E103,ETF,QQQ,"Invesco QQQ Trust, Series 1",199.75,300,Q,199.76,300,Q,199.76,100,Q,199.92,201.25,199.43, ,200.86,-1.1,5528561,1586786102011,1586786101662,199.76,q,NASD,True,True,0.0219,4,237.47,164.93,0.0,0.0,1.6201,0.81,2020-03-23 00:00:00.000,Normal,199.76,1,-1.1,1586786101662,-0.5476,-1.1,-0.5476,-0.5476,True
ETF,EQUITY,46090E103,ETF,QQQ,"Invesco QQQ Trust, Series 1",199.55,300,Q,199.56,900,Q,199.55,100,N,199.92,201.25,199.28, ,200.86,-1.31,6142731,1586786402056,1586786402021,199.55,q,NASD,True,True,0.0208,4,237.47,164.93,0.0,0.0,1.6201,0.81,2020-03-23 00:00:00.000,Normal,199.55,1,-1.31,1586786402021,-0.6522,-1.31,-0.6522,-0.6522,True
