assetType,assetMainType,cusip,assetSubType,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,277.64,300,Z,277.68,1000,Z,277.65,300,P,0.0,0.0,0.0, ,278.2,-0.55,2447718,1586783701427,1586783700008,277.68,p,PACIFIC,True,True,0.0537,2,339.08,218.26,0.0,0.0,5.7908,2.08,2020-03-20 00:00:00.000,Normal,278.2,66,0.0,1586476800001,-0.1977,-0.52,-0.1869,0.0,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,277.91,800,P,277.92,1000,P,277.91,0,P,0.0,0.0,0.0, ,278.2,-0.29,2644764,1586784001806,1586784001785,277.92,p,PACIFIC,True,True,0.0519,2,339.08,218.26,0.0,0.0,5.7908,2.08,2020-03-20 00:00:00.000,Normal,278.2,66,0.0,1586476800001,-0.1042,-0.28,-0.1007,0.0,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,277.92,900,P,277.93,100,T,277.95,100,P,0.0,0.0,0.0, ,278.2,-0.25,2823619,1586784300289,1586784299282,277.93,p,PACIFIC,True,True,0.0504,2,339.08,218.26,0.0,0.0,5.7908,2.08,2020-03-20 00:00:00.000,Normal,278.2,66,0.0,1586476800001,-0.0899,-0.27,-0.0971,0.0,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,277.18,300,P,277.19,400,T,277.18,100,T,277.14,277.2,277.1, ,278.2,-1.02,3422720,1586784601733,1586784601602,277.18,p,PACIFIC,True,True,0.0486,2,339.08,218.26,0.0,0.0,5.7908,2.08,2020-03-20 00:00:00.000,Normal,277.18,1,-1.02,1586784601602,-0.3666,-1.02,-0.3666,-0.3666,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,276.0,100,P,276.01,200,Z,276.0,200,P,277.14,277.51,275.92, ,278.2,-2.2,5949031,1586784901645,1586784901639,276.0,p,PACIFIC,True,True,0.0346,2,339.08,218.26,0.0,0.0,5.7908,2.08,2020-03-20 00:00:00.000,Normal,276.0,2,-2.2,1586784901639,-0.7908,-2.2,-0.7908,-0.7908,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,276.67,300,T,276.69,100,P,276.675,100,D,277.14,277.51,275.5, ,278.2,-1.525,8372800,1586785202705,1586785202691,276.675,p,PACIFIC,True,True,0.0287,2,339.08,218.26,0.0,0.0,5.7908,2.08,2020-03-20 00:00:00.000,Normal,276.675,1,-1.525,1586785202691,-0.5482,-1.525,-0.5482,-0.5482,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,275.25,100,Z,275.27,200,P,275.25,100,Z,277.14,277.51,275.02, ,278.2,-2.95,10175495,1586785502961,1586785502932,275.25,p,PACIFIC,True,True,0.026,2,339.08,218.26,0.0,0.0,5.7908,2.08,2020-03-20 00:00:00.000,Normal,275.25,1,-2.95,1586785502932,-1.0604,-2.95,-1.0604,-1.0604,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,274.37,200,T,274.38,100,T,274.38,100,T,277.14,277.51,274.05, ,278.2,-3.82,12614225,1586785802027,1586785802000,274.38,p,PACIFIC,True,True,0.0235,2,339.08,218.26,0.0,0.0,5.7908,2.08,2020-03-20 00:00:00.000,Normal,274.38,1,-3.82,1586785802000,-1.3731,-3.82,-1.3731,-1.3731,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,274.69,500,K,274.72,100,Y,274.72,300,D,277.14,277.51,274.05, ,278.2,-3.48,14028474,1586786102022,1586786101817,274.72,p,PACIFIC,True,True,0.0222,2,339.08,218.26,0.0,0.0,5.7908,2.08,2020-03-20 00:00:00.000,Normal,274.72,3,-3.48,1586786101817,-1.2509,-3.48,-1.2509,-1.2509,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,274.22,1400,Y,274.24,600,T,274.22,100,D,277.14,277.51,273.96, ,278.2,-3.98,15623966,1586786402057,1586786402007,274.22,p,PACIFIC,True,True,0.0211,2,339.08,218.26,0.0,0.0,5.7908,2.08,2020-03-20 00:00:00.000,Normal,274.22,1,-3.98,1586786402007,-1.4306,-3.98,-1.4306,-1.4306,True
