assetType,assetMainType,cusip,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed
EQUITY,EQUITY,88160R101,TSLA,"Tesla, Inc.  - Common Stock",734.42,100,Q,734.91,100,Z,734.66,100,D,698.97,741.88,692.43, ,650.95,83.71,12737970,1586875802725,1586875802735,734.66,q,NASD,True,True,0.0424,4,968.9899,176.9919,0.0,0.0,0.0,0.0,,Normal,734.66,1,83.71,1586875802735,12.8597,83.71,12.8597,12.8597,True
EQUITY,EQUITY,88160R101,TSLA,"Tesla, Inc.  - Common Stock",733.61,100,Q,733.99,100,Z,733.74,100,D,698.97,741.88,692.43, ,650.95,82.79,12927734,1586876101902,1586876101562,733.74,q,NASD,True,True,0.0422,4,968.9899,176.9919,0.0,0.0,0.0,0.0,,Normal,733.74,1,82.79,1586876101562,12.7183,82.79,12.7183,12.7183,True
EQUITY,EQUITY,88160R101,TSLA,"Tesla, Inc.  - Common Stock",728.33,100,Z,728.72,100,Z,728.4475,400,D,698.97,741.88,692.43, ,650.95,77.4975,13287009,1586876402679,1586876402703,728.4475,q,NASD,True,True,0.0419,4,968.9899,176.9919,0.0,0.0,0.0,0.0,,Normal,728.4475,4,77.4975,1586876402703,11.9053,77.4975,11.9053,11.9053,True
EQUITY,EQUITY,88160R101,TSLA,"Tesla, Inc.  - Common Stock",722.51,100,Z,722.86,100,Q,722.76,100,D,698.97,741.88,692.43, ,650.95,71.81,13847176,1586876702521,1586876702262,722.76,q,NASD,True,True,0.0415,4,968.9899,176.9919,0.0,0.0,0.0,0.0,,Normal,722.76,1,71.81,1586876702262,11.0316,71.81,11.0316,11.0316,True
EQUITY,EQUITY,88160R101,TSLA,"Tesla, Inc.  - Common Stock",712.11,100,Z,712.81,100,K,712.3068,200,D,698.97,741.88,692.43, ,650.95,61.3568,14933267,1586877002919,1586877003014,712.3068,q,NASD,True,True,0.0408,4,968.9899,176.9919,0.0,0.0,0.0,0.0,,Normal,712.3068,2,61.3568,1586877003014,9.4257,61.3568,9.4257,9.4257,True
EQUITY,EQUITY,88160R101,TSLA,"Tesla, Inc.  - Common Stock",714.23,100,P,714.6,200,Z,714.5422,100,D,698.97,741.88,692.43, ,650.95,63.5922,15495349,1586877302630,1586877301911,714.5422,q,NASD,True,True,0.0405,4,968.9899,176.9919,0.0,0.0,0.0,0.0,,Normal,714.5422,1,63.5922,1586877301911,9.7691,63.5922,9.7691,9.7691,True
EQUITY,EQUITY,88160R101,TSLA,"Tesla, Inc.  - Common Stock",716.57,100,K,716.99,100,Z,716.85,100,D,698.97,741.88,692.43, ,650.95,65.9,15873399,1586877602175,1586877602181,716.85,q,NASD,True,True,0.0402,4,968.9899,176.9919,0.0,0.0,0.0,0.0,,Normal,716.85,1,65.9,1586877602181,10.1237,65.9,10.1237,10.1237,True
EQUITY,EQUITY,88160R101,TSLA,"Tesla, Inc.  - Common Stock",723.17,100,Z,723.44,2000,Q,723.41,100,D,698.97,741.88,692.43, ,650.95,72.46,16287842,1586877902455,1586877903095,723.41,q,NASD,True,True,0.0399,4,968.9899,176.9919,0.0,0.0,0.0,0.0,,Normal,723.41,1,72.46,1586877903095,11.1314,72.46,11.1314,11.1314,True
EQUITY,EQUITY,88160R101,TSLA,"Tesla, Inc.  - Common Stock",724.2,100,Z,724.79,100,Q,724.61,200,Z,698.97,741.88,692.43, ,650.95,73.66,16693127,1586878202466,1586878202465,724.61,q,NASD,True,True,0.0397,4,968.9899,176.9919,0.0,0.0,0.0,0.0,,Normal,724.61,2,73.66,1586878202465,11.3158,73.66,11.3158,11.3158,True
EQUITY,EQUITY,88160R101,TSLA,"Tesla, Inc.  - Common Stock",725.92,100,Q,726.25,100,P,726.025,100,D,698.97,741.88,692.43, ,650.95,75.075,17041546,1586878503211,1586878503022,726.025,q,NASD,True,True,0.0395,4,968.9899,176.9919,0.0,0.0,0.0,0.0,,Normal,726.025,1,75.075,1586878503022,11.5331,75.075,11.5331,11.5331,True
