assetType,assetMainType,cusip,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed
EQUITY,EQUITY,949746101,WFC,Wells Fargo & Company Common Stock,30.2,1100,N,30.21,2600,N,30.2,100,D,32.11,32.5,30.02, ,31.43,-1.23,19804029,1586875802742,1586875802719,30.2,n,NYSE,True,True,0.2984,2,54.75,25.105,0.0,8.2516,2.04,6.49,2020-02-06 00:00:00.000,Normal,30.2,1,-1.23,1586875802719,-3.9135,-1.23,-3.9135,-3.9135,True
EQUITY,EQUITY,949746101,WFC,Wells Fargo & Company Common Stock,30.34,300,Z,30.35,200,N,30.34,100,Y,32.11,32.5,30.02, ,31.43,-1.09,20752159,1586876102244,1586876102244,30.34,n,NYSE,True,True,0.2984,2,54.75,25.105,0.0,8.2516,2.04,6.49,2020-02-06 00:00:00.000,Normal,30.34,1,-1.09,1586876102244,-3.468,-1.09,-3.468,-3.468,True
EQUITY,EQUITY,949746101,WFC,Wells Fargo & Company Common Stock,29.97,300,P,29.98,200,N,29.98,100,D,32.11,32.5,29.91, ,31.43,-1.45,22159511,1586876402704,1586876400134,29.98,n,NYSE,True,True,0.2984,2,54.75,25.105,0.0,8.2516,2.04,6.49,2020-02-06 00:00:00.000,Normal,29.98,1,-1.45,1586876400134,-4.6134,-1.45,-4.6134,-4.6134,True
EQUITY,EQUITY,949746101,WFC,Wells Fargo & Company Common Stock,29.81,1700,N,29.82,400,Z,29.815,100,V,32.11,32.5,29.78, ,31.43,-1.615,23366364,1586876702326,1586876702255,29.815,n,NYSE,True,True,0.2984,2,54.75,25.105,0.0,8.2516,2.04,6.49,2020-02-06 00:00:00.000,Normal,29.815,1,-1.615,1586876702255,-5.1384,-1.615,-5.1384,-5.1384,True
EQUITY,EQUITY,949746101,WFC,Wells Fargo & Company Common Stock,29.81,900,Z,29.82,400,N,29.815,100,N,32.11,32.5,29.56, ,31.43,-1.615,24771776,1586877003047,1586877003047,29.815,n,NYSE,True,True,0.2984,2,54.75,25.105,0.0,8.2516,2.04,6.49,2020-02-06 00:00:00.000,Normal,29.815,1,-1.615,1586877003047,-5.1384,-1.615,-5.1384,-5.1384,True
EQUITY,EQUITY,949746101,WFC,Wells Fargo & Company Common Stock,29.72,2400,Z,29.73,600,Z,29.725,100,D,32.11,32.5,29.56, ,31.43,-1.705,25861428,1586877301466,1586877302478,29.725,n,NYSE,True,True,0.2984,2,54.75,25.105,0.0,8.2516,2.04,6.49,2020-02-06 00:00:00.000,Normal,29.725,1,-1.705,1586877302478,-5.4248,-1.705,-5.4248,-5.4248,True
EQUITY,EQUITY,949746101,WFC,Wells Fargo & Company Common Stock,29.75,1300,N,29.76,300,N,29.755,600,T,32.11,32.5,29.56, ,31.43,-1.675,27837297,1586877601569,1586877602237,29.755,n,NYSE,True,True,0.2984,2,54.75,25.105,0.0,8.2516,2.04,6.49,2020-02-06 00:00:00.000,Normal,29.755,6,-1.675,1586877602237,-5.3293,-1.675,-5.3293,-5.3293,True
EQUITY,EQUITY,949746101,WFC,Wells Fargo & Company Common Stock,29.97,700,P,29.98,600,P,29.97,100,J,32.11,32.5,29.56, ,31.43,-1.46,28906120,1586877902977,1586877902026,29.97,n,NYSE,True,True,0.2984,2,54.75,25.105,0.0,8.2516,2.04,6.49,2020-02-06 00:00:00.000,Normal,29.97,1,-1.46,1586877902026,-4.6452,-1.46,-4.6452,-4.6452,True
EQUITY,EQUITY,949746101,WFC,Wells Fargo & Company Common Stock,29.79,200,Z,29.8,1100,Z,29.795,300,D,32.11,32.5,29.56, ,31.43,-1.635,30158245,1586878201725,1586878201317,29.795,n,NYSE,True,True,0.2984,2,54.75,25.105,0.0,8.2516,2.04,6.49,2020-02-06 00:00:00.000,Normal,29.795,3,-1.635,1586878201317,-5.202,-1.635,-5.202,-5.202,True
EQUITY,EQUITY,949746101,WFC,Wells Fargo & Company Common Stock,29.83,800,N,29.84,1100,Z,29.835,100,D,32.11,32.5,29.56, ,31.43,-1.595,30872974,1586878503081,1586878503151,29.835,n,NYSE,True,True,0.2984,2,54.75,25.105,0.0,8.2516,2.04,6.49,2020-02-06 00:00:00.000,Normal,29.835,1,-1.595,1586878503151,-5.0748,-1.595,-5.0748,-5.0748,True
